charts/episodic_length,_runtime,global_step,charts/SPS,losses/value_loss,losses/explained_variance,losses/policy_loss,losses/old_approx_kl,_step,charts/learning_rate,charts/episodic_return,losses/entropy,losses/approx_kl,_timestamp,losses/clipfrac
,24.86405611038208,0,,,,,,0,,,,,1763260083.3008912,
16.0,26.453739881515503,125,,,,,,7,,16.0,,,1763260084.890575,
24.0,26.95132541656494,578,,,,,,33,,24.0,,,1763260085.3881605,
23.0,27.09722876548767,763,,,,,,41,,23.0,,,1763260085.5340638,
35.0,27.24321460723877,881,,,,,,47,,35.0,,,1763260085.6800497,
62.0,27.87003254890442,1447,,,,,,64,,62.0,,,1763260086.3068676,
53.0,28.59305429458618,1890,,,,,,74,,53.0,,,1763260087.0298893,
25.0,28.807766914367676,1931,,,,,,77,,25.0,,,1763260087.244602,
83.0,29.662545680999756,2531,,,,,,88,,83.0,,,1763260088.0993807,
92.0,30.768907070159912,3151,,,,,,102,,92.0,,,1763260089.2057421,
56.0,30.948692321777344,3207,,,,,,104,,56.0,,,1763260089.3855274,
,34.299232721328735,5120,645.0,97.29412078857422,-0.15777957439422607,0.0021767280995845795,-0.0025273943319916725,133,0.0002970046189147979,,0.6369447708129883,3.260839730501175e-05,1763260092.7360678,0.0
118.0,36.31102013587952,5925,,,,,,147,,118.0,,,1763260094.7478552,
139.0,36.64083003997803,6064,,,,,,149,,139.0,,,1763260095.077665,
,36.904946088790894,6144,583.0,58.643272399902344,0.2622423768043518,-0.014254717156291008,0.010605004616081715,150,0.00029639017884619534,,0.601504921913147,0.0015097586438059807,1763260095.3417811,0.0
289.0,37.98500299453735,6649,,,,,,155,,289.0,,,1763260096.421838,
,38.63195729255676,6784,553.0,85.53965759277344,-0.022481679916381836,0.0021121054887771606,-0.0015133628621697426,157,0.00029600615380331874,,0.5940733551979065,8.762814104557037e-06,1763260097.0687923,0.0
120.0,41.6664834022522,7886,,,,,,172,,120.0,,,1763260100.1033185,
,45.53563380241394,9472,494.0,46.401981353759766,0.06558942794799805,0.008070554584264755,0.005347296595573425,195,0.000294393248623237,,0.5680811405181885,0.0005743484944105148,1763260103.9724689,0.0
195.0,46.75367021560669,10067,,,,,,203,,195.0,,,1763260105.1905053,
,48.51201248168945,10752,485.0,46.385536193847656,0.20239078998565674,-0.0012996196746826172,0.0007413970306515694,213,0.0002936251985374838,,0.615905225276947,0.0009319698438048363,1763260106.9488475,0.0
,49.308149576187134,11136,485.0,62.10313415527344,0.03355550765991211,-0.007799766957759857,1.7480924725532532e-05,217,0.00029339478351175785,,0.6290638446807861,0.000583479180932045,1763260107.7449846,0.0
,51.29926562309265,12032,482.0,54.660499572753906,-0.044933199882507324,3.835558891296387e-05,-0.0007774699479341507,228,0.0002928571484517306,,0.624569296836853,4.857778549194336e-06,1763260109.7361007,0.0
,52.19014525413513,12416,480.0,63.376808166503906,0.03473943471908569,0.0003931894898414612,0.0013317791745066643,233,0.00029262673342600465,,0.6111546158790588,3.519188612699509e-05,1763260110.6269803,0.0
,55.54581832885742,13952,478.0,51.967247009277344,0.004241943359375,0.007272884249687195,0.014128654263913631,251,0.0002917050733231008,,0.5825451612472534,0.003389560617506504,1763260113.9826534,0.0
500.0,56.96408200263977,14687,,,,,,259,,500.0,,,1763260115.400917,
,58.2131986618042,15232,478.0,49.52637481689453,-0.0829763412475586,-0.0009550489485263824,-0.000666886568069458,265,0.0002909370232373476,,0.5834285616874695,0.00024720653891563416,1763260116.6500337,0.0
,59.54837346076965,15872,478.0,43.1245002746582,0.054279208183288574,0.003514382988214493,0.0008907131850719452,273,0.000290552998194471,,0.5471300482749939,0.00013888254761695862,1763260117.9852085,0.0
266.0,59.603676319122314,15944,,,,,,274,,266.0,,,1763260118.0405114,
270.0,62.52590560913086,17365,,,,,,292,,270.0,,,1763260120.9627407,
,67.2372612953186,19712,482.0,47.653228759765625,0.4269940257072449,-0.012361109256744385,0.00818237941712141,321,0.0002882488479372114,,0.5706017017364502,0.00033493805676698685,1763260125.6740963,0.0
,68.1472270488739,20224,484.0,90.36907958984375,0.36503738164901733,0.007837984710931778,-0.008099657483398914,327,0.0002879416279029101,,0.5521976947784424,0.00046338047832250595,1763260126.584062,0.0
,68.810378074646,20608,485.0,24.705244064331055,0.7569689750671387,-0.004910066723823547,-0.0012262286618351936,330,0.00028771121287718415,,0.5928822159767151,0.00022438261657953262,1763260127.2472131,0.0
,69.06724524497986,20736,485.0,42.885982513427734,0.2753039598464966,0.0020613931119441986,0.0012672897428274155,332,0.00028763440786860883,,0.5196983814239502,8.356384932994843e-05,1763260127.5040803,0.0
,69.78268933296204,21120,486.0,30.3736515045166,0.1805930733680725,0.0002375766634941101,-0.003120376728475094,337,0.00028740399284288287,,0.585178792476654,0.00020857248455286026,1763260128.2195244,0.0
149.0,70.09646582603455,21316,,,,,,340,,149.0,,,1763260128.5333009,
121.0,74.79778027534485,23633,,,,,,370,,121.0,,,1763260133.2346153,
,75.61028504371643,23936,486.0,63.00722122192383,0.4846820831298828,0.0047027841210365295,-0.0072697969153523445,375,0.0002857142826542258,,0.5066592693328857,0.0010917363688349724,1763260134.04712,0.0
