losses/clipfrac,_runtime,charts/learning_rate,_timestamp,losses/policy_loss,losses/approx_kl,global_step,charts/episodic_length,losses/value_loss,losses/explained_variance,charts/SPS,losses/entropy,losses/old_approx_kl,charts/episodic_return,_step
,24.806000471115112,,1763260083.1370885,,,0,,,,,,,,0
,26.55342388153076,,1763260084.884512,,,107,10.0,,,,,,10.0,7
0.0,27.15945816040039,0.0002996927942149341,1763260085.4905462,-0.0031150802969932556,0.0007327534258365631,640,,37.89314270019531,0.00014531612396240234,932.0,0.679696798324585,-0.006976822391152382,,33
,27.319403648376465,,1763260085.6504917,,,857,14.0,,,,,,14.0,41
,27.44184374809265,,1763260085.7729318,,,990,29.0,,,,,,29.0,47
,27.994828462600708,,1763260086.3259165,,,1514,29.0,,,,,,29.0,64
,28.713029623031616,,1763260087.0441177,,,1840,85.0,,,,,,85.0,74
,28.934580087661743,,1763260087.2656682,,,2008,132.0,,,,,,132.0,77
0.0,29.599970817565918,0.00029869432910345495,1763260087.931059,-0.002710353583097458,0.00019328854978084564,2304,,46.959529876708984,0.003314971923828125,736.0,0.6315383911132812,-0.003636658191680908,,88
0.0,30.783963441848755,0.000298233499052003,1763260089.1150515,-0.0028775930404663086,0.00014407839626073837,3072,,46.98310089111328,-0.014164447784423828,712.0,0.6022877097129822,-0.0026469258591532707,,102
0.0,30.97831892967224,0.0002981566940434277,1763260089.309407,-0.0024064555764198303,6.965827196836472e-05,3200,,66.07408905029297,0.09772872924804688,710.0,0.5927093029022217,0.0005837688222527504,,104
0.0,33.502891540527344,0.0002973118389490992,1763260091.8339796,-0.0012588566169142723,9.742937982082367e-05,4608,,52.84606170654297,-0.052022576332092285,655.0,0.5978532433509827,-0.002780979499220848,,133
,35.56872534751892,,1763260093.8998134,,,5582,420.0,,,,,,420.0,147
,35.88221597671509,,1763260094.213304,,,5715,133.0,,,,,,133.0,149
,35.94415545463562,,1763260094.2752435,,,5754,39.0,,,,,,39.0,150
0.0,36.90686106681824,0.00029646698385477066,1763260095.2379491,0.0018610954284667969,0.00010479707270860672,6016,,77.07180786132812,-0.01400291919708252,576.0,0.5891876220703125,-0.0012917229905724525,,155
,37.29778718948364,,1763260095.6288753,,,6270,260.0,,,,,,260.0,157
0.0,40.22702360153198,0.0002958525437861681,1763260098.5581117,-0.0014036744832992554,8.84663313627243e-05,7040,,56.85542297363281,0.038805365562438965,511.0,0.5386250019073486,-0.003926312550902367,,172
0.0,44.65601205825806,0.0002947772736661136,1763260102.9871001,0.0001652538776397705,0.00014019012451171875,8832,,76.23020935058594,0.08513176441192627,485.0,0.622626543045044,1.1738389730453491e-05,,195
0.0,45.85160946846008,0.00029447005363181233,1763260104.1826975,0.0002619549632072449,2.4075619876384735e-05,9344,,44.42914962768555,0.039953768253326416,482.0,0.5613980293273926,-0.001950983889400959,,203
0.0,47.39820694923401,0.00029408602858893573,1763260105.729295,-0.00011748634278774261,5.15766441822052e-06,9984,,47.32612609863281,0.05622291564941406,477.0,0.5626144409179688,-0.00031223706901073456,,213
0.0,48.207186698913574,0.00029385561356320977,1763260106.5382748,-0.0007986631244421005,9.39890742301941e-06,10368,,59.932167053222656,0.014421045780181885,477.0,0.6133841872215271,-0.0008198395371437073,,217
0.0,49.911224603652954,0.00029339478351175785,1763260108.2423127,0.0013775080442428589,3.3717602491378784e-05,11136,,63.48800277709961,0.01528233289718628,475.0,0.5896912813186646,-0.00012123584747314453,,228
0.0,50.73669171333313,0.0002931643684860319,1763260109.0677798,0.00012872368097305298,2.767704427242279e-05,11520,,59.759254455566406,0.05236458778381348,474.0,0.6003412008285522,0.0024919845163822174,,233
0.0,53.9550347328186,0.00029224270838312805,1763260112.2861228,-0.0010067187249660492,0.00041573867201805115,13056,,61.29280090332031,-0.02297806739807129,475.0,0.6064984202384949,-0.00250290147960186,,251
0.0,55.392791509628296,0.00029185868334025145,1763260113.7238796,-0.00011641532182693481,2.259388566017151e-06,13696,,43.385318756103516,0.1580633521080017,473.0,0.5566180348396301,0.0003499053418636322,,259
0.0,56.48919200897217,0.00029155146330595016,1763260114.82028,0.001276293769478798,5.0722621381282806e-05,14208,,47.35900115966797,0.2736920714378357,473.0,0.6053909063339233,-0.0006261775270104408,,265
,57.85850548744202,,1763260116.1895936,,,14947,118.0,,,,,,118.0,273
