global_step,losses/explained_variance,charts/SPS,losses/clipfrac,losses/old_approx_kl,charts/episodic_length,charts/learning_rate,_timestamp,losses/policy_loss,losses/entropy,charts/episodic_return,_step,_runtime,losses/approx_kl,losses/value_loss
0,,,,,,,1763260084.4504411,,,,0,26.013599157333374,,
128,-0.003568291664123535,1006.0,0.0,0.006988091394305229,,0.0003000000142492354,1763260085.3812423,-0.014712993055582047,0.6924768090248108,,7,26.944400310516357,0.0006070025265216827,34.9244384765625
708,,,,,42.0,,1763260085.9169607,,,42.0,33,27.48011875152588,,
896,-0.007301926612854004,1021.0,0.0,-0.0001958673819899559,,0.00029953918419778347,1763260086.131561,-0.0005139447748661041,0.6871145963668823,,41,27.694719076156616,5.655921995639801e-06,58.045589447021484
1122,,,,,60.0,,1763260086.4061816,,,60.0,47,27.969339609146118,,
1547,,,,,86.0,,1763260087.5060828,,,86.0,64,29.06924080848694,,
1920,0.010794281959533691,649.0,0.0,0.0013573048636317253,,0.0002989247441291809,1763260088.2087185,-0.0026775971055030823,0.6665792465209961,,74,29.771876573562622,0.0001635393127799034,70.09956359863281
2048,0.04201459884643555,642.0,0.0,0.005350795574486256,,0.0002988479391206056,1763260088.4418015,0.0009519048035144806,0.6690071225166321,,77,30.00495958328247,0.0004937583580613136,58.218780517578125
2645,,,,,77.0,,1763260089.3557398,,,77.0,88,30.91889786720276,,
3328,0.10425996780395508,623.0,0.0,0.004510054364800453,,0.0002980798890348524,1763260090.5900214,0.004599444568157196,0.6268424987792969,,102,32.15317940711975,0.0020392127335071564,64.35165405273438
3584,0.2243691086769104,630.0,0.0625,0.032081834971904755,,0.00029792627901770175,1763260090.9355295,-0.034424036741256714,0.613199770450592,,104,32.498687505722046,0.016258634626865387,93.84883880615234
5250,,,,,142.0,,1763260094.905717,,,142.0,133,36.46887493133545,,
6272,0.021047651767730713,488.0,0.0,-0.0008284812793135643,,0.00029631337383762,1763260098.0965562,0.0019230842590332031,0.6011318564414978,,147,39.659714221954346,5.346816033124924e-05,79.7862319946289
6400,0.02596151828765869,482.0,0.0,0.004969647154211998,,0.0002962365688290447,1763260098.5104387,-0.0023363297805190086,0.5704699754714966,,149,40.073596715927124,0.00014413148164749146,75.53160095214844
6497,,,,,211.0,,1763260098.5906696,,,211.0,150,40.15382766723633,,
6837,,,,,116.0,,1763260099.672238,,,116.0,155,41.23539614677429,,
6956,,,,,119.0,,1763260100.0396423,,,119.0,157,41.602800369262695,,
7938,,,,,95.0,,1763260102.5006697,,,95.0,172,44.06382775306702,,
9439,,,,,70.0,,1763260105.9630704,,,70.0,195,47.52622842788696,,
9984,-0.018033742904663086,450.0,0.0,0.0005175834521651268,,0.00029408602858893573,1763260107.4036462,-0.0010908842086791992,0.5789936184883118,,203,48.96680426597595,2.7669593691825867e-06,52.62886047363281
10624,0.006257772445678711,448.0,0.0,-0.0011800164356827736,,0.00029370200354605913,1763260108.9516683,0.003196224570274353,0.5964212417602539,,213,50.51482629776001,0.00039290357381105423,42.5420036315918
11008,-0.020889878273010254,449.0,0.0,4.350394010543823e-05,,0.00029347158852033317,1763260109.7494676,0.005021296441555023,0.6377135515213013,,217,51.31262564659119,0.00044941529631614685,57.91485595703125
11776,0.690765380859375,447.0,0.0,0.0007283668965101242,,0.00029301075846888125,1763260111.5597973,0.00030032917857170105,0.6254429221153259,,228,53.122955322265625,4.939734935760498e-06,28.795806884765625
12160,0.001456141471862793,447.0,0.0,0.0004024207592010498,,0.0002927803434431553,1763260112.427823,0.0004527866840362549,0.6261180639266968,,233,53.990981101989746,0.0003462526947259903,43.976043701171875
13327,,,,,61.0,,1763260115.2573073,,,61.0,251,56.820465326309204,,
13952,0.8762101531028748,444.0,0.0,-0.0006173187866806984,,0.0002917050733231008,1763260116.6462033,-0.007506728172302246,0.6269674301147461,,259,58.20936131477356,0.0007080314680933952,24.60694122314453
14374,,,,,283.0,,1763260117.55474,,,283.0,265,59.11789798736572,,
14916,,,,,236.0,,1763260118.7285194,,,236.0,273,60.291677474975586,,
14976,0.7540563941001892,444.0,0.0,0.005662367679178715,,0.00029109063325449824,1763260118.976324,-0.005719725042581558,0.5879100561141968,,274,60.53948211669922,0.0008407486602663994,27.767244338989258
16256,0.3640778064727783,446.0,0.0,-0.0029370589181780815,,0.00029032258316874504,1763260121.6586344,0.003588218241930008,0.6018933653831482,,292,63.221792459487915,0.0015163952484726906,39.92502975463867
18347,,,,,168.0,,1763260125.941622,,,168.0,321,67.50478005409241,,
18816,0.16917908191680908,451.0,0.0,0.007076546549797058,,0.00028878648299723864,1763260126.8882108,-0.007614444941282272,0.6315748691558838,,327,68.45136880874634,0.00028377212584018707,44.02212905883789
19107,,,,,361.0,,1763260127.3653545,,,361.0,330,68.92851257324219,,
19251,,,,,144.0,,1763260127.64309,,,144.0,332,69.20624804496765,,
19584,0.5648322701454163,453.0,0.0,0.004007213748991489,,0.0002883256529457867,1763260128.4000876,-0.003425508737564087,0.5480157732963562,,337,69.96324563026428,9.594392031431198e-05,57.96106719970703
19840,-0.01064920425415039,454.0,0.0,-0.004367203451693058,,0.0002881720429286361,1763260128.9025133,-0.0019172653555870056,0.5709363222122192,,340,70.46567130088806,5.450565367937088e-05,37.611019134521484
22144,0.042416155338287354,456.0,0.0,-0.0005220063030719757,,0.0002867895527742803,1763260133.7539945,-0.000504758208990097,0.6155813932418823,,370,75.31715250015259,0.00016231834888458252,70.4447021484375
22528,0.40296876430511475,456.0,0.0,-0.0008899783715605736,,0.00028655913774855435,1763260134.61298,0.0006196759641170502,0.6030651330947876,,375,76.17613792419434,1.3698823750019073e-05,48.54648971557617
24320,0.3204303979873657,451.0,0.0,-0.0038334811106324196,,0.00028548386762849987,1763260139.167481,0.0005919672548770905,0.5937374830245972,,396,80.73063898086548,0.0019187862053513527,39.13372039794922
26668,,,,,264.0,,1763260144.2086854,,,264.0,425,85.77184343338013,,
27917,,,,,333.0,,1763260146.8562644,,,333.0,441,88.41942238807678,,
28672,0.6975422501564026,453.0,0.0,-0.0018779681995511055,,0.000282872497336939,1763260148.4380941,-0.0030779223889112473,0.607408344745636,,450,90.00125217437744,0.00018356647342443466,76.93721008300781
30342,,,,,164.0,,1763260151.9597096,,,164.0,471,93.52286767959595,,
31232,-1.4948632717132568,455.0,0.0,-0.00021878816187381744,,0.00028133639716543257,1763260153.815163,0.0001511853188276291,0.5549934506416321,,481,95.3783209323883,2.182088792324066e-05,18.664304733276367
31951,,,,,132.0,,1763260155.2553623,,,132.0,490,96.8185203075409,,
33152,-0.017928004264831543,456.0,0.0,-0.005901395343244076,,0.00028018432203680277,1763260157.8375776,-0.0005579963326454163,0.6029034852981567,,504,99.40073561668396,0.0004026563838124275,11.74411392211914
34021,,,,,172.0,,1763260159.553663,,,172.0,515,101.11682105064392,,
35150,,,,,336.0,,1763260162.0178707,,,336.0,530,103.58102869987488,,
35840,0.5436652302742004,457.0,0.00390625,0.0207747183740139,,0.00027857141685672104,1763260163.629541,-0.03874383121728897,0.5746926665306091,,539,105.19269895553589,0.0035013919696211815,123.02149963378906
36352,0.9356598854064941,456.0,0.03515625,0.016217388212680817,,0.00027826419682241976,1763260164.8395123,-0.009930359199643135,0.5548664331436157,,547,106.40267038345337,0.008880147710442543,10.305362701416016
36992,0.026989638805389404,456.0,0.0,0.004827513359487057,,0.00027788017177954316,1763260166.2071,-0.009060882031917572,0.5451084971427917,,555,107.7702579498291,0.0004013003781437874,119.67291259765625
37248,0.9016823172569275,456.0,0.0,0.00019631441682577133,,0.0002777265617623925,1763260166.8080192,-3.980472683906555e-05,0.589049756526947,,559,108.37117719650269,3.5529956221580505e-06,16.264516830444336
38016,-0.08019077777862549,457.0,0.0,0.002251897007226944,,0.0002772657317109406,1763260168.4388692,0.0017846859991550446,0.5791521668434143,,568,110.0020272731781,0.0001041945070028305,7.19449520111084
40320,0.910372793674469,457.0,0.0,0.0014351755380630493,,0.0002758832706604153,1763260173.3899274,-0.006481623277068138,0.588172197341919,,595,114.95308542251587,0.000129014253616333,22.968551635742188
41747,,,,,287.0,,1763260176.4254482,,,287.0,612,117.98860621452332,,
41956,,,,,209.0,,1763260176.7417161,,,209.0,614,118.30487418174744,,
43392,0.03311127424240112,458.0,0.0,-0.0023594917729496956,,0.0002740399504546076,1763260179.9043064,-0.0006072167307138443,0.6157458424568176,,630,121.46746444702148,0.00012674275785684586,2.7944371700286865
44032,-1.0101211071014404,458.0,0.0,-0.017825542017817497,,0.000273655925411731,1763260181.194285,-0.006454154849052429,0.5591464638710022,,636,122.75744295120239,0.0018156375735998154,3.094485282897949
44416,0.3726353645324707,459.0,0.0,0.004181507043540478,,0.00027342551038600504,1763260181.9471753,-0.003699062392115593,0.5967762470245361,,640,123.51033329963684,0.00024067703634500504,3.7955007553100586
45312,-0.549994707107544,459.0,0.0,0.005944432690739632,,0.0002728878753259778,1763260183.8180258,-7.815659046173096e-05,0.538853108882904,,650,125.38118386268616,0.0013430491089820862,5.5852813720703125
46720,-0.23566246032714844,460.0,0.0,-0.0045107342302799225,,0.0002720430202316493,1763260186.6433594,0.013551801443099976,0.5470120906829834,,664,128.20651745796204,0.0003548692911863327,2.0160624980926514
48553,,,,,222.0,,1763260190.4513059,,,222.0,684,132.01446390151978,,
49053,,,,,500.0,,1763260191.5185108,,,500.0,689,133.08166885375977,,
49920,-0.16019201278686523,461.0,0.0,-0.008724266663193703,,0.0002701228950172663,1763260193.398447,-0.004551086574792862,0.5723863840103149,,698,134.96160507202148,0.001280616968870163,1.111271619796753
50304,-0.4727823734283447,461.0,0.0,0.00033867545425891876,,0.0002698924799915403,1763260194.2179568,-2.8792768716812134e-05,0.5980309844017029,,702,135.78111481666565,1.1194497346878052e-06,1.281623363494873
50708,,,,,307.0,,1763260195.0881572,,,307.0,707,136.65131521224976,,
52480,-0.0002582073211669922,460.0,0.0,0.002163456752896309,,0.00026858679484575987,1763260199.103637,0.004043135792016983,0.5823449492454529,,729,140.66679501533508,0.0008753109723329544,343.0133056640625
54903,,,,,320.0,,1763260204.156492,,,320.0,757,145.7196500301361,,
55403,,,,,500.0,,1763260205.1816835,,,500.0,762,146.74484157562256,,
55808,-0.3460578918457031,460.0,0.0,-0.005128098651766777,,0.00026658986462280154,1763260206.3352523,-0.006603676825761795,0.6174750328063965,,767,147.89841032028198,0.0019026212394237518,8.433578491210938
56576,0.5883351564407349,461.0,0.0,0.0011369530111551285,,0.0002661290345713496,1763260207.9645422,-0.003166753798723221,0.6170864701271057,,775,149.52770018577576,3.2763928174972534e-05,127.16445922851562
57728,0.029008030891418457,460.0,0.0,0.00415286049246788,,0.00026543778949417174,1763260210.5440745,-0.012808006256818771,0.5491631031036377,,788,152.1072325706482,0.0005633030086755753,208.027587890625
58624,0.15324532985687256,460.0,0.0,-0.005742923356592655,,0.0002649001544341445,1763260212.4344711,0.0036999862641096115,0.48070740699768066,,797,153.9976291656494,0.0006875833496451378,193.20948791503906
59603,,,,,500.0,,1763260214.3586833,,,500.0,806,155.92184138298035,,
