charts/episodic_return,losses/old_approx_kl,_step,charts/learning_rate,global_step,losses/approx_kl,charts/SPS,_timestamp,charts/episodic_length,losses/explained_variance,_runtime,losses/clipfrac,losses/policy_loss,losses/entropy,losses/value_loss
,,0,,0,,,1763260083.9744813,,,25.538525342941284,,,,
37.0,,7,,171,,,1763260084.9936914,37.0,,26.557735443115234,,,,
54.0,,33,,767,,,1763260085.5408454,54.0,,27.104889392852783,,,,
18.0,,41,,944,,,1763260085.7504714,18.0,,27.314515352249146,,,,
36.0,,47,,1077,,,1763260085.8762486,36.0,,27.440292596817017,,,,
60.0,,64,,1723,,,1763260086.7427394,60.0,,28.306783437728882,,,,
107.0,,74,,2243,,,1763260087.548356,107.0,,29.11240005493164,,,,
112.0,,77,,2422,,,1763260087.7686927,112.0,,29.33273673057556,,,,
,0.01659041829407215,88,0.000298233499052003,3072,0.002593609504401684,760.0,1763260088.8423493,,0.09102046489715576,30.40639328956604,0.00390625,-0.01044093444943428,0.6090859770774841,90.44010925292969
302.0,0.0014416342601180077,102,0.00029761905898340046,4096,0.0007520290091633797,739.0,1763260090.3437703,302.0,0.32009071111679077,31.907814264297485,0.0,-0.0016400478780269623,0.6326989531517029,104.63798522949219
168.0,,104,,4264,,,1763260090.536181,168.0,,32.10022497177124,,,,
191.0,,133,,6487,,,1763260095.082672,191.0,,36.64671611785889,,,,
,-0.0005944995209574699,147,0.0002954685187432915,7680,3.1120143830776215e-05,554.0,1763260098.6636186,,0.10079735517501831,40.227662563323975,0.0,-0.0014371443539857864,0.5609838962554932,87.86441040039062
,-0.0003016749396920204,149,0.0002953917137347162,7808,4.369858652353287e-05,547.0,1763260099.063384,,-0.03242075443267822,40.62742805480957,0.0,0.0021171094849705696,0.6039104461669922,54.54125213623047
,-0.0006770892068743706,150,0.00029531490872614086,7936,3.7336722016334534e-06,544.0,1763260099.3849204,,0.036598265171051025,40.9489643573761,0.0,-0.00028576701879501343,0.5534902215003967,91.29114532470703
,0.004382080398499966,155,0.0002950844937004149,8320,0.00025318656116724014,533.0,1763260100.4074647,,0.1326196789741516,41.971508741378784,0.0,-0.006397172808647156,0.5530771017074585,68.37202453613281
,-0.002762317657470703,157,0.00029493088368326426,8576,0.0005054250359535217,531.0,1763260100.9434972,,-0.04149138927459717,42.50754117965698,0.0,-0.006263835355639458,0.5833341479301453,78.29479217529297
,-0.0010625943541526794,172,0.00029416283359751105,9856,0.00027127936482429504,519.0,1763260103.7609746,,0.10346078872680664,45.325018644332886,0.0,0.0021028444170951843,0.6095434427261353,46.89892578125
120.0,,195,,11437,,,1763260107.3811693,120.0,,48.945213317871094,,,,
,-0.0031439727172255516,203,0.0002928571484517306,12032,0.00038713496178388596,501.0,1763260108.7793872,,0.4675348401069641,50.34343123435974,0.0,-0.0022460520267486572,0.5730618238449097,65.485595703125
,-0.004913412034511566,213,0.0002923963184002787,12800,0.0014821290969848633,499.0,1763260110.427724,,0.05654710531234741,51.99176788330078,0.0,0.0033916961401700974,0.6221868991851807,46.990604400634766
,-0.0005642427131533623,217,0.0002921659033745527,13184,0.0005222251638770103,498.0,1763260111.2449996,,0.16468793153762817,52.809043645858765,0.0,-0.011167990043759346,0.5980458855628967,43.70042419433594
135.0,,228,,13922,,,1763260112.8067667,135.0,,54.370810747146606,,,,
,-9.011197835206985e-05,233,0.00029147465829737484,14336,1.8374063074588776e-05,493.0,1763260113.8564332,,-0.0010669231414794922,55.42047715187073,0.0,0.00027886778116226196,0.5714183449745178,57.066829681396484
258.0,,251,,15658,,,1763260116.7878857,258.0,,58.351929664611816,,,,
281.0,,259,,16257,,,1763260118.177343,281.0,,59.74138689041138,,,,
,-0.005700789391994476,265,0.00029001536313444376,16768,0.0010765865445137024,486.0,1763260119.2353148,,0.2916579842567444,60.79935884475708,0.0,0.011243060231208801,0.6069668531417847,41.95656204223633
230.0,,273,,17333,,,1763260120.3257778,230.0,,61.88982176780701,,,,
,2.9841437935829163e-05,274,0.00028963133809156716,17408,5.265325307846069e-05,486.0,1763260120.559572,,0.6471424102783203,62.123615980148315,0.0,-0.0002689957618713379,0.6171095371246338,36.763919830322266
114.0,,292,,18775,,,1763260123.2972422,114.0,,64.86128616333008,,,,
,-0.0033720610663294792,321,0.0002875576028600335,20864,5.055125802755356e-05,487.0,1763260127.5683455,,0.6358164548873901,69.13238954544067,0.0,-0.0022749677300453186,0.6009724736213684,52.26137924194336
187.0,,327,,21314,,,1763260128.341125,187.0,,69.90516901016235,,,,
,-0.0002306448295712471,330,0.0002871735778171569,21504,2.8209760785102844e-06,488.0,1763260128.810876,,0.21243929862976074,70.37491989135742,0.0,0.000573374330997467,0.5546170473098755,32.8680305480957
,0.00037903524935245514,332,0.0002870967728085816,21632,2.391636371612549e-06,488.0,1763260129.0879974,,0.10382461547851562,70.6520414352417,0.0,-0.0011195242404937744,0.63328617811203,91.89524841308594
,0.019424129277467728,337,0.00028686635778285563,22016,0.004187661223113537,489.0,1763260129.7426243,,0.43830978870391846,71.30666828155518,0.001953125,-0.004156395792961121,0.5780945420265198,67.95956420898438
124.0,,340,,22147,,,1763260130.027657,124.0,,71.5917010307312,,,,
158.0,,370,,24519,,,1763260135.159223,158.0,,76.72326707839966,,,,
,-0.0019552456215023994,375,0.0002851766475941986,24832,5.7248398661613464e-06,483.0,1763260136.1531854,,0.9097382426261902,77.71722936630249,0.0,0.0004943236708641052,0.4992886781692505,7.3231940269470215
285.0,,396,,26438,,,1763260140.158658,285.0,,81.72270202636719,,,,
,0.000927741639316082,425,0.00028271888731978834,28928,2.8065405786037445e-05,476.0,1763260145.456848,,0.45894527435302734,87.02089190483093,0.0,0.00019481778144836426,0.5476287007331848,20.979204177856445
184.0,,441,,30437,,,1763260148.3836594,184.0,,89.94770336151123,,,,
304.0,,450,,31150,,,1763260149.9648194,304.0,,91.5288634300232,,,,
322.0,,471,,32856,,,1763260153.5139017,322.0,,95.07794570922852,,,,
71.0,,481,,33558,,,1763260155.1328201,71.0,,96.6968641281128,,,,
221.0,,490,,34291,,,1763260156.578681,221.0,,98.14272499084473,,,,
,0.0013660714030265808,504,0.000278801831882447,35456,0.0002185031771659851,476.0,1763260159.1575434,,0.0037868618965148926,100.72158741950989,0.0,0.0008255178108811378,0.5842887759208679,257.009765625
181.0,,515,,36251,,,1763260160.8207033,181.0,,102.38474726676941,,,,
,0.0015983190387487411,530,0.0002775729517452419,37504,0.00011000595986843109,476.0,1763260163.4631817,,0.9661595225334167,105.02722573280334,0.0,0.0009982772171497345,0.5483919382095337,15.266579627990723
,-0.006229435093700886,539,0.00027711212169378996,38272,0.00023582112044095993,476.0,1763260165.0961704,,0.5306429862976074,106.6602144241333,0.0,0.003429904580116272,0.4928339421749115,73.42845153808594
,0.001618669368326664,547,0.00027665129164233804,39040,0.00043594930320978165,477.0,1763260166.6354105,,0.01462012529373169,108.19945454597473,0.0,0.006069492548704147,0.5648242831230164,35.342796325683594
,0.007898897863924503,555,0.00027619049069471657,39808,0.0015213647857308388,477.0,1763260168.215997,,0.7284982800483704,109.78004097938538,0.0,-0.004193313419818878,0.5589537620544434,19.552236557006836
,-3.484915941953659e-05,559,0.0002759600756689906,40192,0.00019760150462388992,477.0,1763260168.9935877,,0.9283508658409119,110.55763173103333,0.0,-0.0014210231602191925,0.5516636967658997,5.643732070922852
,0.0021950891241431236,568,0.0002754992456175387,40960,0.0002856915816664696,477.0,1763260170.6397882,,0.020734965801239014,112.20383214950562,0.0,0.008546672761440277,0.6045593619346619,126.58219909667969
,0.0007451055571436882,595,0.00027419356047175825,43136,6.4158812165260315e-06,476.0,1763260175.3339522,,0.705657958984375,116.89799618721008,0.0,-0.0009827653411775827,0.5150177478790283,3.4319236278533936
,0.008284864947199821,612,0.00027342551038600504,44416,0.0029307547956705093,475.0,1763260178.157472,,0.12118726968765259,119.72151589393616,0.0078125,0.005744531750679016,0.48616811633110046,211.27378845214844
244.0,,614,,44630,,,1763260178.4577725,244.0,,120.02181649208069,,,,
,0.0045176055282354355,630,0.0002725038502831012,45952,0.000284586101770401,475.0,1763260181.4222693,,0.14483821392059326,122.9863133430481,0.0,-0.004844069480895996,0.5627906322479248,17.241004943847656
293.0,,636,,46544,,,1763260182.4964108,293.0,,124.06045484542847,,,,
,0.0004424750804901123,640,0.00027196621522307396,46848,0.00021303072571754456,475.0,1763260183.2941947,,0.7658913135528564,124.858238697052,0.0,-0.005615755915641785,0.48780691623687744,67.37389373779297
,-0.0007436992600560188,650,0.0002714285801630467,47744,2.359878271818161e-05,475.0,1763260185.1400752,,0.932144820690155,126.70411920547485,0.0,0.00015087425708770752,0.5306416749954224,7.6413397789001465
,0.0004947958514094353,664,0.0002706605300772935,49024,0.0026364335790276527,475.0,1763260187.8290281,,0.9336539506912231,129.3930721282959,0.005859375,-0.007258277386426926,0.5630605220794678,2.1345980167388916
,-0.0014030421152710915,684,0.00026966206496581435,50688,0.0003116624429821968,475.0,1763260191.4512885,,0.42035961151123047,133.01533246040344,0.0,-0.006844043731689453,0.5316964983940125,1.3359639644622803
276.0,,689,,51139,,,1763260192.2970417,276.0,,133.86108565330505,,,,
,-0.00044617149978876114,698,0.00026889401488006115,51968,1.758243888616562e-05,475.0,1763260194.162636,,0.02907848358154297,135.7266800403595,0.0,0.0010493043810129166,0.5668479204177856,1.3494324684143066
,0.0005397703498601913,702,0.0002686635998543352,52352,9.257718920707703e-05,475.0,1763260194.9573143,,0.1726434826850891,136.52135825157166,0.0,-0.0016189999878406525,0.5641878843307495,433.7665710449219
,0.002176431007683277,707,0.00026843318482860923,52736,0.0003223130479454994,474.0,1763260195.8278637,,0.20351189374923706,137.39190769195557,0.0,0.0004258081316947937,0.5557562112808228,1.0409035682678223
,-0.00013708602637052536,729,0.0002672043046914041,54784,1.1402182281017303e-05,474.0,1763260200.1632838,,-0.0036852359771728516,141.72732782363892,0.0,0.0007180720567703247,0.6143411993980408,0.7969472408294678
202.0,,757,,57047,,,1763260204.9492693,202.0,,146.51331329345703,,,,
,0.0032743876799941063,762,0.0002655913995113224,57472,0.0017331140115857124,474.0,1763260205.9642694,,-1.2832226753234863,147.5283133983612,0.0,-0.007287047803401947,0.5148850679397583,0.5882719159126282
,0.01668311096727848,767,0.0002652841794770211,57984,0.002359626814723015,474.0,1763260206.934027,,-1.7852861881256104,148.4980709552765,0.0,-0.010178785771131516,0.49586349725723267,1.5646753311157227
,-0.012746547348797321,775,0.0002648233494255692,58752,0.001767357811331749,475.0,1763260208.4723477,,0.004816651344299316,150.0363917350769,0.0,0.020334217697381973,0.5337234139442444,308.0860290527344
,0.01056257076561451,788,0.00026397849433124065,60160,0.0052896421402692795,476.0,1763260211.1884508,,-1.8047821521759033,152.75249481201172,0.02734375,0.01175159402191639,0.48428067564964294,1.884454369544983
,0.010765131562948227,797,0.0002634408592712134,61056,0.0005978401750326157,476.0,1763260212.9363873,,-1.3617751598358154,154.5004312992096,0.0,0.0037807300686836243,0.4883207678794861,0.14476123452186584
,-0.0030514728277921677,806,0.00026290322421118617,61952,0.0002507641911506653,477.0,1763260214.6297219,,0.6541013121604919,156.19376587867737,0.0,0.003363795578479767,0.5440049767494202,0.05136892572045326
,0.008463150821626186,815,0.00026236558915115893,62848,0.0016271257773041725,477.0,1763260216.346467,,-3.8323326110839844,157.9105110168457,0.005859375,0.02222302556037903,0.5201093554496765,0.07030126452445984
,0.006335079669952393,863,0.00025944699882529676,67712,0.003156198188662529,480.0,1763260225.7768068,,0.14208358526229858,167.34085083007812,0.00390625,-0.037668660283088684,0.4767393469810486,0.003945992328226566
,0.00472218357026577,872,0.0002589093637652695,68608,0.00022973120212554932,480.0,1763260227.5843728,,0.00010955333709716797,169.14841675758362,0.0,-0.005947396159172058,0.4782063364982605,359.3575439453125
500.0,,876,,69077,,,1763260228.3121033,500.0,,169.87614727020264,,,,
,-0.006413484923541546,916,0.0002562211884651333,73088,0.000526665709912777,482.0,1763260236.1568794,,-6.079673767089844e-06,177.7209234237671,0.0,0.003989918157458305,0.5153533220291138,228.24485778808594
,0.002163195051252842,922,0.0002558371634222567,73728,0.0001372983679175377,483.0,1763260237.3898156,,0.07478398084640503,178.9538595676422,0.0,0.0007456634193658829,0.4810291826725006,0.0033053806982934475
500.0,,930,,74577,,,1763260238.9376395,500.0,,180.50168347358704,,,,
,-0.0022992435842752457,938,0.00025483869831077754,75392,0.00033757835626602173,484.0,1763260240.5615954,,-0.046134352684020996,182.12563943862915,0.0,-0.004177507013082504,0.5285749435424805,0.00024618179304525256
,-0.003886297345161438,941,0.0002546850882936269,75648,0.0004834085702896118,484.0,1763260241.1004066,,0.00018143653869628906,182.66445064544678,0.0,0.004630524665117264,0.5465903282165527,213.9242401123047
,0.009396917186677456,942,0.0002546082832850516,75776,0.003812870942056179,484.0,1763260241.311982,,0.0357513427734375,182.87602591514587,0.001953125,-0.012429993599653244,0.5336191058158875,0.0066049667075276375
,0.012419031001627445,948,0.000254224258242175,76416,0.001084442250430584,484.0,1763260242.5565267,,-0.6886515617370605,184.12057065963745,0.0,-0.006305767223238945,0.5046365261077881,0.0005734774749726057
500.0,,974,,79077,,,1763260247.5457802,500.0,,189.10982418060303,,,,
,-0.0037109646946191788,980,0.000252304133027792,79616,0.00034440308809280396,485.0,1763260248.786173,,-4.0531158447265625e-06,190.35021710395813,0.0,-0.0006472505629062653,0.45830777287483215,286.04248046875
,0.002980840392410755,985,0.00025199694209732115,80128,0.00010245945304632187,485.0,1763260249.8292537,,1.341104507446289e-05,191.39329767227173,0.0,-0.0007370039820671082,0.5035929083824158,431.3565979003906
,-0.0020426204428076744,995,0.0002513825020287186,81152,0.00020443182438611984,485.0,1763260251.8679192,,-0.00010693073272705078,193.43196320533752,0.0,-0.005244165658950806,0.5643919706344604,310.22186279296875
,-0.01088910922408104,997,0.00025122889201156795,81408,0.0006873197853565216,485.0,1763260252.3338478,,-0.2698413133621216,193.89789175987244,0.0,0.006688388995826244,0.5341267585754395,0.0008959191618487239
,-0.004891430027782917,1015,0.00025015362189151347,83200,0.0014186901971697807,486.0,1763260255.861831,,-6.031990051269531e-05,197.4258749485016,0.0,-0.0075342170894145966,0.5302523374557495,121.08772277832031
,-0.001720641739666462,1020,0.0002498464018572122,83712,0.00014140363782644272,486.0,1763260256.8451235,,-0.44511330127716064,198.40916752815247,0.0,-0.0023396387696266174,0.492763876914978,0.004319061059504747
,0.01706111617386341,1031,0.0002491551567800343,84864,0.00485603604465723,487.0,1763260259.005387,,-2.4857943058013916,200.56943106651306,0.013671875,0.02976716123521328,0.5339120030403137,0.00106823502574116
,-0.004845557734370232,1050,0.0002480030816514045,86784,0.006667338311672211,490.0,1763260261.637801,,-0.09466171264648438,203.2018449306488,0.013671875,-0.014029502868652344,0.5231748223304749,0.008859778754413128
500.0,,1053,,87077,,,1763260261.9488652,500.0,,203.51290917396545,,,,
500.0,,1058,,87577,,,1763260262.5543153,500.0,,204.11835932731628,,,,
,0.0005101058632135391,1083,0.0002460061514284462,90112,0.0003132373094558716,494.0,1763260266.971225,,4.208087921142578e-05,208.53526902198792,0.0,0.0006816461682319641,0.538510799407959,444.8706970214844
,0.009144247509539127,1091,0.00024546851636841893,91008,0.003599070943892002,495.0,1763260268.4645596,,-0.09857499599456787,210.02860355377197,0.009765625,-0.015190891921520233,0.5450231432914734,0.00022828469809610397
,5.557853728532791e-05,1106,0.0002445468562655151,92544,0.0008161412551999092,496.0,1763260271.103088,,-0.14667797088623047,212.66713190078735,0.0,-0.018201768398284912,0.49691829085350037,0.00018617416208144277
,-0.0072848740965127945,1118,0.0002438556111883372,93696,0.00044898316264152527,499.0,1763260272.5319612,,-7.62939453125e-05,214.09600520133972,0.0,-0.006809096783399582,0.38857099413871765,316.08258056640625
