charts/episodic_length,global_step,charts/episodic_return,_step,losses/value_loss,_runtime,_timestamp,charts/learning_rate,losses/policy_loss,charts/SPS,losses/approx_kl,losses/clipfrac,losses/entropy,losses/old_approx_kl,losses/explained_variance
,0,,0,,26.105304718017578,1763260111.4692607,,,,,,,,
29.0,161,29.0,7,,27.65223217010498,1763260113.0161881,,,,,,,,
15.0,651,15.0,33,,28.16885232925415,1763260113.5328083,,,,,,,,
49.0,882,49.0,41,,28.378815412521362,1763260113.7427714,,,,,,,,
69.0,1087,69.0,47,,28.60722780227661,1763260113.9711838,,,,,,,,
27.0,1747,27.0,64,,29.22917914390564,1763260114.593135,,,,,,,,
,2304,,74,89.81692504882812,29.828808784484863,1763260115.1927648,0.00029869432910345495,0.01353529840707779,965.0,0.004120608791708946,0.0,0.5991442203521729,0.02940136007964611,0.06358683109283447
107.0,2554,107.0,77,,29.996954202651978,1763260115.3609102,,,,,,,,
65.0,2997,65.0,88,,30.48130440711975,1763260115.8452604,,,,,,,,
,3584,,102,98.55741119384766,31.06893014907837,1763260116.4328861,0.00029792627901770175,-0.0015067756175994873,987.0,0.00010762456804513931,0.0,0.5993925333023071,0.002912827767431736,0.018758058547973633
99.0,3691,99.0,104,,31.111088275909424,1763260116.4750443,,,,,,,,
87.0,4960,87.0,133,,32.36281061172485,1763260117.7267666,,,,,,,,
63.0,5503,63.0,147,,32.88352131843567,1763260118.2474773,,,,,,,,
87.0,5590,87.0,149,,32.991265296936035,1763260118.3552213,,,,,,,,
38.0,5628,38.0,150,,33.00741147994995,1763260118.3713675,,,,,,,,
63.0,5821,63.0,155,,33.22183156013489,1763260118.5857875,,,,,,,,
94.0,5915,94.0,157,,33.329689025878906,1763260118.693645,,,,,,,,
,6656,,172,66.59385681152344,34.05739235877991,1763260119.4213483,0.00029608295881189406,0.0019670575857162476,1006.0,3.553088754415512e-05,0.0,0.5878255367279053,0.00012094993144273758,0.14054030179977417
81.0,7736,81.0,195,,35.05714464187622,1763260120.4211006,,,,,,,,
47.0,8181,47.0,203,,35.43938159942627,1763260120.8033376,,,,,,,,
49.0,8629,49.0,213,,35.93008041381836,1763260121.2940364,,,,,,,,
39.0,8786,39.0,217,,36.06181764602661,1763260121.4257736,,,,,,,,
,9344,,228,66.83360290527344,37.09774875640869,1763260122.4617047,0.00029447005363181233,-0.00020040199160575867,967.0,1.8788501620292664e-05,0.0,0.6049845218658447,0.0014159493148326874,0.21743589639663696
66.0,9519,66.0,233,,37.3710675239563,1763260122.7350235,,,,,,,,
43.0,10314,43.0,251,,38.612441301345825,1763260123.9763973,,,,,,,,
64.0,10741,64.0,259,,39.156102895736694,1763260124.5200589,,,,,,,,
58.0,10991,58.0,265,,39.50959300994873,1763260124.873549,,,,,,,,
95.0,11358,95.0,273,,40.05805826187134,1763260125.4220142,,,,,,,,
,11392,,274,47.283668518066406,40.15392589569092,1763260125.5178819,0.0002932411734946072,0.0036143139004707336,896.0,2.155546098947525e-05,0.0,0.5889877080917358,-0.0023772818967700005,0.3347405195236206
88.0,12530,88.0,292,,41.32175803184509,1763260126.685714,,,,,,,,
,14336,,321,44.683067321777344,43.19308924674988,1763260128.5570452,0.00029147465829737484,0.004755839705467224,910.0,4.9870461225509644e-05,0.0,0.613705575466156,-0.001245897263288498,0.3111193776130676
