losses/value_loss,charts/learning_rate,losses/explained_variance,losses/clipfrac,losses/old_approx_kl,losses/entropy,losses/policy_loss,losses/approx_kl,global_step,charts/episodic_length,_step,_runtime,_timestamp,charts/episodic_return,charts/SPS
,,,,,,,,0,,0,25.25106644630432,1763260110.1938825,,
,,,,,,,,165,37.0,7,28.07776188850403,1763260113.020578,37.0,
,,,,,,,,724,17.0,33,28.60326910018921,1763260113.5460851,17.0,
,,,,,,,,926,52.0,41,28.825473070144653,1763260113.768289,52.0,
69.92083740234375,0.00029938557418063283,-0.012549042701721191,0.0,0.006590882316231728,0.683517336845398,-0.005959540605545044,0.0005528498440980911,1152,,47,29.044001579284668,1763260113.9868176,,975.0
,,,,,,,,1754,65.0,64,29.58413815498352,1763260114.5269542,65.0,
,,,,,,,,2169,111.0,74,29.944488286972046,1763260114.8873043,111.0,
,,,,,,,,2259,41.0,77,30.048358917236328,1763260114.991175,41.0,
,,,,,,,,2699,35.0,88,30.493497371673584,1763260115.4363134,35.0,
,,,,,,,,3446,43.0,102,31.1212215423584,1763260116.0640376,43.0,
,,,,,,,,3567,121.0,104,31.23384189605713,1763260116.176658,121.0,
,,,,,,,,5222,126.0,133,32.75534915924072,1763260117.6981652,126.0,
94.17347717285156,0.00029639017884619534,0.08933383226394653,0.0,0.005352958105504513,0.6133034229278564,-0.00010557100176811218,0.00032478291541337967,6144,,147,33.64613914489746,1763260118.5889552,,1062.0
,,,,,,,,6320,360.0,149,33.77516007423401,1763260118.717976,360.0,
73.48350524902344,0.0002962365688290447,0.3931652307510376,0.0,0.0013939235359430313,0.5896154046058655,-0.00790899433195591,0.0002257898449897766,6400,,150,33.870816230773926,1763260118.8136322,,1065.0
,,,,,,,,6685,80.0,155,34.11277794837952,1763260119.055594,80.0,
63.07485580444336,0.00029600615380331874,-0.026920199394226074,0.0,-0.0003723902627825737,0.634765625,-0.0006559304893016815,1.200009137392044e-05,6784,,157,34.22648334503174,1763260119.1692994,,1065.0
67.71261596679688,0.00029531490872614086,0.15939801931381226,0.0,-0.0007273033261299133,0.6166930198669434,-0.0001074373722076416,3.454647958278656e-05,7936,,172,35.47937250137329,1763260120.4221885,,1041.0
,,,,,,,,9553,88.0,195,37.31471800804138,1763260122.257534,88.0,
,,,,,,,,10140,229.0,203,38.151745319366455,1763260123.0945613,229.0,
57.82184600830078,0.00029347158852033317,0.2554296851158142,0.00390625,0.01415971014648676,0.5321411490440369,-0.023069318383932114,0.0070403022691607475,11008,,213,39.24885010719299,1763260124.1916661,,966.0
52.06774139404297,0.00029331797850318253,0.003342926502227783,0.0,8.866190910339355e-07,0.5661841630935669,0.002428170293569565,0.0002725571393966675,11264,,217,39.56134366989136,1763260124.5041597,,962.0
