charts/SPS,losses/explained_variance,losses/value_loss,_step,charts/episodic_length,losses/approx_kl,charts/episodic_return,losses/clipfrac,_runtime,global_step,losses/policy_loss,losses/old_approx_kl,losses/entropy,charts/learning_rate,_timestamp
,,,0,,,,,24.762054204940796,0,,,,,1763260083.1974692
,,,7,10.0,,10.0,,26.44892191886902,107,,,,,1763260084.884337
934.0,-0.00014281272888183594,40.63132095336914,33,,0.0007177386432886124,,0.0,27.053496599197388,640,-0.002920582890510559,-0.006923256441950798,0.6800016164779663,0.0002996927942149341,1763260085.4889116
,,,41,14.0,,14.0,,27.210303783416748,857,,,,,1763260085.6457188
,,,47,29.0,,29.0,,27.33528470993042,990,,,,,1763260085.7706997
,,,64,43.0,,43.0,,27.887287378311157,1453,,,,,1763260086.3227024
,,,74,32.0,,32.0,,28.566097259521484,1853,,,,,1763260087.0015123
,,,77,45.0,,45.0,,28.767673015594482,1933,,,,,1763260087.203088
,,,88,21.0,,21.0,,29.421677589416504,2310,,,,,1763260087.8570926
,,,102,22.0,,22.0,,30.41635012626648,3027,,,,,1763260088.8517652
,,,104,90.0,,90.0,,30.59999918937683,3117,,,,,1763260089.0354142
,,,133,57.0,,57.0,,32.792664527893066,4446,,,,,1763260091.2280796
634.0,0.12623822689056396,105.900390625,147,,0.0020353682339191437,,0.0,34.83568549156189,5376,-0.004063926637172699,-0.0060456786304712296,0.5760443210601807,0.00029685100889764726,1763260093.2711005
,,,149,419.0,,419.0,,35.14287710189819,5527,,,,,1763260093.5782921
626.0,0.08006864786148071,79.48379516601562,150,,0.00031210482120513916,,0.0,35.3613383769989,5632,-0.0010650232434272766,0.0008416231721639633,0.5135704278945923,0.0002966973988804966,1763260093.7967534
,,,155,191.0,,191.0,,36.074934244155884,5949,,,,,1763260094.5103493
,,,157,129.0,,129.0,,36.39492678642273,6078,,,,,1763260094.8303418
538.0,-0.01699972152709961,67.02982330322266,172,,1.766905188560486e-05,,0.0,39.43695330619812,7040,-0.0009264983236789703,6.179139018058777e-05,0.5442340970039368,0.0002958525437861681,1763260097.8723683
,,,195,168.0,,168.0,,43.31802439689636,8546,,,,,1763260101.7534394
