_step,global_step,charts/episodic_length,charts/learning_rate,_timestamp,losses/approx_kl,losses/policy_loss,losses/old_approx_kl,charts/SPS,losses/clipfrac,losses/value_loss,_runtime,losses/explained_variance,losses/entropy,charts/episodic_return
0,0,,,1763260083.5512414,,,,,,,25.1152503490448,,,
7,196,105.0,,1763260085.0008073,,,,,,,26.56481623649597,,,105.0
33,768,,0.0002996159892063588,1763260085.5901268,0.0014403853565454483,-0.017606385052204132,0.01683027297258377,977.0,0.0,36.17798614501953,27.154135704040527,0.009450435638427734,0.6684615015983582,
41,943,55.0,,1763260085.732204,,,,,,,27.296212911605835,,,55.0
47,1152,,0.00029938557418063283,1763260085.975814,0.002965642139315605,-0.029433518648147583,0.00883910246193409,983.0,0.001953125,74.49205780029297,27.539823055267334,-0.03991210460662842,0.6361390352249146,
64,1793,33.0,,1763260086.91112,,,,,,,28.475128889083862,,,33.0
74,2176,,0.00029877113411203027,1763260087.6084685,0.0007045101374387741,-0.011416696012020111,0.0065843574702739716,775.0,0.0,62.499271392822266,29.17247748374939,0.006543397903442383,0.5994614362716675,
77,2384,164.0,,1763260087.8139806,,,,,,,29.377989530563354,,,164.0
88,2816,,0.00029838710906915367,1763260088.692514,1.4839693903923035e-05,-0.0011364370584487915,-0.0016056150197982788,724.0,0.0,41.22615051269531,30.25652289390564,0.0364384651184082,0.6121798157691956,
102,3584,101.0,0.00029792627901770175,1763260089.966353,0.0011821715161204338,-0.0005554147064685822,-0.010157209821045399,694.0,0.0,71.23149108886719,31.530361890792847,0.030889570713043213,0.6238474249839783,101.0
104,3760,176.0,,1763260090.1816702,,,,,,,31.745679140090942,,,176.0
133,5760,,0.0002966205938719213,1763260094.2372909,0.0017656590789556503,0.0010915827006101608,0.009372567757964134,610.0,0.0,65.97566223144531,35.801299810409546,0.08559763431549072,0.6013954877853394,
147,6784,,0.00029600615380331874,1763260097.1912503,0.004670996218919754,-0.007928851991891861,0.003068528138101101,547.0,0.01953125,73.94187927246094,38.7552592754364,0.05737614631652832,0.6082372665405273,
149,6943,173.0,,1763260097.599835,,,,,,,39.163843870162964,,,173.0
150,7040,,0.0002958525437861681,1763260097.9597077,0.00046215858310461044,-0.011705588549375534,0.003913925029337406,535.0,0.0,72.36549377441406,39.52371668815613,0.11926788091659546,0.5795819163322449,
155,7534,378.0,,1763260099.112229,,,,,,,40.67623805999756,,,378.0
157,7680,,0.0002954685187432915,1763260099.7309816,0.0001717396080493927,0.004920829087495804,-0.0001448076218366623,514.0,0.0,91.65548706054688,41.29499053955078,-0.04550766944885254,0.5864133238792419,
172,8840,87.0,,1763260102.4070768,,,,,,,43.97108578681946,,,87.0
195,10496,,0.00029377880855463445,1763260106.2962148,0.00024275388568639755,0.0012572705745697021,-0.0011350428685545921,488.0,0.0,75.42314910888672,47.8602237701416,0.03979271650314331,0.5574725866317749,
203,11078,169.0,,1763260107.5436938,,,,,,,49.10770273208618,,,169.0
213,11713,67.0,,1763260109.083592,,,,,,,50.64760088920593,,,67.0
217,12032,,0.0002928571484517306,1763260109.8773386,0.007790415547788143,0.028444837778806686,-0.006598840467631817,479.0,0.041015625,60.50764846801758,51.44134759902954,0.02390885353088379,0.6001715064048767,
228,12705,53.0,,1763260111.4757457,,,,,,,53.03975462913513,,,53.0
233,13056,,0.00029224270838312805,1763260112.3469336,5.084369331598282e-05,0.0011038966476917267,0.001192326657474041,474.0,0.0,68.67266082763672,53.91094255447388,0.06911903619766235,0.5965917706489563,
251,14336,,0.00029147465829737484,1763260115.3583593,0.00011427048593759537,-0.0007959175854921341,-0.0037407884374260902,469.0,0.0,71.8134536743164,56.92236828804016,-0.0023308992385864258,0.5479143261909485,
259,14976,,0.00029109063325449824,1763260116.7693424,0.0008250391110777855,0.000209759920835495,0.000984244979918003,468.0,0.0,50.3544921875,58.333351373672485,0.6029727458953857,0.5868528485298157,
265,15450,294.0,,1763260117.6600442,,,,,,,59.224053144454956,,,294.0
273,16000,,0.0002904761931858957,1763260119.015158,4.175584763288498e-05,0.002928532660007477,0.0003980929031968117,467.0,0.0,42.959468841552734,60.579166889190674,0.32180672883987427,0.5926645398139954,
274,16128,,0.00029039938817732036,1763260119.252794,0.00021919235587120056,-0.00889497622847557,-0.003276091068983078,468.0,0.0,55.533756256103516,60.816802978515625,0.24876916408538818,0.6121384501457214,
292,17408,,0.00028963133809156716,1763260121.9967554,0.0002686120569705963,0.0006033182144165039,0.0007609892636537552,468.0,0.0,60.34821701049805,63.56076431274414,0.02610623836517334,0.5447656512260437,
321,19529,202.0,,1763260126.2209756,,,,,,,67.78498458862305,,,202.0
327,19924,176.0,,1763260127.0120015,,,,,,,68.57601046562195,,,176.0
330,20096,,0.00028801843291148543,1763260127.5126598,4.9699097871780396e-05,-0.0014848634600639343,0.00028615444898605347,470.0,0.0,27.157867431640625,69.07666873931885,0.5927295684814453,0.5519983172416687,
332,20248,197.0,,1763260127.775566,,,,,,,69.33957505226135,,,197.0
337,20608,,0.00028771121287718415,1763260128.5142705,0.0015205731615424156,0.028758607804775238,0.006534171290695667,471.0,0.0,39.74907684326172,70.07827949523926,0.451998770236969,0.5252583622932434,
340,20864,,0.0002875576028600335,1763260129.0045152,0.0023387372493743896,-0.007333926856517792,0.005163365975022316,472.0,0.0,35.67619323730469,70.56852412223816,0.6294578313827515,0.5647700428962708,
370,23168,,0.00028617511270567775,1763260133.8479385,0.000164165161550045,-0.002050742506980896,0.0026266826316714287,472.0,0.0,15.76425838470459,75.41194748878479,0.9058257341384888,0.5814337134361267,
375,23552,,0.0002859446976799518,1763260134.7386496,0.0001853201538324356,0.0007191970944404602,0.0030637383460998535,471.0,0.0,28.202919006347656,76.30265855789185,0.7161766290664673,0.5323114395141602,
396,24980,149.0,,1763260138.5895228,,,,,,,80.15353178977966,,,149.0
425,27392,,0.0002836405474226922,1763260143.8909168,0.0003319494426250458,0.01199810579419136,-0.004559893161058426,463.0,0.0,95.83909606933594,85.45492577552795,0.0001456141471862793,0.5417157411575317,
441,28791,105.0,,1763260146.5578063,,,,,,,88.12181520462036,,,105.0
450,29568,,0.00028233486227691174,1763260148.280941,0.0019019423052668571,-0.007944811135530472,-0.013773157261312008,465.0,0.0,21.300395965576172,89.84494996070862,-0.7212647199630737,0.5652889609336853,
471,31234,115.0,,1763260151.8926313,,,,,,,93.45664024353027,,,115.0
481,32029,209.0,,1763260153.6044176,,,,,,,95.16842651367188,,,209.0
490,32652,131.0,,1763260155.0253334,,,,,,,96.58934235572815,,,131.0
504,34176,,0.0002795698819682002,1763260158.0206833,0.00025754794478416443,-0.0014164075255393982,0.005047725513577461,466.0,0.0,12.346261978149414,99.58469223976135,0.6191449165344238,0.5758603811264038,
515,35200,,0.00027895544189959764,1763260160.0926292,3.6918558180332184e-05,-0.002200864255428314,0.0008295821025967598,467.0,0.0,14.353046417236328,101.65663814544678,0.22478044033050537,0.5714055299758911,
530,36480,,0.00027818739181384444,1763260162.7588556,2.5513581931591034e-05,0.0017731431871652603,8.063856512308121e-05,467.0,0.0,11.759804725646973,104.3228645324707,-0.016665339469909668,0.5780975222587585,
539,37248,,0.0002777265617623925,1763260164.3063245,0.00040620099753141403,0.002808772958815098,-0.0036047911271452904,468.0,0.0,67.4572525024414,105.87033343315125,0.006298184394836426,0.5629518628120422,
547,37886,206.0,,1763260165.5282593,,,,,,,107.09226822853088,,,206.0
555,38440,134.0,,1763260166.840176,,,,,,,108.4041850566864,,,134.0
559,38784,,0.0002768049016594887,1763260167.6418247,5.3023919463157654e-05,-0.0013117063790559769,0.0009364280849695206,468.0,0.0,83.64071655273438,109.20583367347717,-0.034810781478881836,0.5219902992248535,
568,39628,433.0,,1763260169.203515,,,,,,,110.76752400398254,,,433.0
595,41600,,0.0002751152205746621,1763260173.6930134,0.00021129567176103592,0.0016559883952140808,0.0015355786308646202,467.0,0.0,172.01370239257812,115.25702238082886,0.42049652338027954,0.4517752528190613,
612,43008,,0.00027427036548033357,1763260176.7189624,0.001894509419798851,-0.019930601119995117,0.006684446707367897,467.0,0.0,110.34249114990234,118.28297138214111,0.5676217079162598,0.522943377494812,
614,43194,211.0,,1763260177.0079267,,,,,,,118.57193565368652,,,211.0
630,44302,126.0,,1763260179.5905335,,,,,,,121.15454244613647,,,126.0
636,44800,,0.0002731950953602791,1763260180.6863863,0.00012232083827257156,0.0017867907881736755,-0.00016290787607431412,467.0,0.0,2.5612382888793945,122.25039529800415,0.949332058429718,0.516090452671051,
640,45127,274.0,,1763260181.289066,,,,,,,122.85307502746582,,,274.0
650,45824,,0.0002725806552916765,1763260182.983982,3.50363552570343e-05,-0.002528417855501175,0.002696402370929718,466.0,0.0,52.28602981567383,124.54799103736877,0.7712368965148926,0.4989224970340729,
664,46787,186.0,,1763260185.0576062,,,,,,,126.6216151714325,,,186.0
684,48128,,0.00027119816513732076,1763260188.2634342,0.002036508172750473,-0.03145867586135864,0.009762968868017197,465.0,0.001953125,16.20072364807129,129.82744312286377,0.913036584854126,0.505083441734314,
689,48512,,0.0002709677501115948,1763260189.1279635,0.0037484345957636833,0.013208292424678802,-0.007865319959819317,465.0,0.00390625,30.37310028076172,130.69197249412537,-0.14380097389221191,0.49482253193855286,
698,49280,,0.0002705069200601429,1763260190.815886,2.4328939616680145e-05,-0.0018747597932815552,-0.001095305196940899,464.0,0.0,4.160279273986816,132.37989497184753,0.16724175214767456,0.5386347770690918,
702,49664,,0.0002702765050344169,1763260191.6332543,0.0007762452587485313,-0.016704954206943512,-0.004841466434299946,464.0,0.0,116.5512924194336,133.1972632408142,-0.17182695865631104,0.5538116693496704,
707,50176,,0.00026996928500011563,1763260192.6876314,0.0002441471442580223,0.001381710171699524,0.006609794683754444,465.0,0.0,284.7406311035156,134.25164031982422,-0.0821765661239624,0.5171331167221069,
729,52352,,0.0002686635998543352,1763260197.2681973,1.6782432794570923e-06,-0.0001443028450012207,0.000380542129278183,465.0,0.0,36.45505905151367,138.83220624923706,0.14192134141921997,0.5510539412498474,
757,54784,,0.0002672043046914041,1763260202.601769,0.00018115900456905365,-0.008049830794334412,0.0017810873687267303,465.0,0.0,219.18231201171875,144.16577792167664,0.03918945789337158,0.540876030921936,
762,55296,,0.0002668970846571028,1763260203.6889853,7.35865905880928e-05,0.00042475759983062744,0.0007907962426543236,465.0,0.0,1.1962616443634033,145.25299429893494,0.40003466606140137,0.6209660768508911,
767,55808,,0.00026658986462280154,1763260204.7337668,0.0035023121163249016,0.01766379177570343,0.013195750303566456,465.0,0.00390625,1.3358287811279297,146.29777574539185,0.9156332612037659,0.551246702671051,
775,56509,500.0,,1763260206.132225,,,,,,,147.69623398780823,,,500.0
788,57856,,0.0002653609844855964,1763260208.9355283,0.0001268060877919197,-0.0021977555006742477,0.002934354357421398,466.0,0.0,0.9875492453575134,150.49953722953796,-0.9572963714599609,0.5657383799552917,
797,58624,,0.0002649001544341445,1763260210.5817094,1.7520040273666382e-05,-0.0007998868823051453,-0.00011436454951763153,466.0,0.0,1.0024073123931885,152.14571833610535,-1.7255940437316895,0.5711352825164795,
806,59520,,0.00026436251937411726,1763260212.417461,0.00048377644270658493,-0.0003286004066467285,-0.0014825304970145226,466.0,0.0,264.0638122558594,153.98146986961365,-0.0038270950317382812,0.5741571187973022,
815,60490,220.0,,1763260214.2638588,,,,,,,155.82786774635315,,,220.0
863,65280,,0.00026090629398822784,1763260223.9403057,0.00021363142877817154,-0.0029670298099517822,0.002348802052438259,469.0,0.0,0.040906332433223724,165.504314661026,0.08827042579650879,0.5665286779403687,
872,66176,,0.0002603686589282006,1763260225.7703803,0.0014686845242977142,-0.019767675548791885,-0.023294683545827866,469.0,0.0,0.01538161002099514,167.33438920974731,-2.9457216262817383,0.5746039152145386,
876,66560,,0.00026013824390247464,1763260226.565792,0.0020760679617524147,-0.005687601864337921,0.005001147277653217,469.0,0.001953125,0.0343196876347065,168.12980103492737,0.008428752422332764,0.5413476228713989,
922,71296,,0.0002572964585851878,1763260236.0108292,0.006428114138543606,-0.017885170876979828,0.007499239407479763,471.0,0.015625,0.00010792831744765863,177.5748381614685,-0.2587912082672119,0.4755970239639282,
930,72064,,0.00025683562853373587,1763260237.5438924,9.822379797697067e-05,0.003216048702597618,0.0011379392817616463,471.0,0.0,0.004610948730260134,179.10790133476257,0.4072374701499939,0.5141789317131042,
938,72877,500.0,,1763260239.1381812,,,,,,,180.70219016075134,,,500.0
941,73216,,0.000256144383456558,1763260239.7934103,0.008817012421786785,-0.00468228105455637,-0.014932560734450817,472.0,0.015625,0.0006775070796720684,181.35741925239563,-0.8508971929550171,0.5208461284637451,
942,73344,,0.00025606757844798267,1763260240.032636,0.001883937045931816,0.007791657000780106,0.011515893042087555,472.0,0.001953125,0.00016613925981801003,181.59664487838745,0.640133261680603,0.43358099460601807,
948,73877,500.0,,1763260241.1126285,,,,,,,182.67663741111755,,,500.0
974,76544,,0.00025414745323359966,1763260246.4552593,7.091183215379715e-05,0.003621414303779602,0.005359693430364132,473.0,0.0,0.003961354959756136,188.01926827430725,0.4572727680206299,0.4774087369441986,
980,77184,,0.00025376342819072306,1763260247.7238545,0.002322607673704624,-0.006932709366083145,-0.00595428328961134,473.0,0.00390625,0.00098768575116992,189.2878634929657,-1.0025005340576172,0.5067864656448364,
985,77696,,0.0002534562081564218,1763260248.772944,0.0006306450814008713,0.006048277020454407,0.006615238264203072,473.0,0.0,0.0007791643729433417,190.3369529247284,-0.4981815814971924,0.5035175085067749,
995,78720,,0.0002528417680878192,1763260250.8674603,0.0001739179715514183,-0.0006057843565940857,-0.004138845019042492,474.0,0.0,0.0007910641143098474,192.43146920204163,-0.34326493740081787,0.5494436025619507,
997,78877,500.0,,1763260251.178066,,,,,,,192.74207496643066,,,500.0
1015,80768,,0.00025161291705444455,1763260255.0599427,0.0019356310367584229,-0.0003240741789340973,-0.008733032271265984,474.0,0.00390625,0.00018317418289370835,196.6239516735077,0.2381386160850525,0.534139096736908,
1020,81280,,0.00025130569702014327,1763260256.0911868,0.002167819067835808,-0.008180707693099976,-0.01128620095551014,474.0,0.00390625,0.00024166428192984313,197.6551957130432,-1.0713019371032715,0.5654375553131104,
1031,82377,500.0,,1763260258.2031784,,,,,,,199.76718735694885,,,500.0
1050,84352,,0.0002494623768143356,1763260261.274288,0.0011000176891684532,-0.007629849016666412,0.002733352594077587,477.0,0.0,0.0002153041132260114,202.8382968902588,-0.3859595060348511,0.531130313873291,
1053,84608,,0.00024930876679718494,1763260261.5665808,0.006803353317081928,-0.020194347947835922,0.029707694426178932,478.0,0.0078125,0.006597940810024738,203.13058972358704,-0.3448723554611206,0.44225403666496277,
1058,85120,,0.00024900154676288366,1763260262.2297592,0.0003968961536884308,0.0022077299654483795,0.002993190661072731,479.0,0.0,0.003915570676326752,203.79376816749573,0.12248283624649048,0.5263282060623169,
