losses/clipfrac,charts/episodic_return,_timestamp,charts/learning_rate,losses/old_approx_kl,_runtime,global_step,_step,losses/value_loss,losses/explained_variance,charts/SPS,losses/entropy,losses/approx_kl,losses/policy_loss,charts/episodic_length
,,1763260083.6140373,,,25.133482217788696,0,0,,,,,,,
,11.0,1763260084.889895,,,26.409339904785156,123,7,,,,,,,11.0
,57.0,1763260085.5921955,,,27.111640453338623,789,33,,,,,,,57.0
0.0,,1763260085.8214781,0.00029946237918920815,-0.00675639882683754,27.340923070907593,1024,41,60.041748046875,0.036845386028289795,1006.0,0.6752138137817383,0.00045292824506759644,-0.0046209730207920074,
0.0,,1763260085.9721828,0.00029938557418063283,0.011508448980748653,27.49162769317627,1152,47,43.12830352783203,0.016972661018371582,986.0,0.6644813418388367,0.0014760354533791542,-0.02479446679353714,
0.0,,1763260086.7625945,0.00029907835414633155,-0.0013039205223321915,28.282039403915405,1664,64,67.05680847167969,0.011192083358764648,849.0,0.6222030520439148,0.0003515481948852539,-0.006874429062008858,
,112.0,1763260087.4329343,,,28.95237922668457,2106,74,,,,,,,112.0
,40.0,1763260087.629456,,,29.148900985717773,2204,77,,,,,,,40.0
,61.0,1763260088.4624078,,,29.981852769851685,2693,88,,,,,,,61.0
,109.0,1763260089.6088023,,,31.128247261047363,3379,102,,,,,,,109.0
,157.0,1763260089.8025396,,,31.32198452949524,3536,104,,,,,,,157.0
,45.0,1763260092.4430656,,,33.96251058578491,4847,133,,,,,,,45.0
0.0,,1763260094.3702385,0.00029677420388907194,0.0028381207957863808,35.88968348503113,5504,147,45.47193908691406,-0.08313381671905518,575.0,0.5802868008613586,6.150174885988235e-05,0.0003119446337223053,
,83.0,1763260094.4792373,,,35.998682260513306,5592,149,,,,,,,83.0
0.0,,1763260094.7597768,0.0002966973988804966,-0.00010651722550392151,36.27922177314758,5632,150,70.71187591552734,0.3333304524421692,565.0,0.5550629496574402,6.103888154029846e-06,0.00019155442714691162,
,55.0,1763260095.2631543,,,36.782599210739136,5856,155,,,,,,,55.0
,54.0,1763260095.647539,,,37.16698384284973,5910,157,,,,,,,54.0
,153.0,1763260098.3940237,,,39.91346859931946,6728,172,,,,,,,153.0
,98.0,1763260101.85186,,,43.371304988861084,7920,195,,,,,,,98.0
0.0,,1763260103.025123,0.0002950844937004149,0.0014301938936114311,44.544567823410034,8320,203,34.112186431884766,0.09369337558746338,456.0,0.53670334815979,0.0003467211499810219,-0.0019101537764072418,
0.0,,1763260104.3357797,0.0002947772736661136,-0.0007335375994443893,45.855224609375,8832,213,52.93730926513672,0.921042799949646,452.0,0.5754250288009644,0.000580865889787674,-0.006918764673173428,
0.0,,1763260104.9546902,0.000294623663648963,0.007937142625451088,46.47413516044617,9088,217,62.00121307373047,0.9259922504425049,451.0,0.5831509828567505,0.0022823624312877655,-0.009802214801311493,
,98.0,1763260106.53091,,,48.050354957580566,9785,228,,,,,,,98.0
0.0,,1763260107.20934,0.00029408602858893573,0.004842916503548622,48.728785037994385,9984,233,46.058387756347656,-0.019032716751098633,445.0,0.5860992670059204,0.00017912685871124268,-0.010510750114917755,
,161.0,1763260109.933842,,,51.45328688621521,11259,251,,,,,,,161.0
