losses/value_loss,charts/learning_rate,charts/episodic_return,losses/policy_loss,charts/SPS,losses/old_approx_kl,_runtime,losses/entropy,losses/clipfrac,losses/approx_kl,_step,_timestamp,charts/episodic_length,global_step,losses/explained_variance
,,,,,,25.595569372177124,,,,0,1763260084.0668993,,0,
,,21.0,,,,26.543031215667725,,,,7,1763260085.0143611,21.0,138,
,,17.0,,,,26.98237419128418,,,,33,1763260085.453704,17.0,626,
,,57.0,,,,27.198801517486572,,,,41,1763260085.6701314,57.0,813,
,,13.0,,,,27.332940101623535,,,,47,1763260085.80427,13.0,980,
44.92969512939453,0.0002992319641634822,,-0.005553264170885086,945.0,-0.0009313272312283516,27.900469303131104,0.6623854041099548,0.0,0.0002580201253294945,64,1763260086.3717992,,1408,-0.0015751123428344727
,,40.0,,,,28.482958555221558,,,,74,1763260086.9542885,40.0,1727,
,,24.0,,,,28.695673942565918,,,,77,1763260087.1670039,24.0,1796,
,,38.0,,,,29.289418697357178,,,,88,1763260087.7607486,38.0,2157,
49.254329681396484,0.0002985407190863043,,0.003266766667366028,666.0,0.002190973609685898,30.251811981201172,0.5833015441894531,0.0,0.0010152440518140793,102,1763260088.723142,,2560,-0.006859779357910156
,,66.0,,,,30.32635521888733,,,,104,1763260088.7976851,66.0,2635,
,,65.0,,,,32.62821984291077,,,,133,1763260091.0995498,65.0,3955,
,,84.0,,,,34.11283040046692,,,,147,1763260092.5841603,84.0,4581,
,,54.0,,,,34.40678858757019,,,,149,1763260092.8781185,54.0,4635,
88.97126770019531,0.00029723503394052386,,-0.0007385239005088806,575.0,0.0005552573129534721,34.643697023391724,0.6336650848388672,0.0,1.0681338608264923e-05,150,1763260093.115027,,4736,0.04998302459716797
74.14885711669922,0.0002970814239233732,38.0,-0.0023764222860336304,558.0,-0.0018525440245866776,35.342190742492676,0.6351185441017151,0.0,4.799105226993561e-05,155,1763260093.8135207,38.0,4992,-0.015492916107177734
,,134.0,,,,35.664233684539795,,,,157,1763260094.1355636,134.0,5126,
,,98.0,,,,38.31692624092102,,,,172,1763260096.7882562,98.0,6040,
,,55.0,,,,42.215635538101196,,,,195,1763260100.6869655,55.0,7198,
,,118.0,,,,43.446271896362305,,,,203,1763260101.9176018,118.0,7712,
,,148.0,,,,44.90941500663757,,,,213,1763260103.380745,148.0,8405,
55.59478759765625,0.00029493088368326426,,-0.002070993185043335,450.0,0.00036209728568792343,45.45862293243408,0.6161030530929565,0.0,1.6621313989162445e-05,217,1763260103.9299529,,8576,0.01927340030670166
