_step,losses/explained_variance,charts/episodic_length,_timestamp,losses/clipfrac,_runtime,losses/approx_kl,losses/policy_loss,charts/SPS,charts/learning_rate,losses/old_approx_kl,losses/entropy,charts/episodic_return,global_step,losses/value_loss
0,,,1763260111.3609598,,26.0066077709198,,,,,,,,0,
7,,17.0,1763260113.0120525,,27.657700538635254,,,,,,,17.0,148,
33,,17.0,1763260113.5543919,,28.200039863586426,,,,,,,17.0,714,
41,-0.05540895462036133,,1763260113.7930937,0.0,28.43874168395996,0.0003989683464169502,-0.012867141515016556,907.0,0.00029953918419778347,-0.0008512949571013451,0.6770195364952087,,896,67.45026397705078
47,,81.0,1763260113.9398541,,28.58550214767456,,,,,,,81.0,1090,
64,-0.0023626089096069336,,1763260114.5009527,0.0,29.1466007232666,0.0013723354786634445,-0.003945164382457733,981.0,0.00029907835414633155,-0.0007005240768194199,0.6426510214805603,,1664,60.47524642944336
74,,33.0,1763260114.8118472,,29.45749521255493,,,,,,,33.0,2034,
77,,167.0,1763260115.0096471,,29.6552951335907,,,,,,,167.0,2201,
88,0.11519414186477661,,1763260115.4641168,0.0,30.10976481437683,0.0014875475317239761,-0.02561815083026886,1010.0,0.000298463914077729,0.0012327954173088074,0.6429962515830994,,2688,101.5398941040039
102,-0.025144100189208984,,1763260116.0638723,0.0,30.70952033996582,9.831413626670837e-05,-0.0011901408433914185,1021.0,0.0002980798890348524,0.0034118611365556717,0.6111586093902588,,3328,83.0442123413086
104,0.0781165361404419,,1763260116.1797678,0.0,30.82541584968567,6.26780092716217e-06,0.0004705190658569336,1024.0,0.00029800308402627707,-4.193931818008423e-05,0.6018439531326294,,3456,88.59970092773438
133,,62.0,1763260117.7186978,,32.36434578895569,,,,,,,62.0,5232,
147,,119.0,1763260118.5092006,,33.15484857559204,,,,,,,119.0,6037,
149,0.06071430444717407,,1763260118.6153746,0.0,33.26102256774902,1.3597309589385986e-05,-0.0018384754657745361,1057.0,0.00029639017884619534,0.0006695743650197983,0.5792098045349121,,6144,53.10392379760742
150,,145.0,1763260118.6518767,,33.29752469062805,,,,,,,145.0,6248,
155,,106.0,1763260118.99529,,33.64093804359436,,,,,,,106.0,6578,
157,,94.0,1763260119.09737,,33.74301791191101,,,,,,,94.0,6672,
172,0.1831158995628357,,1763260120.0189369,0.0,34.66458487510681,0.0003093080595135689,-0.006633788347244263,1064.0,0.0002954685187432915,0.0037806639447808266,0.5676710605621338,,7680,60.560752868652344
195,0.04979175329208374,,1763260121.7828405,0.0,36.4284884929657,2.6273541152477264e-05,0.0008259080350399017,1040.0,0.00029447005363181233,0.0004813754931092262,0.5685715079307556,,9344,63.56736373901367
203,,159.0,1763260122.4325309,,37.07817888259888,,,,,,,159.0,9901,
213,,36.0,1763260123.2078362,,37.85348415374756,,,,,,,36.0,10396,
217,,216.0,1763260123.5625246,,38.20817255973816,,,,,,,216.0,10686,
228,,80.0,1763260124.4456053,,39.09125328063965,,,,,,,80.0,11346,
233,0.2850407361984253,,1763260124.8492305,0.0,39.49487853050232,2.7664005756378174e-05,0.0006935112178325653,967.0,0.00029308756347745657,-0.0015156008303165436,0.6037213206291199,,11648,68.07757568359375
