losses/policy_loss,losses/value_loss,charts/episodic_return,charts/SPS,charts/learning_rate,losses/explained_variance,global_step,losses/clipfrac,losses/entropy,losses/old_approx_kl,_timestamp,charts/episodic_length,losses/approx_kl,_step,_runtime
,,,,,,0,,,,1763260110.8302786,,,0,25.645029544830322
-0.002772156149148941,42.12523651123047,,654.0,0.0003000000142492354,0.009722352027893066,128,0.0,0.69276362657547,-0.005136163905262947,1763260113.0008535,,0.0003715530037879944,7,27.81560444831848
,,25.0,,,,602,,,,1763260113.426494,25.0,,33,28.241244792938232
-0.0027961861342191696,50.08148193359375,,927.0,0.0002996159892063588,0.005342960357666016,768,0.0,0.6833513975143433,-0.003197465091943741,1763260113.6330953,,0.00014119036495685577,41,28.447846174240112
,,22.0,,,,947,,,,1763260113.7728796,22.0,,47,28.5876305103302
,,35.0,,,,1383,,,,1763260114.187241,35.0,,64,29.001991987228394
,,59.0,,,,1812,,,,1763260114.6198034,59.0,,74,29.4345543384552
,,74.0,,,,1927,,,,1763260114.7313032,74.0,,77,29.546054124832153
,,45.0,,,,2289,,,,1763260115.0093224,45.0,,88,29.824073314666748
,,23.0,,,,2707,,,,1763260115.468732,23.0,,102,30.283483028411865
,,25.0,,,,2809,,,,1763260115.5064716,25.0,,104,30.32122254371643
,,263.0,,,,4259,,,,1763260116.87238,263.0,,133,31.68713092803955
-9.797513484954834e-06,99.38758850097656,,1048.0,0.0002970814239233732,0.08176714181900024,4992,0.0,0.6293383836746216,-0.006135354749858379,1763260117.566211,,0.00029667560011148453,147,32.380961894989014
-0.006707493215799332,79.36503601074219,37.0,1050.0,0.0002970046189147979,-0.02457606792449951,5120,0.0,0.6118563413619995,0.0020801369100809097,1763260117.6805048,37.0,6.183609366416931e-05,149,32.49525570869446
-0.007005713880062103,116.40825653076172,,1052.0,0.0002969278139062226,0.2823023200035095,5248,0.0,0.5927997827529907,-0.004140909761190414,1763260117.7900314,,0.00034689903259277344,150,32.60478234291077
,,132.0,,,,5602,,,,1763260118.0500581,132.0,,155,32.86480903625488
,,91.0,,,,5693,,,,1763260118.1519334,91.0,,157,32.966684341430664
,,109.0,,,,6765,,,,1763260119.0971477,109.0,,172,33.911898612976074
,,168.0,,,,8291,,,,1763260120.4828007,168.0,,195,35.29755163192749
,,167.0,,,,8778,,,,1763260121.1218457,167.0,,203,35.936596632003784
,,121.0,,,,9406,,,,1763260121.9122262,121.0,,213,36.72697710990906
,,95.0,,,,9613,,,,1763260122.2466414,95.0,,217,37.061392307281494
-0.0005914457142353058,63.65220260620117,,990.0,0.00029385561356320977,0.0837138295173645,10368,0.0,0.6075509786605835,0.0009899167343974113,1763260123.2692778,,2.6526860892772675e-05,228,38.08402872085571
,,102.0,,,,10672,,,,1763260123.638255,102.0,,233,38.45300579071045
,,129.0,,,,11874,,,,1763260125.1061997,129.0,,251,39.92095065116882
0.009929537773132324,79.8712158203125,,956.0,0.00029262673342600465,0.07158976793289185,12416,0.0,0.5263614654541016,0.010099666193127632,1763260125.7909875,,0.0019561443477869034,259,40.605738401412964
0.042273908853530884,77.00858306884766,,957.0,0.00029231951339170337,0.31942278146743774,12928,0.013671875,0.5622986555099487,-0.012847306206822395,1763260126.3084896,,0.007015416398644447,265,41.12324047088623
-0.0015260428190231323,74.14852905273438,,960.0,0.00029193548834882677,0.12948107719421387,13568,0.0,0.5632315278053284,0.0005418667569756508,1763260126.9239655,,8.064322173595428e-06,273,41.73871636390686
,,234.0,,,,13672,,,,1763260126.9578738,234.0,,274,41.77262473106384
-0.0013011656701564789,65.38610076904297,,975.0,0.0002909370232373476,0.04764258861541748,15232,0.0,0.5777487754821777,0.0016979547217488289,1763260128.4135919,,5.13540580868721e-05,292,43.22834277153015
,,170.0,,,,17441,,,,1763260130.4194198,170.0,,321,45.23417067527771
-0.006464481353759766,43.2579231262207,,993.0,0.00028924731304869056,0.8312292098999023,18048,0.0,0.6155423521995544,0.0006973082199692726,1763260130.9723017,,0.0004974855110049248,327,45.787052631378174
,,115.0,,,,18210,,,,1763260131.135742,115.0,,330,45.95049285888672
-0.0002168603241443634,109.11618041992188,,993.0,0.0002890937030315399,0.002966463565826416,18304,0.0,0.5731369256973267,0.0015647048130631447,1763260131.2382107,,0.00011676643043756485,332,46.052961587905884
-0.004371941089630127,75.87232971191406,,995.0,0.00028886328800581396,-0.0043146610260009766,18688,0.0,0.5974805355072021,-0.0008976338431239128,1763260131.5757282,,0.00015956442803144455,337,46.39047908782959
0.007655628025531769,93.85077667236328,,997.0,0.0002887096779886633,-0.0035341978073120117,18944,0.0,0.601999819278717,0.00034250039607286453,1763260131.8001502,,0.0005232049152255058,340,46.614901065826416
-0.001764451153576374,89.50585174560547,,1007.0,0.0002871735778171569,-0.005721330642700195,21504,0.01171875,0.5446327924728394,0.02354050800204277,1763260134.140699,,0.004384396597743034,370,48.95544981956482
,,203.0,,,,21838,,,,1763260134.4222095,203.0,,375,49.23696041107178
0.0011309385299682617,35.28179931640625,,1015.0,0.00028579108766280115,0.06335902214050293,23808,0.0,0.6127729415893555,-0.005200523883104324,1763260136.240862,,0.0004130452871322632,396,51.05561280250549
-0.0023830272257328033,32.41728210449219,,1022.0,0.0002841781824827194,-0.0140303373336792,26496,0.0,0.5743076205253601,0.0019632838666439056,1763260138.7295723,,0.00016311556100845337,425,53.544323205947876
,,321.0,,,,27827,,,,1763260139.9071748,321.0,,441,54.72192573547363
-0.010942531749606133,31.543991088867188,,1027.0,0.000282872497336939,-0.15171003341674805,28672,0.0,0.5797653198242188,-0.0013821572065353394,1763260140.707315,,0.0012767240405082703,450,55.52206587791443
0.002142053097486496,27.326257705688477,,1032.0,0.0002817972272168845,0.05833810567855835,30464,0.0,0.5713043808937073,0.0016583772376179695,1763260142.3168821,,2.9119662940502167e-05,471,57.131633043289185
-0.0018406864255666733,161.6595916748047,,1033.0,0.00028125959215685725,-0.0004918575286865234,31360,0.0,0.5815831422805786,-0.002785332500934601,1763260143.1421907,,0.0001951027661561966,481,57.95694160461426
8.390098810195923e-05,25.40918731689453,,1034.0,0.00028079876210540533,-0.024084806442260742,32128,0.0,0.5313126444816589,0.004270722158253193,1763260143.8543246,,0.00018981192260980606,490,58.66907548904419
-0.003230661153793335,22.590368270874023,,1037.0,0.0002799539070110768,-0.05499279499053955,33536,0.0,0.5749883651733398,4.1697174310684204e-05,1763260145.1162114,,9.253621101379395e-05,504,59.930962324142456
-0.00030376389622688293,21.43185806274414,,1039.0,0.00027933946694247425,0.002469360828399658,34560,0.0,0.5195262432098389,-0.004277321510016918,1763260146.050964,,2.9466114938259125e-05,515,60.86571502685547
0.00035494938492774963,17.823469161987305,,1041.0,0.0002784178068395704,-0.0038205385208129883,36096,0.0,0.5335767865180969,0.0008107749745249748,1763260147.4511943,,1.5604309737682343e-05,530,62.26594519615173
0.0038451552391052246,15.792713165283203,,1042.0,0.00027788017177954316,0.10342001914978027,36992,0.0,0.5438951849937439,0.002088022418320179,1763260148.3005366,,0.0003047129139304161,539,63.11528754234314
,,500.0,,,,37753,,,,1763260148.9584544,500.0,,547,63.773205280303955
,,168.0,,,,38421,,,,1763260149.609216,168.0,,555,64.42396688461304
-0.009242206811904907,13.409902572631836,,1043.0,0.00027672809665091336,0.12387007474899292,38912,0.013671875,0.5334599018096924,-0.006208411417901516,1763260150.0850787,,0.002217271365225315,559,64.89982962608337
,,500.0,,,,39703,,,,1763260150.7646635,500.0,,568,65.57941436767578
-0.00035052280873060226,11.931331634521484,,1049.0,0.00027465439052321017,-0.001805424690246582,42368,0.0,0.5484892129898071,-0.0009322026744484901,1763260153.1916406,,4.437752068042755e-06,595,68.00639152526855
0.009757045656442642,10.757883071899414,,1052.0,0.0002735791204031557,-0.030071258544921875,44160,0.0,0.46890988945961,0.0023356471210718155,1763260154.7698174,,0.0005586221814155579,612,69.58456826210022
0.004032127559185028,171.00503540039062,,1052.0,0.00027350231539458036,-3.1828880310058594e-05,44288,0.0,0.5209158658981323,-0.0016462178900837898,1763260154.8831158,,0.0002667168155312538,614,69.69786667823792
-0.00046037230640649796,11.62850570678711,,1054.0,0.0002725038502831012,-1.7718396186828613,45952,0.0,0.5167867541313171,0.00014494452625513077,1763260156.3759992,,1.671724021434784e-06,630,71.19075012207031
0.00010523013770580292,11.208934783935547,,1055.0,0.0002721198252402246,-2.9655215740203857,46592,0.0,0.48553135991096497,0.00016861967742443085,1763260156.933613,,3.3583492040634155e-06,636,71.7483639717102
-0.004408493638038635,7.033296585083008,,1055.0,0.00027188941021449864,0.05559873580932617,46976,0.0,0.48772192001342773,-0.002354082651436329,1763260157.2921467,,0.000563950277864933,640,72.10689759254456
0.004724256694316864,5.183182239532471,,1057.0,0.0002712749701458961,0.011905074119567871,48000,0.0,0.4757179617881775,-0.0019398266449570656,1763260158.2079468,,8.030515164136887e-05,650,73.02269768714905
0.0014297962188720703,5.653886318206787,,1059.0,0.00027043011505156755,-0.22647857666015625,49408,0.0,0.4938768744468689,0.00040917377918958664,1763260159.460173,,1.1957250535488129e-05,664,74.27492380142212
,,500.0,,,,51370,,,,1763260161.1681201,500.0,,684,75.98287105560303
0.0032763928174972534,3.742734909057617,,1059.0,0.00026897081988863647,-0.0072345733642578125,51840,0.0,0.4563131630420685,-0.001237526535987854,1763260161.7165701,,0.0002761036157608032,689,76.53132104873657
,,192.0,,,,52725,,,,1763260162.5158434,192.0,,698,77.33059430122375
-0.026671413332223892,2.6971192359924316,,1057.0,0.00026820276980288327,0.49266302585601807,53120,0.005859375,0.49428629875183105,0.027013573795557022,1763260163.0193684,,0.004702956415712833,702,77.83411931991577
,,394.0,,,,53534,,,,1763260163.4429514,394.0,,707,78.25770235061646
0.0006609708070755005,2.864697217941284,,1056.0,0.0002668202796485275,-0.5621968507766724,55424,0.0,0.47630712389945984,0.0029425648972392082,1763260165.2810242,,9.523611515760422e-05,729,80.09577512741089
0.001920301467180252,83.58135986328125,,1057.0,0.00026543778949417174,0.8386901617050171,57728,0.0,0.5028045177459717,-0.0010794596746563911,1763260167.3854945,,6.853882223367691e-05,757,82.20024538040161
,,84.0,,,,58095,,,,1763260167.650443,84.0,,762,82.4651939868927
,,199.0,,,,58422,,,,1763260168.0157897,199.0,,767,82.83054065704346
,,252.0,,,,59029,,,,1763260168.5664144,252.0,,775,83.38116526603699
-0.013923689723014832,4.302278995513916,,1059.0,0.00026390168932266533,0.12117493152618408,60288,0.0,0.48903173208236694,-0.005515546537935734,1763260169.722823,,0.0007539419457316399,788,84.53757381439209
0.006919696927070618,2.453516960144043,,1058.0,0.00026382488431409,-3.770231246948242,60416,0.0,0.4483709931373596,0.0064501287415623665,1763260169.8598983,,0.0003502229228615761,789,84.67464923858643
-0.0005577392876148224,0.41769877076148987,,1059.0,0.0002633640542626381,0.905295729637146,61184,0.0,0.5095957517623901,0.0005393149331212044,1763260170.5363774,,3.1338073313236237e-05,797,85.35112833976746
-0.0011202115565538406,0.8798220157623291,,1060.0,0.00026282641920261085,0.07757461071014404,62080,0.0,0.5150036215782166,0.0010003307834267616,1763260171.360247,,6.78645446896553e-05,806,86.17499780654907
0.0029303133487701416,167.90110778808594,,1060.0,0.0002622887841425836,0.2486799955368042,62976,0.0,0.4805290699005127,-0.0013529201969504356,1763260172.17702,,7.328484207391739e-05,815,86.99177098274231
0.00322096049785614,339.68890380859375,,1064.0,0.00025937019381672144,0.0071686506271362305,67840,0.0,0.4510082006454468,-0.0009574759751558304,1763260176.5623558,,8.219480514526367e-05,863,91.37710666656494
-0.002566307783126831,453.0626220703125,,1064.0,0.0002589093637652695,0.006416916847229004,68608,0.0,0.5064277648925781,-0.002175544388592243,1763260177.2773478,,6.7087821662426e-05,872,92.09209871292114
-8.654594421386719e-05,0.2778109014034271,,1064.0,0.00025867894873954356,-2.9026739597320557,68992,0.0,0.5129683017730713,-0.0015665441751480103,1763260177.6156242,,3.577210009098053e-05,876,92.43037509918213
0.02893492951989174,183.1341552734375,,1066.0,0.00025637479848228395,0.07935672998428345,72832,0.0390625,0.3260038495063782,0.004040902480483055,1763260181.074741,,0.00835185032337904,916,95.88949179649353
-0.0014762282371520996,176.81570434570312,,1066.0,0.00025606757844798267,0.12405091524124146,73344,0.0,0.44050607085227966,-0.004936421290040016,1763260181.5625992,,0.00011026859283447266,922,96.3773500919342
,,290.0,,,,73999,,,,1763260182.1306481,290.0,,930,96.94539904594421
-0.0038516614586114883,0.5051604509353638,,1067.0,0.00025522272335365415,-0.6636397838592529,74752,0.001953125,0.4846159815788269,-0.008956221863627434,1763260182.835595,,0.00371564831584692,938,97.65034580230713
0.004306968301534653,246.42247009277344,,1067.0,0.0002550691133365035,0.3196128010749817,75008,0.0,0.4399716854095459,0.012845633551478386,1763260183.0603206,,0.00041925162076950073,941,97.87507152557373
-0.002206362783908844,1.5319125652313232,,1067.0,0.0002549923083279282,0.01712501049041748,75136,0.0,0.41563859581947327,0.0090163080021739,1763260183.1696339,,0.0004536053165793419,942,97.98438477516174
-0.003503713756799698,0.34042781591415405,,1067.0,0.0002546850882936269,-0.619133710861206,75648,0.0,0.41155144572257996,-0.0027263788506388664,1763260183.6562576,,0.00020512286573648453,948,98.47100853919983
-0.0009808056056499481,0.0564790815114975,,1068.0,0.00025330259813927114,0.4706116318702698,77952,0.0,0.42926478385925293,-0.001461009494960308,1763260185.7508814,,7.025245577096939e-05,974,100.56563234329224
,,432.0,,,,78538,,,,1763260186.2227223,432.0,,980,101.03747320175171
0.022751033306121826,310.0791320800781,,1068.0,0.0002527649630792439,0.30788713693618774,78848,0.00390625,0.49296805262565613,-0.010902399197220802,1763260186.5769408,,0.0015829699113965034,985,101.3916916847229
-0.01844935491681099,0.3709811270236969,,1069.0,0.00025222732801921666,0.6011816263198853,79744,0.0,0.5016176104545593,0.0015985742211341858,1763260187.3645175,,0.001140756532549858,995,102.17926836013794
,,475.0,,,,79876,,,,1763260187.4790294,475.0,,997,102.29378032684326
0.00354820117354393,2.2388219833374023,,1070.0,0.0002510752819944173,0.0016176700592041016,81664,0.0,0.4592735767364502,0.001435568556189537,1763260189.1171856,,0.0005596354603767395,1015,103.93193650245667
-0.0001292005181312561,0.8850827813148499,,1070.0,0.00025076806196011603,0.26798999309539795,82176,0.0,0.392346054315567,-0.001552509143948555,1763260189.5618348,,9.589642286300659e-05,1020,104.3765857219696
0.0030057206749916077,0.14952436089515686,,1071.0,0.00025007681688293815,0.5944843888282776,83328,0.0,0.45194774866104126,0.003057328052818775,1763260190.596066,,3.9064325392246246e-05,1031,105.41081690788269
-0.0021144598722457886,0.046745363622903824,,1071.0,0.00024892474175430834,-2.3308942317962646,85248,0.0,0.4389287531375885,0.007376951165497303,1763260192.3401651,,0.00020174402743577957,1050,107.15491604804993
-0.00035149604082107544,0.02995854616165161,,1072.0,0.0002487711317371577,0.7891801595687866,85504,0.0,0.4051297903060913,0.001735803671181202,1763260192.5643017,,0.00015182141214609146,1053,107.37905263900757
0.00010594259947538376,0.02306332439184189,,1071.0,0.0002484639117028564,-0.9799050092697144,86016,0.0,0.38518381118774414,-0.0008093919605016708,1763260193.0444002,,6.454065442085266e-06,1058,107.85915112495422
-0.0011143237352371216,0.00177295901812613,,1073.0,0.00024692781153135,-4.16953182220459,88576,0.009765625,0.4990491271018982,-0.001163410022854805,1763260195.344543,,0.003370298072695732,1083,110.15929388999939
-0.017433494329452515,336.5481872558594,,1073.0,0.0002464669814798981,0.0025138258934020996,89344,0.0,0.38515493273735046,0.0209973081946373,1763260196.0519376,,0.0009078038856387138,1091,110.86668848991394
-0.017489876598119736,356.9371337890625,,1073.0,0.00024554532137699425,-0.0007269382476806641,90880,0.0,0.4451808035373688,0.009644818492233753,1763260197.4259074,,0.002727859653532505,1106,112.24065828323364
0.010811157524585724,0.0007155371131375432,,1074.0,0.00024477727129124105,-3.0847854614257812,92160,0.0,0.4770224988460541,0.0019234362989664078,1763260198.5763648,,0.0015983637422323227,1118,113.39111566543579
,,500.0,,,,92826,,,,1763260199.1767383,500.0,,1125,113.99148917198181
-0.0022866688668727875,0.0005981443682685494,,1075.0,0.0002438556111883372,0.3931587338447571,93696,0.00390625,0.36392009258270264,-0.0025636758655309677,1763260199.945912,,0.0011354461312294006,1133,114.76066279411316
0.004030292853713036,227.286865234375,,1075.0,0.00024316436611115932,-0.00011491775512695312,94848,0.0,0.46607083082199097,-0.0048082685098052025,1763260200.9881554,,0.00011166837066411972,1145,115.80290627479553
,,500.0,,,,96826,,,,1763260202.74808,500.0,,1164,117.5628309249878
0.011315681040287018,241.76461791992188,,1076.0,0.0002419354859739542,0.0003910064697265625,96896,0.0,0.37497827410697937,-0.009859004057943821,1763260202.8407836,,0.00042091403156518936,1165,117.65553450584412
-0.01050412654876709,0.00048204243648797274,,1076.0,0.00024147465592250228,-0.04431617259979248,97664,0.0,0.3977116644382477,-0.0010401559993624687,1763260203.543052,,0.001581958495080471,1172,118.3578028678894
-0.0008940398693084717,0.006493260618299246,,1076.0,0.00024093702086247504,-0.3590552806854248,98560,0.0,0.3221289813518524,-7.076095789670944e-05,1763260204.359675,,8.734781295061111e-05,1181,119.17442584037781
-0.0017966851592063904,0.004879180807620287,,1076.0,0.00024062980082817376,-0.08960938453674316,99072,0.0,0.35922771692276,-0.0017948420718312263,1763260204.8064702,,0.00025668274611234665,1186,119.62122106552124
