losses/clipfrac,losses/explained_variance,_timestamp,global_step,charts/episodic_return,losses/entropy,charts/SPS,losses/approx_kl,charts/learning_rate,charts/episodic_length,_step,losses/old_approx_kl,losses/value_loss,losses/policy_loss,_runtime
,,1763260110.8028376,0,,,,,,,0,,,,25.642070531845093
,,1763260112.9055002,108,13.0,,,,,13.0,7,,,,27.744733095169067
0.0,0.0024597644805908203,1763260113.5024042,640,,0.6777202486991882,918.0,0.001120113767683506,0.0002996927942149341,,33,0.0020407112315297127,46.086692810058594,-0.0004212409257888794,28.341637134552002
,,1763260113.6434808,816,31.0,,,,,31.0,41,,,,28.48271369934082
,,1763260113.7740142,975,57.0,,,,,57.0,47,,,,28.61324715614319
0.0,0.008130848407745361,1763260114.2491894,1408,,0.6530632972717285,975.0,0.00024821609258651733,0.0002992319641634822,,64,0.0006138309836387634,76.88395690917969,0.0009145596995949745,29.088422298431396
0.0,0.0009554624557495117,1763260114.598897,1792,,0.6238969564437866,999.0,0.0001997658982872963,0.00029900154913775623,,74,0.002024593763053417,78.0411376953125,-0.003742814064025879,29.438129901885986
,,1763260114.6401622,1891,39.0,,,,,39.0,77,,,,29.479395151138306
0.0,0.09172087907791138,1763260115.1958258,2432,,0.6054345369338989,1017.0,0.0013066455721855164,0.00029861752409487963,,88,-0.010080726817250252,87.89817810058594,-0.004895903170108795,30.035058736801147
,,1763260115.898477,3265,53.0,,,,,53.0,102,,,,30.737709999084473
0.0,-0.15420973300933838,1763260116.0958984,3456,,0.6424419283866882,1050.0,0.0006648562848567963,0.00029800308402627707,,104,-0.007708495482802391,139.8333740234375,-0.006560411304235458,30.935131311416626
0.0,0.2156725525856018,1763260117.716543,5248,,0.5699685215950012,1068.0,0.00015304330736398697,0.0002969278139062226,,133,-0.0023899106308817863,81.76030731201172,0.00036600232124328613,32.5557758808136
0.0,0.13201916217803955,1763260118.5248017,6144,,0.6247565150260925,1074.0,1.9531697034835815e-05,0.00029639017884619534,,147,-0.001387251541018486,66.9433364868164,0.0028797686100006104,33.36403465270996
0.0,0.3466976284980774,1763260118.6371732,6272,,0.5321592688560486,1075.0,2.5628134608268738e-05,0.00029631337383762,,149,-0.0005876775830984116,68.59031677246094,-5.204975605010986e-05,33.47640609741211
,,1763260118.638953,6274,72.0,,,,,72.0,150,,,,33.4781858921051
0.0,0.44423985481262207,1763260119.0824525,6784,,0.5640287399291992,1080.0,0.00018241256475448608,0.00029600615380331874,,155,-0.0026264749467372894,116.36952209472656,0.001778915524482727,33.921685457229614
,,1763260119.1969163,6919,317.0,,,,,317.0,157,,,,34.03614926338196
