charts/episodic_length,losses/policy_loss,losses/old_approx_kl,global_step,_timestamp,losses/clipfrac,charts/learning_rate,losses/explained_variance,charts/SPS,losses/approx_kl,_step,_runtime,charts/episodic_return,losses/value_loss,losses/entropy
,,,0,1763260110.3024788,,,,,,0,24.973596811294556,,,
13.0,,,124,1763260112.9116983,,,,,,7,27.58281636238098,13.0,,
,-5.27799129486084e-05,8.174963295459747e-05,640,1763260113.4959788,0.0,0.0002996927942149341,-0.0373842716217041,926.0,0.0005033984780311584,33,28.167096853256226,,41.51808166503906,0.6788448095321655
49.0,,,897,1763260113.7282014,,,,,,41,28.399319410324097,49.0,,
36.0,,,1043,1763260113.8868456,,,,,,47,28.557963609695435,36.0,,
16.0,,,1445,1763260114.2580657,,,,,,64,28.92918372154236,16.0,,
81.0,,,1715,1763260114.504358,,,,,,74,29.17547607421875,81.0,,
13.0,,,1788,1763260114.534262,,,,,,77,29.205379962921143,13.0,,
49.0,,,2190,1763260114.983541,,,,,,88,29.654659032821655,49.0,,
,0.0013113003224134445,0.010495224967598915,2944,1763260115.6643567,0.0,0.00029831030406057835,0.019753098487854004,1029.0,0.0010582450777292252,102,30.335474729537964,,106.28289031982422,0.5665827989578247
,0.005833953619003296,-0.006434690207242966,3072,1763260115.7755759,0.0,0.000298233499052003,0.033503592014312744,1034.0,0.00044896453619003296,104,30.446693897247314,,98.15524291992188,0.6203091144561768
118.0,,,4665,1763260117.2093163,,,,,,133,31.880434274673462,118.0,,
,0.004092594608664513,-0.005626363679766655,5504,1763260117.9968839,0.0,0.00029677420388907194,0.21171259880065918,1060.0,0.0008088052272796631,147,32.668001890182495,,76.29000854492188,0.6003997325897217
,-0.017195815220475197,0.01702466979622841,5632,1763260118.1126926,0.0,0.0002966973988804966,-0.002854585647583008,1061.0,0.000875537283718586,149,32.78381061553955,,92.56852722167969,0.5763913989067078
147.0,,,5667,1763260118.1265328,,,,,,150,32.7976508140564,147.0,,
111.0,,,5963,1763260118.3695056,,,,,,155,33.04062366485596,111.0,,
145.0,,,6108,1763260118.4871197,,,,,,157,33.15823769569397,145.0,,
,-0.01093292236328125,-0.006235795095562935,7168,1763260119.4813662,0.001953125,0.0002957757387775928,0.08358144760131836,1073.0,0.0015507228672504425,172,34.15248417854309,,73.69857788085938,0.580803632736206
,-0.0052979812026023865,-0.0069082435220479965,9216,1763260121.7176838,0.0,0.00029454685864038765,-0.43227362632751465,1034.0,0.00041959434747695923,195,36.38880181312561,,101.02552032470703,0.5965816378593445
127.0,,,9815,1763260122.345727,,,,,,203,37.01684498786926,127.0,,
,0.0009827762842178345,0.001088225282728672,10496,1763260123.324591,0.0,0.00029377880855463445,0.008476734161376953,997.0,0.0001679426059126854,213,37.99570894241333,,64.04653930664062,0.5102730989456177
,-0.009270574897527695,0.0037513738498091698,10880,1763260123.7750587,0.0,0.0002935483935289085,-0.02733767032623291,991.0,0.0001964932307600975,217,38.44617676734924,,85.495361328125,0.5006377100944519
,-0.009388331323862076,0.004547674208879471,11776,1763260124.8351245,0.0,0.00029301075846888125,-0.0010726451873779297,978.0,0.00012111105024814606,228,39.506242513656616,,83.39608001708984,0.5858816504478455
,-0.0018636584281921387,0.0025409935042262077,12160,1763260125.271361,0.0,0.0002927803434431553,0.06656330823898315,975.0,3.808457404375076e-05,233,39.94247913360596,,76.4861068725586,0.5915688872337341
,-0.0017809588462114334,0.002379949204623699,13568,1763260126.7208207,0.0,0.00029193548834882677,-0.0026460886001586914,975.0,0.00012474413961172104,251,41.39193868637085,,56.803131103515625,0.564892053604126
415.0,,,14355,1763260127.3934457,,,,,,259,42.0645637512207,415.0,,
,-0.00731731578707695,-0.017734374850988388,14976,1763260127.9839342,0.0078125,0.00029109063325449824,-0.010339736938476562,986.0,0.0031360387802124023,265,42.655052185058594,,71.10247802734375,0.5725932121276855
,0.0048262085765600204,0.00392411183565855,15616,1763260128.5422566,0.0,0.00029070660821162164,-0.0014007091522216797,992.0,0.0002571782097220421,273,43.213374614715576,,60.18701934814453,0.5554870963096619
