losses/approx_kl,charts/episodic_length,charts/episodic_return,losses/old_approx_kl,global_step,losses/entropy,losses/value_loss,losses/clipfrac,_step,charts/learning_rate,losses/explained_variance,_runtime,_timestamp,losses/policy_loss,charts/SPS
,,,,0,,,,0,,,25.813846349716187,1763260111.1591773,,
,25.0,25.0,,152,,,,7,,,27.666379690170288,1763260113.0117106,,
,17.0,17.0,,699,,,,33,,,28.189605712890625,1763260113.5349367,,
0.00035828351974487305,,,-0.0054460931569337845,896,0.6880269050598145,55.61198425292969,0.0,41,0.00029953918419778347,-0.010726571083068848,28.406036376953125,1763260113.7513673,-0.0046262964606285095,947.0
,22.0,22.0,,1037,,,,47,,,28.532369136810303,1763260113.8777,,
,22.0,22.0,,1661,,,,64,,,29.042237758636475,1763260114.3875687,,
,68.0,68.0,,2030,,,,74,,,29.420362949371338,1763260114.765694,,
,50.0,50.0,,2105,,,,77,,,29.517430543899536,1763260114.8627615,,
0.0005666827782988548,,,0.0024207448586821556,2688,0.6422145962715149,144.99240112304688,0.0,88,0.000298463914077729,-0.06927740573883057,30.06940770149231,1763260115.4147387,-0.00400935672223568,1030.0
,148.0,148.0,,3586,,,,102,,,30.88356328010559,1763260116.2288942,,
0.0015666456893086433,,,0.0036705927923321724,3840,0.6179403066635132,127.32112121582031,0.0,104,0.0002977726690005511,0.16664808988571167,31.101850509643555,1763260116.4471815,-0.008562684059143066,1054.0
,301.0,301.0,,6207,,,,133,,,33.17872953414917,1763260118.5240605,,
,220.0,220.0,,7288,,,,147,,,34.11606812477112,1763260119.461399,,
2.6338733732700348e-05,,,0.0005387840792536736,7424,0.6072105169296265,100.56158447265625,0.0,149,0.00029562212876044214,0.0034717917442321777,34.31381058692932,1763260119.6591415,-0.0008486583828926086,1083.0
0.00020618829876184464,,,0.0008107973262667656,7552,0.5468920469284058,102.77165985107422,0.0,150,0.0002955453237518668,-0.08584535121917725,34.42429971694946,1763260119.7696307,0.0047278739511966705,1084.0
,149.0,149.0,,7878,,,,155,,,34.67555475234985,1763260120.0208857,,
1.3220123946666718e-05,,,0.0006478400900959969,8064,0.573654055595398,99.43486022949219,0.0,157,0.00029523810371756554,0.11780446767807007,34.87445878982544,1763260120.2197897,-0.0007641222327947617,1087.0
