losses/clipfrac,losses/approx_kl,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,charts/SPS,losses/value_loss,_runtime,charts/learning_rate,charts/episodic_length,charts/episodic_return,_step,global_step,losses/entropy,_timestamp
,,,,,,,25.957446575164795,,,,0,0,,1763260111.3118265
0.0,5.033612251281738e-05,-0.002753421664237976,0.0024098455905914307,-0.023486018180847168,655.0,28.22220230102539,27.646387338638306,0.0003000000142492354,,,7,128,0.6930816769599915,1763260113.0007672
,,,,,,,28.06953525543213,,13.0,13.0,33,617,,1763260113.4239151
0.0,0.0008330624550580978,-0.019447382539510727,0.011637942865490913,0.010648012161254883,913.0,48.324344635009766,28.291404962539673,0.0002996159892063588,,,41,768,0.6876329183578491,1763260113.6457849
,,,,,,,28.345229625701904,,17.0,17.0,47,894,,1763260113.6996095
0.0,5.185231566429138e-05,0.0017558485269546509,0.000684693455696106,0.028583884239196777,967.0,60.667388916015625,28.773601531982422,0.0002993087691720575,,,64,1280,0.6688461899757385,1763260114.1279814
,,,,,,,29.03233242034912,,13.0,13.0,74,1598,,1763260114.3867123
,,,,,,,29.129744291305542,,51.0,51.0,77,1674,,1763260114.4841242
,,,,,,,29.52559494972229,,51.0,51.0,88,2097,,1763260114.8799748
,,,,,,,30.089674711227417,,143.0,143.0,102,2708,,1763260115.4440546
,,,,,,,30.194427728652954,,112.0,112.0,104,2820,,1763260115.5488076
0.0,0.0002664141356945038,-0.0019680028781294823,0.005232052877545357,-0.01312708854675293,1058.0,93.26579284667969,31.925364017486572,0.00029723503394052386,,,133,4736,0.5846622586250305,1763260117.279744
,,,,,,,32.855815410614014,,121.0,121.0,147,5802,,1763260118.2101953
,,,,,,,32.98674464225769,,186.0,186.0,149,5988,,1763260118.3411245
0.0,9.667780250310898e-05,-0.006525753065943718,0.004094949923455715,0.11786770820617676,1071.0,85.3984375,33.065136671066284,0.00029646698385477066,,,150,6016,0.568757951259613,1763260118.4195166
0.0,0.0007660770788788795,0.00671745091676712,-0.0004917485639452934,0.16811656951904297,1072.0,106.74655151367188,33.41774392127991,0.0002962365688290447,,,155,6400,0.6209613084793091,1763260118.7721238
0.0,0.0001485086977481842,-0.005535731092095375,-0.00022928602993488312,0.1117253303527832,1073.0,103.30176544189453,33.53198981285095,0.0002961597638204694,,,157,6528,0.636808454990387,1763260118.8863697
0.0,0.0010356921702623367,-0.01982671394944191,0.002995133399963379,0.17781490087509155,1080.0,57.497215270996094,34.55593132972717,0.0002954685187432915,,,172,7680,0.5415247678756714,1763260119.9103112
,,,,,,,36.236449241638184,,301.0,301.0,195,9398,,1763260121.5908291
,,,,,,,37.0832896232605,,141.0,141.0,203,10050,,1763260122.4376695
,,,,,,,38.07994079589844,,293.0,293.0,213,10802,,1763260123.4343207
0.0,0.0006978921592235565,0.00372985377907753,-0.0009345859289169312,0.02750295400619507,1006.0,47.16917419433594,38.51003909111023,0.00029339478351175785,,,217,11136,0.5183075666427612,1763260123.864419
,,,,,,,39.34903430938721,,127.0,127.0,228,11824,,1763260124.7034142
0.0,0.0016947947442531586,-0.00403856486082077,0.001892557367682457,0.5100769996643066,986.0,40.32786560058594,39.782896757125854,0.0002927803434431553,,,233,12160,0.5377363562583923,1763260125.1372766
0.0,7.367599755525589e-05,0.0006986334919929504,0.0018232250586152077,0.5658352375030518,987.0,58.79230880737305,41.32278084754944,0.00029185868334025145,,,251,13696,0.6063122153282166,1763260126.6771607
0.0,0.0001532500609755516,0.003751210868358612,-0.001397714950144291,0.19316071271896362,993.0,73.58189392089844,41.88294720649719,0.00029147465829737484,,,259,14336,0.5496943593025208,1763260127.237327
0.0,0.0004372410476207733,-0.009038284420967102,0.0050719063729047775,0.05765104293823242,993.0,59.76699447631836,42.266217947006226,0.0002912442432716489,,,265,14720,0.5569813847541809,1763260127.6205978
0.0,0.0002785874530673027,-0.0055498480796813965,0.0018965555354952812,0.8237155675888062,997.0,27.023164749145508,42.7181293964386,0.0002909370232373476,,,273,15232,0.5880140066146851,1763260128.0725093
,,,,,,,42.750234842300415,,136.0,136.0,274,15331,,1763260128.1046147
0.0,0.00010193046182394028,-0.0025414079427719116,0.0013595903292298317,0.04223209619522095,1005.0,51.89177322387695,43.996275663375854,0.0002900921681430191,,,292,16640,0.5437778830528259,1763260129.3506556
0.0,0.00027155783027410507,-0.0018947422504425049,-0.0001298924908041954,0.8597692251205444,1012.0,22.83022117614746,45.78173804283142,0.0002889400930143893,,,321,18560,0.5610637068748474,1763260131.136118
0.0,0.000150216743350029,-0.004096876829862595,0.0035301223397254944,0.9277667999267578,1014.0,26.078176498413086,46.122541427612305,0.0002887096779886633,,,327,18944,0.6108395457267761,1763260131.4769213
0.0,0.00017172470688819885,-0.0054073333740234375,0.00725075788795948,0.8346275091171265,1013.0,26.410478591918945,46.39506435394287,0.0002885560679715127,,,330,19200,0.5815558433532715,1763260131.7494442
0.0,0.0005123745650053024,0.022626284509897232,-0.007146215066313744,0.8964771628379822,1014.0,42.68824005126953,46.50713610649109,0.00028847926296293736,,,332,19328,0.6107494235038757,1763260131.861516
0.0,8.662045001983643e-05,0.0020387470722198486,0.0009007249027490616,0.3964328169822693,1016.0,41.581851959228516,46.84647583961487,0.0002882488479372114,,,337,19712,0.5863181948661804,1763260132.2008557
