_step,losses/approx_kl,losses/old_approx_kl,charts/SPS,losses/clipfrac,losses/policy_loss,global_step,charts/learning_rate,_runtime,losses/value_loss,_timestamp,losses/entropy,charts/episodic_return,losses/explained_variance,charts/episodic_length
0,,,,,,0,,25.222559690475464,,1763260110.2836678,,,,
7,,,,,,123,,27.85148024559021,,1763260112.9125884,,11.0,,11.0
33,,,,,,789,,28.548181533813477,,1763260113.6092896,,57.0,,57.0
41,0.00046120956540107727,-0.006798513233661652,964.0,0.0,-0.0044273026287555695,1024,0.00029946237918920815,28.806453466415405,66.85580444335938,1763260113.8675616,0.6750372648239136,,0.03357058763504028,
47,0.0014699473977088928,0.01152077503502369,974.0,0.0,-0.024533312767744064,1152,0.00029938557418063283,28.926281929016113,46.90190505981445,1763260113.98739,0.6642650961875916,,0.01608043909072876,
64,0.00036204326897859573,-0.0015067355707287788,1008.0,0.0,-0.006412629038095474,1664,0.00029907835414633155,29.393948078155518,74.84994506835938,1763260114.4550562,0.6217213273048401,,0.010546624660491943,
74,,,,,,2101,,29.776339530944824,,1763260114.8374476,,107.0,,107.0
77,,,,,,2222,,29.897292852401733,,1763260114.958401,,81.0,,81.0
88,,,,,,2599,,30.245687007904053,,1763260115.3067951,,63.0,,63.0
102,,,,,,3291,,30.852426528930664,,1763260115.9135346,,101.0,,101.0
104,,,,,,3358,,30.94439196586609,,1763260116.0055,,67.0,,67.0
133,3.670342266559601e-06,-0.0008303271606564522,1053.0,0.0,0.0006257109344005585,4736,0.00029723503394052386,32.24150633811951,78.98321533203125,1763260117.3026145,0.49811020493507385,,0.1308906078338623,
147,2.5818124413490295e-05,0.00022456981241703033,1061.0,0.0,-0.001843893900513649,5632,0.0002966973988804966,33.047677516937256,83.7869873046875,1763260118.1087856,0.5365524291992188,,0.06642395257949829,
149,0.0010038511827588081,0.01936231181025505,1063.0,0.0,-0.01288828905671835,5760,0.0002966205938719213,33.16284894943237,86.02445983886719,1763260118.223957,0.5349627137184143,,0.24761652946472168,
150,,,,,,5819,,33.1841037273407,,1763260118.2452118,,74.0,,74.0
155,0.001970314420759678,-0.00640194583684206,1066.0,0.0,-0.008367106318473816,6144,0.00029639017884619534,33.50455570220947,113.02114868164062,1763260118.5656638,0.5973836183547974,,0.5475306510925293,
157,,,,,,6252,,33.544854164123535,,1763260118.6059623,,93.0,,93.0
172,,,,,,7279,,34.45859718322754,,1763260119.5197053,,109.0,,109.0
195,0.0015127286314964294,-0.01730075292289257,1032.0,0.013671875,0.018999896943569183,8832,0.0002947772736661136,36.29508876800537,87.40918731689453,1763260121.3561969,0.5755501389503479,,0.20139729976654053,
203,,,,,,9542,,36.927449464797974,,1763260121.9885576,,238.0,,238.0
213,1.9089318811893463e-05,0.00012012291699647903,1019.0,0.0,-0.0008034836500883102,10368,0.00029385561356320977,37.91190195083618,55.41992950439453,1763260122.97301,0.6365211606025696,,0.6327099800109863,
217,,,,,,10732,,38.27617311477661,,1763260123.3372812,,252.0,,252.0
228,4.732795059680939e-05,-0.000529581680893898,1001.0,0.0,-0.0005781948566436768,11776,0.00029301075846888125,39.50360608100891,74.67137908935547,1763260124.5647142,0.5641340613365173,,0.2484719157218933,
233,0.00017132330685853958,-0.0019468283280730247,1000.0,0.0,-0.0008592121303081512,12160,0.0002927803434431553,39.899046421051025,73.8558349609375,1763260124.9601545,0.5683191418647766,,0.48211801052093506,
251,0.0006931964308023453,0.0051126182079315186,999.0,0.0,0.0025214552879333496,13568,0.00029193548834882677,41.31548357009888,49.8628044128418,1763260126.3765917,0.6321294903755188,,0.45048850774765015,
259,0.0017083100974559784,0.0027417726814746857,1002.0,0.001953125,-0.018897727131843567,14208,0.00029155146330595016,41.92317795753479,70.43190002441406,1763260126.984286,0.5869437456130981,,0.3644018769264221,
265,,,,,,14748,,42.37953209877014,,1763260127.4406402,,342.0,,342.0
273,,,,,,15385,,42.97837543487549,,1763260128.0394835,,250.0,,250.0
274,1.8415972590446472e-05,0.0003004111349582672,1009.0,0.0,-0.0010605249553918839,15488,0.00029078341322019696,43.07912731170654,93.52081298828125,1763260128.1402354,0.5353178381919861,,0.001454472541809082,
292,,,,,,17035,,44.463661193847656,,1763260129.5247693,,276.0,,276.0
321,0.0001582615077495575,0.00045933201909065247,1028.0,0.0,0.00115291029214859,19712,0.0002882488479372114,46.910632848739624,45.273643493652344,1763260131.971741,0.4885234236717224,,0.007218360900878906,
327,,,,,,20115,,47.257495403289795,,1763260132.3186035,,171.0,,171.0
330,6.028171628713608e-05,-0.0006092051044106483,1031.0,0.0,0.004522994160652161,20352,0.0002878648228943348,47.47366452217102,83.6973876953125,1763260132.5347726,0.5699164271354675,,0.37670159339904785,
332,9.543262422084808e-06,0.0017741890624165535,1032.0,0.0,-0.00030579790472984314,20480,0.00028778801788575947,47.58720135688782,63.7238655090332,1763260132.6483095,0.48934972286224365,,0.00667262077331543,
337,0.0008130976930260658,0.0031018881127238274,1029.0,0.0,-0.007178865373134613,20864,0.0002875576028600335,48.0047402381897,66.52116394042969,1763260133.0658484,0.5159674286842346,,0.15581119060516357,
340,,,,,,21101,,48.170621156692505,,1763260133.2317293,,209.0,,209.0
370,3.8868747651576996e-05,0.0008433768525719643,1033.0,0.0,-0.003296211361885071,23680,0.00028586789267137647,50.66563034057617,36.44388198852539,1763260135.7267385,0.5528591871261597,,0.08643871545791626,
375,0.001347007229924202,-0.00425424799323082,1032.0,0.0,0.015062754042446613,24064,0.0002856374776456505,51.044843435287476,30.756071090698242,1763260136.1059515,0.5806347131729126,,0.4291209578514099,
396,3.8603320717811584e-05,8.890964090824127e-05,1037.0,0.0,-0.003344304859638214,25728,0.00028463901253417134,52.54548764228821,31.20328712463379,1763260137.6065958,0.5795647501945496,,-0.002878427505493164,
425,0.00012089032679796219,0.0014881612733006477,1038.0,0.0,-0.006181858479976654,28160,0.00028317971737124026,54.84779644012451,29.549072265625,1763260139.9089046,0.5718968510627747,,0.8216958045959473,
441,0.00025714095681905746,-0.0009198011830449104,1041.0,0.0,0.0016210377216339111,29696,0.0002822580572683364,56.25502610206604,15.222183227539062,1763260141.3161342,0.556766152381897,,0.5812841653823853,
450,5.2587129175662994e-05,0.0028532175347208977,1044.0,0.0,-0.000937923789024353,30592,0.0002817204222083092,57.03609895706177,23.983713150024414,1763260142.097207,0.5310705900192261,,0.026140987873077393,
471,0.004177502356469631,-0.0271097831428051,1047.0,0.021484375,-0.021265273913741112,32640,0.00028049154207110405,58.891074657440186,17.039775848388672,1763260143.9521828,0.5269898176193237,,0.6543803215026855,
481,7.672235369682312e-06,-0.0011851582676172256,1049.0,0.0,-0.0010830499231815338,33536,0.0002799539070110768,59.707266092300415,17.68623161315918,1763260144.7683742,0.5130902528762817,,0.09080344438552856,
490,0.006750644184648991,0.03326721489429474,1050.0,0.005859375,-0.010367847979068756,34432,0.00027941627195104957,60.52802658081055,19.050212860107422,1763260145.5891347,0.532738208770752,,-1.4396579265594482,
504,0.001018468290567398,-0.014592450112104416,1050.0,0.0,-0.007222041487693787,35712,0.00027864822186529636,61.72834515571594,139.01295471191406,1763260146.7894533,0.4927811920642853,,-0.005620002746582031,
515,7.30808824300766e-06,0.0005413861945271492,1051.0,0.0,0.0003596842288970947,36864,0.0002779569767881185,62.796584606170654,13.491662979125977,1763260147.8576927,0.4556427299976349,,0.15572696924209595,
530,8.834898471832275e-05,0.003283359110355377,1054.0,0.0,-0.0005808919668197632,38400,0.00027703531668521464,64.16346406936646,11.633424758911133,1763260149.2245722,0.46935081481933594,,-0.0012326240539550781,
539,0.00022294186055660248,0.0035554859787225723,1055.0,0.0,-0.0007259920239448547,39296,0.0002764976816251874,64.97367429733276,9.776588439941406,1763260150.0347824,0.4706643223762512,,-0.015522599220275879,
547,3.098510205745697e-06,-0.00019266363233327866,1055.0,0.0,-0.00022420287132263184,40064,0.00027603688067756593,65.68856978416443,10.039556503295898,1763260150.749678,0.4693063199520111,,0.025997579097747803,
555,3.873836249113083e-05,-0.0006097173318266869,1057.0,0.0,-0.001679208129644394,40832,0.000275576050626114,66.35952854156494,8.645323753356934,1763260151.4206367,0.49634233117103577,,0.01948493719100952,
559,0.00166353490203619,0.006617159582674503,1057.0,0.0,-0.012800857424736023,41216,0.00027534563560038805,66.71954035758972,48.93830108642578,1763260151.7806485,0.4969058632850647,,0.6821472644805908,
568,,,,,,42125,,67.51254940032959,,1763260152.5736575,,453.0,,453.0
595,2.2502616047859192e-05,0.0008307527750730515,1059.0,0.0,-0.0031432583928108215,44800,0.0002731950953602791,70.03011465072632,5.6870880126953125,1763260155.0912228,0.515095055103302,,-0.16311824321746826,
612,0.0007854076102375984,0.007580981589853764,1060.0,0.0,0.0023330897092819214,46464,0.0002721966302487999,71.56318688392639,63.65096664428711,1763260156.624295,0.4582415223121643,,0.015668034553527832,
614,0.000932217575609684,0.004293237812817097,1059.0,0.0,-0.0047235265374183655,46720,0.0002720430202316493,71.82749891281128,4.459551811218262,1763260156.888607,0.44072872400283813,,-0.20391905307769775,
630,,,,,,48336,,73.28221011161804,,1763260158.3433182,,479.0,,479.0
636,,,,,,48888,,73.73948788642883,,1763260158.800596,,147.0,,147.0
640,,,,,,49172,,74.06906270980835,,1763260159.1301708,,284.0,,284.0
650,0.0010600872337818146,0.008420730009675026,1062.0,0.0,-0.01600886881351471,50048,0.00027004609000869095,74.84634900093079,243.10165405273438,1763260159.907457,0.4966282844543457,,0.01966649293899536,
664,0.0003299545496702194,-0.001046380028128624,1062.0,0.0,0.005021362565457821,51328,0.00026927803992293775,76.05593156814575,3.1053597927093506,1763260161.1170397,0.4204797148704529,,-1.1375830173492432,
684,5.860812962055206e-06,0.00014284532517194748,1059.0,0.0,0.0014296472072601318,53248,0.00026812596479430795,77.98704242706299,1.250305414199829,1763260163.0481505,0.4629226326942444,,0.47629064321517944,
689,0.0015251524746418,0.0011161398142576218,1059.0,0.0078125,-0.017258208245038986,53760,0.00026781874476000667,78.50888657569885,1.2066316604614258,1763260163.5699947,0.4268103837966919,,-0.3845505714416504,
698,0.00037628132849931717,-0.005968482233583927,1057.0,0.0,0.010326743125915527,54528,0.00026735791470855474,79.29308891296387,1.2557169198989868,1763260164.354197,0.4524582028388977,,-0.007311224937438965,
702,0.00010796729475259781,0.003861880861222744,1057.0,0.0,-0.003444802016019821,54912,0.0002671274996828288,79.66317367553711,424.32275390625,1763260164.7242818,0.4526698887348175,,-0.0005944967269897461,
707,0.00044522061944007874,0.0021423492580652237,1058.0,0.0,-0.00639093853533268,55424,0.0002668202796485275,80.10931396484375,519.74365234375,1763260165.170422,0.4234405755996704,,0.00794917345046997,
729,0.0005411067977547646,0.004405164159834385,1060.0,0.0,0.007272094488143921,57600,0.00026551459450274706,82.07723498344421,0.5127105116844177,1763260167.138343,0.46849820017814636,,-0.5406160354614258,
757,0.00017265137284994125,-0.004026361741125584,1062.0,0.0,0.0004521012306213379,60288,0.00026390168932266533,84.4862585067749,16.355501174926758,1763260169.5473666,0.570671558380127,,-0.8898465633392334,
762,,,,,,60783,,84.89463829994202,,1763260169.9557464,,221.0,,221.0
767,,,,,,61283,,85.33882594108582,,1763260170.399934,,500.0,,500.0
775,0.003541196696460247,-0.010786888189613819,1063.0,0.01171875,-0.01935100182890892,62080,0.00026282641920261085,86.13018941879272,0.17569777369499207,1763260171.1912975,0.4842689037322998,,-2.8008666038513184,
788,0.0008399020880460739,0.007869469001889229,1063.0,0.0,-0.015255436301231384,63360,0.00026205836911685765,87.32543325424194,0.08829469978809357,1763260172.3865414,0.5350296497344971,,-0.17951738834381104,
789,0.00022990908473730087,-0.005694040097296238,1063.0,0.0,-0.003909088671207428,63488,0.00026198156410828233,87.43843364715576,0.028411732986569405,1763260172.4995418,0.526093602180481,,0.7589411735534668,
797,0.003241545520722866,0.025279803201556206,1063.0,0.001953125,-0.0012134797871112823,64256,0.0002615207340568304,88.15840220451355,614.8428344726562,1763260173.2195103,0.5282132625579834,,-0.0005815029144287109,
806,0.00020357035100460052,-0.0010101888328790665,1063.0,0.0,0.0006361901760101318,65152,0.00026098309899680316,89.03416275978088,166.1097412109375,1763260174.0952709,0.5070844888687134,,0.1284579634666443,
815,,,,,,66072,,89.85157585144043,,1763260174.912684,,500.0,,500.0
863,,,,,,70281,,93.66265678405762,,1763260178.723765,,147.0,,147.0
872,,,,,,70953,,94.27340650558472,,1763260179.3345146,,127.0,,127.0
876,7.486250251531601e-05,-0.002371021546423435,1066.0,0.0,0.000417076051235199,71296,0.0002572964585851878,94.59341931343079,0.09554412961006165,1763260179.6545274,0.5363740921020508,,0.9065582156181335,
916,8.827261626720428e-05,0.0020616501569747925,1067.0,0.0,-0.0017813965678215027,75008,0.0002550691133365035,98.02825999259949,0.9266142845153809,1763260183.089368,0.5990694165229797,,-0.6805198192596436,
922,,,,,,75522,,98.51500296592712,,1763260183.576111,,500.0,,500.0
930,0.00024100206792354584,0.0020580049604177475,1067.0,0.0,0.004795245826244354,76288,0.0002543010632507503,99.20258903503418,335.8830871582031,1763260184.2636971,0.5358522534370422,,0.07074928283691406,
938,,,,,,77030,,99.85308313369751,,1763260184.9141912,,196.0,,196.0
941,,,,,,77283,,100.07473874092102,,1763260185.1358469,,253.0,,253.0
942,0.0004480751231312752,-0.0035137059167027473,1067.0,0.0,-0.002363552339375019,77312,0.00025368662318214774,100.15398645401001,415.9302978515625,1763260185.2150946,0.49602755904197693,,0.00872129201889038,
948,,,,,,77728,,100.53941559791565,,1763260185.6005237,,48.0,,48.0
974,0.0033949241042137146,-0.009764004498720169,1068.0,0.00390625,-0.01072239875793457,80128,0.00025199694209732115,102.75610184669495,0.0568515919148922,1763260187.81721,0.5468944311141968,,0.062298476696014404,
980,,,,,,80684,,103.25448417663574,,1763260188.3155923,,291.0,,291.0
985,,,,,,81184,,103.7530243396759,,1763260188.8141325,,500.0,,500.0
995,,,,,,82184,,104.67047023773193,,1763260189.7315784,,500.0,,500.0
997,0.00286832544952631,0.010932010598480701,1068.0,0.0,0.0001404881477355957,82432,0.0002506144519429654,104.88731622695923,0.0005804854445159435,1763260189.9484243,0.6011273860931396,,0.1750970482826233,
1015,0.00025055836886167526,-0.0009892014786601067,1069.0,0.0,-0.0005884617567062378,84224,0.0002495391818229109,106.48230028152466,428.5135498046875,1763260191.5434084,0.5044792890548706,,-0.00010788440704345703,
1020,0.0006937887519598007,0.0062772128731012344,1069.0,0.0,-0.008282890543341637,84736,0.0002492319617886096,106.96029329299927,412.0062255859375,1763260192.0214014,0.5873235464096069,,-0.000764012336730957,
1031,0.0008825287222862244,-0.0009709745645523071,1070.0,0.0,0.010408587753772736,85888,0.00024854071671143174,107.99393129348755,0.004644238855689764,1763260193.0550394,0.5364012122154236,,0.145271897315979,
1050,0.0010696826502680779,-0.0072118965908885,1071.0,0.0,0.003575460985302925,87808,0.00024738864158280194,109.72451400756836,0.00871756486594677,1763260194.7856221,0.4513232111930847,,-0.0003859996795654297,
1053,,,,,,88184,,109.99445748329163,,1763260195.0555656,,500.0,,500.0
1058,,,,,,88684,,110.44935941696167,,1763260195.5104675,,500.0,,500.0
1082,0.005431671626865864,-0.003780103288590908,1072.0,0.01953125,0.004585839807987213,91136,0.0002453917113598436,112.74873185157776,0.00029403535882011056,1763260197.80984,0.4911460876464844,,0.04548954963684082,
1083,,,,,,91184,,112.76786518096924,,1763260197.8289733,,500.0,,500.0
1091,8.582789450883865e-05,-0.00286713894456625,1072.0,0.0,-0.0001996271312236786,92032,0.00024485407629981637,113.56407594680786,0.00021466206817422062,1763260198.625184,0.511961817741394,,0.19588929414749146,
1106,,,,,,93684,,115.00240802764893,,1763260200.0635161,,500.0,,500.0
1118,0.0046712178736925125,0.015562916174530983,1072.0,0.005859375,-0.01817982643842697,94848,0.00024316436611115932,116.14948344230652,0.005459202453494072,1763260201.2105916,0.47388002276420593,,-0.05709695816040039,
1125,0.0063122594729065895,-0.005639334209263325,1073.0,0.013671875,-0.04066486656665802,95616,0.0002427035360597074,116.81471133232117,0.0003768252790905535,1763260201.8758194,0.5010904669761658,,-0.07924377918243408,
1133,0.0007111513987183571,-0.007161605171859264,1073.0,0.0,-0.015289369970560074,96384,0.00024224270600825548,117.51757383346558,0.00674471165984869,1763260202.578682,0.5330011248588562,,-0.8892022371292114,
1145,0.005160083994269371,0.026243824511766434,1074.0,0.01171875,0.0017727981321513653,97664,0.00024147465592250228,118.67128610610962,0.00020521609985735267,1763260203.7323942,0.5011956691741943,,-0.37598252296447754,
1164,0.003223841078579426,-0.004975604824721813,1074.0,0.005859375,-0.004455236718058586,99584,0.00024032258079387248,120.40852737426758,0.00012663488450925797,1763260205.4696355,0.557209312915802,,0.12190860509872437,
1165,,,,,,99684,,120.44455075263977,,1763260205.5056589,,500.0,,500.0
1172,0.00360109843313694,0.014302587136626244,1075.0,0.0078125,-0.008838068693876266,100352,0.00023986175074242055,121.07546162605286,0.007429555989801884,1763260206.1365697,0.5390967726707458,,0.2681238651275635,
1181,0.00015330594033002853,-0.0035858014598488808,1075.0,0.0,0.0025321580469608307,101248,0.0002393241156823933,121.88877987861633,398.7584228515625,1763260206.949888,0.5246350765228271,,0.00032085180282592773,
1186,0.0007288660854101181,-0.004768839105963707,1074.0,0.0,-0.022299274802207947,101760,0.00023901689564809203,122.4244794845581,221.81561279296875,1763260207.4855876,0.4673250913619995,,0.00038355588912963867,
1197,0.0044470783323049545,0.007278850302100182,1075.0,0.005859375,-0.008192740380764008,102912,0.00023832565057091415,123.46083641052246,0.008976922370493412,1763260208.5219445,0.5106072425842285,,0.6215726733207703,
1213,0.002047782763838768,0.013239441439509392,1075.0,0.0,-0.015074256807565689,104576,0.00023732718545943499,124.94364142417908,0.00033638242166489363,1763260210.0047495,0.4882645010948181,,-1.10396146774292,
1215,0.0007752366364002228,0.007567249238491058,1075.0,0.0,-0.0014852061867713928,104704,0.00023725038045085967,125.05684351921082,256.9440612792969,1763260210.1179516,0.4825240671634674,,4.398822784423828e-05,
1226,0.0008844481781125069,0.015459966845810413,1076.0,0.0,-0.012618154287338257,105856,0.00023655913537368178,126.09505558013916,0.007389622740447521,1763260211.1561637,0.45399898290634155,,0.5004945397377014,
1230,0.0017603486776351929,0.004273010417819023,1076.0,0.009765625,-0.013256534934043884,106240,0.00023632872034795582,126.43112349510193,183.36886596679688,1763260211.4922316,0.46167266368865967,,0.0013369917869567871,
