losses/clipfrac,charts/episodic_return,charts/learning_rate,losses/explained_variance,global_step,_step,losses/entropy,_timestamp,charts/SPS,_runtime,losses/value_loss,losses/policy_loss,losses/approx_kl,losses/old_approx_kl,charts/episodic_length
,,,,0,0,,1763260115.7348309,,24.729699850082397,,,,,
0.0,,0.0003000000142492354,0.008676230907440186,128,7,0.6931192278862,1763260120.9520772,84.0,29.946946144104004,42.25642395019531,-0.001068219542503357,2.1053478121757507e-05,0.001186685636639595,
,10.0,,,643,33,,1763260122.9694436,,31.96431255340576,,,,,10.0
,13.0,,,811,41,,1763260123.5814679,,32.57633686065674,,,,,13.0
,21.0,,,927,47,,1763260124.1588724,,33.15374135971069,,,,,21.0
0.0,,0.00029915515915490687,-0.07829594612121582,1536,64,0.6312817931175232,1763260126.5800245,214.0,35.57489347457886,123.86027526855469,-0.004754398018121719,0.00020252913236618042,0.007569894194602966,
,39.0,,,1795,74,,1763260127.859014,,36.853883028030396,,,,,39.0
,44.0,,,1898,77,,1763260128.0847354,,37.079604387283325,,,,,44.0
,84.0,,,2415,88,,1763260129.798931,,38.79379987716675,,,,,84.0
,45.0,,,2961,102,,1763260131.6100585,,40.60492753982544,,,,,45.0
,22.0,,,3005,104,,1763260131.7197816,,40.71465063095093,,,,,22.0
0.0,,0.0002973886439576745,0.3512424826622009,4480,133,0.5890766978263855,1763260135.6548762,276.0,44.64974522590637,71.71394348144531,0.0032277926802635193,0.0002726539969444275,-0.001093599945306778,
0.015625,,0.0002969278139062226,0.5096047520637512,5248,147,0.6062817573547363,1763260137.6042478,288.0,46.599116802215576,140.40066528320312,-0.0052134934812784195,0.0029303543269634247,-0.004832876846194267,
0.0,,0.00029685100889764726,0.5458798408508301,5376,149,0.6279282569885254,1763260137.9120762,290.0,46.90694522857666,99.01539611816406,0.004435058683156967,0.00022263452410697937,-4.8762187361717224e-05,
,181.0,,,5462,150,,1763260137.9649422,,46.959811210632324,,,,,181.0
0.0,,0.0002966205938719213,0.4062982201576233,5760,155,0.599364161491394,1763260138.8428044,296.0,47.83767342567444,86.5060806274414,0.006990164518356323,0.000609339214861393,-0.007829681970179081,
0.0,,0.000296543788863346,0.3024514317512512,5888,157,0.5858224034309387,1763260139.1154215,299.0,48.11029052734375,109.95317840576172,-0.01730329543352127,0.000668778084218502,0.0006098272278904915,
,204.0,,,6866,172,,1763260141.3358922,,50.330761194229126,,,,,204.0
,190.0,,,8331,195,,1763260144.9152424,,53.91011142730713,,,,,190.0
,99.0,,,8935,203,,1763260146.1005757,,55.095444679260254,,,,,99.0
0.0,,0.0002943164436146617,0.289309561252594,9600,213,0.578913152217865,1763260147.779824,338.0,56.77469301223755,76.11064910888672,-0.010950073599815369,0.0010990407317876816,0.013758854940533638,
,500.0,,,10003,217,,1763260148.5399168,,57.534785747528076,,,,,500.0
,223.0,,,10713,228,,1763260149.999542,,58.9944109916687,,,,,223.0
,26.0,,,11016,233,,1763260150.72004,,59.714909076690674,,,,,26.0
0.0,,0.00029270353843457997,-0.011971473693847656,12288,251,0.5347254276275635,1763260153.4148045,361.0,62.40967345237732,63.59705352783203,-0.004921473562717438,6.629340350627899e-05,0.0031071268022060394,
,254.0,,,12885,259,,1763260154.4547591,,63.44962811470032,,,,,254.0
0.0,,0.0002920890983659774,0.13291335105895996,13312,265,0.5492070317268372,1763260155.384711,370.0,64.37958002090454,63.29484558105469,0.002299901098012924,2.0232051610946655e-05,-0.0009665526449680328,
0.0,202.0,0.0002917050733231008,0.07760250568389893,13952,273,0.5354203581809998,1763260156.677113,374.0,65.67198204994202,80.03936767578125,-0.005054675042629242,3.0617229640483856e-05,0.0004935963079333305,202.0
,84.0,,,14036,274,,1763260156.7301474,,65.72501635551453,,,,,84.0
0.0,,0.0002908602182287723,0.04986220598220825,15360,292,0.5813870429992676,1763260159.3200276,385.0,68.31489658355713,76.29773712158203,-0.011416427791118622,0.0016480162739753723,-0.0009095724672079086,
0.0,,0.0002894777280744165,-0.024731159210205078,17664,321,0.5785165429115295,1763260164.2970443,393.0,73.29191327095032,65.31427764892578,-0.0039053037762641907,0.0022820839658379555,0.012071791104972363,
0.0,,0.00028924731304869056,-0.0021222829818725586,18048,327,0.5318683981895447,1763260165.3126156,393.0,74.30748462677002,60.71059799194336,0.0014452636241912842,0.00047540199011564255,0.002863253466784954,
