_timestamp,losses/policy_loss,losses/value_loss,charts/episodic_return,losses/explained_variance,losses/entropy,losses/approx_kl,losses/clipfrac,charts/episodic_length,_runtime,charts/SPS,global_step,_step,losses/old_approx_kl,charts/learning_rate
1763260115.8836915,,,,,,,,,24.833763599395752,,0,0,,
1763260120.9559748,,,38.0,,,,,38.0,29.906046867370605,,134,7,,
1763260122.9170787,,,19.0,,,,,19.0,31.86715078353882,,671,33,,
1763260123.5731874,,,31.0,,,,,31.0,32.52325940132141,,862,41,,
1763260124.1218438,,,19.0,,,,,19.0,33.07191586494446,,1010,47,,
1763260126.1665726,,,45.0,,,,,45.0,35.116644620895386,,1532,64,,
1763260127.942291,0.00016334280371665955,83.826904296875,,0.06681627035140991,0.5835154056549072,0.0008736522868275642,0.0,,36.89236307144165,225.0,1920,74,0.0014024106785655022,0.0002989247441291809
1763260128.174529,,,58.0,,,,,58.0,37.12460112571716,,2029,77,,
1763260129.97017,,,56.0,,,,,56.0,38.92024207115173,,2616,88,,
1763260131.608166,,,30.0,,,,,30.0,40.55823802947998,,3315,102,,
1763260131.8504312,,,62.0,,,,,62.0,40.80050325393677,,3377,104,,
1763260136.4142108,,,36.0,,,,,36.0,45.364282846450806,,5545,133,,
1763260138.0258899,,,146.0,,,,,146.0,46.97596192359924,,6166,147,,
1763260138.3115644,0.0040052421391010284,76.04521179199219,,0.09360140562057495,0.5956023931503296,0.00014363788068294525,0.0,,47.26163649559021,332.0,6272,149,-0.0037506092339754105,0.00029631337383762
1763260138.3659244,,,57.0,,,,,57.0,47.315996408462524,,6304,150,,
1763260138.977886,,,94.0,,,,,94.0,47.9279580116272,,6558,155,,
1763260139.2623405,,,170.0,,,,,170.0,48.2124125957489,,6728,157,,
1763260141.4481676,-0.002071782946586609,75.78764343261719,,0.3918251395225525,0.6286161541938782,4.984065890312195e-05,0.0,,50.398239612579346,348.0,7680,172,0.0005994457751512527,0.0002954685187432915
1763260145.0574665,-0.0030491724610328674,65.9541015625,,-0.011906147003173828,0.5870848894119263,4.660710692405701e-05,0.0,,54.00753855705261,369.0,9472,195,-0.0018921531736850739,0.000294393248623237
1763260146.1567545,,,143.0,,,,,143.0,55.10682654380798,,10073,203,,
1763260147.8528988,-0.004469096660614014,74.30506896972656,,0.02129465341567993,0.5450834631919861,6.80210068821907e-05,0.0,,56.80297088623047,382.0,10880,213,0.003215608187019825,0.0002935483935289085
1763260148.4119694,,,117.0,,,,,117.0,57.36204147338867,,11260,217,,
1763260149.9012866,,,120.0,,,,,120.0,58.85135865211487,,11951,228,,
1763260150.6072137,,,236.0,,,,,236.0,59.55728578567505,,12313,233,,
1763260152.9733603,,,162.0,,,,,162.0,61.92343235015869,,13450,251,,
1763260153.9779963,0.004015956073999405,56.12492752075195,,0.08105242252349854,0.5870751142501831,0.00012930575758218765,0.0,,62.92806839942932,403.0,13952,259,-0.0034755459055304527,0.0002917050733231008
1763260154.6802452,,,283.0,,,,,283.0,63.63031721115112,,14350,265,,
1763260155.5890727,,,155.0,,,,,155.0,64.53914475440979,,14974,273,,
1763260155.7538772,-0.0028074271976947784,85.70478057861328,,-0.0555722713470459,0.5491946935653687,0.00013746041804552078,0.0,,64.70394921302795,412.0,14976,274,-0.00045708101242780685,0.00029109063325449824
1763260158.4163275,-0.0018641576170921326,78.68817901611328,,-0.0068743228912353516,0.524145245552063,0.00012864544987678528,0.0,,67.36639952659607,423.0,16512,292,-0.003233160823583603,0.0002901689731515944
1763260162.785444,,,432.0,,,,,432.0,71.73551607131958,,18961,321,,
1763260163.788679,-0.0019351467490196228,62.90857696533203,,-0.00730741024017334,0.49483752250671387,1.9213184714317322e-05,0.0,,72.73875093460083,438.0,19456,327,-0.00010911375284194946,0.00028840245795436203
1763260164.3184311,-0.004833962768316269,59.33853530883789,,-0.05522119998931885,0.49454382061958313,0.0005800444632768631,0.0,,73.26850318908691,439.0,19712,330,-0.010853489860892296,0.0002882488479372114
1763260164.6306193,0.0006137080490589142,112.702880859375,,-0.0020641088485717773,0.5102758407592773,0.00024752505123615265,0.0,,73.58069133758545,438.0,19840,332,0.005267435684800148,0.0002881720429286361
1763260165.6928244,-0.0009054318070411682,61.028621673583984,,-0.00135040283203125,0.5531592965126038,1.0494142770767212e-05,0.0,,74.6428964138031,439.0,20352,337,0.0002685990184545517,0.0002878648228943348
1763260166.2909904,-0.000119771808385849,75.21879577636719,,0.2810797095298767,0.5231300592422485,5.4552219808101654e-05,0.0,,75.24106240272522,439.0,20608,340,-0.0009680734947323799,0.00028771121287718415
1763260171.5287368,-0.001679055392742157,53.86443328857422,,0.42678308486938477,0.5262400507926941,7.036887109279633e-05,0.0,,80.4788088798523,442.0,23040,370,-0.0034475326538085938,0.00028625191771425307
1763260172.271145,,,207.0,,,,,207.0,81.22121715545654,,23441,375,,
1763260176.0359302,-0.0008330605924129486,39.183258056640625,,0.5404179692268372,0.5525959134101868,1.6596168279647827e-05,0.0,,84.98600220680237,450.0,25472,396,-0.0009123776108026505,0.000284792622551322
1763260180.7891526,-0.006602566689252853,61.35995101928711,,0.5224844217300415,0.48575514554977417,9.621027857065201e-05,0.0,,89.7392246723175,454.0,27904,425,0.0018192986026406288,0.0002833333273883909
1763260183.050977,-0.0009352788329124451,37.07268142700195,,0.8948450088500977,0.5489785075187683,1.0785646736621857e-05,0.0,,92.00104904174805,456.0,29056,441,-0.00042998697608709335,0.000282642082311213
