_step,losses/entropy,losses/clipfrac,_runtime,losses/approx_kl,_timestamp,losses/value_loss,charts/learning_rate,charts/SPS,losses/old_approx_kl,charts/episodic_length,global_step,losses/explained_variance,losses/policy_loss,charts/episodic_return
0,,,25.49810242652893,,1763260110.8515604,,,,,,0,,,
7,0.6923436522483826,0.0,27.647716760635376,0.000764116644859314,1763260113.0011747,37.984153747558594,0.0003000000142492354,653.0,0.010274266824126244,,128,-0.002347588539123535,-0.014684244059026241,
33,0.686767041683197,0.0,28.156582832336426,5.417782813310623e-05,1763260113.5100408,108.43588256835938,0.0002996927942149341,908.0,0.0004396708682179451,,640,-0.009806513786315918,-0.0026077665388584137,
41,,,28.305184841156006,,1763260113.6586428,,,,,47.0,839,,,47.0
47,,,28.441375970840454,,1763260113.794834,,,,,25.0,1014,,,25.0
64,,,29.02397871017456,,1763260114.3774366,,,,,30.0,1559,,,30.0
74,0.6430066823959351,0.0,29.3636474609375,5.550496280193329e-05,1763260114.7171054,62.26014709472656,0.0002989247441291809,1004.0,0.0015936773270368576,,1920,-0.003444194793701172,0.002629360184073448,
77,,,29.399102210998535,,1763260114.7525601,,,,,23.0,2002,,,23.0
88,,,29.74364137649536,,1763260115.0970993,,,,,70.0,2383,,,70.0
102,,,30.325757026672363,,1763260115.679215,,,,,56.0,2969,,,56.0
104,0.6111602783203125,0.0,30.429182529449463,0.00022508949041366577,1763260115.7826405,107.40254974365234,0.000298233499052003,1031.0,-0.004379557445645332,,3072,-0.005379676818847656,-0.00406607985496521,
133,0.6514654159545898,0.0,31.705703258514404,7.887277752161026e-05,1763260117.0591612,50.67171096801758,0.0002973886439576745,1053.0,0.004020507447421551,,4480,0.08606976270675659,0.0008878782391548157,
147,,,32.21947932243347,,1763260117.5729373,,,,,77.0,5065,,,77.0
149,,,32.30712842941284,,1763260117.6605864,,,,,58.0,5123,,,58.0
150,,,32.325796127319336,,1763260117.679254,,,,,48.0,5171,,,48.0
155,0.6118970513343811,0.0,32.53606152534485,4.990026354789734e-06,1763260117.8895195,44.324127197265625,0.00029685100889764726,1057.0,0.00011179596185684204,,5376,0.049798667430877686,0.0005581527948379517,
157,0.6323844194412231,0.0,32.6480872631073,0.0002884548157453537,1763260118.0015452,77.41407012939453,0.00029677420388907194,1059.0,0.003942206501960754,,5504,0.12375229597091675,-0.007571667432785034,
172,,,33.35346865653992,,1763260118.7069266,,,,,142.0,6282,,,142.0
195,,,34.42959904670715,,1763260119.783057,,,,,210.0,7524,,,210.0
203,,,34.88363718986511,,1763260120.237095,,,,,64.0,8047,,,64.0
213,,,35.698891162872314,,1763260121.052349,,,,,414.0,8749,,,414.0
217,,,36.128445863723755,,1763260121.4819038,,,,,141.0,9000,,,141.0
