losses/clipfrac,losses/old_approx_kl,losses/approx_kl,_runtime,losses/entropy,charts/learning_rate,_timestamp,charts/SPS,charts/episodic_length,losses/explained_variance,_step,losses/policy_loss,charts/episodic_return,global_step,losses/value_loss
,,,24.532073974609375,,,1763260115.48474,,,,0,,,0,
,,,30.014506101608276,,,1763260120.9671721,,37.0,,7,,37.0,171,
,,,32.06664156913757,,,1763260123.0193076,,54.0,,33,,54.0,767,
,,,32.90355610847473,,,1763260123.8562222,,18.0,,41,,18.0,944,
,,,33.46664094924927,,,1763260124.419307,,36.0,,47,,36.0,1077,
,,,35.58472418785095,,,1763260126.5373902,,56.0,,64,,56.0,1662,
0.0,0.009058468975126743,0.0005065975710749626,37.49272012710571,0.5951399803161621,0.00029877113411203027,1763260128.4453862,241.0,,0.013476729393005371,74,-0.006933890283107758,,2176,156.3804931640625
,,,37.92474150657654,,,1763260128.8774076,,201.0,,77,,201.0,2406,
0.0,-0.0012009302154183388,5.972292274236679e-05,39.63851022720337,0.607805073261261,0.00029831030406057835,1763260130.5911763,263.0,197.0,0.17901241779327393,88,-0.0021536927670240402,197.0,2944,153.41322326660156
,,,41.25262999534607,,,1763260132.205296,,28.0,,102,,28.0,3604,
0.0,0.0007485626265406609,6.074924021959305e-05,41.54100513458252,0.6091751456260681,0.0002978494740091264,1763260132.4936712,284.0,,-0.034181952476501465,104,-0.0006636157631874084,,3712,134.57467651367188
0.0,-0.0004267217591404915,0.0009117601439356804,45.55990386009216,0.5823984146118164,0.00029677420388907194,1763260136.51257,322.0,,0.09410357475280762,133,-0.01356397196650505,,5504,116.55387878417969
0.0,-0.003388836979866028,6.09811395406723e-05,47.51093339920044,0.5547453165054321,0.0002962365688290447,1763260138.4635994,336.0,,0.22681212425231934,147,-0.0027298033237457275,,6400,146.7020721435547
0.013671875,0.012157204560935497,0.005463225767016411,47.81811499595642,0.5862892270088196,0.0002961597638204694,1763260138.770781,337.0,,0.2596139907836914,149,0.00019884109497070312,,6528,85.05501556396484
,,,47.871100664138794,,,1763260138.8237667,,132.0,,150,,132.0,6604,
0.0,0.005869629792869091,0.0010706325992941856,48.841790199279785,0.5852900743484497,0.0002958525437861681,1763260139.7944562,345.0,,0.32800257205963135,155,-0.004985451698303223,,7040,151.97802734375
0.0,0.0037057073786854744,0.0018416168168187141,49.14856195449829,0.62785804271698,0.0002957757387775928,1763260140.101228,346.0,,0.1548042893409729,157,0.014477267861366272,,7168,111.56559753417969
,,,51.30252957344055,,,1763260142.2551956,,133.0,,172,,133.0,8198,
0.0,-0.0003469036892056465,2.772267907857895e-05,54.47468423843384,0.6188850402832031,0.0002943164436146617,1763260145.4273503,369.0,,-0.0155792236328125,195,0.0002695843577384949,,9600,72.31324768066406
,,,55.449705362319946,,,1763260146.4023714,,21.0,,203,,21.0,10091,
0.0,0.0003727981820702553,8.882489055395126e-05,56.81279730796814,0.6081162095069885,0.00029370200354605913,1763260147.7654634,374.0,,0.6140890121459961,213,-0.003100242465734482,,10624,73.89179229736328
0.0,0.004532330669462681,0.00013725180178880692,57.36793041229248,0.592122495174408,0.0002935483935289085,1763260148.3205965,376.0,,0.1846356987953186,217,-0.010379038751125336,,10880,93.94608306884766
0.0,0.0027189506217837334,0.00034994538873434067,58.86162090301514,0.6048798561096191,0.00029308756347745657,1763260149.814287,383.0,,0.659227192401886,228,0.0044529736042022705,,11648,81.23643493652344
,,,59.425790786743164,,,1763260150.3784568,,227.0,,233,,227.0,12007,
0.0,0.0004932843148708344,1.7959624528884888e-05,61.90479135513306,0.537102222442627,0.0002921659033745527,1763260152.8574574,394.0,,-0.01829075813293457,251,-0.00131911039352417,,13184,111.64927673339844
