_step,losses/clipfrac,losses/value_loss,global_step,charts/learning_rate,losses/policy_loss,losses/old_approx_kl,charts/SPS,losses/explained_variance,_runtime,_timestamp,charts/episodic_length,losses/approx_kl,charts/episodic_return,losses/entropy
0,,,0,,,,,,24.528337478637695,1763260115.4809694,,,,
7,,,124,,,,,,29.39255666732788,1763260120.3451886,13.0,,13.0,
33,0.0,49.76619338989258,640,0.0002996927942149341,-0.00017091631889343262,7.31414183974266e-05,184.0,-0.031625986099243164,31.9560067653656,1763260122.9086387,,0.0005000913515686989,,0.6790518164634705
41,,,897,,,,,,32.77965760231018,1763260123.7322896,49.0,,49.0,
47,,,1043,,,,,,33.35156846046448,1763260124.3042004,36.0,,36.0,
64,,,1560,,,,,,35.505897521972656,1763260126.4585295,64.0,,64.0,
74,,,1955,,,,,,37.02866458892822,1763260127.9812965,98.0,,98.0,
77,,,2049,,,,,,37.48251557350159,1763260128.4351475,64.0,,64.0,
88,,,2592,,,,,,39.01670455932617,1763260129.9693365,106.0,,106.0,
102,,,3555,,,,,,41.07213640213013,1763260132.0247684,188.0,,188.0,
104,,,3657,,,,,,41.361393451690674,1763260132.3140254,102.0,,102.0,
133,0.0,106.32328796386719,5760,0.0002966205938719213,-0.009356450289487839,0.005729882977902889,330.0,0.3565213680267334,45.885722398757935,1763260136.8383543,,0.00024485494941473007,,0.5591534972190857
147,0.0,136.92745971679688,6912,0.0002959293487947434,-0.009277552366256714,0.00955002661794424,349.0,0.3356895446777344,48.23681163787842,1763260139.1894436,,0.0006640246137976646,,0.5389432907104492
149,,,7020,,,,,,48.3507354259491,1763260139.3033674,92.0,,92.0,
150,0.0,73.99458312988281,7040,0.0002958525437861681,0.002629205584526062,0.003150847740471363,350.0,0.19574809074401855,48.59015512466431,1763260139.542787,,0.00014007743448019028,,0.4663654863834381
155,0.0,130.19610595703125,7552,0.0002955453237518668,-0.01183301955461502,0.000501047819852829,358.0,0.5700100660324097,49.573479652404785,1763260140.5261116,,0.0012660492211580276,,0.5755268335342407
