_timestamp,losses/value_loss,global_step,losses/approx_kl,charts/episodic_return,_step,charts/SPS,charts/episodic_length,losses/policy_loss,losses/old_approx_kl,losses/entropy,losses/clipfrac,charts/learning_rate,_runtime,losses/explained_variance
1763260114.7149904,,0,,,0,,,,,,,,24.426268339157104,
1763260120.9568303,,134,,38.0,7,,38.0,,,,,,30.668108224868774,
1763260123.0024524,,671,,19.0,33,,19.0,,,,,,32.713730335235596,
1763260123.6326456,,862,,31.0,41,,31.0,,,,,,33.343923568725586,
1763260124.2002118,,1010,,19.0,47,,19.0,,,,,,33.911489725112915,
1763260126.3731945,,1532,,45.0,64,,45.0,,,,,,36.08447241783142,
1763260127.929203,,1849,,21.0,74,,21.0,,,,,,37.64048099517822,
1763260128.3963592,,2001,,23.0,77,,23.0,,,,,,38.10763716697693,
1763260130.0245328,91.69143676757812,2432,0.00034327898174524307,,88,229.0,,-0.0021417438983917236,0.004271200858056545,0.5967381596565247,0.0,0.00029861752409487963,39.73581075668335,0.03920167684555054
1763260131.814581,,3153,,93.0,102,,93.0,,,,,,41.525858879089355,
1763260132.1104171,109.26355743408203,3200,0.0007341532036662102,,104,252.0,,-0.009665489196777344,0.0029272446408867836,0.5989600419998169,0.0,0.0002981566940434277,41.82169508934021,-0.03047800064086914
1763260136.1628065,51.62910461425781,4864,1.8795020878314972e-05,,133,290.0,,-0.00017271190881729126,0.0006151674315333366,0.6015769839286804,0.0,0.00029715822893194854,45.87408447265625,0.008891403675079346
1763260138.196259,86.365966796875,5760,0.00034311693161726,,147,306.0,,-0.001776762306690216,-0.005674517713487148,0.6152769923210144,0.0,0.0002966205938719213,47.90753698348999,0.1122010350227356
1763260138.4959917,,5909,,202.0,149,,202.0,,,,,,48.2072696685791,
1763260138.7705064,134.2666778564453,6016,0.0004750248044729233,,150,311.0,,0.013258829712867737,-0.003375256434082985,0.6468578577041626,0.0,0.00029646698385477066,48.48178434371948,0.07446098327636719
1763260139.426472,96.32303619384766,6272,0.0004233419895172119,,155,313.0,,-0.016062194481492043,0.00464920699596405,0.6240682005882263,0.0,0.00029631337383762,49.137749910354614,0.07539892196655273
1763260139.7429323,117.68588256835938,6400,0.00026205088943243027,,157,315.0,,0.0003402195870876312,0.0012572342529892921,0.6129209995269775,0.0,0.0002962365688290447,49.45421028137207,0.11252278089523315
