losses/approx_kl,losses/clipfrac,losses/explained_variance,charts/episodic_length,losses/value_loss,charts/learning_rate,_step,global_step,losses/entropy,losses/policy_loss,_timestamp,charts/episodic_return,_runtime,charts/SPS,losses/old_approx_kl
,,,,,,0,0,,,1763260114.5838487,,24.331881761550903,,
,,,20.0,,,7,159,,,1763260120.9698036,20.0,30.717836618423462,,
,,,23.0,,,33,688,,,1763260123.0165823,23.0,32.764615297317505,,
,,,18.0,,,41,868,,,1763260123.6406755,18.0,33.38870859146118,,
,,,26.0,,,47,1003,,,1763260124.2729335,26.0,34.02096652984619,,
0.00021316763013601303,0.0,0.018915951251983643,,52.84955978393555,0.0002992319641634822,64,1408,0.6577615737915039,-0.0048687998205423355,1763260126.4956887,,36.24372172355652,199.0,0.0081199174746871
,,,18.0,,,74,1674,,,1763260127.855587,18.0,37.60362005233765,,
,,,79.0,,,77,1807,,,1763260128.3254335,79.0,38.073466539382935,,
,,,60.0,,,88,2190,,,1763260129.856472,60.0,39.60450506210327,,
,,,20.0,,,102,2821,,,1763260131.7301054,20.0,41.47813844680786,,
,,,70.0,,,104,2941,,,1763260131.8242033,70.0,41.57223629951477,,
0.00011875946074724197,0.0,0.04908186197280884,,101.94236755371094,0.0002974654489662498,133,4352,0.5989887714385986,-0.0031479857861995697,1763260135.9851332,,45.733166217803955,262.0,-0.0013449126854538918
,,,84.0,,,147,5124,,,1763260137.9445646,84.0,47.69259762763977,,
0.0002683056518435478,0.0,0.04222679138183594,,100.94274139404297,0.0002969278139062226,149,5248,0.6155237555503845,-0.00602281279861927,1763260138.2777421,,48.02577519416809,278.0,-0.0030656522139906883
,,,51.0,,,150,5269,,,1763260138.3378098,51.0,48.0858428478241,,
4.536192864179611e-05,0.0,0.03496056795120239,,61.58678436279297,0.00029677420388907194,155,5504,0.5875102877616882,-0.0026977621018886566,1763260139.053906,,48.80193901062012,280.0,0.00109903234988451
1.0040588676929474e-05,0.0,0.05879908800125122,,117.55693817138672,0.0002966973988804966,157,5632,0.5751597881317139,0.001942317932844162,1763260139.3739715,,49.12200450897217,282.0,-0.0008477652445435524
