losses/value_loss,losses/old_approx_kl,losses/approx_kl,_runtime,charts/episodic_return,charts/learning_rate,charts/SPS,charts/episodic_length,losses/entropy,_timestamp,global_step,losses/clipfrac,_step,losses/policy_loss,losses/explained_variance
,,,24.551032066345215,,,,,,1763260115.556226,0,,0,,
,,,29.33600926399231,16.0,,,16.0,,1763260120.3412032,125,,7,,
,,,31.746544361114502,24.0,,,24.0,,1763260122.7517383,578,,33,,
,,,32.394777059555054,23.0,,,23.0,,1763260123.399971,763,,41,,
,,,32.96416902542114,35.0,,,35.0,,1763260123.969363,881,,47,,
,,,35.206005334854126,26.0,,,26.0,,1763260126.2111993,1377,,64,,
100.02088165283203,0.014468084089457989,0.0010882848873734474,37.039408445358276,,0.00029900154913775623,208.0,,0.6069347262382507,1763260128.0446024,1792,0.0,74,-0.01472599059343338,-0.02331244945526123
106.3611831665039,-0.0031747277826070786,0.0012359283864498138,37.51874542236328,,0.0002989247441291809,211.0,,0.5421825647354126,1763260128.5239394,1920,0.0,77,-0.012847339734435081,-0.025176286697387695
,,,39.35054802894592,62.0,,,62.0,,1763260130.355742,2561,,88,,
,,,41.118433237075806,199.0,,,199.0,,1763260132.1236272,3228,,102,,
104.0365982055664,0.00490630604326725,0.0012137927114963531,41.43973350524902,,0.0002980798890348524,255.0,,0.5632848739624023,1763260132.4449275,3328,0.01171875,104,-0.006518937647342682,-0.04539501667022705
,,,45.612215518951416,71.0,,,71.0,,1763260136.6174095,5039,,133,,
112.2610092163086,0.0007322449237108231,7.688626646995544e-05,47.775481939315796,,0.000296543788863346,304.0,,0.5719183087348938,1763260138.780676,5888,0.0,147,-0.001177668571472168,0.017698466777801514
127.95589447021484,-0.0007318379357457161,0.00011650379747152328,48.07127499580383,,0.00029646698385477066,306.0,,0.5597982406616211,1763260139.076469,6016,0.0,149,0.001526806503534317,0.18140387535095215
,,,48.12700009346008,123.0,,,123.0,,1763260139.132194,6018,,150,,
,,,48.824132204055786,63.0,,,63.0,,1763260139.8293262,6360,,155,,
36.01182556152344,-0.00065634585916996,0.0002438761293888092,49.13648462295532,,0.0002962365688290447,309.0,,0.5390305519104004,1763260140.1416786,6400,0.0,157,-0.0015150457620620728,0.09594935178756714
,,,51.32363724708557,66.0,,,66.0,,1763260142.3288312,7395,,172,,
,,,54.963576555252075,144.0,,,144.0,,1763260145.9687705,8891,,195,,
,,,56.16456961631775,60.0,,,60.0,,1763260147.1697636,9391,,203,,
,,,57.82780861854553,192.0,,,192.0,,1763260148.8330026,10232,,213,,
130.7604522705078,-0.0009750733152031898,8.956529200077057e-06,58.56166410446167,,0.00029377880855463445,348.0,,0.5882221460342407,1763260149.566858,10496,0.0,217,0.0017368942499160767,-0.0054891109466552734
