losses/policy_loss,charts/episodic_length,losses/entropy,losses/clipfrac,losses/approx_kl,charts/episodic_return,_timestamp,losses/value_loss,global_step,_step,_runtime,charts/learning_rate,losses/explained_variance,charts/SPS,losses/old_approx_kl
,,,,,,1763260114.2879424,,0,0,24.166487455368042,,,,
-0.013940144330263138,,0.6924971342086792,0.0,0.00058741495013237,,1763260120.9494112,46.12750244140625,128,7,30.827956199645996,0.0003000000142492354,-0.0019356012344360352,84.0,0.006865764036774635
,42.0,,,,42.0,1763260122.968659,,708,33,32.847203969955444,,,,
-0.000446319580078125,,0.6871294379234314,0.0,7.686205208301544e-06,,1763260123.848149,90.8198471069336,896,41,33.726694107055664,0.00029953918419778347,-0.0052269697189331055,202.0,-0.00020070094615221024
,60.0,,,,60.0,1763260124.4722452,,1122,47,34.35079026222229,,,,
,104.0,,,,104.0,1763260126.7419991,,1565,64,36.62054419517517,,,,
,26.0,,,,26.0,1763260128.01207,,1846,74,37.89061498641968,,,,
,61.0,,,,61.0,1763260128.5488062,,2025,77,38.427351236343384,,,,
,21.0,,,,21.0,1763260129.9878259,,2398,88,39.86637091636658,,,,
,68.0,,,,68.0,1763260131.9712486,,3135,102,41.849793672561646,,,,
,82.0,,,,82.0,1763260132.257835,,3217,104,42.1363799571991,,,,
,131.0,,,,131.0,1763260136.838522,,5190,133,46.71706700325012,,,,
-0.001497127115726471,,0.5601937174797058,0.0,2.7836300432682037e-05,,1763260139.173422,99.9296875,6144,147,49.05196714401245,0.00029639017884619534,-0.09057533740997314,311.0,0.0013585751876235008
0.0005967244505882263,,0.5907874703407288,0.0,1.0659918189048767e-05,,1763260139.466257,91.84461975097656,6272,149,49.344802141189575,0.00029631337383762,0.16492676734924316,313.0,-0.00047703273594379425
,95.0,,,,95.0,1763260139.5230854,,6326,150,49.40163040161133,,,,
-0.01418427936732769,,0.5838462710380554,0.0,0.001474848948419094,,1763260140.4241316,111.86837768554688,6656,155,50.30267667770386,0.00029608295881189406,0.037316977977752686,317.0,0.013722940348088741
,322.0,,,,322.0,1763260140.7354066,,6872,157,50.613951683044434,,,,
,124.0,,,,124.0,1763260143.5354888,,8151,172,53.41403388977051,,,,
,201.0,,,,201.0,1763260147.5151443,,9890,195,57.39368939399719,,,,
-0.0021617822349071503,,0.5930896997451782,0.0,0.0007816227152943611,,1763260149.0252633,141.62545776367188,10624,203,58.90380835533142,0.00029370200354605913,-0.14400672912597656,359.0,0.010079874657094479
,287.0,,,,287.0,1763260150.5331368,,11424,213,60.41168189048767,,,,
,88.0,,,,88.0,1763260151.1081903,,11752,217,60.986735343933105,,,,
0.0039293766021728516,,0.5725422501564026,0.009765625,0.0005071153864264488,,1763260153.3217943,122.57611083984375,12800,228,63.20033931732178,0.0002923963184002787,0.0976555347442627,377.0,0.0026325536891818047
,236.0,,,,236.0,1763260154.0734193,,13246,233,63.951964378356934,,,,
0.002844378352165222,,0.5805553197860718,0.0,0.00024957675486803055,,1763260156.8877602,143.49826049804688,14720,251,66.76630520820618,0.0002912442432716489,0.03925812244415283,393.0,-0.004179955460131168
0.0035529732704162598,,0.587482213973999,0.0,0.00012935791164636612,,1763260158.3157072,88.47789764404297,15488,259,68.19425225257874,0.00029078341322019696,0.03164702653884888,398.0,-0.000996817834675312
2.2329390048980713e-05,,0.5566439628601074,0.0,3.0938535928726196e-06,,1763260159.198496,85.91722106933594,16000,265,69.0770411491394,0.0002904761931858957,0.0655013918876648,402.0,-0.00030520930886268616
-0.026275411248207092,,0.6089195609092712,0.017578125,0.002026350237429142,,1763260160.4538932,81.51092529296875,16640,273,70.33243823051453,0.0002900921681430191,0.1754714846611023,405.0,-0.004468235187232494
,180.0,,,,180.0,1763260160.5078888,,16710,274,70.38643383979797,,,,
-0.0029721520841121674,,0.60878586769104,0.0,2.6863999664783478e-05,,1763260163.7336962,73.46577453613281,18048,292,73.61224126815796,0.00028924731304869056,0.11632812023162842,407.0,0.0013968823477625847
0.001123480498790741,,0.5212591886520386,0.0,1.1060386896133423e-05,,1763260169.5791721,94.55200958251953,20480,321,79.45771718025208,0.00028778801788575947,0.4987789988517761,408.0,0.0004695821553468704
-0.0010026618838310242,,0.5470076203346252,0.0,0.0001282142475247383,,1763260170.8725212,56.649513244628906,21120,327,80.75106620788574,0.00028740399284288287,-0.036463379859924316,410.0,-0.0021440470591187477
-0.0008741617202758789,,0.5914207696914673,0.0,5.964003503322601e-05,,1763260171.3900456,59.52007293701172,21376,330,81.26859068870544,0.00028725038282573223,-0.02138042449951172,411.0,-0.00057227723300457
,327.0,,,,327.0,1763260171.6857417,,21545,332,81.56428670883179,,,,
-0.01052616536617279,,0.5283239483833313,0.0,0.0023735137656331062,,1763260172.6770806,162.2228240966797,22016,337,82.55562567710876,0.00028686635778285563,0.00024133920669555664,413.0,-0.013881620950996876
,339.0,,,,339.0,1763260173.1989,,22346,340,83.0774450302124,,,,
-0.001354379579424858,,0.6255356073379517,0.0,7.3237344622612e-05,,1763260179.005553,41.69791793823242,25216,370,88.88409805297852,0.0002849462325684726,0.09355425834655762,423.0,-0.00027733296155929565
,349.0,,,,349.0,1763260179.8483603,,25610,375,89.72690534591675,,,,
-0.0038356631994247437,,0.633837103843689,0.0,4.6564266085624695e-05,,1763260183.1100798,77.52352142333984,27008,396,92.98862481117249,0.00028387096244841814,0.005044162273406982,424.0,-0.000697081908583641
-0.002278439700603485,,0.5621018409729004,0.0,3.900192677974701e-05,,1763260187.529768,34.48727798461914,29056,425,97.40831303596497,0.000282642082311213,0.3395290970802307,426.0,0.00250430591404438
,244.0,,,,244.0,1763260190.1947706,,30362,441,100.07331562042236,,,,
-0.0013401713222265244,,0.6226551532745361,0.0,0.0007765702903270721,,1763260192.0376976,33.70046615600586,31232,450,101.9162425994873,0.00028133639716543257,0.2423388957977295,430.0,-0.008281970396637917
,475.0,,,,475.0,1763260195.8012674,,33084,471,105.67981243133545,,,,
-0.013875648379325867,,0.600417971611023,0.0,0.0007178513333201408,,1763260197.861804,27.85082244873047,34048,481,107.74034905433655,0.0002796466869767755,0.006562709808349609,434.0,0.006546475924551487
0.0003280509263277054,,0.6302405595779419,0.0,9.388662874698639e-06,,1763260199.2955368,136.33621215820312,34688,490,109.17408180236816,0.0002792626619338989,0.23205536603927612,434.0,-0.0003797682002186775
,321.0,,,,321.0,1763260201.9261487,,36043,504,111.80469369888306,,,,
,438.0,,,,438.0,1763260204.0382905,,37040,515,113.91683554649353,,,,
0.0022378675639629364,,0.5728568434715271,0.0,0.00027707405388355255,,1763260206.9600596,16.941593170166016,38400,530,116.83860468864441,0.00027703531668521464,0.3343498706817627,438.0,0.00568067841231823
,202.0,,,,202.0,1763260208.3957777,,39074,539,118.2743227481842,,,,
0.0002709105610847473,,0.5566187500953674,0.0,7.782131433486938e-06,,1763260209.790182,78.02838897705078,39680,547,119.66872715950012,0.00027626726659946144,0.6700387001037598,439.0,0.0006464868783950806
,137.0,,,,137.0,1763260210.9667482,,40248,555,120.84529328346252,,,,
-0.0013512447476387024,,0.5584173798561096,0.0,0.00010365992784500122,,1763260211.751636,8.992073059082031,40576,559,121.63018107414246,0.00027572966064326465,0.6747575402259827,439.0,0.0011313799768686295
,149.0,,,,149.0,1763260213.162316,,41319,568,123.04086112976074,,,,
-0.0023498008958995342,,0.6045095324516296,0.0,7.966719567775726e-05,,1763260218.4043884,13.101849555969238,43776,595,128.28293347358704,0.00027380953542888165,-2.287337303161621,442.0,-0.0002199951559305191
-0.00023026764392852783,,0.5953816771507263,0.0,3.328640013933182e-05,,1763260221.4956331,5.77136754989624,45184,612,131.37417817115784,0.0002729646803345531,0.8661566376686096,442.0,0.0002012578770518303
0.0026375800371170044,,0.5616713762283325,0.0,3.1756237149238586e-05,,1763260221.8051898,152.264404296875,45312,614,131.68373489379883,0.0002728878753259778,0.003942906856536865,442.0,-0.0005735252052545547
,158.0,,,,158.0,1763260224.6485143,,46678,630,134.52705931663513,,,,
,369.0,,,,369.0,1763260225.7064822,,47121,636,135.585027217865,,,,
-0.03557024896144867,,0.5421932935714722,0.021484375,0.008722529746592045,,1763260226.5053859,272.7246398925781,47488,640,136.38393092155457,0.00027158219018019736,-0.007203102111816406,443.0,0.04622181877493858
,73.0,,,,73.0,1763260228.258537,,48287,650,138.13708209991455,,,,
0.00193060003221035,,0.5863522887229919,0.0,0.00039710942655801773,,1763260231.1939893,295.7934265136719,49664,664,141.07253432273865,0.0002702765050344169,0.014664173126220703,444.0,-0.001083078794181347
0.0001491587609052658,,0.6336389183998108,0.0,1.3831071555614471e-05,,1763260234.9682915,5.967026710510254,51456,684,144.84683656692505,0.00026920123491436243,-0.22754812240600586,445.0,-0.0006718160584568977
-0.0038307104259729385,,0.5306509137153625,0.0,6.779655814170837e-05,,1763260235.8238468,136.41253662109375,51840,689,145.70239186286926,0.00026897081988863647,0.058484554290771484,445.0,0.002403467893600464
