losses/clipfrac,losses/entropy,charts/learning_rate,losses/explained_variance,losses/approx_kl,charts/episodic_return,charts/SPS,_runtime,losses/old_approx_kl,losses/policy_loss,_step,global_step,_timestamp,losses/value_loss,charts/episodic_length
,,,,,,,24.234476327896118,,,0,0,1763260114.7187223,,
,,,,,11.0,,29.859433889389038,,,7,123,1763260120.34368,,11.0
,,,,,57.0,,32.62632513046265,,,33,789,1763260123.1105711,,57.0
0.0,0.6742522120475769,0.00029946237918920815,0.027140676975250244,0.0006382623687386513,,223.0,33.5280544757843,-0.007779507897794247,-0.004557617008686066,41,1024,1763260124.0123005,84.38897705078125,
0.0,0.6639338731765747,0.00029938557418063283,0.014251947402954102,0.0013352548703551292,,220.0,34.17407774925232,0.011104616336524487,-0.02328912913799286,47,1152,1763260124.6583238,55.86966323852539,
0.0,0.6239484548568726,0.00029907835414633155,0.009050071239471436,0.00034416746348142624,,215.0,36.68652391433716,-0.0019520474597811699,-0.005305803380906582,64,1664,1763260127.17077,94.8431167602539,
,,,,,64.0,,38.2989866733551,,,74,2050,1763260128.7832327,,64.0
0.0,0.593636155128479,0.00029877113411203027,-0.028501391410827637,6.645824760198593e-05,,221.0,38.77940034866333,0.0005408236756920815,-0.003144696354866028,77,2176,1763260129.2636464,89.81536102294922,
0.0,0.6253069639205933,0.000298463914077729,-0.019197702407836914,0.0006055468693375587,,233.0,40.485466957092285,-0.0005248310044407845,0.002457953989505768,88,2688,1763260130.969713,141.8822479248047,
0.0,0.6044158339500427,0.0002980798890348524,0.022124111652374268,7.834285497665405e-06,,248.0,42.36640286445618,-0.00012221187353134155,-0.0012929625809192657,102,3328,1763260132.8506489,77.80084991455078,
0.0,0.5858868360519409,0.00029800308402627707,0.08924210071563721,0.0004359092563390732,,251.0,42.70709800720215,-0.003079628571867943,0.005162730813026428,104,3456,1763260133.191344,116.849609375,
,,,,,173.0,,46.99339413642883,,,133,5015,1763260137.4776402,,173.0
,,,,,37.0,,48.90108895301819,,,147,5701,1763260139.385335,,37.0
,,,,,101.0,,49.25022268295288,,,149,5802,1763260139.7344687,,101.0
,,,,,50.0,,49.32169580459595,,,150,5852,1763260139.8059418,,50.0
