losses/policy_loss,_runtime,losses/entropy,charts/episodic_length,charts/episodic_return,charts/SPS,global_step,losses/old_approx_kl,_step,losses/approx_kl,losses/explained_variance,_timestamp,charts/learning_rate,losses/clipfrac,losses/value_loss
,24.364678859710693,,,,,0,,0,,,1763260114.858249,,,
,30.46144199371338,,21.0,21.0,,138,,7,,,1763260120.955012,,,
,32.52810740470886,,68.0,68.0,,673,,33,,,1763260123.0216775,,,
,33.16519784927368,,43.0,43.0,,852,,41,,,1763260123.658768,,,
-0.021074403077363968,33.94771862030029,0.6055808663368225,,,204.0,1024,0.007998296990990639,47,0.004370914772152901,-0.0037925243377685547,1763260124.4412887,0.00029946237918920815,0.005859375,80.8882064819336
,36.20458626747131,,72.0,72.0,,1572,,64,,,1763260126.6981564,,,
,37.75500702857971,,63.0,63.0,,1979,,74,,,1763260128.248577,,,
,38.178144693374634,,35.0,35.0,,2104,,77,,,1763260128.6717148,,,
,39.669262647628784,,33.0,33.0,,2537,,88,,,1763260130.1628327,,,
,41.40981960296631,,132.0,132.0,,3158,,102,,,1763260131.9033897,,,
,41.70971179008484,,43.0,43.0,,3201,,104,,,1763260132.2032819,,,
,45.23587608337402,,52.0,52.0,,4594,,133,,,1763260135.7294462,,,
-0.0027067922055721283,47.50110411643982,0.5682066082954407,,,296.0,5504,0.0016011474654078484,147,0.00010252837091684341,0.42537814378738403,1763260137.9946742,0.00029677420388907194,0.0,135.2758026123047
,47.610568046569824,,38.0,38.0,,5568,,149,,,1763260138.1041381,,,
-0.007973477244377136,47.86476707458496,0.5323604941368103,,,297.0,5632,7.882621139287949e-05,150,0.0005958797410130501,0.005681157112121582,1763260138.3583372,0.0002966973988804966,0.0,71.80584716796875
,48.53856921195984,,133.0,133.0,,5890,,155,,,1763260139.0321393,,,
,48.65800905227661,,84.0,84.0,,6005,,157,,,1763260139.1515791,,,
,51.19497847557068,,152.0,152.0,,7103,,172,,,1763260141.6885486,,,
-0.005801120772957802,54.56519532203674,0.47889015078544617,,,329.0,8448,0.004002624191343784,195,0.00012910086661577225,-0.01073598861694336,1763260145.0587654,0.0002950076886918396,0.0,69.19498443603516
,55.73723316192627,,257.0,257.0,,8981,,203,,,1763260146.2308033,,,
,57.002793073654175,,55.0,55.0,,9490,,213,,,1763260147.4963632,,,
-0.0002789534628391266,57.6372492313385,0.5835316181182861,45.0,45.0,338.0,9728,-0.0005583716556429863,217,7.559545338153839e-06,0.06208395957946777,1763260148.1308193,0.0002942396386060864,0.0,76.42546081542969
0.0006126724183559418,59.260823488235474,0.6010717749595642,,,346.0,10496,0.0022223247215151787,228,4.848744720220566e-05,0.48667752742767334,1763260149.7543936,0.00029377880855463445,0.0,70.22530364990234
