charts/SPS,losses/clipfrac,losses/old_approx_kl,charts/episodic_length,losses/explained_variance,global_step,_runtime,losses/entropy,losses/policy_loss,charts/episodic_return,_step,losses/approx_kl,_timestamp,losses/value_loss,charts/learning_rate
,,,,,0,24.204047679901123,,,,0,,1763260114.2137506,,
84.0,0.0,0.0009172651916742325,,0.01260077953338623,128,30.938931703567505,0.6928566098213196,-0.000243358314037323,,7,0.0003062821924686432,1763260120.9486346,60.37734603881836,0.0003000000142492354
,,,43.0,,675,32.89426898956299,,,43.0,33,,1763260122.903972,,
,,,44.0,,841,33.499836683273315,,,44.0,41,,1763260123.5095396,,
,,,33.0,,1009,34.04757118225098,,,33.0,47,,1763260124.057274,,
,,,43.0,,1564,36.41722631454468,,,43.0,64,,1763260126.4269292,,
,,,47.0,,2023,37.92936849594116,,,47.0,74,,1763260127.9390714,,
237.0,0.0,0.001291968859732151,,0.10051101446151733,2176,38.58651566505432,0.6122407913208008,-0.0054099708795547485,,77,0.0005328049883246422,1763260128.5962186,137.804931640625,0.00029877113411203027
250.0,0.0,0.0038596978411078453,,-0.011904120445251465,2688,40.15110397338867,0.5735660791397095,-0.01308438926935196,,88,0.0008831722661852837,1763260130.160807,133.66026306152344,0.000298463914077729
,,,205.0,,3610,42.13208889961243,,,205.0,102,,1763260132.1417918,,
,,,160.0,,3770,42.43065428733826,,,160.0,104,,1763260132.4403572,,
,,,221.0,,5873,46.78059434890747,,,221.0,133,,1763260136.7902973,,
,,,246.0,,6786,48.97040033340454,,,246.0,147,,1763260138.9801033,,
,,,173.0,,6959,49.25426626205444,,,173.0,149,,1763260139.2639692,,
351.0,0.0,0.005018109455704689,,0.13863259553909302,7040,49.46280312538147,0.5977823138237,0.009082909673452377,,150,0.0010885819792747498,1763260139.472506,76.68424224853516,0.0002958525437861681
355.0,0.0,0.001008463092148304,,0.255118191242218,7424,50.31362986564636,0.5907824039459229,-0.002316683530807495,,155,0.00025102030485868454,1763260140.3233328,128.18675231933594,0.00029562212876044214
356.0,0.0,-0.016718754544854164,,0.20314955711364746,7552,50.60632610321045,0.5855553150177002,0.02453247457742691,,157,0.0018658731132745743,1763260140.616029,92.22838592529297,0.0002955453237518668
,,,142.0,,8538,52.63531851768494,,,142.0,172,,1763260142.6450214,,
378.0,0.0,0.0015070242807269096,,0.09269392490386963,10112,56.160584449768066,0.5722448825836182,0.010276067070662975,,195,0.0003731166943907738,1763260146.1702874,119.76537322998047,0.0002940092235803604
381.0,0.0,0.0013338495045900345,,0.031153082847595215,10624,57.27303600311279,0.592173159122467,0.0005405843257904053,,203,8.047930896282196e-05,1763260147.282739,118.87422180175781,0.00029370200354605913
385.0,0.0,0.001279694028198719,,0.014293968677520752,11264,58.6530225276947,0.5478617548942566,-0.006770119071006775,,213,0.0002773059532046318,1763260148.6627254,56.28099060058594,0.00029331797850318253
,,,211.0,,11623,59.18259286880493,,,211.0,217,,1763260149.1922958,,
,,,148.0,,12407,60.6788215637207,,,148.0,228,,1763260150.6885245,,
398.0,0.0,0.0007369797676801682,,-0.007282257080078125,12800,61.57650804519653,0.6169849038124084,-0.00038367509841918945,,233,7.838010787963867e-06,1763260151.586211,103.42364501953125,0.0002923963184002787
406.0,0.0,-0.0025657517835497856,,0.06894940137863159,14080,64.10130834579468,0.5984280109405518,-0.00841447338461876,,251,0.00017539318650960922,1763260154.1110113,100.98487854003906,0.0002916282683145255
410.0,0.0,-0.0010240068659186363,,0.2644994854927063,14720,65.24787330627441,0.5975540280342102,0.0032889917492866516,,259,6.1781145632267e-05,1763260155.2575762,95.27423095703125,0.0002912442432716489
