losses/explained_variance,charts/learning_rate,global_step,losses/policy_loss,_runtime,losses/approx_kl,charts/SPS,losses/old_approx_kl,losses/entropy,losses/value_loss,charts/episodic_return,_timestamp,losses/clipfrac,charts/episodic_length,_step
,,0,,24.352583169937134,,,,,,,1763260115.2599092,,,0
,,142,,30.049923181533813,,,,,,32.0,1763260120.9572492,,32.0,7
,,754,,32.11430883407593,,,,,,23.0,1763260123.0216348,,23.0,33
,,914,,33.000067472457886,,,,,,41.0,1763260123.9073935,,41.0,41
,,1029,,33.54243540763855,,,,,,20.0,1763260124.4497614,,20.0,47
,,1621,,35.87961792945862,,,,,,135.0,1763260126.786944,,135.0,64
,,2033,,37.46156859397888,,,,,,35.0,1763260128.3688946,,35.0,74
,,2131,,37.93152642250061,,,,,,50.0,1763260128.8388524,,50.0,77
,,2706,,39.72759008407593,,,,,,106.0,1763260130.634916,,106.0,88
,,3349,,41.52147817611694,,,,,,120.0,1763260132.4288042,,120.0,102
0.0003865957260131836,0.00029800308402627707,3456,-0.013080507516860962,41.82774567604065,0.0014594029635190964,259.0,0.009434541687369347,0.5523508787155151,120.16328430175781,,1763260132.7350717,0.0,,104
0.29929280281066895,0.0002969278139062226,5248,0.010101616382598877,46.176846504211426,0.004862469621002674,297.0,-0.0057449014857411385,0.6055499315261841,121.20733642578125,,1763260137.0841725,0.013671875,,133
,,6155,,48.351388454437256,,,,,,168.0,1763260139.2587144,,168.0,147
,,6334,,48.66680359840393,,,,,,179.0,1763260139.5741296,,179.0,149
-0.03673398494720459,0.0002962365688290447,6400,0.001263253390789032,48.93852424621582,1.598615199327469e-05,313.0,0.00046762917190790176,0.5848218202590942,130.00498962402344,,1763260139.8458502,0.0,,150
0.059367239475250244,0.00029608295881189406,6656,0.000990433618426323,49.59185791015625,0.00021832063794136047,315.0,-0.0013081841170787811,0.5580309629440308,53.616790771484375,,1763260140.499184,0.0,,155
-0.016022086143493652,0.00029600615380331874,6784,-0.0005299076437950134,49.886321783065796,1.6342848539352417e-05,317.0,0.00047309882938861847,0.5834596157073975,147.38929748535156,,1763260140.7936478,0.0,,157
