losses/clipfrac,losses/value_loss,losses/old_approx_kl,_timestamp,charts/episodic_length,global_step,losses/policy_loss,losses/explained_variance,losses/entropy,losses/approx_kl,charts/episodic_return,_runtime,charts/learning_rate,_step,charts/SPS
,,,1763260115.1128054,,0,,,,,,24.2838294506073,,0,
,,,1763260120.3487253,15.0,126,,,,,15.0,29.519749402999878,,7,
,,,1763260122.7378566,27.0,592,,,,,27.0,31.908880710601807,,33,
0.0,70.70867156982422,-0.016064437106251717,1763260123.5558505,,768,0.008863098919391632,-0.00552821159362793,0.6680040955543518,0.0018337015062570572,,32.726874589920044,0.0002996159892063588,41,186.0
,,,1763260124.1592917,29.0,913,,,,,29.0,33.330315828323364,,47,
,,,1763260126.3193924,70.0,1526,,,,,70.0,35.490416526794434,,64,
,,,1763260127.8931894,55.0,1803,,,,,55.0,37.064213514328,,74,
,,,1763260128.3800285,96.0,1946,,,,,96.0,37.55105257034302,,77,
,,,1763260130.062127,100.0,2545,,,,,100.0,39.23315119743347,,88,
,,,1763260131.6273103,35.0,3057,,,,,35.0,40.79833436012268,,102,
,,,1763260131.9397008,102.0,3159,,,,,102.0,41.11072492599487,,104,
0.0,97.75934600830078,-0.008531308732926846,1763260136.129025,,4736,0.002926025539636612,0.01573479175567627,0.589886486530304,0.0013046609237790108,,45.30004906654358,0.00029723503394052386,133,283.0
0.0,182.29107666015625,-0.0007221214473247528,1763260138.4631348,,5760,-0.0001466125249862671,0.15755772590637207,0.5986056923866272,8.704699575901031e-05,,47.63415884971619,0.0002966205938719213,147,302.0
0.0,204.91293334960938,0.0044440608471632,1763260138.7879975,,5888,0.00474165752530098,0.15500611066818237,0.6198920011520386,0.00016675516963005066,,47.95902156829834,0.000296543788863346,149,304.0
,,,1763260138.8424997,150.0,5915,,,,,150.0,48.01352381706238,,150,
0.0,215.81893920898438,0.001013588160276413,1763260139.7318997,,6272,-0.00014002621173858643,-0.021167397499084473,0.6034483313560486,0.00011459179222583771,,48.902923822402954,0.00029631337383762,155,308.0
