losses/value_loss,losses/old_approx_kl,charts/SPS,charts/episodic_length,losses/clipfrac,losses/entropy,_step,_runtime,charts/learning_rate,losses/explained_variance,_timestamp,global_step,losses/approx_kl,losses/policy_loss,charts/episodic_return
,,,,,,0,24.253344774246216,,,1763260114.4642727,0,,,
54.366058349609375,-0.005065565928816795,84.0,,0.0,0.6927728652954102,7,30.738914251327515,0.0003000000142492354,0.0077574849128723145,1763260120.9498422,128,0.0003625229001045227,-0.002656383439898491,
,,,25.0,,,33,32.55119228363037,,,1763260122.7621202,602,,,25.0
66.2056655883789,-0.0033683311194181442,186.0,,0.0,0.6826463937759399,41,33.35002946853638,0.0002996159892063588,0.004967808723449707,1763260123.5609574,768,0.0001645069569349289,-0.0029959450475871563,
,,,22.0,,,47,33.91021370887756,,,1763260124.1211417,947,,,22.0
,,,35.0,,,64,35.77841758728027,,,1763260125.9893456,1383,,,35.0
,,,33.0,,,74,37.557836294174194,,,1763260127.7687643,1805,,,33.0
,,,19.0,,,77,37.746901750564575,,,1763260127.9578297,1894,,,19.0
,,,21.0,,,88,39.30702352523804,,,1763260129.5179515,2244,,,21.0
,,,50.0,,,102,40.77465891838074,,,1763260130.985587,2682,,,50.0
,,,80.0,,,104,41.06721472740173,,,1763260131.2781427,2762,,,80.0
,,,40.0,,,133,44.17063879966736,,,1763260134.3815668,3831,,,40.0
,,,35.0,,,147,45.70035457611084,,,1763260135.9112825,4349,,,35.0
,,,68.0,,,149,46.01368021965027,,,1763260136.2246082,4417,,,68.0
150.6063995361328,-0.0022071506828069687,263.0,,0.0,0.653191864490509,150,46.25489020347595,0.0002973886439576745,-0.024962425231933594,1763260136.4658182,4480,3.692694008350372e-05,0.0016614515334367752,
95.79314422607422,0.00223425030708313,268.0,,0.001953125,0.6514644026756287,155,46.88896584510803,0.00029723503394052386,0.09158170223236084,1763260137.0998938,4736,0.004422981292009354,0.006635865196585655,
,,,55.0,,,157,47.001569747924805,,,1763260137.2124977,4854,,,55.0
112.84890747070312,-0.003792150877416134,286.0,,0.0,0.6424838304519653,172,49.31465148925781,0.0002966205938719213,0.14105993509292603,1763260139.5255795,5760,5.161110311746597e-05,0.00116710364818573,
