global_step,losses/value_loss,_runtime,_timestamp,losses/approx_kl,losses/old_approx_kl,_step,charts/SPS,charts/episodic_return,losses/entropy,losses/policy_loss,charts/learning_rate,charts/episodic_length,losses/clipfrac,losses/explained_variance
0,,24.253305435180664,1763260114.3086605,,,0,,,,,,,,
128,43.20428466796875,30.893315315246582,1763260120.9486704,0.0007522497326135635,0.010180763900279999,7,84.0,,0.6923555135726929,-0.01425895281136036,0.0003000000142492354,,0.0,-0.0019779205322265625
640,140.1881561279297,32.97538614273071,1763260123.0307412,5.4045580327510834e-05,0.00045801419764757156,33,177.0,,0.6866251826286316,-0.0023664049804210663,0.0002996927942149341,,0.0,-0.008010506629943848
839,,33.64869666099548,1763260123.7040517,,,41,,47.0,,,,47.0,,
1014,,34.16532301902771,1763260124.220678,,,47,,25.0,,,,25.0,,
1537,,36.5832245349884,1763260126.6385796,,,64,,28.0,,,,28.0,,
1915,,37.884642124176025,1763260127.9399972,,,74,,35.0,,,,35.0,,
1985,,38.35095810890198,1763260128.4063132,,,77,,30.0,,,,30.0,,
2402,,39.70807671546936,1763260129.7634318,,,88,,24.0,,,,24.0,,
3107,,41.65055704116821,1763260131.705912,,,102,,76.0,,,,76.0,,
3200,82.4765396118164,41.95046901702881,1763260132.005824,0.00045481231063604355,0.0008598873391747475,104,254.0,,0.5743923783302307,-0.0024528205394744873,0.0002981566940434277,,0.0,0.1301245093345642
5368,,46.62817144393921,1763260136.6835265,,,133,,196.0,,,,196.0,,
6272,100.00818634033203,48.85424590110779,1763260138.909601,0.002337586134672165,-0.0019654184579849243,147,322.0,,0.6033686995506287,-0.023173406720161438,0.00029631337383762,,0.005859375,0.45233845710754395
6526,,49.156901836395264,1763260139.212257,,,149,,313.0,,,,313.0,,
6528,155.00465393066406,49.392494440078735,1763260139.4478495,0.00019674282521009445,0.002711295150220394,150,326.0,,0.5604586601257324,0.002102707512676716,0.0002961597638204694,,0.0,0.01645028591156006
7003,,50.268709659576416,1763260140.3240647,,,155,,173.0,,,,173.0,,
7168,146.4806365966797,50.757535457611084,1763260140.8128905,5.804188549518585e-05,-0.0012350212782621384,157,335.0,,0.584671676158905,0.0018653050065040588,0.0002957757387775928,,0.0,0.5036342144012451
8380,,53.26545786857605,1763260143.320813,,,172,,258.0,,,,258.0,,
10414,,57.48254132270813,1763260147.5378964,,,195,,117.0,,,,117.0,,
11008,70.55484008789062,58.81153464317322,1763260148.8668897,2.57221981883049e-05,-0.002843826077878475,203,374.0,,0.5664734840393066,0.0026720836758613586,0.00029347158852033317,,0.0,-0.029973626136779785
11904,129.72146606445312,60.50796151161194,1763260150.5633166,6.816070526838303e-05,0.0004955241456627846,213,382.0,,0.5206183195114136,-0.0009368211030960083,0.00029293395346030593,,0.0,-0.02220475673675537
12160,103.0740966796875,61.05589962005615,1763260151.1112547,2.1861866116523743e-05,-0.0011081229895353317,217,383.0,,0.5472537875175476,-0.0010748803615570068,0.0002927803434431553,,0.0,0.01486891508102417
13056,128.30198669433594,62.842029094696045,1763260152.8973842,7.698312401771545e-05,-0.0016131699085235596,228,390.0,,0.5648723840713501,-0.002420753240585327,0.00029224270838312805,,0.0,0.0031360983848571777
13419,,63.44598031044006,1763260153.5013354,,,233,,121.0,,,,121.0,,
14753,,65.99121260643005,1763260156.0465677,,,251,,123.0,,,,123.0,,
15360,70.73550415039062,67.2234890460968,1763260157.278844,7.146690040826797e-05,0.0007621115073561668,259,405.0,,0.5325286984443665,-0.002613358199596405,0.0002908602182287723,,0.0,0.0329928994178772
15852,,67.98205041885376,1763260158.0374055,,,265,,360.0,,,,360.0,,
16384,119.48434448242188,69.10713219642639,1763260159.1624873,0.00034946948289871216,0.008306747302412987,273,412.0,,0.5842018127441406,-0.005963124334812164,0.0002902457781601697,,0.0,-0.013922452926635742
16485,,69.15755152702332,1763260159.2129066,,,274,,181.0,,,,181.0,,
17792,114.787841796875,72.11368346214294,1763260162.1690385,3.607291728258133e-05,0.0032114433124661446,292,416.0,,0.5768193006515503,-0.0038219764828681946,0.0002894009230658412,,0.0,-0.007226705551147461
