losses/clipfrac,losses/old_approx_kl,_timestamp,charts/episodic_return,losses/entropy,losses/approx_kl,_runtime,losses/policy_loss,charts/learning_rate,charts/episodic_length,charts/SPS,losses/explained_variance,_step,global_step,losses/value_loss
,,1763260082.0255115,,,,25.99892544746399,,,,,,0,0,
,,1763260083.8385324,17.0,,,27.811946392059326,,,17.0,,,7,148,
,,1763260084.4532406,17.0,,,28.42665457725525,,,17.0,,,33,714,
0.0,-0.0024325819686055183,1763260084.680455,,0.6761534810066223,0.0004938403144478798,28.653868913650513,-0.00859456043690443,0.00029953918419778347,,871.0,-0.012009263038635254,41,896,101.10487365722656
,,1763260084.8387494,89.0,,,28.81216335296631,,,89.0,,,47,1110,
,,1763260085.3903909,24.0,,,29.363804817199707,,,24.0,,,64,1609,
,,1763260085.816236,75.0,,,29.789649963378906,,,75.0,,,74,1981,
,,1763260085.951442,41.0,,,29.924855947494507,,,41.0,,,77,2092,
0.0,0.00433634128421545,1763260086.9381206,,0.6346634030342102,0.0019932566210627556,30.911534547805786,0.014876432716846466,0.000298463914077729,,818.0,0.09734576940536499,88,2688,155.17147827148438
0.001953125,-0.00028644315898418427,1763260088.128066,,0.6097251772880554,0.002071566879749298,32.10148000717163,-0.009584899060428143,0.0002980798890348524,,743.0,0.1096571683883667,102,3328,241.96630859375
0.0,-0.0019573625177145004,1763260088.348381,,0.6070145964622498,0.0005446374416351318,32.32179498672485,-0.0009222701191902161,0.00029800308402627707,,735.0,-0.07405102252960205,104,3456,192.4580535888672
0.0,0.004282960668206215,1763260091.7836845,,0.567298948764801,0.00015596672892570496,35.75709843635559,-0.005568146705627441,0.00029677420388907194,,676.0,0.25187456607818604,133,5504,266.45684814453125
,,1763260093.5929928,127.0,,,37.56640672683716,,,127.0,,,147,6440,
,,1763260093.905235,176.0,,,37.87864899635315,,,176.0,,,149,6616,
0.0,0.022777032107114792,1763260094.1428065,,0.5561962127685547,0.0012242086231708527,38.116220474243164,-0.02289893478155136,0.00029608295881189406,,634.0,-0.0700540542602539,150,6656,142.2639923095703
,,1763260094.9861794,399.0,,,38.959593296051025,,,399.0,,,155,7155,
0.0,7.882807403802872e-05,1763260095.4434583,,0.5829451084136963,1.935381442308426e-05,39.41687226295471,-0.0001676715910434723,0.00029569893376901746,,618.0,0.15563607215881348,157,7296,218.59552001953125
,,1763260098.1236084,233.0,,,42.09702229499817,,,233.0,,,172,8587,
,,1763260101.2581503,276.0,,,45.23156428337097,,,276.0,,,195,10468,
0.0,0.0024233339354395866,1763260102.3748462,,0.5599555969238281,0.00012200232595205307,46.348260164260864,0.0033216318115592003,0.00029339478351175785,,594.0,0.10600852966308594,203,11136,194.94635009765625
,,1763260103.5270371,226.0,,,47.50045108795166,,,226.0,,,213,11860,
,,1763260103.9660697,152.0,,,47.939483642578125,,,152.0,,,217,12128,
0.0,0.0006359219551086426,1763260105.2485983,,0.4930802583694458,1.8326565623283386e-05,49.22201228141785,-0.00137416273355484,0.0002923963184002787,,592.0,0.008673012256622314,228,12800,72.34455871582031
0.015625,0.006134293042123318,1763260105.8509376,,0.5447502732276917,0.002881770022213459,49.82435154914856,0.006672529503703117,0.0002921659033745527,,593.0,0.2265681028366089,233,13184,143.0914306640625
,,1763260108.014802,97.0,,,51.988215923309326,,,97.0,,,251,14476,
,,1763260108.932736,214.0,,,52.90614986419678,,,214.0,,,259,15052,
0.0,0.0016341526061296463,1763260109.764424,,0.5254297852516174,0.00010973028838634491,53.73783802986145,-0.0010083317756652832,0.00029078341322019696,,593.0,0.13846200704574585,265,15488,142.4140167236328
0.0,6.248895078897476e-05,1763260110.6403632,,0.5256816148757935,8.936040103435516e-06,54.61377716064453,0.0013316385447978973,0.0002904761931858957,,592.0,0.0045285820960998535,273,16000,111.8744125366211
