losses/clipfrac,losses/old_approx_kl,_runtime,losses/value_loss,charts/learning_rate,_timestamp,losses/approx_kl,charts/episodic_length,losses/entropy,charts/episodic_return,losses/policy_loss,losses/explained_variance,_step,charts/SPS,global_step
,,26.547412872314453,,,1763260082.8074589,,,,,,,0,,0
0.0,-0.005031149834394455,27.566879272460938,59.550384521484375,0.0003000000142492354,1763260083.8269253,0.00035772472620010376,,0.6927777528762817,,-0.002605404704809189,0.007170438766479492,7,826.0,128
,,28.106755256652832,,,1763260084.3668013,,25.0,,25.0,,,33,,602
0.0,-0.003415093757212162,28.329627513885498,73.14969635009766,0.0002996159892063588,1763260084.5896735,0.00017143134027719498,,0.6824572086334229,,-0.003046743106096983,0.004911184310913086,41,836.0,768
,,28.478913068771362,,,1763260084.738959,,22.0,,22.0,,,47,,947
,,28.955242156982422,,,1763260085.2152882,,35.0,,35.0,,,64,,1383
0.0,0.0006310567259788513,29.400853157043457,172.32606506347656,0.00029900154913775623,1763260085.6608992,3.2199546694755554e-05,,0.6504892110824585,,0.0003070831298828125,0.019591331481933594,74,901.0,1792
,,29.522387981414795,,,1763260085.782434,,35.0,,35.0,,,77,,1926
,,29.950650453567505,,,1763260086.2106965,,67.0,,67.0,,,88,,2369
,,31.13223934173584,,,1763260087.3922853,,47.0,,47.0,,,102,,2852
0.0,-0.020842697471380234,31.480371952056885,336.2356262207031,0.000298233499052003,1763260087.740418,0.0011835945770144463,,0.6128882169723511,,0.0045151785016059875,-0.10347902774810791,104,755.0,3072
,,33.905017137527466,,,1763260090.1650631,,34.0,,34.0,,,133,,4182
,,35.2741425037384,,,1763260091.5341885,,57.0,,57.0,,,147,,4821
,,35.52477216720581,,,1763260091.7848182,,107.0,,107.0,,,149,,4928
0.0,-0.00016017816960811615,35.73082160949707,135.67379760742188,0.0002970814239233732,1763260091.9908676,8.396618068218231e-05,,0.6399762630462646,,6.932765245437622e-06,0.16903769969940186,150,600.0,4992
,,36.10561490058899,,,1763260092.365661,,79.0,,79.0,,,155,,5177
,,36.369133949279785,,,1763260092.62918,,132.0,,132.0,,,157,,5309
,,38.596606969833374,,,1763260094.856653,,93.0,,93.0,,,172,,6189
0.0,0.0007483391091227531,41.62081527709961,173.1214599609375,0.00029569893376901746,1763260097.8808613,2.99820676445961e-05,,0.6053642630577087,,-0.0008416064083576202,0.0311586856842041,195,513.0,7296
0.0,0.0007472541183233261,42.57924175262451,66.19734191894531,0.0002954685187432915,1763260098.8392878,1.9634142518043518e-05,,0.6143608689308167,,-0.0006692279130220413,0.022815465927124023,203,506.0,7680
,,43.62323474884033,,,1763260099.8832808,,52.0,,52.0,,,213,,8217
0.0,-0.00035399384796619415,44.11541199684143,216.28323364257812,0.0002950076886918396,1763260100.375458,1.673959195613861e-05,,0.5893014669418335,,-6.360560655593872e-05,-0.04775238037109375,217,505.0,8448
,,45.074437856674194,,,1763260101.3344839,,131.0,,131.0,,,228,,8911
,,45.58875107765198,,,1763260101.848797,,92.0,,92.0,,,233,,9205
,,47.497758626937866,,,1763260103.7578046,,71.0,,71.0,,,251,,10223
,,48.42414903640747,,,1763260104.684195,,165.0,,165.0,,,259,,10742
,,49.12389540672302,,,1763260105.3839414,,199.0,,199.0,,,265,,11126
,,50.036463022232056,,,1763260106.296509,,140.0,,140.0,,,273,,11601
0.0,0.0005926312878727913,50.213544607162476,84.65081787109375,0.00029308756347745657,1763260106.4735906,3.481563180685043e-05,,0.5707331895828247,,0.0014769211411476135,0.17312777042388916,274,510.0,11648
0.0390625,0.04565741494297981,52.14993071556091,71.71533203125,0.000292473123408854,1763260108.4099767,0.006775133311748505,,0.5599895715713501,,-0.004466179758310318,0.16041046380996704,292,512.0,12672
,,55.61148452758789,,,1763260111.8715305,,140.0,,140.0,,,321,,14597
0.0,0.017645027488470078,56.436659812927246,163.6770477294922,0.0002910138282459229,1763260112.6967058,0.004875684157013893,,0.5965480804443359,,0.030681153759360313,0.33914774656295776,327,520.0,15104
,,56.728888511657715,,,1763260112.9889345,,77.0,,77.0,,,330,,15241
0.0,0.000533178448677063,56.980061054229736,114.22393798828125,0.0002908602182287723,1763260113.240107,1.0138377547264099e-05,,0.5979136228561401,,0.0005764365196228027,0.16690868139266968,332,519.0,15360
,,57.609633445739746,,,1763260113.8696795,,213.0,,213.0,,,337,,15748
0.0,-0.006116396747529507,58.059000968933105,149.0981903076172,0.0002904761931858957,1763260114.319047,0.00021555740386247635,,0.6227707862854004,,0.0010886266827583313,0.0946427583694458,340,522.0,16000
,,61.69711351394653,,,1763260117.9571595,,124.0,,124.0,,,370,,17972
0.0,-0.0012183403596282005,65.03099966049194,101.14604949951172,0.0002881720429286361,1763260121.2910457,0.0001544049009680748,,0.58326256275177,,-0.003978852182626724,0.5475853681564331,396,527.0,19840
0.015625,0.01230030506849289,68.88021326065063,114.79430389404297,0.000286712747765705,1763260125.1402593,0.010745778679847717,,0.5306007266044617,,-0.06062313914299011,0.036947011947631836,425,537.0,22272
,,70.78921127319336,,,1763260127.0492573,,196.0,,196.0,,,441,,23432
0.0,0.0002466673031449318,71.90863633155823,90.06268310546875,0.0002856374776456505,1763260128.1686823,1.3521872460842133e-05,,0.5932464599609375,,5.908869206905365e-05,0.28207576274871826,450,540.0,24064
0.0,0.0017714053392410278,74.81633520126343,43.732643127441406,0.00028463901253417134,1763260131.0763812,1.0639429092407227e-05,,0.619562566280365,,-0.0004918277263641357,0.74518883228302,471,542.0,25728
,,75.9219982624054,,,1763260132.1820443,,140.0,,140.0,,,481,,26330
,,77.16584515571594,,,1763260133.4258912,,144.0,,144.0,,,490,,26982
0.0,-0.000949605368077755,79.55515575408936,67.9344253540039,0.0002832565223798156,1763260135.8152018,0.00017424579709768295,,0.5627096891403198,,0.0026420168578624725,0.5987488031387329,504,537.0,28032
,,81.1129961013794,,,1763260137.373042,,139.0,,139.0,,,515,,28915
0.0,-0.0002394896000623703,83.49463844299316,48.86347961425781,0.00028195083723403513,1763260139.7546844,0.00040495581924915314,,0.582625150680542,,-0.0005648881196975708,0.09328240156173706,530,538.0,30208
0.0,0.0010338472202420235,84.79745435714722,40.59249496459961,0.0002814900071825832,1763260141.0575004,5.138758569955826e-05,,0.6153815388679504,,-0.000514395534992218,0.5340622663497925,539,539.0,30976
0.0,0.004311764612793922,86.03210496902466,44.01953125,0.0002810291771311313,1763260142.292151,0.0003260727971792221,,0.6244884729385376,,-0.002692379057407379,0.23044627904891968,547,541.0,31744
,,87.13623261451721,,,1763260143.3962786,,343.0,,343.0,,,555,,32409
0.0,0.006004009395837784,87.75086522102356,52.14449691772461,0.00028041473706252873,1763260144.0109112,0.00011625327169895172,,0.589462399482727,,-0.0018592514097690582,0.7980843782424927,559,543.0,32768
0.001953125,-0.0030027013272047043,89.17204856872559,31.94064712524414,0.0002798771020025015,1763260145.4320946,0.0020569153130054474,,0.5832642912864685,,0.020695626735687256,0.6079944372177124,568,545.0,33664
,,92.90722393989563,,,1763260149.16727,,236.0,,236.0,,,595,,36015
0.0,6.0881488025188446e-05,95.27275061607361,12.876111030578613,0.0002776497567538172,1763260151.5327966,5.548354238271713e-05,,0.5825481414794922,,-0.0028580892831087112,0.9616237878799438,612,550.0,37376
0.0,-0.0004777805879712105,95.65498065948486,31.6840763092041,0.00027749614673666656,1763260151.9150267,0.00041977409273386,,0.5489740371704102,,-0.006388798356056213,0.07288742065429688,614,551.0,37632
0.0,-0.002016664482653141,97.9520616531372,150.7280731201172,0.00027665129164233804,1763260154.2121077,3.4741126000881195e-05,,0.5475717782974243,,-0.0006934106349945068,-0.018378138542175293,630,553.0,39040
0.0,0.0046440670266747475,98.66284966468811,254.95053100585938,0.0002764208766166121,1763260154.9228957,0.0001510651782155037,,0.5438041090965271,,-0.0017006322741508484,0.002341151237487793,636,553.0,39424
,,99.31075954437256,,,1763260155.5708055,,500.0,,500.0,,,640,,39814
,,100.77133059501648,,,1763260157.0313766,,461.0,,461.0,,,650,,40740
