losses/approx_kl,losses/explained_variance,_runtime,losses/value_loss,losses/policy_loss,losses/clipfrac,global_step,losses/entropy,charts/SPS,charts/learning_rate,_step,_timestamp,losses/old_approx_kl,charts/episodic_return,charts/episodic_length
,,26.33261227607727,,,,0,,,,0,1763260082.5869954,,,
2.3361295461654663e-05,0.0072602033615112305,27.574233770370483,52.95024490356445,-0.001101367175579071,0.0,128,0.6931165456771851,727.0,0.0003000000142492354,7,1763260083.8286169,0.00124412402510643,,
,,28.177318572998047,,,,642,,,,33,1763260084.4317017,,13.0,13.0
,,28.328709840774536,,,,808,,,,41,1763260084.583093,,16.0,16.0
,,28.447758436203003,,,,901,,,,47,1763260084.7021415,,15.0,15.0
,,29.01775288581848,,,,1308,,,,64,1763260085.272136,,30.0,30.0
,,29.420816898345947,,,,1633,,,,74,1763260085.6752,,33.0,33.0
,,29.5740225315094,,,,1707,,,,77,1763260085.8284056,,39.0,39.0
0.00013874005526304245,0.07918471097946167,30.297244548797607,152.1556396484375,-0.0011080875992774963,0.0,2048,0.6218118071556091,706.0,0.0002988479391206056,88,1763260086.5516276,-0.001483590342104435,,
,,31.379228830337524,,,,2573,,,,102,1763260087.633612,,77.0,77.0
,,31.44590163230896,,,,2680,,,,104,1763260087.7002847,,35.0,35.0
,,33.9524610042572,,,,3958,,,,133,1763260090.206844,,70.0,70.0
,,35.2401602268219,,,,4591,,,,147,1763260091.4945433,,44.0,44.0
,,35.482752323150635,,,,4694,,,,149,1763260091.7371354,,103.0,103.0
8.014868944883347e-05,-0.006603598594665527,35.66449046134949,132.3611297607422,0.0014740005135536194,0.0,4736,0.595370888710022,572.0,0.00029723503394052386,150,1763260091.9188735,-0.0012842724099755287,,
,,36.17108726501465,,,,5063,,,,155,1763260092.4254704,,181.0,181.0
,,36.43826198577881,,,,5145,,,,157,1763260092.692645,,82.0,82.0
,,38.29184579849243,,,,5936,,,,172,1763260094.546229,,73.0,73.0
1.0152347385883331e-05,-0.07730305194854736,41.30585026741028,252.03811645507812,0.00126725435256958,0.0,7168,0.5716992020606995,515.0,0.0002957757387775928,195,1763260097.5602334,-0.000635969452559948,,
5.641952157020569e-06,-0.024672985076904297,42.255072593688965,73.73373413085938,-0.000858500599861145,0.0,7552,0.6116939783096313,508.0,0.0002955453237518668,203,1763260098.5094557,0.00018166005611419678,,
,,43.15226435661316,,,,8004,,,,213,1763260099.4066474,,93.0,93.0
,,43.6247501373291,,,,8278,,,,217,1763260099.8791332,,213.0,213.0
3.1087547540664673e-06,0.08448737859725952,44.928492307662964,117.66162109375,0.0003479328006505966,0.0,8960,0.6154971122741699,511.0,0.0002947004686575383,228,1763260101.1828754,0.00015504471957683563,,
2.5636516511440277e-05,0.0737379789352417,45.39002704620361,113.08386993408203,0.001784496009349823,0.0,9216,0.5960713028907776,512.0,0.00029454685864038765,233,1763260101.6444101,-5.600694566965103e-05,,
2.2836029529571533e-06,0.4038779139518738,47.22302007675171,125.53304290771484,0.00047145038843154907,0.0,10240,0.6094744205474854,516.0,0.0002939324185717851,251,1763260103.4774032,-0.0007213111966848373,,
,,48.078094244003296,,,,10756,,,,259,1763260104.3324773,,218.0,218.0
,,48.74269080162048,,,,11225,,,,265,1763260104.997074,,90.0,90.0
1.6551464796066284e-05,0.30113399028778076,49.6370325088501,52.266578674316406,-0.0026553571224212646,0.0,11648,0.5667047500610352,523.0,0.00029308756347745657,273,1763260105.8914156,0.0011220425367355347,,
,,49.6802818775177,,,,11709,,,,274,1763260105.934665,,68.0,68.0
0.0005510738119482994,0.03373986482620239,51.5274498462677,82.99942016601562,-0.007257476449012756,0.0,12672,0.5527739524841309,525.0,0.000292473123408854,292,1763260107.781833,0.010587739758193493,,
3.980472683906555e-05,0.826729416847229,54.6802020072937,57.782310485839844,0.0003809109330177307,0.0,14464,0.6129778623580933,530.0,0.0002913978532887995,321,1763260110.934585,0.00013577193021774292,,
0.00010170601308345795,0.017701268196105957,55.32985782623291,90.59723663330078,-0.00229770690202713,0.0,14848,0.5465259552001953,531.0,0.00029116743826307356,327,1763260111.584241,-0.0024507567286491394,,
0.002454773522913456,0.45983219146728516,55.744471311569214,102.96658325195312,-0.0007906481623649597,0.0,15104,0.5231320858001709,532.0,0.0002910138282459229,330,1763260111.9988544,0.015451491810381413,,
0.006180952303111553,0.7803101539611816,55.95942950248718,116.78153991699219,-0.028793148696422577,0.017578125,15232,0.5767650604248047,533.0,0.0002909370232373476,332,1763260112.2138126,0.03027172014117241,,
5.7173892855644226e-05,-0.02904963493347168,56.56303858757019,152.97486877441406,0.0011132080107927322,0.0,15616,0.5524835586547852,535.0,0.00029070660821162164,337,1763260112.8174217,7.22687691450119e-05,,
