global_step,losses/clipfrac,charts/episodic_length,losses/entropy,losses/explained_variance,losses/approx_kl,charts/SPS,_runtime,losses/value_loss,losses/old_approx_kl,losses/policy_loss,_timestamp,charts/episodic_return,_step,charts/learning_rate
0,,,,,,,26.60564661026001,,,,1763260082.8601005,,0,
108,,13.0,,,,,27.488962411880493,,,,1763260083.7434163,13.0,7,
640,0.0,,0.6784082055091858,-0.0037845373153686523,0.0011480161920189857,902.0,28.14778423309326,60.24857711791992,0.002131466753780842,-0.0010604038834571838,1763260084.4022381,,33,0.0002996927942149341
816,,31.0,,,,,28.29371404647827,,,,1763260084.548168,31.0,41,
975,,57.0,,,,,28.433091402053833,,,,1763260084.6875453,57.0,47,
1408,0.0,,0.6615334153175354,-0.02118217945098877,0.00010122079402208328,916.0,28.97399377822876,160.66162109375,-0.0013781199231743813,0.00024475157260894775,1763260085.2284477,,64,0.0002992319641634822
1791,,66.0,,,,,29.260614156723022,,,,1763260085.515068,66.0,74,
1892,,35.0,,,,,29.368857383728027,,,,1763260085.6233113,35.0,77,
2305,,136.0,,,,,29.81027364730835,,,,1763260086.0647275,136.0,88,
3200,0.0,,0.6564308404922485,0.15356189012527466,0.00011818297207355499,826.0,31.309476613998413,148.38961791992188,0.0033997464925050735,-0.0006698444485664368,1763260087.5639305,,102,0.0002981566940434277
3328,0.0,,0.5926027297973633,0.005768895149230957,0.00016612466424703598,815.0,31.521116495132446,203.35275268554688,-0.0036584967747330666,0.0011240793392062187,1763260087.7755704,,104,0.0002980798890348524
4736,0.0,,0.568585991859436,0.09828054904937744,4.0232203900814056e-05,684.0,34.35934519767761,98.417724609375,0.001452363096177578,-0.003458237275481224,1763260090.613799,,133,0.00029723503394052386
5504,0.0,,0.5728158950805664,0.02181464433670044,0.00010606646537780762,650.0,35.89832544326782,180.05032348632812,0.0019134115427732468,-0.004440333694219589,1763260092.1527793,,147,0.00029677420388907194
5587,,69.0,,,,,35.987882137298584,,,,1763260092.242336,69.0,149,
5632,0.0,,0.5976641178131104,0.07418251037597656,0.0003841593861579895,643.0,36.19132852554321,97.21607971191406,-0.0030815284699201584,0.0031029023230075836,1763260092.4457824,,150,0.0002966973988804966
6099,,301.0,,,,,37.004077196121216,,,,1763260093.258531,301.0,155,
6195,,96.0,,,,,37.29062247276306,,,,1763260093.5450764,96.0,157,
7060,,78.0,,,,,39.48211216926575,,,,1763260095.736566,78.0,172,
8560,,199.0,,,,,42.77639198303223,,,,1763260099.0308459,199.0,195,
8960,0.0,,0.5640586614608765,0.2934120297431946,1.3661570847034454e-05,549.0,43.74313402175903,149.70669555664062,0.000576273538172245,-0.0010280832648277283,1763260099.997588,,203,0.0002947004686575383
9656,,173.0,,,,,44.94652009010315,,,,1763260101.200974,173.0,213,
9984,0.0,,0.5907316207885742,0.252174437046051,0.001917099580168724,551.0,45.53124976158142,154.0114288330078,0.014197904616594315,-0.02026737481355667,1763260101.7857037,,217,0.00029408602858893573
10615,,91.0,,,,,46.567373514175415,,,,1763260102.8218274,91.0,228,
10880,0.0,,0.5178770422935486,0.06920254230499268,4.682689905166626e-06,549.0,47.2337121963501,90.162353515625,8.814223110675812e-05,3.51443886756897e-05,1763260103.488166,,233,0.0002935483935289085
12032,0.0,,0.5790271162986755,0.7763262987136841,1.63959339261055e-05,548.0,49.37196087837219,86.52655792236328,0.0001677507534623146,-0.00043604522943496704,1763260105.6264148,,251,0.0002928571484517306
12568,,114.0,,,,,50.32269501686096,,,,1763260106.577149,114.0,259,
13044,,139.0,,,,,51.047773599624634,,,,1763260107.3022275,139.0,265,
13568,0.0,,0.5862139463424683,0.023669719696044922,5.17209991812706e-05,549.0,52.12192368507385,123.1523666381836,0.0031544016674160957,0.001202489249408245,1763260108.3763776,,273,0.00029193548834882677
13576,,92.0,,,,,52.14366865158081,,,,1763260108.3981225,92.0,274,
14755,,151.0,,,,,54.30804967880249,,,,1763260110.5625036,151.0,292,
16768,0.0,,0.5684286952018738,0.4472454786300659,9.158626198768616e-06,550.0,57.89193820953369,94.67974090576172,-0.00035104900598526,-0.0004818961024284363,1763260114.146392,,321,0.00029001536313444376
17152,0.0,,0.5588594675064087,0.13550490140914917,1.8359161913394928e-05,550.0,58.57580018043518,142.22471618652344,0.00032135751098394394,0.0005291476845741272,1763260114.830254,,327,0.0002897849481087178
17408,0.0,,0.6261438131332397,-0.07366466522216797,0.004752861335873604,551.0,59.02589964866638,178.34490966796875,0.02239435911178589,0.016761325299739838,1763260115.2803535,,330,0.00028963133809156716
17536,0.0,,0.6107620000839233,0.5557304620742798,0.00200608279556036,550.0,59.278841972351074,67.98622131347656,-0.016806811094284058,0.008803099393844604,1763260115.5332959,,332,0.00028955453308299184
17890,,92.0,,,,,59.80698204040527,,,,1763260116.061436,92.0,337,
18048,0.0,,0.6255608797073364,0.08810395002365112,2.4653971195220947e-05,549.0,60.270265102386475,104.34492492675781,0.000759536400437355,-0.000858500599861145,1763260116.524719,,340,0.00028924731304869056
20076,,177.0,,,,,63.882872581481934,,,,1763260120.1373265,177.0,370,
20454,,186.0,,,,,64.56473517417908,,,,1763260120.819189,186.0,375,
21888,0.0,,0.5969799757003784,0.3781840205192566,0.0006076497957110405,550.0,67.16855645179749,109.90921783447266,0.0028117960318922997,-0.003364555537700653,1763260123.4230103,,396,0.00028694316279143095
23998,,283.0,,,,,70.45663261413574,,,,1763260126.7110865,283.0,425,
25088,0.0,81.0,0.5797516107559204,0.21690773963928223,0.0005043689161539078,556.0,72.49655437469482,117.32662963867188,0.004008155316114426,-0.003851063549518585,1763260128.7510083,81.0,441,0.00028502303757704794
25817,,189.0,,,,,73.64808201789856,,,,1763260129.902536,189.0,450,
27392,0.0,,0.5917115807533264,0.2912789583206177,1.3879500329494476e-05,556.0,76.69368004798889,51.281558990478516,0.0016775531694293022,-0.0013644378632307053,1763260132.948134,,471,0.0002836405474226922
28160,0.0,,0.5368133783340454,0.04175001382827759,1.5419907867908478e-05,553.0,78.34390068054199,63.5067253112793,-0.00041043851524591446,-0.00034301169216632843,1763260134.5983546,,481,0.00028317971737124026
