_runtime,charts/episodic_length,charts/SPS,_step,losses/value_loss,losses/old_approx_kl,losses/explained_variance,_timestamp,charts/episodic_return,global_step,losses/entropy,losses/clipfrac,losses/approx_kl,charts/learning_rate,losses/policy_loss
25.748563528060913,,,0,,,,1763260082.0049756,,0,,,,,
27.57570505142212,38.0,,7,,,,1763260083.832117,38.0,134,,,,,
28.170880794525146,19.0,,33,,,,1763260084.4272928,19.0,671,,,,,
28.33356785774231,31.0,,41,,,,1763260084.58998,31.0,862,,,,,
28.474669933319092,19.0,,47,,,,1763260084.731082,19.0,1010,,,,,
28.98276662826538,45.0,,64,,,,1763260085.2391787,45.0,1532,,,,,
29.363709926605225,29.0,,74,,,,1763260085.620122,29.0,1858,,,,,
29.48482322692871,78.0,,77,,,,1763260085.7412353,78.0,1983,,,,,
30.199703454971313,,913.0,88,188.85345458984375,-0.007682205177843571,0.024588346481323242,1763260086.4561155,,2560,0.6106928586959839,0.0,0.0011564800515770912,0.0002985407190863043,0.00459442101418972
31.48363471031189,31.0,,102,,,,1763260087.7400467,31.0,3270,,,,,
31.56221842765808,28.0,,104,,,,1763260087.8186305,28.0,3315,,,,,
34.72763180732727,,663.0,133,89.68597412109375,0.00041547324508428574,0.08152186870574951,1763260090.9840438,,4864,0.5572508573532104,0.0,6.419606506824493e-06,0.00029715822893194854,0.0002910234034061432
36.31249713897705,36.0,,147,,,,1763260092.5689092,36.0,5679,,,,,
36.595654010772705,163.0,,149,,,,1763260092.852066,163.0,5842,,,,,
36.810805320739746,,625.0,150,139.58251953125,-0.00018520280718803406,0.1891515851020813,1763260093.0672174,,5888,0.6058220863342285,0.0,1.9669532775878906e-05,0.000296543788863346,9.569898247718811e-05
37.493576765060425,163.0,,155,,,,1763260093.7499888,163.0,6252,,,,,
37.81203484535217,102.0,,157,,,,1763260094.0684469,102.0,6354,,,,,
39.973275661468506,140.0,,172,,,,1763260096.2296877,140.0,7255,,,,,
43.21451687812805,196.0,,195,,,,1763260099.470929,196.0,8630,,,,,
44.19946527481079,112.0,,203,,,,1763260100.4558773,112.0,9146,,,,,
45.398075103759766,177.0,,213,,,,1763260101.6544871,177.0,9776,,,,,
45.856698513031006,,540.0,217,100.86092376708984,0.0007836809381842613,0.1480352282524109,1763260102.1131105,,9984,0.6193387508392334,0.0,3.0240043997764587e-06,0.00029408602858893573,-7.607415318489075e-05
47.03202271461487,,541.0,228,99.1080322265625,0.0009680036455392838,-0.05596518516540527,1763260103.2884347,,10624,0.5790339112281799,0.0,2.508796751499176e-05,0.00029370200354605913,-0.0008438173681497574
47.550252199172974,77.0,,233,,,,1763260103.8066642,77.0,10965,,,,,
49.94228005409241,,545.0,251,191.0462188720703,-0.0013078376650810242,0.0037096142768859863,1763260106.198692,,12288,0.6168196797370911,0.0,3.261491656303406e-05,0.00029270353843457997,-0.0007243268191814423
51.03423452377319,280.0,,259,,,,1763260107.2906466,280.0,12971,,,,,
51.730579137802124,141.0,,265,,,,1763260107.9869912,141.0,13367,,,,,
52.822636127471924,,548.0,273,73.16899871826172,-0.00042543094605207443,-0.004608511924743652,1763260109.0790482,,13952,0.642856776714325,0.0,2.9942020773887634e-06,0.0002917050733231008,-0.00017008930444717407
52.87739086151123,138.0,,274,,,,1763260109.133803,138.0,14044,,,,,
55.129682779312134,196.0,,292,,,,1763260111.3860948,196.0,15253,,,,,
58.58588719367981,112.0,,321,,,,1763260114.8422992,112.0,17235,,,,,
59.325453996658325,174.0,,327,,,,1763260115.581866,174.0,17562,,,,,
59.736690282821655,,550.0,330,65.81703186035156,0.020791416987776756,0.4530177116394043,1763260115.9931023,,17792,0.5835292339324951,0.001953125,0.003057977184653282,0.0002894009230658412,0.004150159657001495
59.97066116333008,158.0,,332,,,,1763260116.2270732,158.0,17926,,,,,
60.669597864151,317.0,,337,,,,1763260116.92601,317.0,18428,,,,,
61.10139799118042,,550.0,340,89.01759338378906,0.0022384338080883026,0.30854088068008423,1763260117.35781,,18560,0.5987368226051331,0.0,2.8567388653755188e-05,0.0002889400930143893,-0.00040375813841819763
65.08056354522705,168.0,,370,,,,1763260121.3369756,168.0,20939,,,,,
65.89668226242065,,555.0,375,149.1280975341797,0.004723796620965004,0.0060506463050842285,1763260122.1530943,,21376,0.5704103708267212,0.0,0.000388244166970253,0.00028725038282573223,-0.0030806586146354675
68.40067315101624,107.0,,396,,,,1763260124.6570852,107.0,22956,,,,,
71.96729493141174,,562.0,425,79.8947525024414,0.0026549426838755608,-0.3164111375808716,1763260128.223707,,25088,0.6043792366981506,0.0,0.00026629213243722916,0.00028502303757704794,-0.0034844428300857544
74.32504630088806,,564.0,441,36.779930114746094,0.005471479147672653,0.6744623184204102,1763260130.5814583,,26496,0.6013243794441223,0.0,0.0009941142052412033,0.0002841781824827194,-0.00493234395980835
75.54011416435242,262.0,,450,,,,1763260131.7965262,262.0,27167,,,,,
78.93541216850281,,558.0,471,28.098901748657227,0.002916562370955944,0.8016436100006104,1763260135.1918242,,28800,0.5655530095100403,0.0,0.000174681656062603,0.00028279569232836366,-0.0009294897317886353
80.37892651557922,282.0,,481,,,,1763260136.6353385,282.0,29542,,,,,
81.7143988609314,125.0,,490,,,,1763260137.970811,125.0,30255,,,,,
83.58396935462952,,555.0,504,172.06121826171875,-0.0024173948913812637,0.4865943193435669,1763260139.8403814,,31232,0.5673637390136719,0.0,6.997399032115936e-05,0.00028133639716543257,0.0006816871464252472
84.98397374153137,164.0,,515,,,,1763260141.2403858,164.0,32102,,,,,
86.98843789100647,,556.0,530,189.93075561523438,0.0010272376239299774,0.23728656768798828,1763260143.24485,,33152,0.5327361226081848,0.0,3.18232923746109e-05,0.00028018432203680277,-0.00034471601247787476
88.33933925628662,162.0,,539,,,,1763260144.5957513,162.0,34031,,,,,
89.53675627708435,,558.0,547,18.437211990356445,0.0007917284965515137,0.6742638349533081,1763260145.7931683,,34688,0.5742403864860535,0.0,5.7384371757507324e-05,0.0002792626619338989,-0.0001415349543094635
90.60333943367004,,558.0,555,46.96133804321289,-0.0007030842825770378,-3.47304630279541,1763260146.8597515,,35328,0.565608561038971,0.0,3.307219594717026e-05,0.0002788786368910223,0.0013563334941864014
91.20603919029236,,559.0,559,9.563862800598145,-0.012023449875414371,0.9830427765846252,1763260147.4624512,,35712,0.5763553977012634,0.0,0.00080073531717062,0.00027864822186529636,-0.0019558630883693695
92.33985590934753,,559.0,568,12.802862167358398,-0.006376025266945362,0.9666971564292908,1763260148.596268,,36352,0.5985145568847656,0.0,0.00020142365247011185,0.00027826419682241976,-9.454786777496338e-05
96.31887888908386,,562.0,595,30.011146545410156,-0.0008002202957868576,-0.09863913059234619,1763260152.575291,,38784,0.6051012277603149,0.0,0.00010107271373271942,0.0002768049016594887,0.0031609460711479187
98.54017806053162,250.0,,612,,,,1763260154.79659,250.0,40178,,,,,
98.90768074989319,,563.0,614,23.620983123779297,-0.0012582307681441307,0.16014933586120605,1763260155.1640928,,40320,0.6021655797958374,0.0,5.238689482212067e-06,0.0002758832706604153,-0.0006201192736625671
101.13288640975952,,564.0,630,25.161407470703125,0.00019466131925582886,0.055066049098968506,1763260157.3892984,,41600,0.5784900188446045,0.0,2.8479844331741333e-06,0.0002751152205746621,0.00013455748558044434
