charts/SPS,charts/episodic_length,_timestamp,global_step,losses/approx_kl,losses/explained_variance,charts/episodic_return,losses/entropy,losses/old_approx_kl,losses/clipfrac,charts/learning_rate,_step,losses/policy_loss,_runtime,losses/value_loss
,,1763260081.8989065,0,,,,,,,,0,,25.893972396850586,
,25.0,1763260083.8354883,152,,,25.0,,,,,7,,27.830554246902466,
,17.0,1763260084.4551022,699,,,17.0,,,,,33,,28.450168132781982,
874.0,,1763260084.677622,896,0.00027519091963768005,-0.009378671646118164,,0.688188910484314,-0.004736144095659256,0.0,0.00029953918419778347,41,-0.004269644618034363,28.672688007354736,79.83211517333984
,22.0,1763260084.8062148,1037,,,22.0,,,,,47,,28.801280736923218,
,64.0,1763260085.4611492,1682,,,64.0,,,,,64,,29.456215143203735,
,53.0,1763260085.8099942,1970,,,53.0,,,,,74,,29.805060148239136,
,28.0,1763260085.932109,2053,,,28.0,,,,,77,,29.927175045013428,
806.0,,1763260086.8279233,2560,0.001676204614341259,0.029702365398406982,,0.5820251703262329,0.006758199073374271,0.0,0.0002985407190863043,88,-0.006540432572364807,30.822989225387573,97.91578674316406
728.0,,1763260088.2227387,3328,0.0014499286189675331,0.04907780885696411,,0.6170887351036072,-0.015580552630126476,0.0,0.0002980798890348524,102,-0.004392601549625397,32.21780467033386,138.78651428222656
,199.0,1763260088.4648776,3475,,,199.0,,,,,104,,32.459943532943726,
,46.0,1763260091.5351913,5000,,,46.0,,,,,133,,35.53025722503662,
,60.0,1763260093.0952585,5723,,,60.0,,,,,147,,37.09032440185547,
,100.0,1763260093.3951414,5823,,,100.0,,,,,149,,37.390207290649414,
588.0,,1763260093.664843,5888,1.5022233128547668e-06,0.045646607875823975,,0.6124588847160339,-4.450138658285141e-05,0.0,0.000296543788863346,150,-0.0006064698100090027,37.65990900993347,136.71974182128906
575.0,,1763260094.3272498,6144,2.1550804376602173e-06,-0.0018211603164672852,,0.6268660426139832,0.0005373358726501465,0.0,0.00029639017884619534,155,-0.00040538981556892395,38.32231569290161,77.5516586303711
571.0,,1763260094.6176417,6272,4.517845809459686e-06,0.0239219069480896,,0.6153579950332642,-0.00065662432461977,0.0,0.00029631337383762,157,-0.0011310838162899017,38.61270761489868,159.53652954101562
543.0,,1763260096.8532484,7168,7.49882310628891e-05,0.033468544483184814,,0.6551051139831543,0.0010019391775131226,0.0,0.0002957757387775928,172,-0.00629737414419651,40.84831428527832,228.5160369873047
,157.0,1763260099.9493713,8585,,,157.0,,,,,195,,43.94443726539612,
525.0,,1763260100.939019,9088,8.72807577252388e-05,0.17283201217651367,,0.5844244360923767,-0.0018005063757300377,0.0,0.000294623663648963,203,0.004044421948492527,44.93408489227295,101.89237976074219
,149.0,1763260102.1393805,9845,,,149.0,,,,,213,,46.13444638252258,
,272.0,1763260102.7124555,10117,,,272.0,,,,,217,,46.70752143859863,
,265.0,1763260104.2796516,11115,,,265.0,,,,,228,,48.274717569351196,
,103.0,1763260104.9262295,11512,,,103.0,,,,,233,,48.921295404434204,
539.0,,1763260107.3691666,12800,0.00015417486429214478,0.05495023727416992,,0.5950940251350403,-0.009202878922224045,0.0,0.0002923963184002787,251,-0.0016603115946054459,51.364232540130615,123.38591003417969
,146.0,1763260108.2957633,13356,,,146.0,,,,,259,,52.29082918167114,
540.0,,1763260109.0148923,13696,2.201646566390991e-06,0.1459154486656189,,0.6141298413276672,0.00012861378490924835,0.0,0.00029185868334025145,265,-0.00011294148862361908,53.009958267211914,142.84613037109375
539.0,,1763260110.0059357,14208,3.3049844205379486e-05,-0.02234506607055664,,0.5489288568496704,0.0016375286504626274,0.0,0.00029155146330595016,273,-0.003200151026248932,54.001001596450806,99.69737243652344
,131.0,1763260110.0637956,14325,,,131.0,,,,,274,,54.05886149406433,
,204.0,1763260112.4420714,15699,,,204.0,,,,,292,,56.43713736534119,
546.0,,1763260116.4600186,17920,0.0008571632206439972,0.5151711702346802,,0.5267715454101562,0.007821580395102501,0.0,0.0002893241180572659,321,-0.004143957979977131,60.455084562301636,125.7982406616211
547.0,,1763260117.3430908,18432,0.0011750375851988792,0.15882635116577148,,0.5467299222946167,-0.0070804813876748085,0.0,0.0002890168980229646,327,-0.012128591537475586,61.33815670013428,79.8115234375
,130.0,1763260117.6376467,18650,,,130.0,,,,,330,,61.632712602615356,
547.0,,1763260118.0204768,18816,0.0007683737203478813,0.749401330947876,,0.569019615650177,-0.0054334430024027824,0.0,0.00028878648299723864,332,0.014185680076479912,62.01554274559021,88.33863830566406
,138.0,1763260118.5418541,19108,,,138.0,,,,,337,,62.53692007064819,
546.0,,1763260118.9964464,19328,0.006395966745913029,0.6318951845169067,,0.5339850187301636,0.007180909626185894,0.041015625,0.00028847926296293736,340,0.02775638736784458,62.991512298583984,46.70850372314453
548.0,,1763260122.8499699,21504,0.0004886072129011154,0.947033703327179,,0.5760519504547119,0.00834704376757145,0.0,0.0002871735778171569,370,-0.007099658250808716,66.8450357913971,26.40544319152832
,109.0,1763260123.3583314,21778,,,109.0,,,,,375,,67.35339736938477,
553.0,,1763260125.9729996,23424,0.00033711735159158707,0.85213702917099,,0.5861856937408447,0.0001863306388258934,0.0,0.0002860215026885271,396,0.0006407927721738815,69.9680655002594,23.18194580078125
,500.0,1763260129.8955436,25769,,,500.0,,,,,425,,73.89060950279236,
556.0,,1763260132.601798,27264,0.00010896846652030945,-0.006702065467834473,,0.571830689907074,3.1113624572753906e-05,0.0,0.0002837173524312675,441,0.0021678656339645386,76.59686398506165,71.05874633789062
,111.0,1763260133.9467673,27954,,,111.0,,,,,450,,77.94183325767517,
,451.0,1763260137.703365,29826,,,451.0,,,,,471,,81.69843101501465,
,211.0,1763260139.1160138,30712,,,211.0,,,,,481,,83.11107969284058,
,179.0,1763260140.4748716,31412,,,179.0,,,,,490,,84.4699375629425,
552.0,,1763260142.472975,32512,5.32250851392746e-06,-0.01665949821472168,,0.5533181428909302,-0.0007201572880148888,0.0,0.00028056834707967937,504,0.0010853670537471771,86.46804094314575,49.484893798828125
554.0,,1763260144.1809175,33536,8.476898074150085e-06,0.7787562608718872,,0.5363881587982178,-0.0008150618523359299,0.0,0.0002799539070110768,515,-0.0007994845509529114,88.17598342895508,27.688030242919922
554.0,,1763260146.1756287,34688,0.0007772650569677353,0.8855246305465698,,0.507594883441925,-0.004966225475072861,0.0,0.0002792626619338989,530,-0.0006366968154907227,90.17069458961487,30.945507049560547
,171.0,1763260147.2856736,35398,,,171.0,,,,,539,,91.28073954582214,
555.0,,1763260148.363311,35968,0.002977888099849224,0.29674220085144043,,0.5422033071517944,0.022036820650100708,0.0,0.0002784946118481457,547,0.02262018248438835,92.35837697982788,76.96927642822266
556.0,,1763260149.4553668,36608,0.00046378467231988907,-0.2005164623260498,,0.5147396922111511,-0.010294162668287754,0.0,0.0002781105868052691,555,-0.010316412895917892,93.45043277740479,166.40289306640625
556.0,,1763260150.070594,36992,6.669014692306519e-05,0.8784857392311096,,0.5236947536468506,0.004177834838628769,0.0,0.00027788017177954316,559,-0.000482708215713501,94.06565999984741,12.032200813293457
,163.0,1763260151.2193582,37672,,,163.0,,,,,568,,95.21442413330078,
559.0,,1763260155.2341526,40064,0.0056484537199139595,0.21676725149154663,,0.5625274777412415,0.030331531539559364,0.009765625,0.00027603688067756593,595,0.027966871857643127,99.22921848297119,262.8431091308594
561.0,,1763260157.9165378,41728,3.563240170478821e-06,-0.004305481910705566,,0.5501189827919006,0.0005808081477880478,0.0,0.00027503841556608677,612,-0.00036587566137313843,101.91160368919373,20.137380599975586
,392.0,1763260158.1450458,41971,,,392.0,,,,,614,,102.1401116847992,
564.0,,1763260160.7448678,43520,5.717389285564423e-06,-0.0056972503662109375,,0.5289862155914307,0.0009210864081978798,0.0,0.0002739631454460323,630,0.0006713643670082092,104.73993372917175,16.27661895751953
565.0,,1763260161.7767801,44160,5.937647074460983e-05,-0.013919949531555176,,0.4766205847263336,-0.0001913299784064293,0.0,0.0002735791204031557,636,0.00018638744950294495,105.7718460559845,14.570718765258789
,130.0,1763260162.2701488,44496,,,130.0,,,,,640,,106.26521468162537,
,500.0,1763260163.8891509,45496,,,500.0,,,,,650,,107.88421678543091,
,447.0,1763260166.1377647,46934,,,447.0,,,,,664,,110.13283061981201,
569.0,,1763260169.5189476,48896,0.0004447326064109802,0.05445432662963867,,0.5648813247680664,-0.008901512250304222,0.0,0.00027073733508586884,684,0.004116557538509369,113.51401352882385,10.210897445678711
569.0,,1763260170.3512115,49408,0.00020158104598522186,0.39297914505004883,,0.5610196590423584,0.0006148014217615128,0.0,0.00027043011505156755,689,-0.002522967755794525,114.34627747535706,8.867883682250977
570.0,,1763260171.8261225,50304,0.0012397011741995811,-1.11751389503479,,0.47769442200660706,-0.015753399580717087,0.0,0.0002698924799915403,698,0.005907848477363586,115.82118844985962,9.967364311218262
570.0,,1763260172.4727368,50688,0.00029195472598075867,0.006920576095581055,,0.4913453161716461,0.005257287994027138,0.0,0.00026966206496581435,702,-0.004449076950550079,116.46780276298523,6.751854419708252
571.0,,1763260173.302967,51200,0.0006225397810339928,-0.005176067352294922,,0.48416757583618164,9.730365127325058e-05,0.001953125,0.00026935484493151307,707,0.0020888149738311768,117.2980329990387,6.005679130554199
572.0,,1763260176.8354661,53376,1.4601275324821472e-05,0.10958677530288696,,0.49989235401153564,0.0002905186265707016,0.0,0.0002680491597857326,729,0.00044054538011550903,120.83053207397461,4.366065502166748
,500.0,1763260181.2438884,56116,,,500.0,,,,,757,,125.2389543056488,
,500.0,1763260182.0182877,56616,,,500.0,,,,,762,,126.0133535861969,
575.0,,1763260182.81204,57088,2.53971666097641e-06,-0.004627346992492676,,0.5221889019012451,0.001448524184525013,0.0,0.00026582181453704834,767,3.9206817746162415e-05,126.8071060180664,2.312016248703003
576.0,,1763260184.0093203,57856,0.0007591638714075089,0.03814125061035156,,0.5040905475616455,0.00048028305172920227,0.0,0.0002653609844855964,775,0.012944057583808899,128.00438618659973,235.91854858398438
,479.0,1763260185.9362936,59167,,,479.0,,,,,788,,129.93135952949524,
578.0,,1763260186.1264431,59264,0.0012454502284526825,0.04339492321014404,,0.4841234087944031,0.005363646894693375,0.0,0.0002645161293912679,789,-0.008949726819992065,130.1215090751648,522.963134765625
579.0,,1763260187.420154,60160,0.00020895525813102722,-0.03141331672668457,,0.5201162099838257,0.0033504441380500793,0.0,0.00026397849433124065,797,0.0016385316848754883,131.41522002220154,0.6172987222671509
580.0,,1763260188.8343604,61056,0.0001721065491437912,-0.028017163276672363,,0.5259820818901062,-0.00014584138989448547,0.0,0.0002634408592712134,806,-0.00018046051263809204,132.82942628860474,0.43231841921806335
581.0,,1763260190.2478707,61952,6.906036287546158e-05,-0.09963631629943848,,0.5235477685928345,-0.002194431610405445,0.0,0.00026290322421118617,815,0.00019287317991256714,134.24293661117554,0.256736695766449
586.0,,1763260197.6363695,66816,0.0014219945296645164,0.4541324973106384,,0.5228683948516846,0.011544614098966122,0.0,0.000259984633885324,863,0.001096205785870552,141.6314353942871,0.0025422563776373863
587.0,,1763260198.9610803,67712,0.00021881051361560822,0.0005341768264770508,,0.5002201795578003,0.003993198275566101,0.0,0.00025944699882529676,872,-0.00041556917130947113,142.95614624023438,528.9454345703125
,500.0,1763260199.5786748,68144,,,500.0,,,,,876,,143.5737407207489,
592.0,,1763260205.7470474,72320,0.0025988826528191566,0.1728869080543518,,0.5211028456687927,0.021295122802257538,0.0,0.00025668201851658523,916,-0.0037064328789711,149.7421133518219,0.005402238108217716
593.0,,1763260206.6703446,72960,0.013712632469832897,0.521640419960022,,0.5298678874969482,-0.03202902153134346,0.05859375,0.00025629799347370863,922,0.018928054720163345,150.66541051864624,0.001326391356997192
593.0,,1763260207.8067029,73728,0.011425958015024662,0.26719963550567627,,0.5393478274345398,0.0191796887665987,0.05078125,0.0002558371634222567,930,0.009518608450889587,151.80176877975464,416.15264892578125
