_step,charts/episodic_length,_runtime,losses/policy_loss,charts/learning_rate,charts/SPS,global_step,_timestamp,losses/value_loss,losses/entropy,losses/clipfrac,losses/approx_kl,losses/old_approx_kl,losses/explained_variance,charts/episodic_return
0,,26.3916335105896,,,,0,1763260082.6504705,,,,,,,
7,,27.567680597305298,-0.0029237978160381317,0.0003000000142492354,736.0,128,1763260083.8265176,35.995811462402344,0.6930699348449707,0.0,6.074458360671997e-05,0.0026572737842798233,-0.017941713333129883,
33,13.0,28.087498426437378,,,,617,1763260084.3463354,,,,,,,13.0
41,,28.314288854599,-0.019247964024543762,0.0002996159892063588,834.0,768,1763260084.5731258,67.19808197021484,0.6872366070747375,0.0,0.0008708927780389786,0.011987799778580666,0.008129656314849854,
47,,28.445292472839355,-0.026809044182300568,0.00029953918419778347,852.0,896,1763260084.7041295,53.258453369140625,0.6783984899520874,0.0,0.0018212022259831429,0.018016628921031952,-0.011433601379394531,
64,,28.987859964370728,0.0009574778378009796,0.0002992319641634822,883.0,1408,1763260085.246697,65.89323425292969,0.6741394996643066,0.0,3.5779550671577454e-05,-0.0014178473502397537,0.02224123477935791,
74,,29.38978338241577,-0.006421364843845367,0.00029900154913775623,897.0,1792,1763260085.6486204,81.33966827392578,0.638342022895813,0.0,0.00018914509564638138,0.0015467973425984383,0.0005483627319335938,
77,,29.510427474975586,-0.0035414360463619232,0.0002989247441291809,907.0,1920,1763260085.7692645,108.95318603515625,0.6633622050285339,0.0,0.00018129311501979828,0.0009074341505765915,-0.06451416015625,
88,,30.064347982406616,-0.013565879315137863,0.00029869432910345495,862.0,2304,1763260086.323185,83.30831146240234,0.6292077302932739,0.0,0.0008314810693264008,0.013474537059664726,-0.019792556762695312,
102,51.0,31.474730491638184,,,,3123,1763260087.7335675,,,,,,,51.0
104,90.0,31.682414531707764,,,,3213,1763260087.9412515,,,,,,,90.0
133,26.0,34.75545001029968,,,,4894,1763260091.014287,,,,,,,26.0
147,,36.475552558898926,-0.0066679902374744415,0.0002966205938719213,634.0,5760,1763260092.7343895,148.15724182128906,0.6193802952766418,0.0,0.0004493342712521553,0.010932601056993008,0.009785711765289307,
149,267.0,36.793606996536255,,,,5980,1763260093.052444,,,,,,,267.0
150,20.0,36.80193877220154,,,,6000,1763260093.0607758,,,,,,,20.0
155,,37.63577651977539,-0.013618864119052887,0.00029631337383762,612.0,6272,1763260093.8946135,98.95648956298828,0.5901470184326172,0.0,0.00044072791934013367,0.004277456551790237,-0.04321467876434326,
157,,37.91077995300293,0.002008426934480667,0.0002962365688290447,608.0,6400,1763260094.169617,127.52688598632812,0.6352577209472656,0.0,8.418131619691849e-05,-0.00013620126992464066,0.2526187300682068,
172,,39.89583897590637,-0.001078253611922264,0.0002957757387775928,573.0,7168,1763260096.154676,156.3716583251953,0.6174938678741455,0.0,1.0837800800800323e-05,0.00044773053377866745,-0.10166966915130615,
195,,43.24546551704407,-0.00592321902513504,0.00029485407867468894,549.0,8704,1763260099.5043025,238.06558227539062,0.6352077126502991,0.0,0.00016122125089168549,0.010083746165037155,0.024535536766052246,
203,116.0,44.22088074684143,,,,9239,1763260100.4797177,,,,,,,116.0
213,155.0,45.496821880340576,,,,10014,1763260101.7556589,,,,,,,155.0
217,246.0,45.95401906967163,,,,10303,1763260102.212856,,,,,,,246.0
228,,47.246339082717896,0.006442634388804436,0.00029347158852033317,554.0,11008,1763260103.505176,106.66402435302734,0.5853778123855591,0.0,0.00031704362481832504,-0.0033543696627020836,-0.0005776882171630859,
233,,47.90158724784851,-0.0002014636993408203,0.0002932411734946072,555.0,11392,1763260104.1604242,121.04447937011719,0.5570778846740723,0.0,9.466893970966339e-06,0.0001106439158320427,0.02184087038040161,
251,,50.41346478462219,-0.0009329468011856079,0.00029231951339170337,561.0,12928,1763260106.6723018,179.48843383789062,0.6156963109970093,0.0,0.0005306033417582512,0.005853532813489437,0.00946420431137085,
259,224.0,51.3243191242218,,,,13499,1763260107.583156,,,,,,,224.0
265,213.0,52.13944935798645,,,,13997,1763260108.3982863,,,,,,,213.0
273,,53.413658142089844,-0.004109513014554977,0.0002912442432716489,565.0,14720,1763260109.6724951,128.6522674560547,0.6259645819664001,0.0,0.0006466666236519814,0.011203994043171406,0.4272286891937256,
274,398.0,53.457735538482666,,,,14722,1763260109.7165725,,,,,,,398.0
292,67.0,55.82238054275513,,,,16175,1763260112.0812175,,,,,,,67.0
321,35.0,59.235533237457275,,,,18071,1763260115.4943702,,,,,,,35.0
327,213.0,59.94383716583252,,,,18472,1763260116.2026742,,,,,,,213.0
330,,60.42401313781738,-0.00544155016541481,0.00028886328800581396,565.0,18688,1763260116.6828501,63.07630920410156,0.5541795492172241,0.0,0.0002055419608950615,5.0016678869724274e-05,-0.0032531023025512695,
332,,60.65395402908325,0.0006903745234012604,0.00028878648299723864,565.0,18816,1763260116.912791,176.3280792236328,0.5862600803375244,0.0,2.344418317079544e-05,0.00039554107934236526,0.12116628885269165,
337,323.0,61.35232353210449,,,,19211,1763260117.6111605,,,,,,,323.0
340,,61.79639482498169,-0.0016942303627729416,0.00028840245795436203,565.0,19456,1763260118.0552318,109.2094955444336,0.6263973712921143,0.0,1.7369166016578674e-05,0.0006244070827960968,0.010290324687957764,
370,,65.71155047416687,-0.0031957700848579407,0.00028701996780000627,567.0,21760,1763260121.9703875,103.86045837402344,0.5614500641822815,0.0,0.0004924768581986427,0.005397629924118519,0.2852449417114258,
375,,66.3634901046753,-0.006549015641212463,0.0002867895527742803,568.0,22144,1763260122.622327,103.90327453613281,0.5528865456581116,0.0,0.00014233402907848358,-0.002062348648905754,0.028758645057678223,
396,,68.91436719894409,0.00014763325452804565,0.00028579108766280115,573.0,23808,1763260125.1732042,61.855838775634766,0.5809001922607422,0.0,0.00018920563161373138,0.003786535933613777,0.5136277079582214,
425,,72.7433533668518,0.003936842083930969,0.00028433179249987006,578.0,26240,1763260129.0021904,78.47657012939453,0.5428402423858643,0.0,0.0003608753904700279,0.0035979142412543297,0.002206861972808838,
441,439.0,75.11038613319397,,,,27743,1763260131.369223,,,,,,,439.0
450,150.0,76.45930528640747,,,,28464,1763260132.7181423,,,,,,,150.0
471,,80.20353412628174,-0.034959979355335236,0.0002818740322254598,574.0,30336,1763260136.462371,48.31600570678711,0.5134293437004089,0.025390625,0.00672205351293087,0.029890457168221474,0.8537227511405945,
481,389.0,81.74645137786865,,,,31244,1763260138.0052884,,,,,,,389.0
490,500.0,83.17284512519836,,,,32141,1763260139.431682,,,,,,,500.0
504,500.0,85.41434454917908,,,,33641,1763260141.6731815,,,,,,,500.0
515,,87.15388917922974,-0.0011820867657661438,0.0002792626619338989,580.0,34688,1763260143.4127262,213.65814208984375,0.5288528800010681,0.0,7.446669042110443e-05,-0.0013966169208288193,-0.00031125545501708984,
530,,89.4895441532135,-0.00614595040678978,0.0002783410018309951,583.0,36224,1763260145.7483811,98.57220458984375,0.5096307992935181,0.0,0.0006642863154411316,0.009001580998301506,0.00018393993377685547,
539,,90.9125485420227,0.013041773810982704,0.00027780336677096784,584.0,37120,1763260147.1713855,37.95072937011719,0.5138064026832581,0.0,0.0016094371676445007,0.003840941935777664,0.005421817302703857,
547,311.0,91.95642256736755,,,,37795,1763260148.2152596,,,,,,,311.0
555,,93.28961205482483,-0.008024554699659348,0.000276881706668064,586.0,38656,1763260149.548449,31.774944305419922,0.5453613996505737,0.005859375,0.00856877863407135,0.020684393122792244,0.033604562282562256,
559,272.0,93.76299166679382,,,,38948,1763260150.0218287,,,,,,,272.0
568,,95.32713079452515,-0.0011415034532546997,0.00027611368568614125,587.0,39936,1763260151.5859678,27.55221939086914,0.5698469877243042,0.0,2.757646143436432e-05,0.0010741688311100006,-0.005904078483581543,
595,,99.55758619308472,-0.003970900550484657,0.00027450078050605953,590.0,42624,1763260155.8164232,37.47077178955078,0.5679508447647095,0.0,0.0001854458823800087,-0.002848316915333271,0.8728312253952026,
612,,102.3299286365509,0.00022709183394908905,0.00027342551038600504,592.0,44416,1763260158.5887656,23.33503532409668,0.5464720726013184,0.0,1.2132339179515839e-05,-0.002112296409904957,-0.000994563102722168,
614,500.0,102.5676121711731,,,,44552,1763260158.8264492,,,,,,,500.0
630,,104.95653367042542,-0.012237412855029106,0.0002724270452745259,594.0,46080,1763260161.2153707,273.80511474609375,0.5124735832214355,0.0,0.0006801551207900047,0.006709438748657703,0.01196354627609253,
636,165.0,105.85059142112732,,,,46709,1763260162.1094284,,,,,,,165.0
640,,106.55824303627014,0.0004868730902671814,0.0002718126052059233,595.0,47104,1763260162.81708,14.614241600036621,0.5299885272979736,0.001953125,0.0023290198296308517,0.019677158445119858,0.10073614120483398,
650,500.0,107.98047351837158,,,,48084,1763260164.2393105,,,,,,,500.0
664,,110.15520143508911,-0.00042170286178588867,0.00027043011505156755,596.0,49408,1763260166.4140384,14.66862964630127,0.5343967080116272,0.0,1.2503005564212799e-05,0.0005358504131436348,0.02784496545791626,
684,,113.43093729019165,0.001974835991859436,0.00026920123491436243,598.0,51456,1763260169.6897743,8.896974563598633,0.5474722981452942,0.0,0.00015862192958593369,-0.006858351640403271,0.3738389015197754,
689,,114.16652870178223,0.0041202157735824585,0.00026889401488006115,598.0,51968,1763260170.4253657,8.037848472595215,0.5208647847175598,0.0,0.00037438608705997467,0.005282262340188026,-0.08239889144897461,
698,328.0,115.44760227203369,,,,52750,1763260171.7064393,,,,,,,328.0
702,405.0,116.07460951805115,,,,53155,1763260172.3334465,,,,,,,405.0
707,500.0,116.84899353981018,,,,53655,1763260173.1078305,,,,,,,500.0
729,268.0,120.30961346626282,,,,55836,1763260176.5684505,,,,,,,268.0
757,162.0,124.1077492237091,,,,58172,1763260180.3665862,,,,,,,162.0
762,209.0,124.75173139572144,,,,58589,1763260181.0105684,,,,,,,209.0
767,,125.48782873153687,-0.0012128278613090515,0.00026466973940841854,601.0,59008,1763260181.7466657,1.2550711631774902,0.5585942268371582,0.0,0.0006048586219549179,-0.006615461781620979,-0.051467061042785645,
775,160.0,126.52652168273926,,,,59731,1763260182.7853587,,,,,,,160.0
788,,128.34166598320007,-0.0014541689306497574,0.00026359446928836405,602.0,60800,1763260184.600503,2.8843986988067627,0.595605731010437,0.0,0.0012056371197104454,0.0018317168578505516,0.9908855557441711,
797,,129.52588200569153,-0.00032895803451538086,0.00026313363923691213,602.0,61568,1763260185.784719,22.446063995361328,0.593693733215332,0.0,0.0003274967893958092,0.002364302985370159,0.9072369337081909,
806,,130.8885133266449,-0.005157545208930969,0.0002625960041768849,603.0,62464,1763260187.1473503,0.5119658708572388,0.48370862007141113,0.0,0.0012799222022294998,0.0032463762909173965,0.3097640872001648,
