_timestamp,_step,_runtime,losses/value_loss,losses/old_approx_kl,charts/episodic_length,losses/approx_kl,losses/policy_loss,charts/episodic_return,charts/SPS,global_step,losses/clipfrac,charts/learning_rate,losses/entropy,losses/explained_variance
1763260075.4971333,0,24.506667137145996,,,,,,,,0,,,,
1763260077.1447556,7,26.154289484024048,,,105.0,,,105.0,,196,,,,
1763260077.7629433,33,26.77247714996338,,,58.0,,,58.0,,803,,,,
1763260077.9934518,41,27.00298571586609,,,26.0,,,26.0,,1038,,,,
1763260078.1504421,47,27.1599760055542,,,67.0,,,67.0,,1270,,,,
1763260078.6255918,64,27.635125637054443,,,22.0,,,22.0,,1765,,,,
1763260079.091092,74,28.10062599182129,,,75.0,,,75.0,,2208,,,,
1763260079.304383,77,28.3139169216156,242.46807861328125,-0.034268818795681,,0.004052659496665001,0.03855469077825546,,1040.0,2432,0.041015625,0.00029861752409487963,0.6126561164855957,-0.012738943099975586
1763260079.8008945,88,28.810428380966187,,,185.0,,,185.0,,3044,,,,
1763260080.73348,102,29.743013858795166,,,100.0,,,100.0,,4082,,,,
1763260080.938662,104,29.948195934295654,261.6767272949219,0.002934287302196026,,8.228886872529984e-05,0.0018352046608924866,,1063.0,4224,0.0,0.00029754225397482514,0.5966461300849915,0.05133998394012451
1763260083.0347047,133,32.044238567352295,,,186.0,,,186.0,,6605,,,,
1763260084.1848176,147,33.19435143470764,,,175.0,,,175.0,,7902,,,,
1763260084.2954664,149,33.30500030517578,,,121.0,,,121.0,,8023,,,,
1763260084.3783963,150,33.387930154800415,104.14674377441406,0.0006810780614614487,,4.384666681289673e-06,-0.000722542405128479,,1088.0,8064,0.0,0.00029523810371756554,0.5708483457565308,0.037272512912750244
1763260084.6302688,155,33.63980269432068,,,118.0,,,118.0,,8378,,,,
1763260084.7625365,157,33.77207040786743,,,190.0,,,190.0,,8568,,,,
1763260086.2691212,172,35.27865505218506,,,292.0,,,292.0,,9777,,,,
1763260088.0353093,195,37.0448431968689,,,292.0,,,292.0,,11550,,,,
1763260088.6415353,203,37.65106916427612,199.10128784179688,0.0015621194615960121,,9.251665323972702e-05,-0.0011726729571819305,,1041.0,12160,0.0,0.0002927803434431553,0.5526155233383179,0.02238631248474121
1763260089.476719,213,38.486252784729004,162.92578125,0.0006769588217139244,,5.625840276479721e-05,0.0016055628657341003,,1043.0,13056,0.0,0.00029224270838312805,0.5707581043243408,-0.004372000694274902
1763260089.8122163,217,38.82175016403198,164.39659118652344,-0.00026574544608592987,,1.7112120985984802e-05,0.0008787550032138824,,1046.0,13440,0.0,0.0002920122933574021,0.5658085346221924,-0.0007795095443725586
1763260090.6440382,228,39.65357208251953,83.20188903808594,-0.0010352469980716705,,4.900619387626648e-05,-0.002680279314517975,,1048.0,14336,0.0,0.00029147465829737484,0.5438424944877625,0.20073246955871582
1763260091.0924346,233,40.10196852684021,148.12904357910156,0.002666916698217392,,0.0006690137088298798,-0.0027150847017765045,,1051.0,14848,0.0,0.00029116743826307356,0.5397815108299255,-0.011124849319458008
1763260092.4160774,251,41.4256112575531,145.76763916015625,-1.0943040251731873e-06,,1.127738505601883e-05,0.000820457935333252,,1052.0,16256,0.0,0.00029032258316874504,0.5902970433235168,-0.007679104804992676
1763260092.9889002,259,41.99843406677246,134.20132446289062,-0.002369070425629616,,6.832554936408997e-05,0.003333047032356262,,1054.0,16896,0.0,0.00028993855812586844,0.5951547026634216,0.1449236273765564
1763260093.4748871,265,42.48442101478577,120.91062927246094,0.004050173796713352,,0.00020571518689393997,-0.007008835673332214,,1054.0,17408,0.0,0.00028963133809156716,0.5735326409339905,0.0857343077659607
1763260094.045545,273,43.055078983306885,115.4336166381836,0.00036069657653570175,,0.00017739366739988327,-0.0005226880311965942,,1056.0,18048,0.0,0.00028924731304869056,0.5715228319168091,0.1750795841217041
1763260094.0533075,274,43.06284141540527,,,316.0,,,316.0,,18066,,,,
1763260095.5879972,292,44.59753108024597,95.63021850585938,-0.000448593869805336,,1.04513019323349e-05,-0.000509507954120636,,1058.0,19712,0.0,0.0002882488479372114,0.5510987639427185,0.2677585482597351
1763260097.8147647,321,46.824298620224,51.52169418334961,-0.004025381989777088,,0.0003386223688721657,0.011674478650093079,,1062.0,22144,0.0,0.0002867895527742803,0.5834118127822876,0.6134219169616699
1763260098.1739733,327,47.183507204055786,,,177.0,,,177.0,,22578,,,,
1763260098.408557,330,47.4180908203125,,,287.0,,,287.0,,22865,,,,
1763260098.6048923,332,47.614426136016846,77.91407775878906,-0.009990787133574486,,0.00027623027563095093,0.0067250728607177734,,1064.0,23040,0.0,0.00028625191771425307,0.575680673122406,0.02167832851409912
1763260099.0206103,337,48.03014421463013,,,378.0,,,378.0,,23534,,,,
1763260099.2403266,340,48.249860525131226,,,240.0,,,240.0,,23774,,,,
1763260101.6576986,370,50.667232513427734,68.21541595458984,0.0024861562997102737,,8.721649646759033e-05,0.0001064687967300415,,1067.0,26368,0.0,0.00028425498749129474,0.5343469381332397,0.07122546434402466
1763260102.040368,375,51.04990196228027,61.87522888183594,-0.0004131058230996132,,7.321126759052277e-06,0.0002598688006401062,,1066.0,26752,0.0,0.0002840245724655688,0.592390775680542,-0.017032623291015625
1763260103.7660449,396,52.77557873725891,75.08187103271484,-0.0063230181112885475,,0.0007158098742365837,0.002305472269654274,,1069.0,28672,0.0,0.000282872497336939,0.6046093702316284,-0.028653383255004883
