_step,losses/approx_kl,losses/explained_variance,losses/clipfrac,charts/SPS,_runtime,_timestamp,losses/entropy,charts/episodic_return,charts/learning_rate,losses/old_approx_kl,charts/episodic_length,losses/policy_loss,losses/value_loss,global_step
0,,,,,24.834885597229004,1763260075.9137516,,,,,,,,0
7,,,,,25.963257312774658,1763260077.0421233,,11.0,,,11.0,,,123
33,,,,,26.65274667739868,1763260077.7316127,,40.0,,,40.0,,,772
41,,,,,26.801781177520752,1763260077.8806472,,24.0,,,24.0,,,954
47,,,,,26.91921353340149,1763260077.9980795,,24.0,,,24.0,,,1060
64,,,,,27.33378267288208,1763260078.4126487,,37.0,,,37.0,,,1498
74,,,,,27.673378944396973,1763260078.752245,,41.0,,,41.0,,,1845
77,,,,,27.801348209381104,1763260078.8802142,,59.0,,,59.0,,,2011
88,,,,,28.255824089050293,1763260079.33469,,43.0,,,43.0,,,2441
102,,,,,28.841939687728882,1763260079.9208057,,43.0,,,43.0,,,3105
104,7.234513759613037e-05,0.01157456636428833,0.0,1047.0,28.942680835723877,1763260080.0215468,0.6179546117782593,,0.0002981566940434277,0.00429924763739109,,-0.0026452066376805305,109.37581634521484,3200
133,,,,,30.40526580810547,1763260081.4841318,,84.0,,,84.0,,,4820
147,,,,,31.21038556098938,1763260082.2892516,,211.0,,,211.0,,,5743
149,,,,,31.306113719940186,1763260082.3849797,,71.0,,,71.0,,,5814
150,0.0003131777048110962,0.08993339538574219,0.0,1064.0,31.419069051742554,1763260082.497935,0.566444456577301,,0.000296543788863346,0.004265451803803444,,-0.003280550241470337,104.01777648925781,5888
155,0.003296041861176491,0.3821744918823242,0.0,1068.0,31.75793194770813,1763260082.836798,0.5474187731742859,,0.00029631337383762,0.016126763075590134,,0.02568924054503441,211.44493103027344,6272
157,0.003449833020567894,0.44278424978256226,0.005859375,1069.0,31.870269298553467,1763260082.9491353,0.5550539493560791,,0.0002962365688290447,0.023484226316213608,,-0.013444013893604279,193.44400024414062,6400
172,0.00020152702927589417,-0.05390441417694092,0.0,1077.0,33.01370644569397,1763260084.0925725,0.6090071201324463,,0.0002954685187432915,0.005318991839885712,,-0.0012052208185195923,180.92050170898438,7680
