losses/clipfrac,charts/learning_rate,losses/approx_kl,charts/episodic_return,losses/policy_loss,global_step,_runtime,_step,losses/entropy,losses/explained_variance,losses/value_loss,charts/episodic_length,charts/SPS,losses/old_approx_kl,_timestamp
,,,,,0,24.837872982025146,0,,,,,,,1763260076.006298
0.0,0.0003000000142492354,0.0003315601497888565,,-5.4970383644104004e-05,128,25.950250387191772,7,0.6928321123123169,0.011259377002716064,74.4600830078125,,844.0,0.0009570810943841934,1763260077.1186755
,,,43.0,,675,26.473071813583374,33,,,,43.0,,,1763260077.641497
,,,73.0,,870,26.62188959121704,41,,,,73.0,,,1763260077.7903147
,,,23.0,,972,26.739280939102173,47,,,,23.0,,,1763260077.907706
0.0,0.00029915515915490687,0.00027946289628744125,,-0.010315371677279472,1536,27.333362102508545,64,0.6128621101379395,0.025984883308410645,70.58940124511719,,1000.0,0.0029041608795523643,1763260078.5017872
,,,66.0,,1954,27.700066089630127,74,,,,66.0,,,1763260078.8684912
,,,83.0,,2099,27.821191549301147,77,,,,83.0,,,1763260078.9896166
0.0,0.000298463914077729,0.000560292974114418,,-0.013970818370580673,2688,28.392633199691772,88,0.5945670008659363,0.037599921226501465,166.08688354492188,,1036.0,0.00525570847094059,1763260079.5610583
,,,100.0,,3356,28.98199701309204,102,,,,100.0,,,1763260080.150422
,,,123.0,,3479,29.092963457107544,104,,,,123.0,,,1763260080.2613885
0.009765625,0.0002969278139062226,0.004429405555129051,,0.008265071548521519,5248,30.725521087646484,133,0.5288689136505127,0.10105681419372559,146.6244354248047,,1065.0,0.023886095732450485,1763260081.8939462
0.0,0.00029639017884619534,0.0004693036898970604,,0.012194953858852386,6144,31.545742511749268,147,0.5634901523590088,0.15607911348342896,171.0701904296875,,1069.0,-0.0020291535183787346,1763260082.7141676
,,,158.0,,6280,31.663230657577515,149,,,,158.0,,,1763260082.8316557
,,,108.0,,6388,31.699308156967163,150,,,,108.0,,,1763260082.8677332
,,,209.0,,6751,32.03264117240906,155,,,,209.0,,,1763260083.2010663
,,,92.0,,6843,32.136600494384766,157,,,,92.0,,,1763260083.3050256
