charts/learning_rate,_runtime,losses/old_approx_kl,charts/episodic_return,global_step,losses/clipfrac,losses/explained_variance,losses/entropy,losses/approx_kl,_timestamp,charts/SPS,charts/episodic_length,_step,losses/value_loss,losses/policy_loss
,25.89071559906006,,,0,,,,,1763260082.1382706,,,0,,
,27.484522819519043,,19.0,112,,,,,1763260083.7320778,,19.0,7,,
,28.0750949382782,,14.0,529,,,,,1763260084.32265,,14.0,33,,
,28.246633052825928,,15.0,675,,,,,1763260084.494188,,15.0,41,,
,28.368377923965454,,10.0,799,,,,,1763260084.615933,,10.0,47,,
0.00029938557418063283,28.776947498321533,0.002187110483646393,,1152,0.0,0.017178654670715332,0.6883952617645264,0.0005735587328672409,1763260085.0245025,839.0,,64,84.06073760986328,0.00331907719373703
0.0002992319641634822,29.107076168060303,-0.003171253949403763,,1408,0.0,0.0142020583152771,0.6847240924835205,0.000517452135682106,1763260085.3546312,827.0,,74,239.53732299804688,-0.008226275444030762
,29.139014959335327,,35.0,1492,,,,,1763260085.38657,,35.0,77,,
,29.53730821609497,,26.0,1796,,,,,1763260085.7848632,,26.0,88,,
,30.246040105819702,,100.0,2255,,,,,1763260086.4935951,,100.0,102,,
0.00029869432910345495,30.482083559036255,-8.331052958965302e-05,,2304,0.0,-0.03727400302886963,0.6422510743141174,1.5554949641227722e-05,1763260086.7296386,748.0,,104,232.29661560058594,-9.328126907348633e-06
,32.905669927597046,,27.0,3360,,,,,1763260089.153225,,27.0,133,,
,34.430317640304565,,198.0,4119,,,,,1763260090.6778727,,198.0,147,,
0.00029754225397482514,34.67779517173767,0.004949996247887611,,4224,0.0,0.05589097738265991,0.6193698644638062,0.00022956356406211853,1763260090.9253502,580.0,,149,151.61016845703125,0.003866448998451233
,34.72126770019531,,81.0,4293,,,,,1763260090.9688227,,81.0,150,,
,35.24071907997131,,118.0,4502,,,,,1763260091.488274,,118.0,155,,
0.0002973118389490992,35.49507451057434,0.004887506365776062,,4608,0.0,-0.04093742370605469,0.6394007205963135,0.0008431337773799896,1763260091.7426295,569.0,,157,201.18832397460938,-0.009396456182003021
0.0002969278139062226,37.208006620407104,0.0003670481964945793,,5248,0.0,0.012609899044036865,0.6040533781051636,2.778042107820511e-05,1763260093.4555616,535.0,,172,184.6817626953125,-0.00014737993478775024
,40.31332588195801,,73.0,6411,,,,,1763260096.560881,,73.0,195,,
,41.71928358078003,,363.0,7139,,,,,1763260097.9668386,,363.0,203,,
,43.087610483169556,,204.0,7796,,,,,1763260099.3351655,,204.0,213,,
0.00029531490872614086,43.594194650650024,0.002920525148510933,,7936,0.0,0.0068686604499816895,0.5556674599647522,3.538839519023895e-05,1763260099.8417497,490.0,,217,57.744972229003906,-0.003693837672472
0.0002947772736661136,45.166321754455566,-0.00355424452573061,,8832,0.0,-0.011424064636230469,0.5829356908798218,0.00019972305744886398,1763260101.4138768,497.0,,228,109.43421173095703,0.0066587310284376144
0.00029447005363181233,45.97401738166809,0.006343240849673748,,9344,0.0,-0.03537869453430176,0.5525851845741272,0.001818913035094738,1763260102.2215724,503.0,,233,130.10671997070312,-0.014074932783842087
,48.40955829620361,,349.0,10844,,,,,1763260104.6571133,,349.0,251,,
,49.45243501663208,,194.0,11452,,,,,1763260105.69999,,194.0,259,,
0.00029293395346030593,50.349801540374756,0.000649135559797287,,11904,0.0,-0.015030264854431152,0.5934435129165649,3.39951366186142e-05,1763260106.5973566,518.0,,265,102.17943572998047,-0.0003215894103050232
0.00029254992841742933,51.43863606452942,0.002708711661398411,,12544,0.0,-0.0067299604415893555,0.5664318799972534,2.68472358584404e-05,1763260107.686191,521.0,,273,205.29815673828125,-0.002382710576057434
0.000292473123408854,51.62131595611572,0.002444632351398468,,12672,0.0,-0.00478363037109375,0.5646690726280212,0.002051524817943573,1763260107.868871,523.0,,274,234.56822204589844,0.025507209822535515
,54.12741279602051,,190.0,14087,,,,,1763260110.3749678,,190.0,292,,
,58.6367928981781,,215.0,16722,,,,,1763260114.884348,,215.0,327,,
0.0002898617531172931,59.29383301734924,0.0037385327741503716,,17024,0.0,0.39751696586608887,0.6120379567146301,0.0003646882250905037,1763260115.541388,533.0,,330,161.73880004882812,0.006030566990375519
,59.3928906917572,,94.0,17137,,,,,1763260115.6404457,,94.0,332,,
,60.097710609436035,,130.0,17534,,,,,1763260116.3452656,,130.0,337,,
,60.527180194854736,,152.0,17686,,,,,1763260116.7747352,,152.0,340,,
,64.65365028381348,,90.0,20000,,,,,1763260120.9012053,,90.0,370,,
0.00028694316279143095,67.96138215065002,-0.0004388876259326935,,21888,0.0,0.11764538288116455,0.5947220921516418,4.148110747337341e-06,1763260124.2089372,539.0,,396,119.43537902832031,-0.0003985338844358921
0.00028579108766280115,71.2642548084259,-0.007859629578888416,,23808,0.0,0.5168436765670776,0.5734545588493347,0.002207343466579914,1763260127.5118098,542.0,,425,115.74121856689453,-0.010257388465106487
,73.1550440788269,,227.0,24891,,,,,1763260129.402599,,227.0,441,,
,74.48673248291016,,228.0,25666,,,,,1763260130.7342875,,228.0,450,,
0.0002837941574398428,77.50834894180298,1.9441358745098114e-05,,27136,0.0,0.23658889532089233,0.5793415307998657,1.2141652405261993e-05,1763260133.755904,541.0,,471,117.75511169433594,0.0014638081192970276
0.0002832565223798156,79.36495518684387,-0.004365080967545509,,28032,0.0,0.3676000237464905,0.5855621099472046,8.961744606494904e-05,1763260135.6125102,539.0,,481,87.38834381103516,-0.0010570697486400604
0.00028279569232836366,80.83616948127747,0.005379603244364262,,28800,0.0,0.15189504623413086,0.5943928956985474,0.00014000851660966873,1763260137.0837245,539.0,,490,93.6361083984375,0.0011226087808609009
