losses/approx_kl,losses/value_loss,losses/entropy,losses/clipfrac,losses/policy_loss,charts/learning_rate,global_step,losses/old_approx_kl,charts/episodic_length,losses/explained_variance,charts/SPS,_timestamp,charts/episodic_return,_step,_runtime
,,,,,,0,,,,,1763260082.9230516,,0,26.66261863708496
,,,,,,148,,17.0,,,1763260083.8710592,17.0,7,27.610626220703125
,,,,,,714,,17.0,,,1763260084.4554632,17.0,33,28.195030212402344
0.00048020947724580765,112.40953826904297,0.6765620708465576,0.0,-0.008272604085505009,0.00029953918419778347,896,-0.0024607209488749504,,-0.010902047157287598,959.0,1763260084.6723735,,41,28.411940574645996
,,,,,,1110,,89.0,,,1763260084.8245528,89.0,47,28.564119815826416
,,,,,,1607,,52.0,,,1763260085.3354552,52.0,64,29.075022220611572
,,,,,,1916,,51.0,,,1763260085.6446497,51.0,74,29.384216785430908
,,,,,,1973,,30.0,,,1763260085.747567,30.0,77,29.487133979797363
,,,,,,2713,,196.0,,,1763260086.684681,196.0,88,30.424247980117798
0.00023735780268907547,151.3363494873047,0.5007064938545227,0.0,-0.009002767503261566,0.00029800308402627707,3456,0.005770727060735226,,-0.019265055656433105,793.0,1763260088.0958261,,102,31.83539319038391
0.00018545519560575485,282.61480712890625,0.554266631603241,0.0,-0.002211444079875946,0.00029792627901770175,3584,0.0028416505083441734,,0.03588688373565674,781.0,1763260088.3241487,,104,32.06371569633484
0.00308334082365036,244.46759033203125,0.5430925488471985,0.0,-0.03679812699556351,0.0002966973988804966,5632,-0.008436823263764381,,-0.06326782703399658,679.0,1763260092.0211666,,133,35.76073360443115
0.002195720560848713,212.77435302734375,0.5567447543144226,0.0,-0.034750472754240036,0.0002961597638204694,6528,0.020380590111017227,,0.1662217378616333,632.0,1763260094.0516245,,147,37.79119157791138
0.0010521886870265007,229.97557067871094,0.5579710006713867,0.0,0.0068075284361839294,0.00029608295881189406,6656,0.007426372729241848,,-0.175262451171875,628.0,1763260094.3239205,,149,38.06348752975464
6.632879376411438e-06,220.2837371826172,0.5661717653274536,0.0,-0.0006532967090606689,0.00029600615380331874,6784,-0.0007381178438663483,146.0,0.21984577178955078,622.0,1763260094.6388884,146.0,150,38.37845540046692
,,,,,,7139,,57.0,,,1763260095.2489479,57.0,155,38.98851490020752
,,,,,,7175,,36.0,,,1763260095.5686572,36.0,157,39.30822420120239
0.0009086551144719124,163.07220458984375,0.5576289296150208,0.0,-0.003753380849957466,0.0002950844937004149,8320,0.010344858281314373,,0.11379462480545044,577.0,1763260098.1401036,,172,41.8796706199646
0.0008680941537022591,124.47718048095703,0.5686985850334167,0.0,-0.014118578284978867,0.00029408602858893573,9984,0.0094562703743577,,0.23703449964523315,567.0,1763260101.324634,,195,45.06420111656189
,,,,,,10519,,123.0,,,1763260102.257794,123.0,203,45.997360944747925
5.970709025859833e-06,156.76609802246094,0.5285899043083191,0.0,0.0008133929222822189,0.00029339478351175785,11136,0.0008914778009057045,,-0.002689957618713379,564.0,1763260103.4589734,,213,47.198540449142456
