losses/explained_variance,losses/entropy,losses/approx_kl,charts/episodic_length,_timestamp,charts/SPS,charts/learning_rate,_runtime,charts/episodic_return,global_step,losses/clipfrac,_step,losses/value_loss,losses/old_approx_kl,losses/policy_loss
,,,,1763260082.4494824,,,26.19809055328369,,0,,0,,,
,,,13.0,1763260083.7306163,,,27.47922444343567,13.0,108,,7,,,
-0.003397226333618164,0.6788409352302551,0.0010970430448651314,,1763260084.3912888,866.0,0.0002996927942149341,28.139896869659424,,640,0.0,33,65.60649108886719,0.0020028287544846535,-0.001186862587928772
,,,31.0,1763260084.5356371,,,28.284245252609253,31.0,816,,41,,,
,,,57.0,1763260084.6724603,,,28.4210684299469,57.0,975,,47,,,
-0.01947629451751709,0.6610906720161438,0.0001791156828403473,,1763260085.2145336,901.0,0.0002992319641634822,28.963141679763794,,1408,0.0,64,190.70343017578125,-0.0005270279943943024,6.251037120819092e-06
,,,86.0,1763260085.5849504,,,29.333558559417725,86.0,1815,,74,,,
,,,56.0,1763260085.7099254,,,29.45853352546692,56.0,1949,,77,,,
,,,66.0,1763260086.280561,,,30.0291690826416,66.0,2528,,88,,,
,,,89.0,1763260087.5629086,,,31.311516761779785,89.0,3070,,102,,,
,,,48.0,1763260087.7750635,,,31.523671627044678,48.0,3118,,104,,,
,,,69.0,1763260090.6301582,,,34.37876629829407,69.0,4341,,133,,,
,,,27.0,1763260092.02265,,,35.77125811576843,27.0,4788,,147,,,
,,,38.0,1763260092.1242418,,,35.87284994125366,38.0,4862,,149,,,
0.05001401901245117,0.5709631443023682,3.318861126899719e-05,,1763260092.3587074,558.0,0.00029715822893194854,36.10731554031372,,4864,0.0,150,39.629764556884766,0.002734703943133354,-0.0015764664858579636
0.06431204080581665,0.6355745196342468,2.5602057576179504e-06,,1763260093.0119803,547.0,0.0002970046189147979,36.76058840751648,,5120,0.0,155,184.8411865234375,-0.00023200828582048416,0.00014872103929519653
,,,68.0,1763260093.1244457,,,36.873053789138794,68.0,5207,,157,,,
,,,108.0,1763260095.3319035,,,39.08051156997681,108.0,5992,,172,,,
,,,69.0,1763260098.8196855,,,42.56829357147217,69.0,7184,,195,,,
0.014062047004699707,0.6369279026985168,0.0009029209613800049,,1763260100.1112597,474.0,0.0002953917137347162,43.859867811203,,7808,0.0,203,165.84303283691406,0.0025051087141036987,0.00428260862827301
,,,80.0,1763260101.2797892,,,45.02839732170105,80.0,8396,,213,,,
-0.023125171661376953,0.5864606499671936,5.470775067806244e-05,,1763260101.9514287,475.0,0.00029485407867468894,45.7000367641449,,8704,0.0,217,150.1427001953125,0.00401897169649601,-0.0013412777334451675
,,,89.0,1763260103.0869622,,,46.835570335388184,89.0,9318,,228,,,
,,,288.0,1763260103.806003,,,47.55461120605469,288.0,9653,,233,,,
