global_step,losses/entropy,losses/clipfrac,_timestamp,losses/approx_kl,losses/policy_loss,_runtime,charts/SPS,_step,losses/value_loss,losses/explained_variance,losses/old_approx_kl,charts/episodic_return,charts/learning_rate,charts/episodic_length
0,,,1763260082.4375174,,,26.179593324661255,,0,,,,,,
216,,,1763260083.8596292,,,27.601705074310303,,7,,,,19.0,,19.0
765,,,1763260084.4043984,,,28.146474361419678,,33,,,,14.0,,14.0
982,,,1763260084.6364427,,,28.37851858139038,,41,,,,14.0,,14.0
1152,0.6634088754653931,0.0,1763260084.8690186,0.0003764741122722626,0.004176249727606773,28.61109447479248,947.0,47,88.31903076171875,-0.014992117881774902,-0.008791754022240639,,0.00029938557418063283,
1635,,,1763260085.3213089,,,29.063384771347046,,64,,,,37.0,,37.0
2100,,,1763260085.8137078,,,29.55578374862671,,74,,,,64.0,,64.0
2183,,,1763260085.915447,,,29.657522916793823,,77,,,,47.0,,47.0
2746,,,1763260086.6981354,,,30.440211296081543,,88,,,,30.0,,30.0
3456,0.5967611074447632,0.0,1763260088.0934746,4.060380160808563e-05,-0.0027381964027881622,31.835550546646118,778.0,102,162.90504455566406,-0.018158674240112305,-5.8887526392936707e-05,,0.00029800308402627707,
3574,,,1763260088.1848686,,,31.926944494247437,,104,,,,91.0,,91.0
5089,,,1763260091.159129,,,34.90120482444763,,133,,,,25.0,,25.0
5760,0.5764886736869812,0.0,1763260092.7869122,2.2817403078079224e-05,0.00045372918248176575,36.52898812294006,630.0,147,146.1422882080078,0.005561709403991699,-0.0007976740598678589,,0.0002966205938719213,
5888,0.6098166704177856,0.0,1763260093.0525603,4.053022712469101e-05,0.0025432705879211426,36.794636249542236,626.0,149,167.92581176757812,0.0648583173751831,-0.0007064947858452797,,0.000296543788863346,
5915,,,1763260093.1038373,,,36.84591317176819,,150,,,,111.0,,111.0
6302,,,1763260093.9742076,,,37.716283559799194,,155,,,,280.0,,280.0
6400,0.5721877813339233,0.0,1763260094.2877493,0.0016461964696645737,-0.006848111283034086,38.02982521057129,601.0,157,64.79801177978516,0.06507736444473267,0.014620793983340263,,0.0002962365688290447,
7413,,,1763260096.496865,,,40.238940954208374,,172,,,,175.0,,175.0
8832,0.6213276982307434,0.001953125,1763260099.7879417,0.007714755833148956,-0.006040455773472786,43.530017614364624,547.0,195,294.51434326171875,0.01886683702468872,-0.009888808242976665,,0.0002947772736661136,
9216,0.6011232733726501,0.0,1763260100.591895,2.7828849852085114e-05,-0.0005558505654335022,44.33397102355957,544.0,203,105.76919555664062,-0.011058688163757324,0.001233142800629139,,0.00029454685864038765,
9956,,,1763260101.7389538,,,45.481029748916626,,213,,,,136.0,,136.0
10240,0.6214010715484619,0.0,1763260102.3180604,7.269904017448425e-06,0.00048741698265075684,46.06013631820679,548.0,217,286.0061340332031,0.0348777174949646,0.0004400033503770828,,0.0002939324185717851,
11008,0.6371711492538452,0.0,1763260103.6622581,3.4797005355358124e-05,-0.0017309486865997314,47.40433406829834,550.0,228,95.90808868408203,0.018746256828308105,0.0007075397297739983,,0.00029347158852033317,
11329,,,1763260104.1789184,,,47.9209942817688,,233,,,,196.0,,196.0
12672,0.5988671779632568,0.0,1763260106.5624955,1.4193356037139893e-06,-0.0005700290203094482,50.30457139015198,553.0,251,70.94880676269531,0.14140081405639648,0.0001223236322402954,,0.000292473123408854,
13184,0.5887148380279541,0.0,1763260107.471717,0.00014014728367328644,-0.0007905513048171997,51.21379280090332,553.0,259,119.31461334228516,0.03804290294647217,-0.0029342621564865112,,0.0002921659033745527,
13696,0.6204729080200195,0.0,1763260108.313126,0.0015115579590201378,-0.015528641641139984,52.0552020072937,555.0,265,228.16067504882812,0.14112186431884766,0.005272720940411091,,0.00029185868334025145,
14336,0.6140293478965759,0.0,1763260109.4162076,0.00010729394853115082,0.0006878543645143509,53.15828347206116,556.0,273,193.64076232910156,0.18216276168823242,0.003301002085208893,,0.00029147465829737484,
14407,,,1763260109.4859285,,,53.228004455566406,,274,,,,325.0,,325.0
15846,,,1763260111.9222128,,,55.66428875923157,,292,,,,146.0,,146.0
17725,,,1763260115.3438811,,,59.085957050323486,,321,,,,74.0,,74.0
18054,,,1763260116.0492013,,,59.791277170181274,,327,,,,109.0,,109.0
18304,0.6041648387908936,0.0,1763260116.512641,0.0006331177428364754,0.0008672662079334259,60.254716873168945,557.0,330,141.28749084472656,0.14169836044311523,0.0008690385147929192,,0.0002890937030315399,
18425,,,1763260116.6055605,,,60.347636461257935,,332,,,,105.0,,105.0
18706,,,1763260117.2801716,,,61.022247552871704,,337,,,,113.0,,113.0
18944,0.6064659357070923,0.0,1763260117.7468798,0.0014254888519644737,-0.023735659196972847,61.48895573616028,555.0,340,102.2713394165039,0.06685078144073486,0.018681064248085022,,0.0002887096779886633,
21052,,,1763260121.379371,,,65.12144684791565,,370,,,,179.0,,179.0
21394,,,1763260122.075509,,,65.81758499145508,,375,,,,125.0,,125.0
23040,0.5788652896881104,0.0,1763260124.6999023,0.0015018116682767868,0.0032161399722099304,68.44197821617126,561.0,396,84.67007446289062,0.6702722907066345,0.002990642562508583,,0.00028625191771425307,
25572,,,1763260128.5594485,,,72.30152440071106,,425,,,,302.0,,302.0
26752,0.5975366234779358,0.0,1763260130.7752304,0.00044556334614753723,-0.008557625114917755,74.51730632781982,567.0,441,33.24068069458008,0.8613528609275818,0.0030468832701444626,,0.0002840245724655688,
27486,,,1763260131.9939728,,,75.7360486984253,,450,,,,175.0,,175.0
29312,0.5091476440429688,0.0,1763260135.6558933,0.00047965627163648605,0.0007599839009344578,79.39796924591064,563.0,471,61.95427703857422,0.17567205429077148,0.003341694362461567,,0.0002824884722940624,
30208,0.5602862238883972,0.0,1763260137.3143897,9.215716272592545e-05,-0.0016011390835046768,81.05646562576294,562.0,481,59.30223846435547,-0.01650214195251465,0.00026677269488573074,,0.00028195083723403513,
31100,,,1763260138.674944,,,82.41701984405518,,490,,,,297.0,,297.0
32260,,,1763260140.803188,,,84.54526400566101,,504,,,,236.0,,236.0
33253,,,1763260142.3667166,,,86.10879254341125,,515,,,,204.0,,204.0
