_step,_runtime,global_step,_timestamp,charts/episodic_length,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,charts/episodic_return,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss
0,26.779184103012085,0,1763260083.0329142,,,,,,,,,,,
7,27.72110652923584,128,1763260083.9748366,29.0,1.955777406692505e-07,-0.0009561777114868164,5.587935447692871e-06,29.0,0.0,-0.0001331651583313942,0.6931432485580444,0.0003000000142492354,999.0,51.070404052734375
33,28.30581283569336,640,1763260084.559543,,0.0005669984966516495,0.004603683948516846,0.004661032930016518,,0.0,-0.01245417445898056,0.6914869546890259,0.0002996927942149341,897.0,29.582897186279297
41,28.440054178237915,788,1763260084.6937842,17.0,,,,17.0,,,,,,
47,28.56490969657898,927,1763260084.8186398,23.0,,,,23.0,,,,,,
64,29.04765558242798,1282,1763260085.3013856,39.0,,,,39.0,,,,,,
74,29.31243133544922,1535,1763260085.5661614,45.0,,,,45.0,,,,,,
77,29.416558742523193,1582,1763260085.6702888,26.0,,,,26.0,,,,,,
88,30.078513622283936,2176,1763260086.3322437,,0.0006428668275475502,0.05231398344039917,0.00045605842024087906,,0.0,-0.004111520946025848,0.6137170195579529,0.00029877113411203027,875.0,253.72630310058594
102,31.513887882232666,2882,1763260087.767618,156.0,,,,156.0,,,,,,
104,31.748299598693848,2953,1763260088.0020297,71.0,,,,71.0,,,,,,
133,35.50324988365173,4855,1763260091.75698,135.0,,,,135.0,,,,,,
147,37.65808939933777,5635,1763260093.9118195,145.0,,,,145.0,,,,,,
149,38.003448724746704,5760,1763260094.2571788,,0.003197592683136463,0.08415180444717407,0.008688862435519695,,0.001953125,-0.008338848128914833,0.5121893882751465,0.0002966205938719213,553.0,205.68142700195312
150,38.2878999710083,5888,1763260094.54163,,4.518311470746994e-05,0.11925679445266724,-0.00033433642238378525,,0.0,0.002104412764310837,0.5612542033195496,0.000296543788863346,550.0,332.58837890625
155,39.21359181404114,6272,1763260095.4673219,,0.00044040754437446594,-0.0268094539642334,-0.002778301015496254,,0.0,-0.007298437878489494,0.584858238697052,0.00029631337383762,539.0,176.98114013671875
157,39.55807662010193,6406,1763260095.8118067,233.0,,,,233.0,,,,,,
172,42.56631374359131,7680,1763260098.8200438,,0.009431283921003342,-0.21594834327697754,0.0030405642464756966,,0.009765625,0.019643891602754593,0.5580865740776062,0.0002954685187432915,512.0,343.3673095703125
195,46.255975008010864,9715,1763260102.509705,227.0,,,,227.0,,,,,,
203,47.481870889663696,10345,1763260103.735601,117.0,,,,117.0,,,,,,
213,49.117149114608765,11136,1763260105.3708792,,0.0007812799885869026,0.029949545860290527,-0.01403366681188345,,0.0,-0.00010470300912857056,0.592261791229248,0.00029339478351175785,517.0,128.52976989746094
217,49.620198249816895,11392,1763260105.8739283,,7.808208465576172e-06,0.04755622148513794,-4.762783646583557e-05,,0.0,-0.0005079768598079681,0.5184214115142822,0.0002932411734946072,517.0,152.38299560546875
228,51.6666738986969,12544,1763260107.920404,,0.00016106292605400085,0.0223768949508667,0.0011718962341547012,,0.0,-0.0017421692609786987,0.5585308074951172,0.00029254992841742933,521.0,262.099609375
233,52.40109729766846,12928,1763260108.6548274,,4.3353065848350525e-06,0.018736600875854492,0.0005632033571600914,,0.0,-0.0017472393810749054,0.5677140951156616,0.00029231951339170337,521.0,186.68348693847656
251,55.61171865463257,14720,1763260111.8654487,,8.46516340970993e-05,-0.0055474042892456055,-0.00044736452400684357,,0.0,0.0017394870519638062,0.5004406571388245,0.0002912442432716489,525.0,187.51416015625
259,56.99113941192627,15488,1763260113.2448695,,0.009187020361423492,0.02077805995941162,0.02902815118432045,,0.03125,-0.020617732778191566,0.5769152641296387,0.00029078341322019696,526.0,107.45835876464844
265,58.119406938552856,16128,1763260114.373137,,5.883164703845978e-06,-0.00234222412109375,0.00018284190446138382,,0.0,-0.00037251412868499756,0.5309504270553589,0.00029039938817732036,528.0,181.6834716796875
273,59.32595181465149,16889,1763260115.5796819,268.0,,,,268.0,,,,,,
274,59.52559995651245,16896,1763260115.77933,,0.0001949165016412735,-0.01976025104522705,0.0015233997255563736,,0.0,-0.008767301216721535,0.5596702098846436,0.00028993855812586844,529.0,123.939208984375
292,62.681137561798096,18560,1763260118.9348676,,8.114613592624664e-05,0.16567909717559814,0.0018675699830055237,,0.0,0.0006022434681653976,0.5803728699684143,0.0002889400930143893,528.0,102.892578125
321,67.25947666168213,21163,1763260123.5132067,269.0,,,,269.0,,,,,,
327,68.28105139732361,21760,1763260124.5347815,,2.1531246602535248e-05,-0.006514430046081543,-0.000861085020005703,,0.0,0.0007845163345336914,0.5992746353149414,0.00028701996780000627,534.0,120.05305480957031
