_step,losses/clipfrac,charts/SPS,losses/old_approx_kl,_timestamp,global_step,losses/value_loss,losses/approx_kl,charts/episodic_length,_runtime,losses/entropy,charts/episodic_return,losses/explained_variance,losses/policy_loss,charts/learning_rate
0,,,,1763260082.4749305,0,,,,26.297900438308716,,,,,
7,0.0,741.0,0.006755227223038673,1763260083.825283,128,58.10774230957031,0.0005704816430807114,,27.648252964019775,0.6925147175788879,,-0.0009838342666625977,-0.01326325349509716,0.0003000000142492354
33,,,,1763260084.3985348,708,,,42.0,28.22150468826294,,42.0,,,
41,0.0,930.0,-0.00021247006952762604,1763260084.6151106,896,134.98846435546875,1.4660879969596863e-05,,28.438080549240112,0.6871446371078491,,-0.003742218017578125,-0.00036619603633880615,0.00029953918419778347
47,,,,1763260084.7845685,1087,,,31.0,28.60753846168518,,31.0,,,
64,,,,1763260085.3042524,1583,,,70.0,29.127222299575806,,70.0,,,
74,,,,1763260085.662639,1924,,,71.0,29.48560881614685,,71.0,,,
77,,,,1763260085.71682,2028,,,63.0,29.53978991508484,,63.0,,,
88,0.0,929.0,-0.005160747095942497,1763260086.270492,2432,133.17909240722656,0.00011719018220901489,,30.093461990356445,0.6279933452606201,,-0.0037484169006347656,0.0038790106773376465,0.00029861752409487963
102,,,,1763260087.6335075,3112,,,63.0,31.456477403640747,,63.0,,,
104,,,,1763260087.8537254,3242,,,130.0,31.676695346832275,,130.0,,,
133,0.0,648.0,-0.0008403174579143524,1763260091.5517392,5120,359.09124755859375,0.0011374447494745255,,35.374709129333496,0.6227700710296631,,0.22110044956207275,0.0013321861624717712,0.0002970046189147979
147,0.0,603.0,-0.0005648909136652946,1763260093.6247356,6016,301.08966064453125,1.8543563783168793e-05,217.0,37.44770550727844,0.6307957172393799,217.0,-0.04025435447692871,0.0016496330499649048,0.00029646698385477066
149,,,,1763260093.943655,6246,,,230.0,37.76662492752075,,230.0,,,
150,0.0,593.0,-0.004018841311335564,1763260094.2124412,6272,193.98846435546875,0.00042081624269485474,,38.03541111946106,0.6172993779182434,,0.24453669786453247,0.004382118582725525,0.00029631337383762
155,0.0,578.0,0.001452169381082058,1763260094.928297,6528,100.96357727050781,0.0006648292765021324,,38.751266956329346,0.567703366279602,,0.02284228801727295,-0.011589761823415756,0.0002961597638204694
157,,,,1763260095.2008414,6658,,,139.0,39.02381134033203,,139.0,,,
172,,,,1763260098.227549,8025,,,473.0,42.05051898956299,,473.0,,,
195,,,,1763260101.6948338,9801,,,191.0,45.51780366897583,,191.0,,,
203,,,,1763260102.6777172,10353,,,136.0,46.50068712234497,,136.0,,,
213,0.0,538.0,0.0007913671433925629,1763260104.0953383,11008,87.99443054199219,0.0001861322671175003,,47.91830825805664,0.601253867149353,,0.16595977544784546,-0.006965644657611847,0.00029347158852033317
217,,,,1763260104.5947542,11280,,,203.0,48.41772413253784,,203.0,,,
228,0.0,539.0,-0.0006850762292742729,1763260106.2119234,12160,214.26626586914062,5.515199154615402e-05,,50.03489327430725,0.6079588532447815,,0.26301276683807373,0.005241427570581436,0.0002927803434431553
233,,,,1763260106.903462,12595,,,213.0,50.72643184661865,,213.0,,,
251,,,,1763260109.5199845,13998,,,82.0,53.34295439720154,,82.0,,,
259,0.0,541.0,0.002674099989235401,1763260110.842355,14720,216.70579528808594,0.0006778491660952568,,54.66532492637634,0.6198283433914185,,0.12579458951950073,-0.003671834245324135,0.0002912442432716489
265,,,,1763260111.4176486,15077,,,135.0,55.24061846733093,,135.0,,,
273,,,,1763260112.6782086,15799,,,222.0,56.5011785030365,,222.0,,,
274,0.0,542.0,-0.0028357217088341713,1763260112.8871987,15872,77.95761108398438,0.0006491122767329216,,56.7101686000824,0.5809575319290161,,0.4107728600502014,0.001530662178993225,0.000290552998194471
292,,,,1763260115.1644378,17099,,,30.0,58.98740768432617,,30.0,,,
321,0.0,542.0,-0.0018306402489542961,1763260119.7795208,19584,156.62840270996094,5.1791779696941376e-05,,63.60249066352844,0.5726352334022522,,0.09302574396133423,-0.0036265067756175995,0.0002883256529457867
327,0.0,541.0,-0.0009677475318312645,1763260120.5277934,19968,72.64262390136719,0.0013801297172904015,,64.35076332092285,0.5868170857429504,,0.5663329362869263,-0.0020464658737182617,0.00028809523792006075
330,0.001953125,541.0,-0.0002820342779159546,1763260120.9667206,20224,188.6021728515625,0.0013860352337360382,,64.78969049453735,0.6083992123603821,,0.14893406629562378,0.01859016716480255,0.0002879416279029101
332,,,,1763260121.2259355,20471,,,362.0,65.04890537261963,,362.0,,,
337,,,,1763260122.084145,20876,,,405.0,65.90711498260498,,405.0,,,
340,0.0,543.0,0.0009077470749616623,1763260122.5223553,21120,90.40274810791016,6.200745701789856e-05,,66.34532523155212,0.554749608039856,,0.09162700176239014,0.0019091442227363586,0.00028740399284288287
370,0.0,550.0,-0.0005660541355609894,1763260126.8840322,23808,132.09532165527344,1.2628734111785889e-06,,70.70700216293335,0.5982383489608765,,-0.0037156343460083008,0.00018519442528486252,0.00028579108766280115
375,,,,1763260127.5851185,24286,,,348.0,71.40808844566345,,348.0,,,
396,,,,1763260130.610239,25871,,,174.0,74.43320894241333,,174.0,,,
425,0.0,544.0,-0.0005678432062268257,1763260135.8356605,28416,107.0564193725586,2.6999972760677338e-05,,79.65863037109375,0.5420131087303162,,0.2561139464378357,-0.000876573845744133,0.0002830261073540896
441,0.0,543.0,-8.664093911647797e-06,1763260138.5099552,29824,67.22539520263672,7.650814950466156e-06,,82.33292508125305,0.545662522315979,,0.12841951847076416,-0.0005139298737049103,0.0002821812522597611
450,0.0,544.0,-0.0038756635040044785,1763260140.086054,30720,76.90803527832031,0.00010254047811031342,,83.90902400016785,0.5381985902786255,,-0.3104144334793091,0.001452624797821045,0.00028164361719973385
471,,,,1763260142.968408,32379,,,173.0,86.79137802124023,,173.0,,,
481,,,,1763260144.368701,33085,,,156.0,88.1916708946228,,156.0,,,
490,0.0,545.0,1.921132206916809e-05,1763260145.6552744,33792,35.17725372314453,5.811452865600586e-07,,89.47824430465698,0.5500119924545288,,0.7293305397033691,7.752841338515282e-05,0.00027980029699392617
504,0.03125,545.0,0.006429833360016346,1763260147.6689346,34944,59.666282653808594,0.0036283573135733604,,91.4919044971466,0.5405850410461426,,0.6910349130630493,-0.029397394508123398,0.0002791090519167483
515,,,,1763260149.101211,35767,,,149.0,92.92418098449707,,149.0,,,
530,0.0,545.0,-0.0005412530153989792,1763260151.0430534,36736,34.2696533203125,0.0002598259598016739,,94.86602330207825,0.5886042714118958,,0.24234437942504883,-0.0030382052063941956,0.0002780337817966938
539,0.0,545.0,0.0016130609437823296,1763260152.2067292,37376,40.228729248046875,0.0011593746021389961,,96.02969908714294,0.5768896341323853,,0.8655728697776794,0.012011770159006119,0.0002776497567538172
547,,,,1763260153.3350496,38062,,,297.0,97.15801954269409,,297.0,,,
555,0.0,545.0,0.005133286118507385,1763260154.5256786,38656,153.61456298828125,0.0003625527024269104,,98.34864854812622,0.5454429388046265,,0.49795371294021606,-0.0008439552038908005,0.000276881706668064
559,0.0,545.0,-0.0003094673156738281,1763260155.0028536,38912,293.6822509765625,3.581680357456207e-05,,98.82582354545593,0.553540825843811,,0.2912869453430176,-0.0010169893503189087,0.00027672809665091336
568,,,,1763260156.4130745,39806,,,188.0,100.23604440689087,,188.0,,,
595,,,,1763260160.4212885,42016,,,247.0,104.24425840377808,,247.0,,,
612,0.0,547.0,-0.002732418477535248,1763260163.0796263,43520,17.691530227661133,0.0001216791570186615,,106.90259623527527,0.5208606123924255,,0.43451517820358276,-0.0018418654799461365,0.0002739631454460323
614,0.0,547.0,0.007093729451298714,1763260163.324255,43648,36.31907653808594,0.0007842835038900375,,107.14722490310669,0.52603679895401,,0.8929623961448669,-0.004514336585998535,0.00027388634043745697
630,0.0,548.0,0.009029900655150414,1763260165.800867,45056,51.259796142578125,0.0013342946767807007,,109.62383699417114,0.5297795534133911,,0.8954269289970398,-0.005599461495876312,0.00027304148534312844
636,0.0,549.0,0.003825761377811432,1763260166.8626971,45696,13.70654296875,0.0002833697944879532,,110.68566703796387,0.5911373496055603,,0.8297786712646484,-0.007050678133964539,0.00027265746030025184
640,0.0,548.0,3.289617598056793e-05,1763260167.3896031,45952,136.16769409179688,1.9669532775878906e-06,,111.21257305145264,0.5402534604072571,,0.7351111769676208,9.01147723197937e-05,0.0002725038502831012
650,0.0,549.0,-0.0023870905861258507,1763260168.9433618,46848,155.02272033691406,7.04759731888771e-05,,112.76633167266846,0.5761577486991882,,-11.67898941040039,-0.0014645271003246307,0.00027196621522307396
664,,,,1763260171.2448714,48228,,,500.0,115.06784129142761,,500.0,,,
684,,,,1763260174.728184,50200,,,500.0,118.55115389823914,,500.0,,,
689,,,,1763260175.4466572,50601,,,269.0,119.2696270942688,,269.0,,,
698,,,,1763260176.796761,51334,,,500.0,120.61973094940186,,500.0,,,
702,0.0,550.0,0.0008194213733077049,1763260177.3168225,51584,844.5547485351562,9.32672992348671e-05,,121.13979244232178,0.5628944635391235,,0.041487038135528564,-0.0008101873099803925,0.0002691244299057871
707,,,,1763260178.0128262,52014,,,303.0,121.83579611778259,,303.0,,,
729,,,,1763260180.9254239,53533,,,99.0,124.74839377403259,,99.0,,,
757,0.0,550.0,-0.0005674706771969795,1763260184.9532726,55808,317.3702087402344,8.713360875844955e-05,,128.77624249458313,0.6153454780578613,,0.0836448073387146,0.0006555113941431046,0.00026658986462280154
762,0.0,551.0,-0.0006636520847678185,1763260185.7606819,56320,12.123248100280762,4.691909998655319e-05,,129.58365178108215,0.5764052271842957,,0.15444326400756836,0.0019170083105564117,0.00026628264458850026
767,0.0,552.0,-8.313357830047607e-05,1763260186.5730186,56832,11.575889587402344,1.9047409296035767e-05,,130.39598846435547,0.5801639556884766,,-0.20463824272155762,0.001383565366268158,0.000265975424554199
775,0.0,552.0,0.0008657798171043396,1763260187.820328,57600,9.70604133605957,5.768798291683197e-05,,131.6432979106903,0.5427247881889343,,0.2252855896949768,-0.0020339637994766235,0.00026551459450274706
788,,,,1763260189.9089234,58901,,,500.0,133.73189330101013,,500.0,,,
789,0.0,554.0,-0.00036783143877983093,1763260190.1099901,59008,224.68943786621094,2.921372652053833e-05,,133.93296003341675,0.5175468921661377,,0.0011417269706726074,0.0013018343597650528,0.00026466973940841854
797,,,,1763260191.4085143,59901,,,500.0,135.2314841747284,,500.0,,,
806,0.001953125,556.0,0.008111738599836826,1763260192.9329758,60800,5.86651086807251,0.0022287918254733086,,136.75594568252563,0.546068549156189,,-0.26385998725891113,-0.02280109003186226,0.00026359446928836405
815,0.0,557.0,0.0012298459187150002,1763260194.3722568,61696,4.859037399291992,2.568308264017105e-05,,138.19522666931152,0.5618331432342529,,-0.003221869468688965,-0.00043636560440063477,0.0002630568342283368
863,0.0,562.0,0.0007193516939878464,1763260202.0058405,66560,1.2149696350097656,0.0001341942697763443,,145.82881045341492,0.5408453941345215,,-0.2403641939163208,0.0008032321929931641,0.00026013824390247464
872,0.0,563.0,-0.0019306782633066177,1763260203.413792,67456,0.6812075972557068,2.063065767288208e-05,,147.23676180839539,0.5512221455574036,,-0.02588510513305664,0.0009419936686754227,0.0002596006088424474
876,0.0,563.0,8.641276508569717e-05,1763260204.0194108,67840,0.5095229744911194,0.00017425324767827988,,147.84238076210022,0.4926319122314453,,0.24117600917816162,-0.005089141428470612,0.00025937019381672144
916,0.0,567.0,-0.0016391957178711891,1763260210.1878197,71808,0.03725596144795418,0.0003273123875260353,,154.01078963279724,0.5435751080513,,0.2116490602493286,-0.006702344864606857,0.0002569892385508865
922,0.009765625,568.0,0.015061169862747192,1763260211.1550117,72448,0.007024537771940231,0.005389286205172539,,154.9779815673828,0.5406497716903687,,-2.004363775253296,0.0004722997546195984,0.0002566052135080099
930,0.0,568.0,5.666632205247879e-05,1763260212.3506668,73216,704.7518920898438,6.90734013915062e-05,,156.17363667488098,0.5371277332305908,,0.0065985918045043945,-0.0018965378403663635,0.000256144383456558
938,,,,1763260213.5042396,74106,,,500.0,157.32720947265625,,500.0,,,
941,0.01953125,570.0,0.01119883731007576,1763260214.0478928,74368,0.0008610907243564725,0.005918508395552635,,157.87086272239685,0.5598909854888916,,-1.5583288669586182,-0.034564726054668427,0.0002554531383793801
942,0.037109375,570.0,-0.0008433740586042404,1763260214.2362375,74496,0.00010923489753622562,0.009167361073195934,,158.0592074394226,0.4977450370788574,,0.4342242479324341,-0.029194174334406853,0.0002553763333708048
948,,,,1763260215.0576026,75106,,,500.0,158.88057255744934,,500.0,,,
974,0.0,573.0,0.00041086412966251373,1763260219.1407545,77696,580.1152954101562,6.472878158092499e-05,,162.96372437477112,0.5170832276344299,,4.678964614868164e-05,0.0007192827761173248,0.0002534562081564218
980,0.00390625,574.0,0.013494396582245827,1763260220.0939565,78336,0.00499147642403841,0.003496791236102581,,163.91692638397217,0.48221492767333984,,0.08156579732894897,-0.0027848854660987854,0.0002530721831135452
985,0.01953125,574.0,0.015199495479464531,1763260220.8788352,78848,0.0030673621222376823,0.001352265477180481,,164.7018051147461,0.4871577024459839,,-0.3990408182144165,-0.024372152984142303,0.0002527649630792439
995,0.00390625,575.0,0.007072632201015949,1763260222.4615295,79872,0.00046321918489411473,0.0004761097952723503,,166.28449940681458,0.5781216025352478,,-0.1669553518295288,-0.0002840310335159302,0.0002521505521144718
997,,,,1763260222.6974635,80106,,,500.0,166.52043342590332,,500.0,,,
1015,0.0,577.0,0.0032907407730817795,1763260225.58997,81920,0.0010125568369403481,0.0001247357577085495,,169.4129400253296,0.5315236449241638,,0.020203471183776855,0.002643328160047531,0.00025092167197726667
