charts/episodic_return,_step,charts/SPS,losses/old_approx_kl,losses/approx_kl,losses/policy_loss,_timestamp,global_step,losses/value_loss,charts/learning_rate,_runtime,losses/entropy,charts/episodic_length,losses/explained_variance,losses/clipfrac
,0,,,,,1763260082.03749,0,,,25.783909797668457,,,,
,7,744.0,-0.004795918241143227,0.00027985870838165283,-0.004751183092594147,1763260083.8244815,128,122.20845794677734,0.0003000000142492354,27.57090139389038,0.69289630651474,,-0.000836491584777832,0.0
31.0,33,,,,,1763260084.4004686,715,,,28.146888494491577,,31.0,,
24.0,41,,,,,1763260084.5468316,878,,,28.293251514434814,,24.0,,
35.0,47,,,,,1763260084.6773648,1014,,,28.423784732818604,,35.0,,
,64,970.0,-0.0007624225690960884,7.478613406419754e-05,0.0014166980981826782,1763260085.2345626,1536,82.59724426269531,0.00029915515915490687,28.980982542037964,0.6259003281593323,,-0.0005059242248535156,0.0
,74,975.0,0.003612193278968334,0.001628831960260868,-0.016943596303462982,1763260085.6208553,1920,200.84519958496094,0.0002989247441291809,29.36727523803711,0.5949820280075073,,-6.628036499023438e-05,0.0
,77,983.0,0.009903105907142162,0.0015020472928881645,-0.005205564200878143,1763260085.7355893,2048,267.2884521484375,0.0002988479391206056,29.482009172439575,0.5712355971336365,,-0.008486628532409668,0.0
,88,991.0,-0.01018576417118311,0.0002881856635212898,0.002602953463792801,1763260086.2356586,2560,294.503662109375,0.0002985407190863043,29.982078552246094,0.5618063807487488,,0.08441346883773804,0.0
178.0,102,,,,,1763260087.6627233,3395,,,31.409143209457397,,178.0,,
135.0,104,,,,,1763260087.8672667,3530,,,31.613686561584473,,135.0,,
,133,708.0,-0.0016517192125320435,1.8505379557609558e-05,0.0009749419987201691,1763260091.2375364,5376,119.50984191894531,0.00029685100889764726,34.9839563369751,0.5903604626655579,,0.02358919382095337,0.0
96.0,147,,,,,1763260093.1233275,6320,,,36.86974740028381,,96.0,,
135.0,149,,,,,1763260093.4212365,6455,,,37.16765642166138,,135.0,,
,150,651.0,0.012035714462399483,0.0007407087832689285,-0.010638438165187836,1763260093.674929,6528,146.88311767578125,0.0002961597638204694,37.42134881019592,0.5692670345306396,,0.406032919883728,0.0
137.0,155,,,,,1763260094.338337,6812,,,38.08475685119629,,137.0,,
,157,629.0,0.00481158122420311,0.0003681313246488571,0.002662762999534607,1763260094.8371732,7040,263.5205078125,0.0002958525437861681,38.583593130111694,0.626684308052063,,0.06643509864807129,0.0
131.0,172,,,,,1763260097.0149355,8023,,,40.76135540008545,,131.0,,
,195,579.0,0.0003254236653447151,0.0002348320558667183,-0.0070982277393341064,1763260100.4535658,9728,228.46829223632812,0.0002942396386060864,44.19998574256897,0.605391800403595,,0.11052370071411133,0.0
,203,578.0,0.0021814117208123207,0.0011660298332571983,-0.0007574297487735748,1763260101.5785465,10368,110.5494384765625,0.00029385561356320977,45.32496643066406,0.5843185782432556,,0.1067577600479126,0.0
132.0,213,,,,,1763260102.579487,10924,,,46.32590699195862,,132.0,,
103.0,217,,,,,1763260103.0672438,11155,,,46.813663721084595,,103.0,,
,228,577.0,-3.7194229662418365e-05,7.159076631069183e-06,-9.670853614807129e-05,1763260104.4869413,12032,222.01873779296875,0.0002928571484517306,48.23336124420166,0.6201555728912354,,0.05180233716964722,0.0
252.0,233,,,,,1763260105.0060086,12368,,,48.75242853164673,,252.0,,
,251,576.0,0.02177213504910469,0.0011634575203061104,-0.004746392369270325,1763260107.1704159,13568,82.77767944335938,0.00029193548834882677,50.91683578491211,0.5825361609458923,,0.379222571849823,0.0
,259,578.0,0.008396920748054981,0.0030565159395337105,0.020792856812477112,1763260108.2156856,14208,211.2933349609375,0.00029155146330595016,51.96210551261902,0.6306848526000977,,-0.06544578075408936,0.001953125
98.0,265,,,,,1763260108.9134572,14610,,,52.65987706184387,,98.0,,
,273,575.0,0.0035388628020882607,0.00011264253407716751,0.000677935779094696,1763260109.879506,15104,106.77638244628906,0.0002910138282459229,53.62592601776123,0.6181953549385071,,0.21398484706878662,0.0
,274,576.0,0.000947561115026474,5.3979456424713135e-06,-9.18656587600708e-06,1763260110.0618994,15232,187.48281860351562,0.0002909370232373476,53.808319330215454,0.5964034795761108,,0.021132707595825195,0.0
30.0,292,,,,,1763260112.010959,16355,,,55.757378816604614,,30.0,,
,321,574.0,-0.00024541188031435013,1.2638047337532043e-06,-0.0004497841000556946,1763260115.7538774,18432,169.3448944091797,0.0002890168980229646,59.50029730796814,0.6138177514076233,,0.027707815170288086,0.0
278.0,327,,,,,1763260116.6495845,18959,,,60.39600443840027,,278.0,,
,330,574.0,0.006151667796075344,0.00028453487902879715,-0.00922049954533577,1763260117.0934834,19200,139.8904266357422,0.0002885560679715127,60.839903354644775,0.604275643825531,,0.027254700660705566,0.0
,332,573.0,-0.0014173155650496483,0.0002261688932776451,0.004648895934224129,1763260117.3435698,19328,75.30245208740234,0.00028847926296293736,61.08998966217041,0.6155046820640564,,0.2687951922416687,0.0
121.0,337,,,,,1763260118.0247767,19741,,,61.771196603775024,,121.0,,
300.0,340,,,,,1763260118.4542825,20041,,,62.20070242881775,,300.0,,
130.0,370,,,,,1763260122.3972476,22291,,,66.14366745948792,,130.0,,
209.0,375,,,,,1763260123.043678,22702,,,66.79009795188904,,209.0,,
473.0,396,,,,,1763260125.8284695,24574,,,69.57488942146301,,473.0,,
139.0,425,,,,,1763260129.6011071,26810,,,73.34752702713013,,139.0,,
226.0,441,,,,,1763260131.979966,28251,,,75.72638583183289,,226.0,,
,450,582.0,0.0023807482793927193,5.7297758758068085e-05,-0.000836886465549469,1763260133.575554,29056,51.414730072021484,0.000282642082311213,77.32197380065918,0.5369822382926941,,0.5975991487503052,0.0
,471,575.0,0.00020896084606647491,2.123601734638214e-05,-8.112192153930664e-05,1763260136.77195,30592,198.83555603027344,0.0002817204222083092,80.5183699131012,0.5137569904327393,,-0.002178192138671875,0.0
,481,575.0,0.0006340853869915009,1.2306496500968933e-05,-0.0015365034341812134,1763260138.1742008,31360,60.464202880859375,0.00028125959215685725,81.92062067985535,0.5558443069458008,,0.8191434144973755,0.0
172.0,490,,,,,1763260139.3387535,32080,,,83.08517336845398,,172.0,,
,504,576.0,-0.0023395000025629997,4.2879022657871246e-05,0.0009625526145100594,1763260141.3920698,33280,21.776826858520508,0.00028010751702822745,85.13848972320557,0.6375132203102112,,0.7419599890708923,0.0
,515,577.0,-0.0013011591508984566,3.3454038202762604e-05,-0.0018603503704071045,1763260143.0729966,34304,22.323413848876953,0.0002794930769596249,86.81941652297974,0.6085491180419922,,0.762294590473175,0.0
133.0,530,,,,,1763260145.0217211,35563,,,88.76814103126526,,133.0,,
332.0,539,,,,,1763260146.2393453,36282,,,89.98576521873474,,332.0,,
287.0,547,,,,,1763260147.3139842,36912,,,91.06040406227112,,287.0,,
,555,580.0,0.00704082939773798,0.0011014631018042564,0.004125416278839111,1763260148.690203,37760,31.64169692993164,0.00027741934172809124,92.43662285804749,0.5820555686950684,,0.005261600017547607,0.0
,559,581.0,-0.00047700852155685425,0.00015372596681118011,0.0019530253484845161,1763260149.2864566,38144,105.3017578125,0.0002771889267023653,93.03287649154663,0.5896795988082886,,-5.095513820648193,0.0
,568,581.0,0.004404793493449688,0.0004613073542714119,-0.0062287598848342896,1763260150.5410779,38912,27.389875411987305,0.00027672809665091336,94.28749775886536,0.5322471261024475,,-0.07343697547912598,0.0
,595,583.0,0.008024226874113083,0.00026739388704299927,-0.008209459483623505,1763260154.3148813,41216,12.859574317932129,0.00027534563560038805,98.06130123138428,0.5404950380325317,,0.7141770124435425,0.0
,612,583.0,-0.000475502572953701,5.360972136259079e-05,-0.004770491272211075,1763260156.661987,42624,209.40235900878906,0.00027450078050605953,100.40840697288513,0.5421841740608215,,0.01700127124786377,0.0
,614,584.0,0.0006449958309531212,2.566259354352951e-05,0.0018804967403411865,1763260157.0179882,42880,22.654512405395508,0.0002743471704889089,100.76440811157227,0.6152756214141846,,0.11358720064163208,0.0
,630,584.0,-0.00020474381744861603,6.607361137866974e-05,-0.000201299786567688,1763260159.1526496,44160,313.0505676269531,0.0002735791204031557,102.8990695476532,0.5354794263839722,,0.06503355503082275,0.0
76.0,636,,,,,1763260159.8353107,44606,,,103.58173060417175,,76.0,,
,640,585.0,-0.0023418953642249107,2.614501863718033e-05,0.003451002761721611,1763260160.4411402,44928,172.2304229736328,0.00027311829035170376,104.18756008148193,0.576494574546814,,0.4883119463920593,0.0
344.0,650,,,,,1763260161.9297495,45935,,,105.67616939544678,,344.0,,
,664,587.0,-0.0007293820381164551,9.370408952236176e-05,0.0003912113606929779,1763260164.0927083,47232,14.666902542114258,0.000271735800197348,107.83912825584412,0.5402686595916748,,0.21169513463974,0.0
,684,587.0,0.00015065912157297134,3.3872202038764954e-06,0.0007509812712669373,1763260167.0493386,49024,11.465946197509766,0.0002706605300772935,110.79575848579407,0.49651360511779785,,0.2664494514465332,0.0
105.0,689,,,,,1763260167.6046407,49406,,,111.35106062889099,,105.0,,
128.0,698,,,,,1763260168.7463946,50030,,,112.49281454086304,,128.0,,
,702,586.0,-0.008484644815325737,0.00036341138184070587,-0.00613630935549736,1763260169.3519335,50304,15.016040802001953,0.0002698924799915403,113.0983533859253,0.528977632522583,,0.9689868092536926,0.0
,707,587.0,0.0011337529867887497,0.0009925216436386108,-0.0030126310884952545,1763260170.1592648,50816,9.124322891235352,0.00026958525995723903,113.90568470954895,0.5182315111160278,,0.9817632436752319,0.0
