_timestamp,losses/clipfrac,_runtime,losses/old_approx_kl,losses/value_loss,charts/SPS,charts/episodic_return,charts/episodic_length,losses/approx_kl,losses/explained_variance,global_step,_step,losses/entropy,losses/policy_loss,charts/learning_rate
1763260082.7005177,,26.461289644241333,,,,,,,,0,0,,,
1763260083.8313313,,27.592103242874146,,,,21.0,21.0,,,138,7,,,
1763260084.4205768,0.0,28.18134880065918,-4.2844563722610474e-05,162.0310821533203,833.0,,,0.00013312697410583496,0.01127535104751587,640,33,0.6829974055290222,-0.0044081732630729675,0.0002996927942149341
1763260084.5692964,,28.330068349838257,,,,41.0,41.0,,,801,41,,,
1763260084.6962698,,28.45704174041748,,,,41.0,41.0,,,926,47,,,
1763260085.1230223,,28.88379430770874,,,,48.0,48.0,,,1399,64,,,
1763260085.4026225,,29.163394451141357,,,,63.0,63.0,,,1642,74,,,
1763260085.5557196,,29.31649160385132,,,,35.0,35.0,,,1771,77,,,
1763260085.9224696,,29.683241605758667,,,,38.0,38.0,,,2163,88,,,
1763260087.1592257,0.0,30.919997692108154,0.00518454983830452,220.02163696289062,803.0,,,0.000491015613079071,0.034603118896484375,2816,102,0.6338998079299927,-0.005719024688005447,0.00029838710906915367
1763260087.2506027,,31.011374711990356,,,,79.0,79.0,,,2913,104,,,
1763260089.932286,,33.693058013916016,,,,108.0,108.0,,,4208,133,,,
1763260091.6195161,0.0,35.38028812408447,-0.0025693997740745544,199.2349853515625,626.0,,,5.1274895668029785e-05,-0.01579129695892334,4992,147,0.640087902545929,0.00036697089672088623,0.0002970814239233732
1763260091.8702445,0.0,35.63101649284363,-0.008185863494873047,169.19056701660156,623.0,,,0.0012691579759120941,0.011954724788665771,5120,149,0.6268734931945801,0.013282574713230133,0.0002970046189147979
1763260092.0776193,0.001953125,35.83839130401611,-0.0023176800459623337,391.81231689453125,622.0,,,0.004239138215780258,0.06025749444961548,5248,150,0.6155104041099548,0.010559499263763428,0.0002969278139062226
1763260092.6207156,0.0,36.38148760795593,0.001026979647576809,112.02896881103516,613.0,,,9.358860552310944e-06,-0.020203113555908203,5504,155,0.6090494394302368,-0.0007479563355445862,0.00029677420388907194
1763260093.0128665,,36.77363848686218,,,,275.0,275.0,,,5737,157,,,
1763260095.4954224,0.0,39.25619435310364,-0.0021653054282069206,323.3303527832031,572.0,,,0.0016753887757658958,-0.01912081241607666,6784,172,0.6035317182540894,0.02656775712966919,0.00029600615380331874
1763260098.8745778,0.0,42.6353497505188,0.0003327280282974243,125.38877868652344,538.0,,,6.0107558965682983e-05,0.2230423092842102,8192,195,0.6463707089424133,0.0002626590430736542,0.0002951612987089902
1763260099.7357237,0.0,43.496495723724365,-0.0011362452059984207,69.90971374511719,533.0,,,0.0002920478582382202,0.1655603051185608,8576,203,0.6158884763717651,-8.286163210868835e-05,0.00029493088368326426
1763260100.806584,,44.56735587120056,,,,77.0,77.0,,,9196,213,,,
1763260101.2892041,,45.049976110458374,,,,51.0,51.0,,,9386,217,,,
1763260102.4903648,,46.251136779785156,,,,240.0,240.0,,,10048,228,,,
1763260103.178569,0.0,46.93934106826782,0.0012479685246944427,163.87936401367188,530.0,,,1.276656985282898e-05,0.1815260648727417,10368,233,0.6009095311164856,0.0013710372149944305,0.00029385561356320977
