losses/value_loss,losses/old_approx_kl,global_step,charts/episodic_return,losses/clipfrac,_timestamp,losses/explained_variance,losses/policy_loss,_step,charts/SPS,charts/learning_rate,charts/episodic_length,losses/entropy,_runtime,losses/approx_kl
,,0,,,1763260082.275576,,,0,,,,,26.098501205444336,
83.22628021240234,0.0009733643382787704,128,,0.0,1763260083.8238416,0.010582387447357178,4.477798938751221e-05,7,747.0,0.0003000000142492354,,0.6928216218948364,27.646766662597656,0.0003422833979129791
,,675,43.0,,1763260084.3995805,,,33,,,43.0,,28.222505569458008,
,,870,73.0,,1763260084.585923,,,41,,,73.0,,28.40884804725647,
,,972,23.0,,1763260084.6985824,,,47,,,23.0,,28.521507501602173,
,,1523,17.0,,1763260085.2017543,,,64,,,17.0,,29.02467942237854,
190.6700897216797,0.002602127380669117,1920,,0.0,1763260085.6536126,-0.04676997661590576,-0.0012228861451148987,74,959.0,0.0002989247441291809,,0.6214912533760071,29.476537704467773,0.0010565100237727165
,,2007,45.0,,1763260085.6911583,,,77,,,45.0,,29.51408338546753,
115.8111572265625,-0.0019091106951236725,2432,,0.0,1763260086.2050598,-0.012709856033325195,0.006761480122804642,88,952.0,0.00029861752409487963,,0.5672779083251953,30.027984857559204,0.00012416578829288483
,,3021,60.0,,1763260087.368481,,,102,,,60.0,,31.19140601158142,
139.03298950195312,0.0018221242353320122,3072,,0.0,1763260087.5958498,0.07227683067321777,0.00040602125227451324,104,779.0,0.000298233499052003,,0.5971075892448425,31.418774843215942,6.74491748213768e-05
,,4382,138.0,,1763260090.274836,,,133,,,138.0,,34.097761154174805,
,,5058,113.0,,1763260091.6652403,,,147,,,113.0,,35.48816537857056,
,,5129,71.0,,1763260091.9193075,,,149,,,71.0,,35.74223256111145,
,,5227,98.0,,1763260091.9757621,,,150,,,98.0,,35.79868721961975,
,,5485,125.0,,1763260092.6155412,,,155,,,125.0,,36.4384663105011,
,,5604,119.0,,1763260092.830268,,,157,,,119.0,,36.65319299697876,
,,6625,189.0,,1763260095.2292583,,,172,,,189.0,,39.052183389663696,
121.70039367675781,0.0007039923220872879,8192,,0.0,1763260099.0100899,-0.0027028322219848633,-0.0018266215920448303,195,533.0,0.0002951612987089902,,0.5639269351959229,42.83301496505737,1.05295330286026e-05
,,8708,124.0,,1763260100.008413,,,203,,,124.0,,43.83133816719055,
148.84408569335938,0.0016281278803944588,9472,,0.0,1763260101.3593216,0.12024950981140137,-0.002083251252770424,213,534.0,0.000294393248623237,,0.5660462379455566,45.182246685028076,7.611233741044998e-05
,,9642,81.0,,1763260101.6794822,,,217,,,81.0,,45.50240731239319,
,,10256,124.0,,1763260102.8970327,,,228,,,124.0,,46.71995782852173,
,,10733,134.0,,1763260103.5853317,,,233,,,134.0,,47.4082567691803,
,,12015,152.0,,1763260105.8583033,,,251,,,152.0,,49.68122839927673,
,,12521,81.0,,1763260106.8156345,,,259,,,81.0,,50.63855957984924,
119.31590270996094,2.2603198885917664e-05,12800,,0.0,1763260107.5332518,0.26492559909820557,0.00118984654545784,265,535.0,0.0002923963184002787,,0.603863000869751,51.35617685317993,1.2233853340148926e-05
,,13331,132.0,,1763260108.4507236,,,273,,,132.0,,52.273648738861084,
,,13422,91.0,,1763260108.5004494,,,274,,,91.0,,52.3233745098114,
,,14536,165.0,,1763260110.705294,,,292,,,165.0,,54.52821898460388,
63.363651275634766,0.0034006666392087936,16128,,0.0,1763260113.879264,0.37620097398757935,-0.0032026171684265137,321,533.0,0.00029039938817732036,,0.5942003726959229,57.702189207077026,0.0001943744719028473
196.58340454101562,0.002908525988459587,16640,,0.0,1763260114.747791,0.035983383655548096,-0.003352811560034752,327,535.0,0.0002900921681430191,,0.5786834359169006,58.57071614265442,6.16610050201416e-05
,,16790,42.0,,1763260115.033311,,,330,,,42.0,,58.85623598098755,
81.99166870117188,-0.0039560385048389435,16896,,0.0,1763260115.2797732,0.14688223600387573,0.003464873880147934,332,534.0,0.00028993855812586844,,0.6068164110183716,59.10269832611084,0.00024863891303539276
122.25733184814453,0.0005863849073648453,17152,,0.0,1763260115.7991812,0.03083336353302002,-0.000742252916097641,337,533.0,0.0002897849481087178,,0.6078668832778931,59.622106313705444,4.166737198829651e-06
,,17358,92.0,,1763260116.0884662,,,340,,,92.0,,59.911391258239746,
,,19057,237.0,,1763260119.5713658,,,370,,,237.0,,63.394290924072266,
55.53584289550781,0.004065533168613911,19328,,0.0,1763260120.1987464,0.95583575963974,-0.003050639294087887,375,528.0,0.00028847926296293736,,0.5159068703651428,64.0216715335846,0.000199771486222744
,,20767,111.0,,1763260122.7282453,,,396,,,111.0,,66.5511703491211,
,,23084,295.0,,1763260126.3994906,,,425,,,295.0,,70.22241568565369,
142.9613800048828,0.0030997851863503456,24320,,0.0,1763260128.5401654,0.2393728494644165,-0.009185820817947388,441,541.0,0.00028548386762849987,,0.45877131819725037,72.36309051513672,0.00041309092193841934
70.0307846069336,0.0036037061363458633,24960,,0.0,1763260129.7363327,0.41509491205215454,-0.006186388432979584,450,541.0,0.00028509984258562326,,0.5311893224716187,73.5592577457428,0.00022116675972938538
156.21636962890625,-0.0003794413059949875,26624,,0.0,1763260132.7957273,0.02922004461288452,-0.0003070477396249771,471,541.0,0.0002841013774741441,,0.4770277440547943,76.61865234375,3.374740481376648e-05
84.4072494506836,0.0020687850192189217,27392,,0.0,1763260134.3977804,0.38468265533447266,0.0012903958559036255,481,539.0,0.0002836405474226922,,0.5141259431838989,78.22070550918579,0.00013637077063322067
112.51193237304688,0.005263833329081535,28032,,0.0,1763260135.8082423,0.5050770044326782,-0.022924330085515976,490,537.0,0.0002832565223798156,,0.49761679768562317,79.6311674118042,0.0006209872663021088
,,29238,125.0,,1763260137.9658024,,,504,,,125.0,,81.78872752189636,
,,30321,473.0,,1763260139.7879975,,,515,,,473.0,,83.61092257499695,
72.00131225585938,0.00205118115991354,31616,,0.009765625,1763260142.095024,-1.380408525466919,0.0016713403165340424,530,540.0,0.0002811059821397066,,0.534609317779541,85.91794919967651,0.0004422469064593315
,,32497,500.0,,1763260143.4424853,,,539,,,500.0,,87.26541042327881,
82.23384094238281,-0.008757263422012329,33152,,0.005859375,1763260144.6736808,-1.3990070819854736,-0.0008020922541618347,547,543.0,0.00028018432203680277,,0.5719934105873108,88.49660587310791,0.0024782754480838776
63.15821838378906,0.008913960307836533,33920,,0.0,1763260145.9250963,-0.33927202224731445,-0.0037164557725191116,555,544.0,0.00027972349198535085,,0.4935897886753082,89.74802136421204,0.0009599402546882629
47.04143524169922,0.0014780107885599136,34304,,0.0,1763260146.553203,-0.001099705696105957,-0.0031790584325790405,559,545.0,0.0002794930769596249,,0.4869021773338318,90.37612819671631,0.0003354102373123169
,,35152,99.0,,1763260147.8602657,,,568,,,99.0,,91.68319082260132,
,,37849,500.0,,1763260152.1734905,,,595,,,500.0,,95.99641561508179,
24.431713104248047,-0.0012770136818289757,39552,,0.0,1763260154.9985979,0.6929053664207458,0.0012762248516082764,612,554.0,0.00027634407160803676,,0.5567227602005005,98.8215229511261,9.619630873203278e-06
93.54291534423828,-0.001970285549759865,39680,,0.0,1763260155.2516131,0.10883355140686035,0.0004878658801317215,614,554.0,0.00027626726659946144,,0.4181208610534668,99.074538230896,6.025470793247223e-05
224.5967559814453,0.0004848772659897804,41088,,0.0,1763260157.607538,0.44563043117523193,0.00038651004433631897,630,555.0,0.00027542244060896337,,0.46394622325897217,101.43046307563782,6.343238055706024e-06
,,41492,162.0,,1763260158.2974474,,,636,,,162.0,,102.12037253379822,
150.63844299316406,0.007615520618855953,41856,,0.0,1763260158.9582717,0.7065668106079102,-0.011469364166259766,640,555.0,0.00027496161055751145,,0.4965137839317322,102.78119683265686,0.0007072566077113152
22.965381622314453,0.0005710730329155922,42880,,0.0,1763260160.5911896,-0.0328061580657959,0.0022903643548488617,650,557.0,0.0002743471704889089,,0.5192068219184875,104.41411471366882,0.0002097850665450096
21.557958602905273,-0.0009432202205061913,44160,,0.0,1763260162.7407126,0.006720304489135742,0.0004897452890872955,664,558.0,0.0002735791204031557,,0.4790921211242676,106.56363773345947,9.748153388500214e-06
18.063447952270508,-0.0002484358847141266,46208,,0.0,1763260165.9883034,-0.030380725860595703,-0.0007363110780715942,684,561.0,0.00027235024026595056,,0.4965563416481018,109.81122851371765,1.0346993803977966e-05
13.5142822265625,-0.0017183078452944756,46720,,0.0,1763260166.820469,0.006498992443084717,0.0014865696430206299,689,561.0,0.0002720430202316493,,0.5260004997253418,110.64339399337769,3.254693001508713e-05
,,47549,500.0,,1763260168.1260374,,,698,,,500.0,,111.94896245002747,
12.781023025512695,0.0004172986373305321,48000,,0.0,1763260168.9232166,0.0051999688148498535,0.0024977922439575195,702,562.0,0.0002712749701458961,,0.5532476305961609,112.7461416721344,0.00010676216334104538
11.460359573364258,0.00028107594698667526,48384,,0.0,1763260169.6552722,-0.0017976760864257812,-0.000145643949508667,707,562.0,0.0002710445551201701,,0.5480222702026367,113.4781973361969,2.6156194508075714e-05
,,50637,500.0,,1763260173.2599165,,,729,,,500.0,,117.08284163475037,
,,53339,404.0,,1763260177.6312077,,,757,,,404.0,,121.45413279533386,
,,53839,500.0,,1763260178.4709344,,,762,,,500.0,,122.29385948181152,
347.19915771484375,-0.0017489204183220863,54272,,0.0,1763260179.2753792,0.2801198959350586,0.0014393087476491928,767,567.0,0.0002675115247257054,,0.5721310377120972,123.098304271698,0.00015446636825799942
580.761474609375,0.0074674710631370544,54912,,0.0,1763260180.365386,-0.007934093475341797,-0.0006202179938554764,775,567.0,0.0002671274996828288,,0.5467445850372314,124.1883111000061,0.00048388727009296417
4.466099262237549,-0.000688738189637661,56064,,0.0,1763260182.2304122,-1.3175787925720215,-0.0006981166079640388,788,568.0,0.0002664362546056509,,0.587766170501709,126.05333733558655,5.389563739299774e-06
8.168380737304688,-0.001188221387565136,56960,,0.0,1763260183.668236,-1.184734582901001,0.0005099326372146606,797,569.0,0.00026589861954562366,,0.5765582323074341,127.49116110801697,7.257796823978424e-06
4.593961715698242,-0.015248078852891922,57856,,0.00390625,1763260184.9830348,-3.2462997436523438,-0.024209845811128616,806,570.0,0.0002653609844855964,,0.6103461980819702,128.80595993995667,0.0023073703050613403
,,58718,500.0,,1763260186.2453125,,,815,,,500.0,,130.06823754310608,
2.504592180252075,-0.002515677362680435,63360,,0.0,1763260193.6186373,-7.836356163024902,0.00064811110496521,863,576.0,0.00026205836911685765,,0.559841513633728,137.4415624141693,0.00013189949095249176
0.9017069339752197,0.001501264050602913,64256,,0.0,1763260194.9832346,0.01531374454498291,-0.0008317697793245316,872,577.0,0.0002615207340568304,,0.6007773876190186,138.80615973472595,7.77263194322586e-05
665.0869140625,0.00036871619522571564,64640,,0.0,1763260195.5607052,7.462501525878906e-05,0.0023314375430345535,876,577.0,0.00026129031903110445,,0.5896095037460327,139.38363027572632,0.00015035457909107208
0.004769565537571907,0.005124957300722599,69248,,0.00390625,1763260202.508314,-0.060245633125305176,0.0020694639533758163,922,582.0,0.0002585253387223929,,0.6428390741348267,146.33123898506165,0.0013950532302260399
472.10943603515625,-0.007348321378231049,70016,,0.0,1763260203.674389,0.0027695298194885254,0.00408611074090004,930,583.0,0.000258064508670941,,0.5676311254501343,147.49731397628784,0.001085672527551651
0.010459399782121181,0.0003307126462459564,70912,,0.0,1763260204.9984705,-7.555665016174316,0.005342215299606323,938,584.0,0.00025752687361091375,,0.5712903141975403,148.82139563560486,0.00045634061098098755
839.3194580078125,0.0005784453824162483,71168,,0.0,1763260205.4018266,-0.0063086748123168945,0.005364812910556793,941,584.0,0.0002573732635937631,,0.5699841976165771,149.22475171089172,0.0001879008486866951
0.014633942395448685,-0.005195679143071175,71296,,0.0,1763260205.58587,-0.40484344959259033,-0.0004915483295917511,942,584.0,0.0002572964585851878,,0.5542619228363037,149.4087951183319,0.00037481263279914856
0.016315849497914314,0.005485755391418934,71936,,0.0,1763260206.4965858,-14.077672958374023,-0.002737686038017273,948,585.0,0.0002569124335423112,,0.5677024722099304,150.31951093673706,0.0015567289665341377
0.0002088239707518369,0.01774568296968937,74624,,0.0,1763260210.4377325,-0.10333037376403809,-0.012682981789112091,974,588.0,0.00025529952836222947,,0.5596933960914612,154.26065754890442,0.0007260441780090332
,,75156,500.0,,1763260211.2206612,,,980,,,500.0,,155.04358625411987,
,,75656,500.0,,1763260211.9861004,,,985,,,500.0,,155.80902552604675,
0.01033754087984562,0.013561851345002651,76672,,0.00390625,1763260213.4574347,0.4523005485534668,-0.02157221920788288,995,590.0,0.00025407064822502434,,0.463683545589447,157.28035974502563,0.0029778601601719856
0.007601900491863489,-0.009340266697108746,76928,,0.0,1763260213.8158672,-3.76035213470459,-0.0035764947533607483,997,591.0,0.0002539170382078737,,0.42959630489349365,157.63879227638245,0.0006650453433394432
0.013220787979662418,0.0025337478145956993,78720,,0.0,1763260216.428166,-7.117566108703613,-0.00030667707324028015,1015,592.0,0.0002528417680878192,,0.4784473180770874,160.25109100341797,0.00035428162664175034
