_timestamp,losses/value_loss,losses/old_approx_kl,_step,losses/approx_kl,charts/learning_rate,charts/episodic_length,_runtime,losses/entropy,charts/episodic_return,global_step,losses/explained_variance,losses/clipfrac,losses/policy_loss,charts/SPS
1763260079.860874,,,0,,,,24.694912910461426,,,0,,,,
1763260080.702927,,,7,,,13.0,25.53696608543396,,13.0,108,,,,
1763260081.2872593,71.62100219726562,0.0019136294722557068,33,0.0010609123855829239,0.0002996927942149341,,26.12129831314087,0.6791731715202332,,640,-0.003029465675354004,0.0,-0.0013176798820495605,1007.0
1763260081.4288914,,,41,,,31.0,26.262930393218994,,31.0,816,,,,
1763260081.5639677,,,47,,,57.0,26.398006677627563,,57.0,975,,,,
1763260082.0118966,228.5117645263672,-0.0005512572824954987,64,0.0001630745828151703,0.0002992319641634822,,26.845935583114624,0.6621138453483582,,1408,-0.017758846282958984,0.0,7.392093539237976e-05,1035.0
1763260082.4069583,,,74,,,86.0,27.240997314453125,,86.0,1815,,,,
1763260082.5268025,,,77,,,56.0,27.360841512680054,,56.0,1949,,,,
1763260083.000803,,,88,,,168.0,27.83484196662903,,168.0,2489,,,,
1763260083.5755463,,,102,,,86.0,28.40958523750305,,86.0,3073,,,,
1763260083.6121805,,,104,,,38.0,28.446219444274902,,38.0,3170,,,,
1763260084.7642815,160.11219787597656,-0.0010548606514930725,133,2.2159889340400696e-05,0.0002974654489662498,,29.598320484161377,0.6375588178634644,,4352,0.021528959274291992,0.0,-0.0004578530788421631,1058.0
1763260085.26676,,,147,,,62.0,30.100799083709717,,62.0,4970,,,,
1763260085.3737566,,,149,,,40.0,30.2077956199646,,40.0,5010,,,,
1763260085.394398,,,150,,,58.0,30.228436946868896,,58.0,5068,,,,
1763260085.5969791,93.87340545654297,-0.0001444472000002861,155,3.9919279515743256e-05,0.0002969278139062226,,30.431018114089966,0.5724713802337646,,5248,0.02353513240814209,0.0,-0.00020826980471611023,1061.0
1763260085.6391478,,,157,,,64.0,30.4731867313385,,64.0,5362,,,,
1763260086.5302074,,,172,,,184.0,31.364246368408203,,184.0,6279,,,,
1763260087.7886586,110.09483337402344,-0.00020045414566993713,195,2.7939677238464355e-06,0.0002954685187432915,,32.622697591781616,0.6042446494102478,,7680,0.004362285137176514,0.0,0.0001736469566822052,1076.0
1763260088.2457764,290.5002746582031,-0.0030050640925765038,203,0.00020260829478502274,0.0002951612987089902,,33.07981538772583,0.5973358154296875,,8192,0.061262428760528564,0.0,-0.001146078109741211,1078.0
1763260088.7718232,,,213,,,68.0,33.60586214065552,,68.0,8773,,,,
1763260089.025529,,,217,,,73.0,33.85956788063049,,73.0,9030,,,,
1763260089.7024972,342.9441833496094,0.0008793817833065987,228,2.5265850126743317e-05,0.0002942396386060864,,34.53653621673584,0.6256664991378784,,9728,0.03833848237991333,0.0,-0.0010697729885578156,1074.0
1763260090.304597,326.50946044921875,-0.00253125187009573,233,0.000506487675011158,0.0002940092235803604,,35.138635873794556,0.6044625043869019,,10112,0.046863436698913574,0.00390625,0.001594342291355133,1047.0
1763260091.6511176,81.20266723632812,0.0022939853370189667,251,1.7259269952774048e-05,0.00029331797850318253,,36.485156536102295,0.5596369504928589,,11264,0.023498117923736572,0.0,-0.0017084293067455292,1024.0
1763260092.325989,314.6939697265625,0.003627624362707138,259,5.539506673812866e-05,0.00029301075846888125,,37.16002798080444,0.6067327260971069,,11776,-0.0010046958923339844,0.0,-0.0011217519640922546,1008.0
1763260092.8639154,,,265,,,288.0,37.697954416275024,,288.0,12287,,,,
1763260093.5164263,,,273,,,123.0,38.350465297698975,,123.0,12696,,,,
1763260093.5642576,,,274,,,99.0,38.39829659461975,,99.0,12795,,,,
1763260095.0797267,119.77317810058594,6.328336894512177e-05,292,2.057291567325592e-05,0.0002916282683145255,,39.91376566886902,0.5613102912902832,,14080,0.1936994194984436,0.0,-0.001430228352546692,975.0
1763260096.9966931,227.6866912841797,-0.002470586448907852,321,4.7732144594192505e-05,0.0002904761931858957,,41.830732107162476,0.621868908405304,,16000,0.0145607590675354,0.0,-0.001961261034011841,978.0
1763260097.4498508,132.53790283203125,-0.0007667923346161842,327,1.0660849511623383e-05,0.0002901689731515944,,42.28388977050781,0.6159669756889343,,16512,0.6461670994758606,0.0,0.00022746622562408447,982.0
1763260097.5881753,,,330,,,165.0,42.42221426963806,,165.0,16715,,,,
1763260097.7865112,211.15090942382812,-0.0004529384896159172,332,1.3445504009723663e-05,0.00028993855812586844,,42.62055015563965,0.6193051934242249,,16896,0.0006260275840759277,0.0,0.0005380436778068542,986.0
1763260098.1660795,286.4222717285156,-0.014111954718828201,337,0.001873185858130455,0.0002897081431001425,,43.00011849403381,0.6169816255569458,,17280,0.13104361295700073,0.0,0.02325098216533661,986.0
1763260098.3910813,189.78021240234375,0.0011054612696170807,340,1.3064593076705933e-05,0.00028955453308299184,,43.225120306015015,0.6135485768318176,,17536,0.22012609243392944,0.0,0.0013005882501602173,988.0
1763260100.4293225,,,370,,,144.0,45.26336145401001,,144.0,19805,,,,
1763260100.8622665,129.73486328125,-0.0024688178673386574,375,0.00046556536108255386,0.0002879416279029101,,45.69630551338196,0.5747923851013184,,20224,0.14533013105392456,0.0,0.0012888163328170776,1000.0
1763260102.398638,177.2919921875,-0.0012580165639519691,396,5.42299821972847e-05,0.00028694316279143095,,47.23267698287964,0.5205078125,,21888,0.20713329315185547,0.0,0.0021210797131061554,1006.0
1763260104.299632,127.91920471191406,0.0004654238000512123,425,3.5789795219898224e-05,0.0002857142826542258,,49.133671045303345,0.5213022232055664,,23936,0.09089463949203491,0.0,0.0019005462527275085,1012.0
1763260105.6119184,67.94429016113281,-0.005912967026233673,441,0.00255710631608963,0.0002848694275598973,,50.44595742225647,0.5670275092124939,,25344,0.6919564008712769,0.00390625,0.0019467156380414963,1015.0
1763260106.3950613,155.17459106445312,-0.006194695830345154,450,0.006408495828509331,0.00028433179249987006,,51.22910022735596,0.5741273164749146,,26240,0.2564895749092102,0.005859375,-0.012617647647857666,1019.0
1763260107.7461517,,,471,,,199.0,52.580190658569336,,199.0,27751,,,,
1763260108.55064,,,481,,,134.0,53.384679079055786,,134.0,28612,,,,
1763260109.2273388,,,490,,,167.0,54.06137776374817,,167.0,29367,,,,
1763260110.3672242,41.84223937988281,0.0045040082186460495,504,0.0002728532999753952,0.0002817204222083092,,55.201263189315796,0.5739078521728516,,30592,0.7723822593688965,0.0,-0.005063004791736603,1029.0
1763260111.0845084,256.1361999511719,-0.0008090110495686531,515,2.6960857212543488e-05,0.00028125959215685725,,55.91854739189148,0.5473930239677429,,31360,0.36996757984161377,0.0,0.0004998575896024704,1030.0
1763260112.2435362,51.10043716430664,-0.0025299284607172012,530,9.493343532085419e-05,0.00028049154207110405,,57.07757520675659,0.5493112802505493,,32640,0.8124054074287415,0.0,5.203858017921448e-05,1033.0
1763260112.9546547,52.22356414794922,0.016480974853038788,539,0.0016565313562750816,0.00028003071201965213,,57.78869366645813,0.5477902889251709,,33408,0.7174233198165894,0.0,-0.034941256046295166,1034.0
1763260113.5130322,32.5075569152832,-5.522463470697403e-05,547,1.2782402336597443e-05,0.0002796466869767755,,58.347071170806885,0.5986164212226868,,34048,0.9112336039543152,0.0,0.00010437518358230591,1036.0
1763260114.0294318,,,555,,,101.0,58.863470792770386,,101.0,34624,,,,
1763260114.244075,,,559,,,202.0,59.07811403274536,,202.0,34844,,,,
1763260114.8137417,,,568,,,156.0,59.647780656814575,,156.0,35477,,,,
1763260116.6881726,476.14215087890625,-0.0002595679834485054,595,7.533468306064606e-06,0.0002775729517452419,,61.52221155166626,0.5408710837364197,,37504,-0.12601089477539062,0.0,-0.00037075579166412354,1040.0
1763260117.9919493,78.50636291503906,0.002820519730448723,612,5.348585546016693e-05,0.00027672809665091336,,62.82598829269409,0.5924127101898193,,38912,0.7373303174972534,0.0,-0.006340811029076576,1042.0
1763260118.220527,47.48728942871094,0.0031126700341701508,614,0.0001739170402288437,0.0002765744866337627,,63.05456590652466,0.5593619346618652,,39168,0.2907562851905823,0.0,0.0016147568821907043,1042.0
1763260119.7071283,91.34088897705078,-0.013520968146622181,630,0.0025425320491194725,0.000275576050626114,,64.54116725921631,0.4848806858062744,,40832,-1.7856948375701904,0.001953125,0.00636068731546402,1045.0
1763260120.0835102,,,636,,,126.0,64.91754913330078,,126.0,41231,,,,
1763260120.3472383,,,640,,,166.0,65.18127727508545,,166.0,41586,,,,
1763260121.121466,,,650,,,256.0,65.95550489425659,,256.0,42372,,,,
1763260122.28477,,,664,,,167.0,67.11880898475647,,167.0,43718,,,,
1763260124.0701368,24.580995559692383,0.001784718595445156,684,0.00024189334362745285,0.00027265746030025184,,68.90417575836182,0.4961206614971161,,45696,0.04196351766586304,0.0,-0.004056036472320557,1052.0
1763260124.5407398,24.382431030273438,-0.004099217243492603,689,0.00047606322914361954,0.00027235024026595056,,69.3747787475586,0.5562325716018677,,46208,-0.2251448631286621,0.0,-0.002954535186290741,1052.0
1763260125.341355,21.62537956237793,0.0005483152344822884,698,3.201235085725784e-05,0.0002718126052059233,,70.17539405822754,0.5752595067024231,,47104,-0.010534286499023438,0.0,-0.00195903517305851,1054.0
1763260125.594005,,,702,,,309.0,70.42804408073425,,309.0,47439,,,,
1763260125.9427264,,,707,,,82.0,70.7767653465271,,82.0,47850,,,,
1763260127.4995627,,,729,,,488.0,72.33360171318054,,488.0,49453,,,,
1763260129.776667,423.7913818359375,0.0009168479591608047,757,1.4018267393112183e-05,0.00026889401488006115,,74.61070609092712,0.5374088883399963,,51968,0.13917535543441772,0.0,-0.0005108341574668884,1057.0
1763260130.117062,,,762,,,304.0,74.951101064682,,304.0,52361,,,,
1763260130.61409,74.57810974121094,-0.0019596386700868607,767,5.341880023479462e-05,0.0002683563798200339,,75.44812893867493,0.5873308777809143,,52864,0.6291976571083069,0.0,-0.0002962574362754822,1058.0
1763260131.345192,,,775,,,500.0,76.17923092842102,,500.0,53663,,,,
1763260132.7150345,457.14227294921875,-0.006401758641004562,788,0.0009005162864923477,0.0002671274996828288,,77.5490734577179,0.5043052434921265,,54912,0.029597938060760498,0.0,0.002001941204071045,1054.0
1763260133.5141144,,,797,,,500.0,78.34815335273743,,500.0,55816,,,,
1763260134.3698568,,,806,,,500.0,79.20389580726624,,500.0,56816,,,,
1763260135.2527025,7.969406604766846,-0.0022939657792448997,815,0.0001697959378361702,0.00026543778949417174,,80.08674144744873,0.4855652451515198,,57728,-0.019013643264770508,0.0,-0.003003232181072235,1057.0
1763260139.6427038,2.064868688583374,-0.0013025114312767982,863,0.0058804647997021675,0.00026251919916830957,,84.4767427444458,0.41059088706970215,,62592,-0.18429327011108398,0.0078125,-0.005108878016471863,1061.0
1763260140.4599693,2.6524112224578857,-0.003851022571325302,872,0.0001542177051305771,0.00026198156410828233,,85.29400825500488,0.43696141242980957,,63488,-5.3677754402160645,0.0,0.0072500333189964294,1061.0
1763260140.7939022,1.4781131744384766,-0.0025605615228414536,876,0.00017776712775230408,0.00026175114908255637,,85.6279411315918,0.4378833770751953,,63872,-0.08509314060211182,0.0,0.0005664229393005371,1062.0
1763260145.0605378,0.5063326358795166,0.004029044881463051,922,0.004262844100594521,0.0002589093637652695,,89.89457678794861,0.5014508366584778,,68608,-38.33209228515625,0.013671875,0.009813018143177032,1065.0
1763260145.7660425,0.006922673434019089,0.013269789516925812,930,0.02848358266055584,0.0002584485337138176,,90.60008144378662,0.42840704321861267,,69376,0.8610259890556335,0.166015625,-0.023643437772989273,1065.0
1763260146.4597414,0.00665171816945076,0.008695106953382492,938,0.0010979939252138138,0.0002579877036623657,,91.29378032684326,0.4255300760269165,,70144,-0.04107558727264404,0.001953125,-0.003047630190849304,1065.0
1763260146.7156885,,,941,,,500.0,91.54972743988037,,500.0,70498,,,,
1763260146.7942102,806.5485229492188,-0.00618630088865757,942,0.0003989432007074356,0.0002577572886366397,,91.628249168396,0.46266862750053406,,70528,0.03540635108947754,0.0,-0.003618687391281128,1066.0
1763260147.3808548,0.0019499548943713307,-0.00040878448635339737,948,0.000541062094271183,0.0002573732635937631,,92.21489381790161,0.4597611427307129,,71168,-0.26079487800598145,0.0,-0.007317766547203064,1066.0
1763260149.7833803,0.0010654546786099672,0.002270893193781376,974,0.00017749052494764328,0.0002557603584136814,,94.61741924285889,0.47622764110565186,,73856,-0.9682787656784058,0.0,0.0011183470487594604,1068.0
1763260150.3398564,0.00019904482178390026,0.0021885838359594345,980,2.0932406187057495e-05,0.0002553763333708048,,95.1738953590393,0.4491386413574219,,74496,-0.10452735424041748,0.0,0.00045405328273773193,1068.0
1763260150.7489781,,,985,,,500.0,95.58301711082458,,500.0,74998,,,,
1763260151.6681204,,,995,,,500.0,96.50215935707092,,500.0,75998,,,,
1763260151.8621147,0.005764806177467108,0.008872264064848423,997,0.0008543254807591438,0.0002543778682593256,,96.69615364074707,0.5282298922538757,,76160,-0.065529465675354,0.001953125,-0.007699854671955109,1069.0
1763260153.4709842,,,1015,,,500.0,98.30502319335938,,500.0,77998,,,,
1763260153.9376028,733.0694580078125,-0.0043867165222764015,1020,0.0005235997959971428,0.00025299537810496986,,98.7716417312622,0.5698086619377136,,78464,3.36766242980957e-05,0.0,0.013837054371833801,1070.0
1763260154.9031563,,,1031,,,500.0,99.73719525337219,,500.0,79609,,,,
1763260156.7030253,0.00024966997443698347,0.004677191376686096,1050,0.000981329008936882,0.00025115208700299263,,101.53706431388855,0.541383683681488,,81536,-0.05837833881378174,0.0,-0.008740218356251717,1072.0
1763260156.9311457,0.0035350839607417583,-0.003208128735423088,1053,0.0005524028092622757,0.000250998476985842,,101.7651846408844,0.5900307893753052,,81792,-0.05256175994873047,0.0,-0.010384012013673782,1072.0
1763260157.3736877,0.006391279399394989,0.0051343003287911415,1058,0.0010118363425135612,0.0002506912569515407,,102.20772671699524,0.4726513624191284,,82304,0.05979496240615845,0.0,-0.007921118289232254,1072.0
1763260159.6719263,0.0003044653276447207,-0.0034417472779750824,1083,0.0002494044601917267,0.0002491551567800343,,104.50596523284912,0.5317397713661194,,84864,-2.4501593112945557,0.0,-0.0035277456045150757,1073.0
1763260160.3785768,830.4542236328125,-0.0018032193183898926,1091,0.00014721043407917023,0.0002486943267285824,,105.2126157283783,0.5103367567062378,,85632,0.0004360079765319824,0.0,0.0020058006048202515,1074.0
1763260161.7619994,985.3444213867188,-0.0035636741667985916,1106,0.0002258196473121643,0.00024777266662567854,,106.59603834152222,0.5182838439941406,,87168,-7.867813110351562e-06,0.0,0.0008092448115348816,1074.0
1763260162.9662037,0.0018458350095897913,-0.02775418385863304,1118,0.006177014671266079,0.00024700461653992534,,107.80024266242981,0.5541160106658936,,88448,0.10409635305404663,0.015625,0.0017704851925373077,1074.0
1763260163.5678034,,,1125,,,500.0,108.40184235572815,,500.0,89109,,,,
1763260164.3771343,0.0011353748850524426,-0.0013316990807652473,1133,0.0009205145761370659,0.0002460829564370215,,109.21117329597473,0.5070324540138245,,89984,-0.0016502141952514648,0.0,-0.01887926086783409,1074.0
1763260165.416114,820.6165771484375,-0.008381016552448273,1145,0.0010383855551481247,0.0002453917113598436,,110.25015306472778,0.5574414730072021,,91136,0.0001608729362487793,0.0,0.011227697134017944,1075.0
1763260167.1442738,,,1164,,,500.0,111.97831273078918,,500.0,93109,,,,
1763260167.271849,1005.1294555664062,0.0039036618545651436,1165,0.00048695970326662064,0.0002441628312226385,,112.10588788986206,0.5856797695159912,,93184,4.6193599700927734e-05,0.0,1.6517937183380127e-05,1075.0
1763260167.852116,,,1172,,,275.0,112.68615508079529,,275.0,93884,,,,
1763260168.7539809,0.00038551524630747736,0.00023731309920549393,1181,0.0025063911452889442,0.00024316436611115932,,113.58801984786987,0.568342924118042,,94848,-0.10270106792449951,0.0,-0.01236109621822834,1076.0
1763260169.1984649,0.0003646702680271119,-0.00844242051243782,1186,0.0008266903460025787,0.00024285714607685804,,114.0325038433075,0.5816544890403748,,95360,-0.08773994445800781,0.001953125,-0.0028962790966033936,1076.0
1763260170.2420797,0.007577570155262947,-0.007816510275006294,1197,0.0006659980863332748,0.00024216590099968016,,115.07611870765686,0.517151415348053,,96512,-0.18117618560791016,0.0,0.001934567466378212,1077.0
1763260171.6527948,863.1859130859375,0.002608860842883587,1213,0.00017119105905294418,0.00024124424089677632,,116.48683381080627,0.5391151309013367,,98048,-9.572505950927734e-05,0.0,-0.004557810723781586,1077.0
1763260171.8763578,0.0016545165563002229,-0.009405669756233692,1215,0.0019447216764092445,0.00024109063087962568,,116.7103967666626,0.49534928798675537,,98304,-0.1707974672317505,0.0,0.004302084445953369,1077.0
1763260172.913686,0.00022246230219025165,0.0007424838840961456,1226,0.0003009568899869919,0.0002403993858024478,,117.74772500991821,0.5769176483154297,,99456,-0.24275422096252441,0.0,-0.006236737594008446,1077.0
1763260173.2474499,0.000867432274390012,-0.010877756401896477,1230,0.0004831552505493164,0.00024016897077672184,,118.08148884773254,0.49995630979537964,,99840,-0.14107346534729004,0.0,-0.004093531519174576,1078.0
