charts/episodic_return,charts/learning_rate,_step,losses/policy_loss,global_step,losses/approx_kl,losses/old_approx_kl,_timestamp,losses/entropy,_runtime,charts/SPS,charts/episodic_length,losses/explained_variance,losses/value_loss,losses/clipfrac
,,0,,0,,,1763260079.771921,,24.605888843536377,,,,,
19.0,,7,,216,,,1763260080.7183263,,25.55229425430298,,19.0,,,
14.0,,33,,765,,,1763260081.2350557,,26.069023609161377,,14.0,,,
14.0,,41,,982,,,1763260081.4583435,,26.292311429977417,,14.0,,,
,0.00029938557418063283,47,0.004044013097882271,1152,0.0003657238557934761,-0.008619292639195919,1763260081.6609254,0.6644042730331421,26.494893312454224,1048.0,,-0.01392507553100586,97.5015869140625,0.0
37.0,,64,,1635,,,1763260082.0900042,,26.923972129821777,,37.0,,,
,0.0002988479391206056,74,0.002073979005217552,2048,0.00026218220591545105,-0.008296404033899307,1763260082.5135787,0.5924510955810547,27.347546577453613,1049.0,,-0.006417989730834961,238.06114196777344,0.0
133.0,,77,,2199,,,1763260082.6362274,,27.470195293426514,,133.0,,,
,0.000298463914077729,88,-0.0011677071452140808,2688,0.00010880455374717712,0.004774030297994614,1763260083.0865393,0.5955274105072021,27.920507192611694,1064.0,,-0.022442102432250977,240.56028747558594,0.0
106.0,,102,,3562,,,1763260083.8247733,,28.658741235733032,,106.0,,,
,0.0002978494740091264,104,0.0005682073533535004,3712,4.740618169307709e-05,-0.0013098213821649551,1763260084.0088155,0.6228030323982239,28.842783451080322,1076.0,,0.11589455604553223,410.8760986328125,0.0
132.0,,133,,5391,,,1763260085.5264444,,30.36041235923767,,132.0,,,
84.0,,147,,6266,,,1763260086.2641213,,31.09808921813965,,84.0,,,
45.0,,149,,6311,,,1763260086.3511665,,31.185134410858154,,45.0,,,
,0.0002962365688290447,150,0.0014893785119056702,6400,6.8303197622299194e-06,-1.8253922462463379e-06,1763260086.4478624,0.5970227122306824,31.281830310821533,1087.0,,0.004705309867858887,198.83447265625,0.0
190.0,,155,,6747,,,1763260086.7033355,,31.53730344772339,,190.0,,,
59.0,,157,,6806,,,1763260086.7931929,,31.627160787582397,,59.0,,,
,0.0002954685187432915,172,-0.002882160246372223,7680,0.004419144243001938,0.008073929697275162,1763260087.595977,0.6432783603668213,32.42994499206543,1091.0,,0.21753251552581787,149.05984497070312,0.01953125
,0.0002947004686575383,195,-0.0016527269035577774,8960,3.037974238395691e-05,0.0034141745418310165,1763260088.7520087,0.6166366338729858,33.58597660064697,1093.0,,-0.03160238265991211,123.49288940429688,0.0
57.0,,203,,9369,,,1763260089.1026003,,33.93656826019287,,57.0,,,
98.0,,213,,9927,,,1763260089.6567423,,34.49071025848389,,98.0,,,
,0.0002940092235803604,217,0.0007399041205644608,10112,4.545506089925766e-05,0.0005030343309044838,1763260090.0383832,0.6007028222084045,34.87235116958618,1067.0,,-0.021206974983215332,82.20313262939453,0.0
,0.0002936251985374838,228,0.0005053877830505371,10752,3.3937394618988037e-06,-0.0006353408098220825,1763260090.784403,0.6416245698928833,35.61837100982666,1051.0,,-0.04480016231536865,134.95562744140625,0.0
,0.00029331797850318253,233,0.0021489858627319336,11264,0.0002488400787115097,0.00048799440264701843,1763260091.2508068,0.6103337407112122,36.08477473258972,1053.0,,-0.07843601703643799,345.365234375,0.0
94.0,,251,,12226,,,1763260092.499081,,37.333048820495605,,94.0,,,
120.0,,259,,12756,,,1763260093.1506565,,37.98462438583374,,120.0,,,
161.0,,265,,13159,,,1763260093.643042,,38.477010011672974,,161.0,,,
,0.00029193548834882677,273,-0.0026430897414684296,13568,2.5404617190361023e-05,-0.0015616267919540405,1763260094.2306995,0.6011754274368286,39.06466746330261,992.0,,0.0103035569190979,281.9838562011719,0.0
199.0,,274,,13648,,,1763260094.2629328,,39.09690070152283,,199.0,,,
,0.00029109063325449824,292,0.0038873087614774704,14976,0.00023006554692983627,-0.0009358851239085197,1763260095.6535132,0.5892084836959839,40.487481117248535,992.0,,0.16424888372421265,118.7010498046875,0.0
156.0,,321,,17036,,,1763260097.5559227,,42.38989067077637,,156.0,,,
182.0,,327,,17450,,,1763260097.9071288,,42.74109673500061,,182.0,,,
,0.0002894777280744165,330,-0.0014480799436569214,17664,0.0001315642148256302,0.00021836720407009125,1763260098.1606214,0.5216191411018372,42.99458932876587,1003.0,,0.11125421524047852,111.9394302368164,0.0
103.0,,332,,17787,,,1763260098.2052157,,43.039183616638184,,103.0,,,
,0.00028924731304869056,337,-0.00545400008559227,18048,8.686631917953491e-05,0.001285916194319725,1763260098.5046315,0.5768523216247559,43.33859944343567,1005.0,,0.26440954208374023,107.53197479248047,0.0
,0.0002890937030315399,340,0.003500334918498993,18304,6.266962736845016e-05,0.003620603121817112,1763260098.7285614,0.5768315196037292,43.56252932548523,1007.0,,-0.18845951557159424,142.61441040039062,0.0
,0.00028778801788575947,370,0.02709910273551941,20480,0.003965923562645912,-0.02447962947189808,1763260100.7314217,0.5935830473899841,45.56538963317871,1015.0,,0.3380991816520691,168.09170532226562,0.01171875
220.0,,396,,22305,,,1763260102.4647937,,47.29876160621643,,220.0,,,
,0.00028548386762849987,425,-0.0017873719334602356,24320,7.229391485452652e-05,-0.001033012755215168,1763260104.3178434,0.570868968963623,49.151811361312866,1023.0,,0.05499589443206787,151.514892578125,0.0
,0.0002848694275598973,441,0.0011593401432037354,25344,1.1309050023555756e-05,5.6712888181209564e-05,1763260105.2647424,0.5899655818939209,50.09871029853821,1025.0,,-0.010105609893798828,141.71408081054688,0.0
95.0,,450,,25915,,,1763260105.7868721,,50.620840072631836,,95.0,,,
241.0,,471,,27473,,,1763260107.1875834,,52.02155137062073,,241.0,,,
192.0,,481,,28215,,,1763260107.8980846,,52.73205256462097,,192.0,,,
155.0,,490,,28887,,,1763260108.4724934,,53.306461334228516,,155.0,,,
,0.0002822580572683364,504,0.00038755685091018677,29696,0.00019465666264295578,-0.0024860957637429237,1763260109.2775416,0.5734915137290955,54.111509561538696,1034.0,,0.9506688714027405,8.869721412658691,0.0
,0.0002817204222083092,515,0.0009688138961791992,30592,3.473646938800812e-05,0.0007341634482145309,1763260110.1078286,0.546652615070343,54.94179654121399,1035.0,,-0.28404736518859863,215.8978271484375,0.0
,0.00028095237212255597,530,0.0022471360862255096,31872,3.660470247268677e-05,-0.0002433042973279953,1763260111.2685647,0.5740532279014587,56.102532625198364,1037.0,,0.7683740258216858,41.40094757080078,0.0
,0.00028056834707967937,539,-5.319714546203613e-06,32512,1.8849968910217285e-06,0.00035309232771396637,1763260111.8699489,0.5209903717041016,56.703916788101196,1038.0,,0.30729347467422485,162.02938842773438,0.0
218.0,,547,,33043,,,1763260112.326726,,57.160693883895874,,218.0,,,
104.0,,555,,33587,,,1763260112.8216333,,57.655601263046265,,104.0,,,
,0.00027980029699392617,559,0.0003665238618850708,33792,8.954666554927826e-06,-0.000241733156144619,1763260113.0425582,0.5705548524856567,57.87652611732483,1040.0,,0.6502522230148315,94.46612548828125,0.0
109.0,,568,,34347,,,1763260113.5114534,,58.3454213142395,,109.0,,,
,0.00027826419682241976,595,-0.01490408182144165,36352,0.0004703700542449951,0.011379119008779526,1763260115.3821144,0.5405255556106567,60.21608233451843,1043.0,,0.0069689154624938965,277.2774963378906,0.0
,0.00027741934172809124,612,0.012917604297399521,37760,0.006349707953631878,0.00813709944486618,1763260116.6598876,0.5354498624801636,61.493855476379395,1046.0,,0.2829400897026062,60.10555648803711,0.052734375
,0.0002773425367195159,614,-0.003097519278526306,37888,0.00047459453344345093,0.005926867946982384,1763260116.7729316,0.5684598684310913,61.60689949989319,1046.0,,0.12420177459716797,172.44094848632812,0.0
202.0,,630,,39132,,,1763260117.852237,,62.68620491027832,,202.0,,,
123.0,,636,,39546,,,1763260118.2380073,,63.071975231170654,,123.0,,,
111.0,,640,,39722,,,1763260118.4396348,,63.27360272407532,,111.0,,,
,0.00027580646565183997,650,0.00035112909972667694,40448,9.908340871334076e-06,-0.0009299879893660545,1763260119.1324406,0.4969213306903839,63.966408491134644,1048.0,,0.9819132089614868,3.825852155685425,0.0
,0.0002751152205746621,664,-0.006344251334667206,41600,0.00030310917645692825,0.006893293000757694,1763260120.1846004,0.5166506767272949,65.01856827735901,1049.0,,0.9673938751220703,11.129191398620605,0.0
,0.0002739631454460323,684,-0.006326824426651001,43520,0.002259482629597187,-0.00681657437235117,1763260121.8893497,0.5355700850486755,66.72331762313843,1053.0,,-0.03466439247131348,221.91738891601562,0.0
,0.000273655925411731,689,-0.006098615005612373,44032,0.00044256541877985,-0.0015981225296854973,1763260122.3622854,0.5298330783843994,67.19625329971313,1053.0,,0.7500191330909729,65.88214874267578,0.0
