losses/entropy,_step,_timestamp,charts/episodic_return,losses/explained_variance,losses/policy_loss,global_step,losses/value_loss,_runtime,charts/SPS,losses/clipfrac,charts/learning_rate,charts/episodic_length,losses/old_approx_kl,losses/approx_kl
,0,1763260080.4497788,,,,0,,25.299124717712402,,,,,,
0.6925204992294312,7,1763260081.3695915,,-0.0007212162017822266,-0.013024922460317612,128,63.068214416503906,26.218937397003174,1022.0,0.0,0.0003000000142492354,,0.0067183710634708405,0.0005649570375680923
,33,1763260081.9383945,42.0,,,708,,26.787740468978882,,,,42.0,,
0.6872774362564087,41,1763260082.1530612,,-0.0033115148544311523,-0.0003808140754699707,896,156.2369384765625,27.00240707397461,985.0,0.0,0.00029953918419778347,,-0.00021565239876508713,1.3620592653751373e-05
,47,1763260082.2985408,31.0,,,1087,,27.147886753082275,,,,31.0,,
,64,1763260082.677537,20.0,,,1458,,27.526882886886597,,,,20.0,,
,74,1763260082.9594388,34.0,,,1738,,27.80878472328186,,,,34.0,,
,77,1763260083.0723953,39.0,,,1858,,27.921741247177124,,,,39.0,,
,88,1763260083.4203055,74.0,,,2218,,28.269651412963867,,,,74.0,,
,102,1763260083.908637,27.0,,,2726,,28.757982969284058,,,,27.0,,
0.6069588661193848,104,1763260084.0095983,,0.029427409172058105,0.0009138472378253937,2816,120.63603973388672,28.858944177627563,1018.0,0.0,0.00029838710906915367,,-0.004875350743532181,0.0001617223024368286
0.5755065679550171,133,1763260085.5071764,,-0.00541079044342041,-0.005472920835018158,4480,302.9969787597656,30.35652232170105,1050.0,0.0,0.0002973886439576745,,0.0036239707842469215,0.000294477678835392
,147,1763260086.2440302,23.0,,,5361,,31.09337615966797,,,,23.0,,
0.6331990361213684,149,1763260086.432568,,0.022277772426605225,0.00664106011390686,5504,400.4972229003906,31.281913995742798,1060.0,0.0,0.00029677420388907194,,-0.007691322825849056,0.004023919813334942
,150,1763260086.4422534,168.0,,,5529,,31.29159927368164,,,,168.0,,
,155,1763260086.674401,65.0,,,5790,,31.523746967315674,,,,65.0,,
0.5746033191680908,157,1763260086.7789805,,0.015548169612884521,-0.0024506375193595886,5888,124.74519348144531,31.628326416015625,1063.0,0.0,0.000296543788863346,,0.0026937052607536316,3.751926124095917e-05
,172,1763260087.5184186,105.0,,,6760,,32.367764472961426,,,,105.0,,
,195,1763260089.0080652,77.0,,,8370,,33.85741114616394,,,,77.0,,
0.6365563273429871,203,1763260089.6865046,,0.19426876306533813,0.00038927793502807617,9088,392.66064453125,34.535850524902344,1076.0,0.0,0.000294623663648963,,-0.0032181013375520706,0.0001846570521593094
0.6114511489868164,213,1763260090.3417628,,0.021024644374847412,-0.002079259604215622,9728,79.57073211669922,35.19110870361328,1069.0,0.0,0.0002942396386060864,,-0.00010469835251569748,6.040651351213455e-05
0.6279416680335999,217,1763260090.9371047,,0.04244208335876465,0.005902210250496864,10112,221.27828979492188,35.78645062446594,1043.0,0.0,0.0002940092235803604,,-0.013691851869225502,0.0004431791603565216
,228,1763260091.8110764,214.0,,,10918,,36.66042232513428,,,,214.0,,
0.5995887517929077,233,1763260092.2455165,,-0.013072848320007324,0.00396786630153656,11264,185.44522094726562,37.09486246109009,1023.0,0.0,0.00029331797850318253,,-0.002379024401307106,0.00015004165470600128
,251,1763260093.7913682,89.0,,,12566,,38.640714168548584,,,,89.0,,
,259,1763260094.387931,224.0,,,13069,,39.237277030944824,,,,224.0,,
0.6059768795967102,265,1763260094.8287728,,0.014500260353088379,-0.003926897421479225,13440,284.0783996582031,39.67811870574951,989.0,0.0,0.0002920122933574021,,0.0014697462320327759,4.006735980510712e-05
0.5668493509292603,273,1763260095.3562098,,0.15908044576644897,-0.006396383047103882,13952,126.38129425048828,40.20555567741394,988.0,0.0,0.0002917050733231008,,0.002735658548772335,0.00037816446274518967
,274,1763260095.3779297,105.0,,,13992,,40.22727560997009,,,,105.0,,
0.6266302466392517,292,1763260096.7023587,,0.011850357055664062,4.5064836740493774e-05,15360,239.2752685546875,41.55170464515686,993.0,0.0,0.0002908602182287723,,2.9402785003185272e-05,3.3034011721611023e-06
0.6018128991127014,321,1763260098.9349148,,0.015591979026794434,-0.0002927258610725403,17792,229.8666229248047,43.784260749816895,1005.0,0.0,0.0002894009230658412,,-0.0007149213925004005,8.895061910152435e-06
,327,1763260099.3068452,359.0,,,18263,,44.15619111061096,,,,359.0,,
0.5570487976074219,330,1763260099.5026612,,0.07610785961151123,0.00041791796684265137,18432,157.1476593017578,44.352007150650024,1009.0,0.0,0.0002890168980229646,,-0.00042057503014802933,1.9717030227184296e-05
,332,1763260099.6242092,224.0,,,18584,,44.47355508804321,,,,224.0,,
0.5900130867958069,337,1763260099.9985979,,0.04853338003158569,0.0007008053362369537,18944,84.05532836914062,44.8479437828064,1010.0,0.0,0.0002887096779886633,,0.00027896277606487274,0.00040334463119506836
0.5648969411849976,340,1763260100.226961,,0.020714223384857178,0.00022953376173973083,19200,191.69683837890625,45.07630681991577,1011.0,0.0,0.0002885560679715127,,0.0014438722282648087,1.6897916793823242e-05
0.5523874759674072,370,1763260102.4877098,,0.3572443723678589,0.0011185212060809135,21632,147.43870544433594,47.337055683135986,1018.0,0.0,0.0002870967728085816,,0.006317622028291225,0.0021849283948540688
,375,1763260102.8368616,250.0,,,22054,,47.68620753288269,,,,250.0,,
,396,1763260104.5550115,316.0,,,23858,,49.40435743331909,,,,316.0,,
0.5576871633529663,425,1763260106.6536589,,0.2522808909416199,-0.0038476362824440002,26112,101.95262145996094,51.50300478935242,1027.0,0.0,0.0002844085975084454,,0.0026610884815454483,6.466545164585114e-05
0.5392112731933594,441,1763260107.8261476,,-0.024576663970947266,0.0033111870288848877,27392,86.07069396972656,52.675493478775024,1030.0,0.0,0.0002836405474226922,,0.037485845386981964,0.003919537179172039
0.6201517581939697,450,1763260108.5432398,,0.23962438106536865,-0.0005226656794548035,28160,114.42652893066406,53.39258575439453,1031.0,0.0,0.00028317971737124026,,-0.00014270469546318054,2.732500433921814e-06
0.5668498873710632,471,1763260109.8312469,,0.5647827982902527,-0.004205841571092606,29568,64.81271362304688,54.68059277534485,1034.0,0.0,0.00028233486227691174,,-0.007557927630841732,0.0021374570205807686
0.556738555431366,481,1763260110.7732823,,0.12263846397399902,-0.0011288411915302277,30592,92.62986755371094,55.6226282119751,1036.0,0.0,0.0002817204222083092,,0.004080172628164291,0.00029223598539829254
0.5877747535705566,490,1763260111.483075,,0.02118617296218872,-0.0036064758896827698,31360,75.65352630615234,56.33242082595825,1037.0,0.0,0.00028125959215685725,,0.0024888115003705025,0.00012568850070238113
,504,1763260112.3941667,149.0,,,32393,,57.24351263046265,,,,149.0,,
0.5895603895187378,515,1763260113.221449,,0.017511188983917236,-4.4833868741989136e-05,33280,209.9061279296875,58.07079482078552,1040.0,0.0,0.00028010751702822745,,8.380413055419922e-05,2.0954757928848267e-06
0.5809170007705688,530,1763260114.3836148,,-0.0011258125305175781,-0.007927432656288147,34560,298.705322265625,59.23296070098877,1042.0,0.0,0.00027933946694247425,,0.004279101267457008,0.00019149668514728546
0.5721579790115356,539,1763260115.2324445,,0.028821885585784912,-6.162375211715698e-05,35456,72.35987854003906,60.08179044723511,1043.0,0.0,0.000278801831882447,,0.001293218694627285,7.646437734365463e-05
,547,1763260115.870403,394.0,,,36213,,60.719748973846436,,,,394.0,,
