losses/old_approx_kl,_runtime,_step,_timestamp,charts/SPS,losses/policy_loss,losses/value_loss,losses/entropy,losses/approx_kl,charts/episodic_return,losses/clipfrac,charts/learning_rate,charts/episodic_length,losses/explained_variance,global_step
,25.012560844421387,0,1763260080.1947598,,,,,,,,,,,0
0.0009877700358629227,25.984144687652588,7,1763260081.1663437,966.0,0.00014806538820266724,93.45991516113281,0.6928120851516724,0.00035212747752666473,,0.0,0.0003000000142492354,,0.009906291961669922,128
,26.525495767593384,33,1763260081.7076948,,,,,,43.0,,,43.0,,675
,26.680784702301025,41,1763260081.8629837,,,,,,73.0,,,73.0,,870
,26.79951000213623,47,1763260081.981709,,,,,,23.0,,,23.0,,972
,27.337135076522827,64,1763260082.519334,,,,,,17.0,,,17.0,,1511
,27.70197892189026,74,1763260082.884178,,,,,,53.0,,,53.0,,1894
,27.8206844329834,77,1763260083.0028834,,,,,,105.0,,,105.0,,2016
,28.293244123458862,88,1763260083.4754431,,,,,,56.0,,,56.0,,2513
-0.004666939377784729,28.992149829864502,102,1763260084.1743488,1018.0,0.004667356610298157,243.43109130859375,0.5699674487113953,0.0011459942907094955,,0.0,0.0002981566940434277,,0.11204135417938232,3200
-0.004657948389649391,29.11021876335144,104,1763260084.2924178,1021.0,-0.004591859877109528,186.21719360351562,0.6078958511352539,0.000670483335852623,,0.0,0.0002980798890348524,,0.03619331121444702,3328
,30.686103582382202,133,1763260085.8683026,,,,,,126.0,,,126.0,,5002
,31.638485193252563,147,1763260086.8206842,,,,,,268.0,,,268.0,,6018
0.004009653814136982,31.754666805267334,149,1763260086.9368658,1040.0,-0.007037162780761719,141.0186767578125,0.5620733499526978,0.0009375335648655891,,0.0,0.00029639017884619534,,0.01756685972213745,6144
-0.0004845857620239258,31.86960506439209,150,1763260087.051804,1042.0,-0.00038871169090270996,437.87274169921875,0.5978328585624695,2.8308480978012085e-05,,0.0,0.00029631337383762,,-0.05856609344482422,6272
,32.118637561798096,155,1763260087.3008366,,,,,,150.0,,,150.0,,6565
0.0006584078073501587,32.22291588783264,157,1763260087.405115,1044.0,-0.00010930746793746948,71.06842803955078,0.5958435535430908,6.237998604774475e-06,,0.0,0.00029608295881189406,,0.11790615320205688,6656
,33.189109802246094,172,1763260088.3713088,,,,,,55.0,,,55.0,,7711
0.008426421321928501,34.96739912033081,195,1763260090.1495981,1053.0,-0.0016802102327346802,255.90728759765625,0.5281378030776978,0.00036013033241033554,,0.0,0.0002943164436146617,,0.02244734764099121,9600
,35.85046577453613,203,1763260091.0326648,,,,,,130.0,,,130.0,,10192
,36.63711142539978,213,1763260091.8193104,,,,,,165.0,,,165.0,,10900
-0.0006024595350027084,37.011924266815186,217,1763260092.1941233,1009.0,0.000448811799287796,306.9143981933594,0.5108064413070679,7.819384336471558e-06,,0.0,0.00029331797850318253,,0.10181653499603271,11264
-0.00014547444880008698,37.85751438140869,228,1763260093.0397134,1002.0,-0.0006858855485916138,135.57272338867188,0.5562064051628113,1.5962868928909302e-06,,0.0,0.0002928571484517306,,0.2890031337738037,12032
-0.001046726480126381,38.2673077583313,233,1763260093.4495068,1000.0,-0.00044158846139907837,89.6582260131836,0.5543956756591797,5.9194862842559814e-06,,0.0,0.00029262673342600465,,0.4011416435241699,12416
-0.003657812252640724,39.812397718429565,251,1763260094.9945967,999.0,-0.0036967024207115173,285.81170654296875,0.5948604345321655,0.00031767040491104126,,0.0,0.0002917050733231008,,0.3967270851135254,13952
