losses/value_loss,_runtime,charts/episodic_return,_step,charts/SPS,losses/clipfrac,losses/old_approx_kl,_timestamp,charts/learning_rate,losses/entropy,losses/approx_kl,charts/episodic_length,losses/explained_variance,global_step,losses/policy_loss
,24.692315816879272,,0,,,,1763260079.687209,,,,,,0,
,25.65424108505249,32.0,7,,,,1763260080.6491342,,,,32.0,,142,
,26.181456565856934,16.0,33,,,,1763260081.1763496,,,,16.0,,710,
126.42463684082031,26.391733407974243,,41,997.0,0.0,-0.013068611733615398,1763260081.3866265,0.00029953918419778347,0.6737159490585327,0.0006946837529540062,,0.005578398704528809,896,0.0039355941116809845
60.03501510620117,26.516619443893433,,47,1000.0,0.0,0.003936095163226128,1763260081.5115125,0.00029946237918920815,0.6664966940879822,0.0008861087262630463,,0.02631211280822754,1024,-0.0023839883506298065
,26.91645884513855,34.0,64,,,,1763260081.911352,,,,34.0,,1507,
218.85855102539062,27.26589274406433,,74,1011.0,0.0,0.002552798017859459,1763260082.2607858,0.00029900154913775623,0.6472153067588806,0.0001956503838300705,,-0.015650629997253418,1792,-0.0029883980751037598
,27.311812162399292,57.0,77,,,,1763260082.3067052,,,,57.0,,1908,
184.57559204101562,27.743008375167847,,88,1024.0,0.0,0.0016898224130272865,1763260082.7379014,0.00029869432910345495,0.6244544982910156,0.0005543148145079613,,-0.01351785659790039,2304,-0.000986345112323761
,28.3902108669281,76.0,102,,,,1763260083.385104,,,,76.0,,3046,
,28.4882972240448,72.0,104,,,,1763260083.4831903,,,,72.0,,3118,
,30.01472520828247,100.0,133,,,,1763260085.0096183,,,,100.0,,4761,
,30.959619760513306,200.0,147,,,,1763260085.9545128,,,,200.0,,5801,
,31.063689470291138,100.0,149,,,,1763260086.0585825,,,,100.0,,5901,
,31.10384964942932,109.0,150,,,,1763260086.0987427,,,,109.0,,6010,
235.52761840820312,31.428910493850708,,155,1056.0,0.0,0.000692182220518589,1763260086.4238036,0.00029631337383762,0.5706473588943481,0.0001796884462237358,,0.02558457851409912,6272,-0.0028686746954917908
301.4747619628906,31.544631004333496,,157,1057.0,0.0,0.001129121519625187,1763260086.539524,0.0002962365688290447,0.5887567400932312,1.665111631155014e-05,,0.0911867618560791,6400,-0.0014890432357788086
306.2724609375,32.48222327232361,,172,1062.0,0.0,0.007184640504419804,1763260087.4771163,0.00029562212876044214,0.520301878452301,0.0005308603867888451,,0.07541501522064209,7424,-0.0017834119498729706
,33.91746807098389,204.0,195,,,,1763260088.9123611,,,,204.0,,9049,
,34.441394567489624,37.0,203,,,,1763260089.4362876,,,,37.0,,9511,
,35.359949827194214,171.0,213,,,,1763260090.354843,,,,171.0,,10218,
,35.64816689491272,149.0,217,,,,1763260090.64306,,,,149.0,,10468,
396.2443542480469,36.743128538131714,,228,1001.0,0.0,0.017615795135498047,1763260091.7380216,0.00029331797850318253,0.545949399471283,0.002112800255417824,,0.26053386926651,11264,-0.020195897668600082
