charts/episodic_return,losses/approx_kl,_timestamp,losses/clipfrac,losses/old_approx_kl,losses/explained_variance,losses/entropy,losses/value_loss,charts/episodic_length,losses/policy_loss,_runtime,_step,global_step,charts/learning_rate,charts/SPS
,,1763260079.5130277,,,,,,,,24.72866177558899,0,0,,
20.0,,1763260080.6583292,,,,,,20.0,,25.873963356018066,7,159,,
23.0,,1763260081.170463,,,,,,23.0,,26.386097192764282,33,688,,
18.0,,1763260081.313236,,,,,,18.0,,26.528870105743408,41,868,,
26.0,,1763260081.4412467,,,,,,26.0,,26.656880855560303,47,1003,,
,0.0001664506271481514,1763260081.916812,0.0,0.006902148015797138,0.01376122236251831,0.6567617654800415,79.82780456542969,,-0.004310935735702515,27.13244605064392,64,1408,0.0002992319641634822,981.0
18.0,,1763260082.1647177,,,,,,18.0,,27.380351781845093,74,1674,,
79.0,,1763260082.283245,,,,,,79.0,,27.498879194259644,77,1807,,
111.0,,1763260082.6644175,,,,,,111.0,,27.880051612854004,88,2270,,
104.0,,1763260083.3713288,,,,,,104.0,,28.586962938308716,102,3003,,
42.0,,1763260083.482794,,,,,,42.0,,28.6984281539917,104,3114,,
,0.0004852619022130966,1763260085.1089845,0.0,0.009922383353114128,0.025351405143737793,0.5895667672157288,71.15625,,-0.008227352052927017,30.324618577957153,133,4864,0.00029715822893194854,1051.0
125.0,,1763260085.8376236,,,,,,125.0,,31.053257703781128,147,5725,,
106.0,,1763260085.9653375,,,,,,106.0,,31.18097162246704,149,5831,,
,1.0067597031593323e-05,1763260086.0535355,0.0,0.00015068240463733673,1.1920928955078125e-07,0.6205490827560425,185.0392608642578,,-0.0014342591166496277,31.269169569015503,150,5888,0.000296543788863346,1056.0
142.0,,1763260086.2999578,,,,,,142.0,,31.515591859817505,155,6189,,
,1.8223188817501068e-05,1763260086.3990266,0.0,0.002467428334057331,0.04311603307723999,0.5664042234420776,83.98855590820312,,-0.00022618472576141357,31.61466073989868,157,6272,0.00029631337383762,1060.0
203.0,,1763260087.2277863,,,,,,203.0,,32.44342041015625,172,7199,,
167.0,,1763260088.526119,,,,,,167.0,,33.74175310134888,195,8669,,
187.0,,1763260088.9699316,,,,,,187.0,,34.18556571006775,203,9144,,
256.0,,1763260089.9751916,,,,,,256.0,,35.19082570075989,213,9860,,
103.0,,1763260090.3078597,,,,,,103.0,,35.52349376678467,217,10170,,
,0.0001910654827952385,1763260091.047154,0.0,0.002344704233109951,0.12455403804779053,0.5705770254135132,233.6450653076172,,-0.005957502871751785,36.26278805732727,228,10880,0.0002935483935289085,1029.0
58.0,,1763260091.3941143,,,,,,58.0,,36.60974836349487,233,11170,,
173.0,,1763260092.8256505,,,,,,173.0,,38.04128456115723,251,12342,,
,4.350580275058746e-05,1763260093.6903129,0.0,-0.0030261706560850143,0.13904666900634766,0.6144340634346008,90.93970489501953,,0.0009923744946718216,38.90594696998596,259,13056,0.00029224270838312805,988.0
173.0,,1763260094.1403744,,,,,,173.0,,39.356008529663086,265,13463,,
,3.239139914512634e-05,1763260094.8205626,0.0,0.0007225610315799713,0.005195140838623047,0.6135538816452026,332.2480163574219,,-0.0004940740764141083,40.0361967086792,273,14080,0.0002916282683145255,981.0
208.0,,1763260094.847557,,,,,,208.0,,40.063191175460815,274,14159,,
,1.3765878975391388e-05,1763260096.2864938,0.0,-0.0003157639876008034,0.010235488414764404,0.5944095849990845,143.1184539794922,,-0.00043463800102472305,41.50212788581848,292,15616,0.00029070660821162164,988.0
70.0,,1763260098.031157,,,,,,70.0,,43.24679112434387,321,17524,,
,3.91155481338501e-07,1763260098.448093,0.0,0.00014838390052318573,-0.0102921724319458,0.6125844717025757,296.482177734375,,0.0001802295446395874,43.663727045059204,327,17920,0.0002893241180572659,997.0
,1.6870908439159393e-05,1763260098.5657516,0.0,-0.0008594123646616936,0.2053806185722351,0.6337610483169556,97.53931427001953,,-0.0007277466356754303,43.78138566017151,330,18048,0.00028924731304869056,998.0
164.0,,1763260098.6891546,,,,,,164.0,,43.90478873252869,332,18204,,
,0.00037699658423662186,1763260099.0697463,0.0,-0.004564552567899227,0.10203385353088379,0.6084503531455994,228.4516143798828,,-0.002263195812702179,44.285380363464355,337,18560,0.0002889400930143893,998.0
,0.0004775598645210266,1763260099.1873477,0.0,-0.0020476561039686203,0.36743080615997314,0.6003940105438232,69.68089294433594,,-0.002064798027276993,44.402981758117676,340,18688,0.00028886328800581396,999.0
148.0,,1763260101.0452888,,,,,,148.0,,46.26092290878296,370,20729,,
,7.67875462770462e-06,1763260101.4629745,0.0,-0.0007309569045901299,0.016958773136138916,0.5732447504997253,278.1250305175781,,0.0002621859312057495,46.678608655929565,375,21120,0.00028740399284288287,1006.0
,4.9394555389881134e-05,1763260103.4089985,0.0,0.00018439535051584244,0.5858283042907715,0.5670446157455444,156.2792510986328,,0.0010897889733314514,48.624632596969604,396,23168,0.00028617511270567775,1010.0
,0.0039549702778458595,1763260105.645386,0.04296875,0.010803603567183018,0.46706897020339966,0.545364499092102,117.33074188232422,,-0.0021990202367305756,50.8610200881958,425,25600,0.00028471581754274666,1017.0
88.0,,1763260106.9649951,,,,,,88.0,,52.18062925338745,441,27127,,
,2.284068614244461e-05,1763260107.7577164,0.0,0.0014138082042336464,0.05623817443847656,0.5781776905059814,154.20938110351562,,0.00025381147861480713,52.973350524902344,450,27904,0.0002833333273883909,1023.0
218.0,,1763260109.18641,,,,,,218.0,,54.40204405784607,471,29485,,
,5.20581379532814e-05,1763260110.1169755,0.0,-0.0024408018216490746,-0.17837893962860107,0.5671157240867615,184.6661834716797,,0.0010592695325613022,55.3326096534729,481,30464,0.0002817972272168845,1027.0
458.0,,1763260110.8639865,,,,,,458.0,,56.079620599746704,490,31324,,
,6.797723472118378e-06,1763260112.0058181,0.0,0.00025693420320749283,0.028603971004486084,0.5549976825714111,121.63311767578125,,0.0011323578655719757,57.22145223617554,504,32512,0.00028056834707967937,1031.0
,0.00017633289098739624,1763260112.8401682,0.0,-0.007110742852091789,0.7842202186584473,0.5819662809371948,41.356842041015625,,0.007842183113098145,58.05580234527588,515,33408,0.00028003071201965213,1032.0
,0.00014001596719026566,1763260114.124667,0.0,0.0037213480100035667,0.7833596467971802,0.49799516797065735,108.9328384399414,,-0.0013109929859638214,59.34030103683472,530,34816,0.0002791858569253236,1034.0
,1.638755202293396e-05,1763260114.9490416,0.0,-0.0005094464868307114,0.2981035113334656,0.5724712014198303,136.95101928710938,,-0.0008116364479064941,60.16467571258545,539,35712,0.00027864822186529636,1036.0
,1.9828788936138153e-05,1763260115.5243924,0.0,0.00024489592760801315,0.013659834861755371,0.5621978640556335,117.84126281738281,,0.0013640187680721283,60.74002647399902,547,36352,0.00027826419682241976,1037.0
,0.0005659908056259155,1763260116.2394917,0.0,0.00465797632932663,0.023685038089752197,0.5383963584899902,348.33966064453125,,-0.0010744668543338776,61.45512580871582,555,37120,0.00027780336677096784,1038.0
,0.00021359417587518692,1763260116.577138,0.0,-0.0033002207055687904,0.7284895181655884,0.5545916557312012,118.5614013671875,,0.004422523081302643,61.79277205467224,559,37504,0.0002775729517452419,1039.0
500.0,,1763260117.4274404,,,,,,500.0,,62.64307451248169,568,38465,,
,0.0017489884048700333,1763260119.7427316,0.0,0.030171029269695282,-0.05688309669494629,0.52265465259552,68.6073989868164,,-0.0041465749964118,64.95836567878723,595,40960,0.0002754992456175387,1043.0
500.0,,1763260121.1772654,,,,,,500.0,,66.39289951324463,612,42522,,
,1.555122435092926e-05,1763260121.3936372,0.0,0.0011254139244556427,0.032585084438323975,0.5624985098838806,69.084716796875,,-0.002920582890510559,66.60927128791809,614,42752,0.0002744239754974842,1044.0
190.0,,1763260122.6937544,,,,,,190.0,,67.9093885421753,630,44236,,
282.0,,1763260123.1852446,,,,,,282.0,,68.40087866783142,636,44787,,
,1.9837170839309692e-06,1763260123.4870796,0.0,-0.00018609687685966492,0.4869839549064636,0.5959999561309814,313.4139099121094,,-0.00024203956127166748,68.70271372795105,640,45056,0.00027304148534312844,1047.0
,7.643364369869232e-06,1763260124.303499,0.0,-4.6222470700740814e-05,0.26791369915008545,0.5911022424697876,393.64166259765625,,0.001444149762392044,69.5191330909729,650,45952,0.0002725038502831012,1048.0
,9.90554690361023e-06,1763260125.4631395,0.0,-0.000589689239859581,-0.18382465839385986,0.5365728735923767,56.2564811706543,,-0.00020046904683113098,70.6787736415863,664,47232,0.000271735800197348,1050.0
,0.0003796359524130821,1763260127.0773926,0.0,0.00016045477241277695,0.29937970638275146,0.5489679574966431,21.456298828125,,-0.001973472535610199,72.29302668571472,684,49024,0.0002706605300772935,1052.0
,1.538265496492386e-05,1763260127.5614893,0.0,0.0003531491383910179,-0.03461921215057373,0.5170998573303223,33.95121383666992,,0.0002085566520690918,72.77712345123291,689,49536,0.00027035331004299223,1052.0
,7.729977369308472e-06,1763260128.2758503,0.0,0.0008322205394506454,0.17722129821777344,0.5176824331283569,418.0639953613281,,-0.0005257576704025269,73.49148440361023,698,50304,0.0002698924799915403,1052.0
,1.610349863767624e-05,1763260128.6147456,0.0,0.00023776572197675705,0.13916492462158203,0.5262333154678345,19.92210578918457,,3.528594970703125e-05,73.83037972450256,702,50688,0.00026966206496581435,1053.0
334.0,,1763260128.9919996,,,,,,334.0,,74.20763373374939,707,51191,,
,0.007130331359803677,1763260130.9475667,0.021484375,-0.010572788305580616,0.09705942869186401,0.5604430437088013,165.05935668945312,,-0.014601454138755798,76.16320085525513,729,53120,0.00026820276980288327,1052.0
,2.5228597223758698e-05,1763260133.5316494,0.0,0.0010548094287514687,-0.016698718070983887,0.5384965538978577,15.486483573913574,,0.0013613421469926834,78.74728345870972,757,55808,0.00026658986462280154,1052.0
382.0,,1763260133.9470644,,,,,,382.0,,79.16269850730896,762,56295,,
500.0,,1763260134.3950074,,,,,,500.0,,79.61064147949219,767,56795,,
291.0,,1763260135.1159132,,,,,,291.0,,80.33154726028442,775,57586,,
,0.00016390718519687653,1763260136.144594,0.0,0.00417744368314743,0.2384326457977295,0.5680640339851379,9.40935230255127,,0.003578469157218933,81.36022806167603,788,58624,0.0002649001544341445,1053.0
212.0,,1763260136.7727659,,,,,,212.0,,81.98839998245239,797,59351,,
500.0,,1763260137.5585191,,,,,,500.0,,82.77415323257446,806,60218,,
426.0,,1763260138.3915699,,,,,,426.0,,83.6072039604187,815,61119,,
221.0,,1763260142.739149,,,,,,221.0,,87.95478320121765,863,65905,,
,0.000528315082192421,1763260143.643257,0.0,-0.004865983501076698,0.015463709831237793,0.5479596257209778,2.150808811187744,,0.0014597848057746887,88.85889101028442,872,66816,0.000259984633885324,1057.0
