charts/SPS,losses/clipfrac,_runtime,charts/episodic_return,_step,charts/learning_rate,_timestamp,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,losses/entropy,losses/approx_kl,global_step,charts/episodic_length,losses/value_loss
,,25.088748931884766,,0,,1763260080.255033,,,,,,0,,
,,25.94582748413086,11.0,7,,1763260081.1121116,,,,,,123,11.0,
,,26.63156223297119,40.0,33,,1763260081.7978463,,,,,,772,40.0,
,,26.795119047164917,39.0,41,,1763260081.9614031,,,,,,1018,39.0,
1047.0,0.0,26.98975896835327,,47,0.00029938557418063283,1763260082.156043,-0.0026597008109092712,0.0021415865048766136,-0.009121537208557129,0.6730148196220398,0.00015643145889043808,1152,,130.21080017089844
,,27.38085436820984,24.0,64,,1763260082.5471385,,,,,,1564,24.0,
1042.0,0.0,27.731928825378418,,74,0.0002989247441291809,1763260082.898213,-0.0009777899831533432,-0.012090509757399559,0.0159875750541687,0.6099073886871338,0.0006222128868103027,1920,,185.3909912109375
1047.0,0.0,27.84605050086975,,77,0.0002988479391206056,1763260083.0123346,-0.0019939951598644257,0.0008100690320134163,0.005898177623748779,0.6139238476753235,0.00013487692922353745,2048,,189.3841552734375
,,28.224458932876587,57.0,88,,1763260083.390743,,,,,,2520,57.0,
1058.0,0.0,28.792431592941284,,102,0.000298233499052003,1763260083.9587157,0.0004899278283119202,-0.0008569732308387756,0.009402632713317871,0.5945241451263428,0.00010533258318901062,3072,,450.736328125
,,28.832199096679688,52.0,104,,1763260083.9984832,,,,,,3179,52.0,
1071.0,0.0,30.1896390914917,,133,0.0002973118389490992,1763260085.3559232,-0.009090717881917953,0.010307920165359974,0.013521909713745117,0.5424615740776062,0.0015434985980391502,4608,,391.47662353515625
1078.0,0.0,31.109907150268555,,147,0.0002966973988804966,1763260086.2761912,-0.00032613426446914673,-0.0013736067339777946,0.0490683913230896,0.560305118560791,2.7052126824855804e-05,5632,,209.54754638671875
,,31.2254376411438,190.0,149,,1763260086.3917217,,,,,,5769,190.0,
,,31.261391639709473,104.0,150,,1763260086.4276757,,,,,,5873,104.0,
