losses/approx_kl,charts/episodic_length,_runtime,losses/explained_variance,_step,losses/policy_loss,charts/learning_rate,charts/episodic_return,losses/entropy,_timestamp,losses/old_approx_kl,losses/value_loss,losses/clipfrac,charts/SPS,global_step
,,2.0149810314178467,,0,,,,,1763260012.966173,,,,,0
0.000664830207824707,,2.945556640625,0.6231133341789246,7,-0.017052236944437027,0.0003000000142492354,,0.6925427317619324,1763260013.8967485,-0.0003704763948917389,0.4765723943710327,0.0,894.0,128
,23.0,3.3890202045440674,,33,,,23.0,,1763260014.340212,,,,,628
,21.0,3.6164286136627197,,41,,,21.0,,1763260014.5676205,,,,,847
,14.0,3.7403793334960938,,47,,,14.0,,1763260014.6915712,,,,,975
,12.0,4.121345520019531,,64,,,12.0,,1763260015.0725374,,,,,1279
,9.0,4.364703416824341,,74,,,9.0,,1763260015.3158953,,,,,1411
,25.0,4.3847033977508545,,77,,,25.0,,1763260015.3358953,,,,,1459
,10.0,4.5164220333099365,,88,,,10.0,,1763260015.467614,,,,,1578
,10.0,4.657675266265869,,102,,,10.0,,1763260015.6088672,,,,,1717
,13.0,4.973240375518799,,133,,,13.0,,1763260015.9244323,,,,,2044
,10.0,5.1850974559783936,,147,,,10.0,,1763260016.1362894,,,,,2189
,13.0,5.197350025177002,,149,,,13.0,,1763260016.148542,,,,,2212
,11.0,5.203125715255737,,150,,,11.0,,1763260016.1543176,,,,,2223
,9.0,5.229192495346069,,155,,,9.0,,1763260016.1803844,,,,,2273
,9.0,5.23901629447937,,157,,,9.0,,1763260016.1902082,,,,,2291
,10.0,5.723893165588379,,195,,,10.0,,1763260016.675085,,,,,2682
,10.0,5.864948749542236,,203,,,10.0,,1763260016.8161407,,,,,2759
,10.0,5.9940876960754395,,213,,,10.0,,1763260016.9452796,,,,,2864
,10.0,6.015085935592651,,217,,,10.0,,1763260016.9662778,,,,,2905
,9.0,6.139568090438843,,228,,,9.0,,1763260017.09076,,,,,3002
,9.0,6.165173053741455,,233,,,9.0,,1763260017.116365,,,,,3051
,9.0,6.406809329986572,,251,,,9.0,,1763260017.3580012,,,,,3219
,9.0,6.464314937591553,,259,,,9.0,,1763260017.4155068,,,,,3302
,10.0,6.595179080963135,,265,,,10.0,,1763260017.546371,,,,,3354
,9.0,6.63652491569519,,273,,,9.0,,1763260017.5877168,,,,,3432
,10.0,6.6413304805755615,,274,,,10.0,,1763260017.5925224,,,,,3442
,15.0,6.872373580932617,,292,,,15.0,,1763260017.8235655,,,,,3616
,25.0,7.384737014770508,,327,,,25.0,,1763260018.335929,,,,,4113
,15.0,7.412155866622925,,330,,,15.0,,1763260018.3633478,,,,,4166
,18.0,7.428104400634766,,332,,,18.0,,1763260018.3792963,,,,,4202
,68.0,7.742949485778809,,340,,,68.0,,1763260018.6941414,,,,,4406
,57.0,8.819616079330444,,370,,,57.0,,1763260019.770808,,,,,5516
,34.0,9.545327186584473,,396,,,34.0,,1763260020.496519,,,,,6301
0.0066252462565898895,,10.286355018615723,0.00845789909362793,425,-0.004271695390343666,0.0002958525437861681,,0.4237232208251953,1763260021.237547,0.012168584391474724,3.7621848583221436,0.013671875,940.0,7040
,17.0,10.580938339233398,,441,,,17.0,,1763260021.5321302,,,,,7401
,31.0,10.813765525817871,,450,,,31.0,,1763260021.7649574,,,,,7634
,38.0,11.34143853187561,,471,,,38.0,,1763260022.2926304,,,,,8182
,37.0,11.664797306060791,,481,,,37.0,,1763260022.6159892,,,,,8472
,41.0,11.906623840332031,,490,,,41.0,,1763260022.8578157,,,,,8735
,84.0,12.7959463596344,,504,,,84.0,,1763260023.7471383,,,,,9313
,57.0,13.419031620025635,,515,,,57.0,,1763260024.3702235,,,,,9730
,56.0,14.153362274169922,,530,,,56.0,,1763260025.1045542,,,,,10369
,55.0,14.634375095367432,,539,,,55.0,,1763260025.585567,,,,,10844
0.00047834403812885284,,15.189374446868896,0.6963194608688354,555,0.0005574226379394531,0.0002932411734946072,,0.2582545578479767,1763260026.1405663,0.005897972732782364,3.5098536014556885,0.0,919.0,11392
1.5577301383018494e-05,,15.366447687149048,0.8105217814445496,559,-0.0005283616483211517,0.0002931643684860319,,0.36155223846435547,1763260026.3176396,-0.00024160929024219513,5.748662948608398,0.0,916.0,11520
,37.0,15.635127305984497,,568,,,37.0,,1763260026.5863192,,,,,11823
,67.0,16.547950983047485,,595,,,67.0,,1763260027.499143,,,,,12737
0.0007930370047688484,,17.11556839942932,0.8800261616706848,614,-0.013502124696969986,0.0002920890983659774,,0.3204563856124878,1763260028.0667603,0.004462159238755703,0.10841666907072067,0.0,930.0,13312
0.0002080211415886879,,17.664880752563477,0.6730268001556396,630,-0.0003494769334793091,0.0002917818783316761,,0.32724303007125854,1763260028.6160727,-0.004395469091832638,4.030925750732422,0.0,930.0,13824
4.270952194929123e-05,,17.789165258407593,0.8533438444137573,636,0.0006995387375354767,0.0002917050733231008,,0.3341490626335144,1763260028.7403572,0.001646275632083416,6.526780128479004,0.0,930.0,13952
0.0011684494093060493,,17.91254210472107,0.8609311580657959,640,0.005459091626107693,0.0002916282683145255,,0.30901849269866943,1763260028.863734,-5.9475190937519073e-05,0.12263033539056778,0.0,931.0,14080
,22.0,18.45159649848938,,664,,,22.0,,1763260029.4027884,,,,,14703
,22.0,19.012128353118896,,684,,,22.0,,1763260029.9633203,,,,,15159
,26.0,19.127111673355103,,689,,,26.0,,1763260030.0783036,,,,,15264
6.467662751674652e-05,,19.352818250656128,0.8873007893562317,698,-6.30505383014679e-05,0.00029078341322019696,,0.362054705619812,1763260030.3040102,-0.0019512604922056198,0.29724088311195374,0.0,935.0,15488
,21.0,19.51228427886963,,707,,,21.0,,1763260030.4634762,,,,,15701
0.0012606168165802956,,20.170958995819092,0.934093713760376,729,0.021448954939842224,0.00029032258316874504,,0.32898417115211487,1763260031.122151,-0.003939035348594189,0.1887328028678894,0.0,935.0,16256
,23.0,21.054580211639404,,767,,,23.0,,1763260032.005772,,,,,17128
,30.0,21.27591061592102,,775,,,30.0,,1763260032.2271025,,,,,17317
,25.0,21.534123420715332,,788,,,25.0,,1763260032.4853153,,,,,17585
0.0004996135830879211,,21.829666137695312,0.9625018239021301,797,-0.005295958369970322,0.0002894009230658412,,0.39091312885284424,1763260032.780858,0.006631799042224884,0.9735356569290161,0.0,935.0,17792
,21.0,21.997037649154663,,806,,,21.0,,1763260032.9482296,,,,,17949
,21.0,23.24722957611084,,863,,,21.0,,1763260034.1984215,,,,,19097
,19.0,23.40164613723755,,872,,,19.0,,1763260034.352838,,,,,19291
,27.0,23.505958557128906,,876,,,27.0,,1763260034.4571505,,,,,19363
0.0017773034051060677,,24.596508026123047,0.9845848083496094,922,-0.0029915906488895416,0.0002878648228943348,,0.29518890380859375,1763260035.5477,0.0071754464879632,2.847358226776123,0.0,933.0,20352
,27.0,24.752225160598755,,930,,,27.0,,1763260035.703417,,,,,20551
0.002855716273188591,,24.966926097869873,0.9903722405433655,938,0.0002785623073577881,0.00028763440786860883,,0.32627537846565247,1763260035.918118,0.026516005396842957,1.0936810970306396,0.0,935.0,20736
,17.0,25.00371551513672,,941,,,17.0,,1763260035.9549074,,,,,20816
,44.0,25.026992082595825,,942,,,44.0,,1763260035.978184,,,,,20860
,32.0,25.32148051261902,,948,,,32.0,,1763260036.2726724,,,,,21018
,31.0,26.00490403175354,,974,,,31.0,,1763260036.956096,,,,,21729
,23.0,26.133933305740356,,980,,,23.0,,1763260037.0851252,,,,,21864
,23.0,26.32994508743286,,985,,,23.0,,1763260037.281137,,,,,21996
,44.0,27.164062976837158,,1015,,,44.0,,1763260038.1152549,,,,,22848
,71.0,27.815555334091187,,1031,,,71.0,,1763260038.7667472,,,,,23466
0.006580177694559097,,28.462563037872314,0.9937760829925537,1050,-0.02163245528936386,0.0002856374776456505,,0.3159850239753723,1763260039.413755,0.004136048257350922,0.7272623181343079,0.01953125,937.0,24064
0.0103060407564044,,28.58021116256714,0.9332115054130554,1053,-0.027990318834781647,0.0002855606726370752,,0.3210752010345459,1763260039.531403,0.017703190445899963,0.2547653317451477,0.033203125,938.0,24192
,64.0,28.719927310943604,,1058,,,64.0,,1763260039.6711192,,,,,24375
,60.0,29.606731176376343,,1083,,,60.0,,1763260040.557923,,,,,25283
,56.0,29.8580219745636,,1091,,,56.0,,1763260040.8092139,,,,,25586
,29.0,30.297293424606323,,1106,,,29.0,,1763260041.2484853,,,,,25992
0.0006549181416630745,,30.70149254798889,0.8258528709411621,1118,-0.010468631982803345,0.00028425498749129474,,0.35241377353668213,1763260041.6526845,0.010597125627100468,0.28923657536506653,0.0,945.0,26368
,47.0,31.0718195438385,,1133,,,47.0,,1763260042.0230114,,,,,26781
,24.0,31.4263334274292,,1145,,,24.0,,1763260042.3775253,,,,,27172
,71.0,32.06527066230774,,1164,,,71.0,,1763260043.0164626,,,,,27806
0.007223975844681263,,32.39749240875244,0.061381638050079346,1172,0.005016878247261047,0.00028317971737124026,,0.2871328592300415,1763260043.3486843,0.0014192881062626839,0.09149298816919327,0.021484375,951.0,28160
,45.0,32.711825132369995,,1181,,,45.0,,1763260043.663017,,,,,28509
0.004928980953991413,,33.01742506027222,0.07827472686767578,1186,-0.03367510065436363,0.00028279569232836366,,0.1775338351726532,1763260043.968617,-0.0070325760170817375,0.06575441360473633,0.033203125,953.0,28800
,47.0,33.40667366981506,,1197,,,47.0,,1763260044.3578656,,,,,29308
,49.0,34.02643084526062,,1213,,,49.0,,1763260044.9776227,,,,,29941
,50.0,34.115869998931885,,1215,,,50.0,,1763260045.067062,,,,,29991
,48.0,34.45981574058533,,1226,,,48.0,,1763260045.4110076,,,,,30358
,53.0,34.58581495285034,,1230,,,53.0,,1763260045.5370069,,,,,30506
,48.0,34.72745633125305,,1234,,,48.0,,1763260045.6786482,,,,,30667
,56.0,35.20140886306763,,1245,,,56.0,,1763260046.1526008,,,,,31130
,41.0,36.342801332473755,,1271,,,41.0,,1763260047.2939932,,,,,32287
0.0009707016870379448,,37.63704872131348,0.9988406896591187,1299,-0.001414341852068901,0.0002798771020025015,,0.26946038007736206,1763260048.5882406,0.003589269705116749,0.28855764865875244,0.0,966.0,33664
,70.0,39.55038261413574,,1339,,,70.0,,1763260050.5015745,,,,,35759
,59.0,39.57080030441284,,1340,,,59.0,,1763260050.5219922,,,,,35818
,91.0,40.67071533203125,,1363,,,91.0,,1763260051.6219072,,,,,36872
0.0038337968289852142,,40.78943204879761,0.99830162525177,1365,-0.003736145794391632,0.00027788017177954316,,0.15342360734939575,1763260051.740624,0.02523992955684662,0.15815317630767822,0.013671875,973.0,36992
0.042689770460128784,,41.02739667892456,0.9576775431632996,1370,-0.028865378350019455,0.0002777265617623925,,0.25982314348220825,1763260051.9785886,0.0714428573846817,0.2338990420103073,0.064453125,974.0,37248
0.0007127393037080765,,41.64739775657654,0.9993252158164978,1380,-0.007258151657879353,0.0002773425367195159,,0.1913066804409027,1763260052.5985897,0.0018129423260688782,0.07559417188167572,0.0078125,975.0,37888
,132.0,41.68045496940613,,1381,,,132.0,,1763260052.6316469,,,,,37972
,79.0,42.02311992645264,,1388,,,79.0,,1763260052.9743118,,,,,38290
,73.0,42.410889863967896,,1395,,,73.0,,1763260053.3620818,,,,,38686
0.004631734453141689,,42.63403534889221,0.9992110133171082,1399,-0.007773797959089279,0.00027672809665091336,,0.2532772421836853,1763260053.5852273,-0.0013506794348359108,0.06968874484300613,0.013671875,976.0,38912
0.0026193950325250626,,44.63396453857422,0.749254584312439,1432,-0.03101283870637417,0.0002754992456175387,,0.23095189034938812,1763260055.5851564,0.015827719122171402,0.15660226345062256,0.001953125,979.0,40960
,133.0,44.65828013420105,,1433,,,133.0,,1763260055.609472,,,,,41015
0.003692365251481533,,46.285666704177856,0.9790439605712891,1455,-0.00024347379803657532,0.00027450078050605953,,0.35903531312942505,1763260057.2368586,0.012766511179506779,0.27978405356407166,0.013671875,980.0,42624
0.0019291527569293976,,46.40889286994934,0.9970526695251465,1456,0.008114229887723923,0.0002744239754974842,,0.3445338010787964,1763260057.3600848,-0.006796510890126228,0.3579671084880829,0.021484375,980.0,42752
,187.0,46.41116118431091,,1457,,,187.0,,1763260057.362353,,,,,42753
,14.0,48.94670820236206,,1514,,,14.0,,1763260059.8979,,,,,45426
,14.0,49.06116271018982,,1521,,,14.0,,1763260060.0123546,,,,,45502
,10.0,49.097083568573,,1527,,,10.0,,1763260060.0482755,,,,,45567
,11.0,49.175782680511475,,1529,,,11.0,,1763260060.1269746,,,,,45578
,14.0,49.204827308654785,,1534,,,14.0,,1763260060.1560192,,,,,45638
,19.0,49.218449115753174,,1536,,,19.0,,1763260060.169641,,,,,45668
,15.0,49.42855215072632,,1543,,,15.0,,1763260060.379744,,,,,45889
,15.0,49.44054579734802,,1545,,,15.0,,1763260060.3917377,,,,,45915
,17.0,49.44842529296875,,1546,,,17.0,,1763260060.3996172,,,,,45932
,11.0,49.58688426017761,,1558,,,11.0,,1763260060.5380762,,,,,46066
,11.0,49.592745542526245,,1559,,,11.0,,1763260060.5439374,,,,,46077
,11.0,49.7373902797699,,1563,,,11.0,,1763260060.6885822,,,,,46109
,10.0,49.772234201431274,,1566,,,10.0,,1763260060.723426,,,,,46145
,12.0,50.1686635017395,,1589,,,12.0,,1763260061.1198554,,,,,46416
,14.0,50.285770654678345,,1597,,,14.0,,1763260061.2369626,,,,,46515
,14.0,50.41161918640137,,1607,,,14.0,,1763260061.362811,,,,,46624
,18.0,50.42844581604004,,1609,,,18.0,,1763260061.3796377,,,,,46661
,16.0,50.435264110565186,,1610,,,16.0,,1763260061.386456,,,,,46677
,329.0,52.12648558616638,,1638,,,329.0,,1763260063.0776775,,,,,48475
0.008323140442371368,,56.017324924468994,-0.0018357038497924805,1687,0.007417492568492889,0.0002683563798200339,,0.3956865072250366,1763260066.9685168,-0.02969472110271454,0.03761296719312668,0.099609375,993.0,52864
0.0034065721556544304,,59.73469591140747,0.08825111389160156,1732,-0.01695682667195797,0.00026589861954562366,,0.2943923771381378,1763260070.6858878,0.023218298330903053,0.006412851624190807,0.021484375,1000.0,56960
0.05994458496570587,,60.738866329193115,-0.0005347728729248047,1745,-0.02513105794787407,0.0002652073744684458,,0.28957095742225647,1763260071.6900582,0.09601245820522308,85.81171417236328,0.0885416641831398,1003.0,58112
0.001203504391014576,,61.3728563785553,-0.001024484634399414,1753,0.011809452436864376,0.00026474654441699386,,0.3264508843421936,1763260072.3240483,-0.013864320702850819,0.013614119961857796,0.00390625,1005.0,58880
0.08513252437114716,,61.511003255844116,0.35998666286468506,1754,-0.07524728775024414,0.00026466973940841854,,0.2725115716457367,1763260072.4621952,0.1359556019306183,0.01445668376982212,0.1380208283662796,1005.0,59008
0.0072172414511442184,,62.62767791748047,0.5929580926895142,1768,0.021395009011030197,0.00026390168932266533,,0.35800063610076904,1763260073.5788698,-0.0019263355061411858,0.004234767984598875,0.099609375,1007.0,60288
0.00267082080245018,,63.249101638793945,-0.0010526180267333984,1777,0.010804787278175354,0.0002634408592712134,,0.25850778818130493,1763260074.2002935,-0.0016968697309494019,0.01828046888113022,0.08203125,1010.0,61056
,311.0,66.63507342338562,,1818,,,311.0,,1763260077.5862653,,,,,64867
0.01697826199233532,,67.09036993980408,-0.0013631582260131836,1823,-0.034513384103775024,0.00026090629398822784,,0.31094229221343994,1763260078.0415618,0.08049523830413818,0.006578383967280388,0.10546875,1015.0,65280
,320.0,69.34786653518677,,1851,,,320.0,,1763260080.2990584,,,,,67866
,335.0,70.72671818733215,,1868,,,335.0,,1763260081.67791,,,,,69493
0.00021670479327440262,,71.16236281394958,-0.001078486442565918,1873,-0.0029909340664744377,0.0002581413136795163,,0.2980307936668396,1763260082.1135547,0.0014481907710433006,0.006743893027305603,0.01953125,1022.0,69888
