losses/old_approx_kl,charts/episodic_length,_step,charts/learning_rate,charts/episodic_return,_timestamp,losses/entropy,losses/explained_variance,losses/policy_loss,_runtime,global_step,losses/approx_kl,losses/value_loss,charts/SPS,losses/clipfrac
,,0,,,1763260012.4809134,,,,1.5403733253479004,0,,,,
,21.0,7,,21.0,1763260013.9067113,,,,2.9661712646484375,148,,,,
,16.0,33,,16.0,1763260014.312111,,,,3.3715708255767822,565,,,,
,10.0,41,,10.0,1763260014.4389558,,,,3.49841570854187,685,,,,
-0.001834683120250702,,47,0.0002996159892063588,,1763260014.5514126,0.58726567029953,0.6770410537719727,-0.00970245711505413,3.610872507095337,768,0.003153447061777115,0.3930475115776062,948.0,0.01953125
,14.0,64,,14.0,1763260014.772449,,,,3.831908941268921,998,,,,
,14.0,74,,14.0,1763260014.9044118,,,,3.963871717453003,1119,,,,
-0.014589248225092888,,77,0.00029938557418063283,,1763260014.9885688,0.41007471084594727,0.11690902709960938,-0.008721567690372467,4.0480287075042725,1152,0.00136563740670681,0.44560810923576355,924.0,0.0
,9.0,88,,9.0,1763260015.0506194,,,,4.110079288482666,1268,,,,
,10.0,102,,10.0,1763260015.2678635,,,,4.3273234367370605,1428,,,,
,10.0,133,,10.0,1763260015.5719388,,,,4.631398677825928,1728,,,,
,9.0,147,,9.0,1763260015.7100158,,,,4.769475698471069,1858,,,,
,10.0,149,,10.0,1763260015.722207,,,,4.781666994094849,1881,,,,
,10.0,150,,10.0,1763260015.7274952,,,,4.786955118179321,1891,,,,
,9.0,155,,9.0,1763260015.8546684,,,,4.914128303527832,1928,,,,
,10.0,157,,10.0,1763260015.874691,,,,4.93415093421936,1950,,,,
-0.002708587795495987,,195,0.00029869432910345495,,1763260016.2864742,0.19440340995788574,0.2853425145149231,-0.005022842437028885,5.345934152603149,2304,0.00047904253005981445,0.5833213925361633,905.0,0.0
,11.0,203,,11.0,1763260016.3356283,,,,5.395088195800781,2390,,,,
,9.0,213,,9.0,1763260016.4548898,,,,5.514349699020386,2481,,,,
,8.0,217,,8.0,1763260016.4767325,,,,5.536192417144775,2519,,,,
,10.0,228,,10.0,1763260016.6047273,,,,5.66418719291687,2619,,,,
,11.0,233,,11.0,1763260016.6321318,,,,5.691591739654541,2671,,,,
,10.0,251,,10.0,1763260016.8589427,,,,5.918402671813965,2827,,,,
,8.0,259,,8.0,1763260016.9102619,,,,5.969721794128418,2902,,,,
,12.0,265,,12.0,1763260017.0801382,,,,6.13959813117981,2954,,,,
,9.0,273,,9.0,1763260017.1220083,,,,6.18146824836731,3028,,,,
,8.0,274,,8.0,1763260017.128249,,,,6.187708854675293,3036,,,,
,14.0,292,,14.0,1763260017.3622346,,,,6.42169451713562,3207,,,,
,9.0,327,,9.0,1763260017.6895752,,,,6.749035120010376,3558,,,,
-0.005636455491185188,,330,0.00029792627901770175,,1763260017.7707443,0.2819361090660095,0.9515584707260132,0.019091561436653137,6.830204248428345,3584,0.004102632403373718,0.09055088460445404,889.0,0.041015625
,10.0,332,,10.0,1763260017.7809162,,,,6.840376138687134,3599,,,,
,11.0,340,,11.0,1763260017.832335,,,,6.891794919967651,3679,,,,
,14.0,370,,14.0,1763260018.2416859,,,,7.301145792007446,4016,,,,
,51.0,396,,51.0,1763260018.8609521,,,,7.920412063598633,4619,,,,
,39.0,425,,39.0,1763260019.6689575,,,,8.72841739654541,5421,,,,
-0.001123981550335884,,441,0.000296543788863346,,1763260020.1359224,0.551632285118103,-0.008975625038146973,0.0005891919136047363,9.195382356643677,5888,0.00018280372023582458,3.0676116943359375,920.0,0.0
,37.0,450,,37.0,1763260020.3257854,,,,9.385245323181152,6109,,,,
,51.0,471,,51.0,1763260021.020986,,,,10.080446004867554,6823,,,,
,87.0,481,,87.0,1763260021.407896,,,,10.467355966567993,7237,,,,
-0.004281559027731419,,490,0.0002954685187432915,,1763260021.844289,0.40969279408454895,-0.031517982482910156,-0.051811449229717255,10.903748989105225,7680,0.014090294949710369,0.20598551630973816,947.0,0.04296875
,61.0,504,,61.0,1763260022.4637141,,,,11.523174047470093,8354,,,,
-0.005664217285811901,,515,0.000294623663648963,,1763260023.5953748,0.354981392621994,0.9199969172477722,0.014660201966762543,12.654834747314453,9088,0.0007590847089886665,0.16511009633541107,922.0,0.0
-0.004235238768160343,,530,0.00029408602858893573,,1763260024.62998,0.3003884255886078,-0.014721035957336426,0.0002489164471626282,13.68944001197815,9984,6.953906267881393e-05,0.16152970492839813,916.0,0.0
-0.004529767669737339,,539,0.00029377880855463445,,1763260025.1960082,0.3048058748245239,0.7873196005821228,-0.00580967590212822,14.255468130111694,10496,0.0034202756360173225,0.1354294717311859,916.0,0.01953125
0.00010869093239307404,,555,0.0002932411734946072,,1763260026.1447458,0.2748768925666809,0.506679356098175,1.0076910257339478e-05,15.204205751419067,11392,0.00014315173029899597,4.975535869598389,918.0,0.0
,98.0,559,,98.0,1763260026.304241,,,,15.363700866699219,11639,,,,
-0.0009012408554553986,,568,0.0002927803434431553,,1763260026.8846884,0.2251468151807785,0.8481408953666687,-0.008153911679983139,15.944148302078247,12160,0.0003825817257165909,0.09984246641397476,925.0,0.0
,62.0,595,,62.0,1763260028.1279368,,,,17.18739676475525,13538,,,,
0.0029590390622615814,,614,0.0002913978532887995,,1763260029.0750568,0.2023213505744934,0.8241016268730164,-0.0016588792204856873,18.134516716003418,14464,0.00043070875108242035,0.08780841529369354,943.0,0.0
0.011100788600742817,,630,0.0002909370232373476,,1763260029.8269393,0.31318098306655884,0.9683439135551453,-0.022973567247390747,18.886399269104004,15232,0.001608532853424549,0.1343168169260025,946.0,0.001953125
0.025951825082302094,,636,0.00029078341322019696,,1763260030.0621188,0.24110984802246094,0.4955424666404724,-0.03002127632498741,19.121578693389893,15488,0.00261116586625576,0.0960608720779419,949.0,0.001953125
,60.0,640,,60.0,1763260030.201975,,,,19.26143503189087,15673,,,,
,111.0,664,,111.0,1763260031.1829348,,,,20.24239468574524,16683,,,,
-0.0009270031005144119,,684,0.00028955453308299184,,1763260032.0341067,0.28207457065582275,0.910732090473175,-0.013355143368244171,21.09356665611267,17536,0.003673054277896881,0.14844951033592224,958.0,0.013671875
