_step,_runtime,global_step,_timestamp,charts/episodic_length,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,charts/episodic_return,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss
0,2.511043071746826,0,1763260013.5270782,,,,,,,,,,,
7,3.4473769664764404,128,1763260014.463412,29.0,0.0011026989668607712,0.7896469831466675,0.001811150461435318,29.0,0.0,-0.020246341824531555,0.6921560764312744,0.0003000000142492354,949.0,0.40650036931037903
33,3.95808744430542,644,1763260014.9741225,11.0,,,,11.0,,,,,,
41,4.012713670730591,759,1763260015.0287488,13.0,,,,13.0,,,,,,
47,4.123680353164673,849,1763260015.1397154,16.0,,,,16.0,,,,,,
64,4.394254446029663,1134,1763260015.4102895,15.0,,,,15.0,,,,,,
74,4.524500131607056,1253,1763260015.5405352,9.0,,,,9.0,,,,,,
77,4.606454849243164,1280,1763260015.62249,,0.010072968900203705,-0.12817120552062988,-0.0036236923187971115,,0.044921875,-0.030980244278907776,0.5275323987007141,0.0002993087691720575,989.0,0.40365588665008545
88,4.752691745758057,1423,1763260015.7687268,9.0,,,,9.0,,,,,,
102,4.939783334732056,1600,1763260015.9558184,8.0,,,,8.0,,,,,,
133,5.329979419708252,1924,1763260016.3460145,15.0,,,,15.0,,,,,,
147,5.469767332077026,2060,1763260016.4858024,13.0,,,,13.0,,,,,,
149,5.482285737991333,2082,1763260016.4983208,13.0,,,,13.0,,,,,,
150,5.487411975860596,2092,1763260016.503447,10.0,,,,10.0,,,,,,
155,5.5137293338775635,2144,1763260016.5297644,10.0,,,,10.0,,,,,,
157,5.5237343311309814,2164,1763260016.5397694,9.0,,,,9.0,,,,,,
195,5.971543550491333,2533,1763260016.9875786,13.0,,,,13.0,,,,,,
203,6.0858588218688965,2619,1763260017.101894,13.0,,,,13.0,,,,,,
213,6.208186149597168,2720,1763260017.2242212,13.0,,,,13.0,,,,,,
217,6.2312023639678955,2764,1763260017.2472374,11.0,,,,11.0,,,,,,
228,6.357611417770386,2872,1763260017.3736465,9.0,,,,9.0,,,,,,
233,6.389194488525391,2940,1763260017.4052296,14.0,,,,14.0,,,,,,
251,6.626111030578613,3125,1763260017.642146,9.0,,,,9.0,,,,,,
259,6.738569498062134,3204,1763260017.7546046,12.0,,,,12.0,,,,,,
265,6.7739951610565186,3272,1763260017.7900302,9.0,,,,9.0,,,,,,
273,6.88455867767334,3356,1763260017.9005938,10.0,,,,10.0,,,,,,
