charts/episodic_return,global_step
14,14
11,25
13,38
13,51
12,63
18,81
21,102
25,127
18,145
20,165
14,179
12,191
14,205
16,221
53,274
13,287
24,311
28,339
12,351
22,373
48,421
28,449
15,464
25,489
21,510
14,524
23,547
22,569
13,582
15,597
10,607
15,622
13,635
15,650
12,662
21,683
12,695
11,706
10,716
12,728
13,741
68,809
14,823
11,834
21,855
53,908
14,922
12,934
17,951
20,971
10,981
12,993
10,1003
15,1018
11,1029
17,1046
9,1055
10,1065
17,1082
12,1094
20,1114
24,1138
10,1148
15,1163
10,1173
11,1184
14,1198
12,1210
14,1224
10,1234
9,1243
21,1264
23,1287
18,1305
21,1326
15,1341
11,1352
12,1364
20,1384
15,1399
9,1408
11,1419
13,1432
9,1441
17,1458
11,1469
13,1482
10,1492
11,1503
16,1519
10,1529
24,1553
9,1562
14,1576
13,1589
10,1599
9,1608
10,1618
10,1628
10,1638
24,1662
16,1678
13,1691
15,1706
10,1716
13,1729
12,1741
9,1750
10,1760
14,1774
9,1783
8,1791
14,1805
12,1817
9,1826
9,1835
10,1845
11,1856
8,1864
10,1874
8,1882
9,1891
11,1902
11,1913
9,1922
9,1931
8,1939
9,1948
9,1957
11,1968
9,1977
10,1987
10,1997
8,2005
11,2016
9,2025
9,2034
14,2048
11,2059
10,2069
12,2081
15,2096
12,2108
9,2117
9,2126
10,2136
10,2146
11,2157
10,2167
8,2175
9,2184
12,2196
10,2206
10,2216
9,2225
10,2235
10,2245
10,2255
9,2264
12,2276
9,2285
8,2293
10,2303
9,2312
9,2321
10,2331
10,2341
10,2351
8,2359
9,2368
9,2377
10,2387
10,2397
11,2408
11,2419
10,2429
10,2439
9,2448
9,2457
10,2467
11,2478
10,2488
9,2497
10,2507
10,2517
13,2530
9,2539
10,2549
9,2558
14,2572
10,2582
9,2591
10,2601
9,2610
10,2620
10,2630
10,2640
15,2655
11,2666
9,2675
11,2686
10,2696
10,2706
8,2714
10,2724
10,2734
10,2744
8,2752
12,2764
10,2774
10,2784
10,2794
9,2803
11,2814
10,2824
12,2836
9,2845
11,2856
10,2866
10,2876
11,2887
11,2898
12,2910
11,2921
10,2931
9,2940
8,2948
8,2956
9,2965
9,2974
11,2985
9,2994
9,3003
11,3014
10,3024
10,3034
12,3046
8,3054
13,3067
11,3078
11,3089
9,3098
10,3108
10,3118
9,3127
17,3144
12,3156
10,3166
10,3176
10,3186
9,3195
10,3205
8,3213
9,3222
13,3235
17,3252
11,3263
15,3278
15,3293
10,3303
11,3314
13,3327
10,3337
9,3346
11,3357
17,3374
10,3384
8,3392
14,3406
10,3416
10,3426
9,3435
11,3446
12,3458
10,3468
12,3480
12,3492
12,3504
13,3517
16,3533
9,3542
8,3550
12,3562
14,3576
11,3587
13,3600
12,3612
9,3621
12,3633
14,3647
10,3657
10,3667
8,3675
11,3686
16,3702
12,3714
21,3735
14,3749
15,3764
19,3783
24,3807
20,3827
16,3843
18,3861
22,3883
18,3901
20,3921
39,3960
21,3981
23,4004
16,4020
34,4054
40,4094
17,4111
22,4133
60,4193
47,4240
19,4259
40,4299
28,4327
36,4363
40,4403
56,4459
34,4493
27,4520
32,4552
55,4607
47,4654
70,4724
27,4751
33,4784
63,4847
33,4880
24,4904
25,4929
34,4963
37,5000
26,5026
27,5053
35,5088
32,5120
36,5156
38,5194
28,5222
20,5242
38,5280
41,5321
22,5343
32,5375
34,5409
95,5504
86,5590
60,5650
64,5714
39,5753
50,5803
32,5835
66,5901
62,5963
87,6050
96,6146
45,6191
55,6246
41,6287
54,6341
69,6410
39,6449
53,6502
64,6566
61,6627
62,6689
55,6744
64,6808
66,6874
76,6950
76,7026
205,7231
57,7288
45,7333
