losses/entropy,global_step,losses/clipfrac,charts/learning_rate,_runtime,losses/value_loss,_step,_timestamp,losses/old_approx_kl,losses/explained_variance,charts/episodic_length,losses/approx_kl,charts/episodic_return,losses/policy_loss,charts/SPS
,0,,,1.6220557689666748,,0,1763260012.2981787,,,,,,,
,125,,,3.16159725189209,,7,1763260013.8377202,,,16.0,,16.0,,
,588,,,3.7194983959198,,33,1763260014.3956213,,,26.0,,26.0,,
,757,,,3.8614509105682373,,41,1763260014.5375738,,,38.0,,38.0,,
,863,,,4.009772300720215,,47,1763260014.6858952,,,14.0,,14.0,,
,1342,,,4.479361057281494,,64,1763260015.155484,,,51.0,,51.0,,
,1539,,,4.702123165130615,,74,1763260015.378246,,,40.0,,40.0,,
,1661,,,4.749061107635498,,77,1763260015.425184,,,26.0,,26.0,,
,1907,,,5.035390138626099,,88,1763260015.711513,,,23.0,,23.0,,
,2161,,,5.288821697235107,,102,1763260015.9649446,,,15.0,,15.0,,
,2177,,,5.363699436187744,,104,1763260016.0398223,,,16.0,,16.0,,
0.6205531358718872,2688,0.0,0.000298463914077729,5.870648622512817,0.47258901596069336,133,1763260016.5467715,0.0006356295198202133,0.1384892463684082,,0.0017175115644931793,,0.007430052384734154,960.0
,2945,,,6.160744667053223,,147,1763260016.8368676,,,27.0,,27.0,,
,3036,,,6.19547700881958,,149,1763260016.8716,,,34.0,,34.0,,
,3052,,,6.202282667160034,,150,1763260016.8784056,,,16.0,,16.0,,
,3153,,,6.314749717712402,,155,1763260016.9908726,,,24.0,,24.0,,
,3195,,,6.3322577476501465,,157,1763260017.0083807,,,23.0,,23.0,,
0.5130959153175354,3968,0.0,0.0002976958639919758,7.183650016784668,0.726219892501831,195,1763260017.859773,0.003259086050093174,0.35099852085113525,,0.000434347428381443,,-0.00640310812741518,965.0
,4188,,,7.34322452545166,,203,1763260018.0193474,,,35.0,,35.0,,
,4445,,,7.585353374481201,,213,1763260018.2614763,,,43.0,,43.0,,
0.4789288640022278,4608,0.017578125,0.0002973118389490992,7.781751871109009,0.22480277717113495,217,1763260018.4578748,0.007380153983831406,0.6676969528198242,,0.006986397318542004,,-0.08777537941932678,978.0
,5003,,,8.138836145401001,,228,1763260018.814959,,,86.0,,86.0,,
0.4043503403663635,5248,0.00390625,0.0002969278139062226,8.395636796951294,0.2093103677034378,233,1763260019.0717597,0.009358672425150871,0.7374173402786255,,0.002394476905465126,,-0.03540702164173126,986.0
0.32488366961479187,6016,0.0,0.00029646698385477066,9.096073389053345,0.24906276166439056,251,1763260019.7721963,-0.009574253112077713,-0.06242239475250244,,0.00015280209481716156,,0.0004482641816139221,998.0
0.4094225764274597,6272,0.0,0.00029631337383762,9.358500003814697,0.22792208194732666,259,1763260020.034623,0.006361497566103935,-0.08076190948486328,,0.0005816034972667694,,-0.02346615493297577,997.0
,6526,,,9.526459693908691,,265,1763260020.2025826,,,58.0,,58.0,,
,6779,,,9.763436555862427,,273,1763260020.4395595,,,40.0,,40.0,,
0.32554274797439575,6784,0.017578125,0.00029600615380331874,9.833875894546509,11.879944801330566,274,1763260020.5099988,0.030431415885686874,-0.05434536933898926,,0.004439284093677998,,0.02088327333331108,1003.0
,7242,,,10.229878187179565,,292,1763260020.906001,,,29.0,,29.0,,
,7957,,,10.972137928009033,,327,1763260021.6482608,,,16.0,,16.0,,
,8024,,,11.001702070236206,,330,1763260021.677825,,,20.0,,20.0,,
0.36872637271881104,8064,0.0,0.00029523810371756554,11.085254430770874,4.5603251457214355,332,1763260021.7613773,0.005387314595282078,-0.007127642631530762,,0.0006581498309969902,,0.001972738653421402,1006.0
,8179,,,11.135514974594116,,337,1763260021.8116379,,,25.0,,25.0,,
,8216,,,11.226866245269775,,340,1763260021.9029891,,,18.0,,18.0,,
,8848,,,12.208576440811157,,370,1763260022.8846993,,,35.0,,35.0,,
,9461,,,12.914544105529785,,396,1763260023.590667,,,37.0,,37.0,,
,10291,,,13.893182754516602,,425,1763260024.5693057,,,47.0,,47.0,,
,10807,,,14.372193574905396,,441,1763260025.0483165,,,43.0,,43.0,,
,11163,,,14.75883412361145,,450,1763260025.434957,,,109.0,,109.0,,
0.3375195860862732,12288,0.017578125,0.00029270353843457997,15.858999252319336,0.09886510670185089,471,1763260026.5351222,0.02918083220720291,0.7594038248062134,,0.004541452974081039,,0.01648157835006714,961.0
,12849,,,16.342753171920776,,481,1763260027.018876,,,63.0,,63.0,,
0.2693290114402771,13312,0.01953125,0.0002920890983659774,16.785072565078735,10.738211631774902,490,1763260027.4611955,0.01497621275484562,0.3477097749710083,,0.0029172440990805626,,-0.0336097851395607,970.0
0.2883654534816742,13952,0.009765625,0.0002917050733231008,17.42937660217285,0.16727271676063538,504,1763260028.1054995,-0.0084132831543684,0.9945521354675293,,0.002064090222120285,,-0.012504220008850098,971.0
,14520,,,17.912869453430176,,515,1763260028.5889924,,,90.0,,90.0,,
0.28002914786338806,15360,0.013671875,0.0002908602182287723,18.79456663131714,13.73590087890625,530,1763260029.4706895,0.02641514129936695,-0.008412837982177734,74.0,0.003392341546714306,74.0,0.006347017362713814,977.0
,15788,,,19.21232771873474,,539,1763260029.8884506,,,60.0,,60.0,,
,16190,,,19.565701961517334,,547,1763260030.2418249,,,69.0,,69.0,,
,16569,,,19.91083860397339,,555,1763260030.5869615,,,119.0,,119.0,,
,16762,,,20.049280643463135,,559,1763260030.7254035,,,63.0,,63.0,,
0.17373126745224,17152,0.001953125,0.0002897849481087178,20.52288246154785,0.1455647200345993,568,1763260031.1990054,0.008267359808087349,0.9918814301490784,,0.00109083391726017,,-0.008511528372764587,982.0
0.16526728868484497,18176,0.00390625,0.00028917050804011524,21.54324436187744,0.30345088243484497,595,1763260032.2193673,0.007721106521785259,0.9921731948852539,,0.0009015323594212532,,-0.0018913522362709045,984.0
,18879,,,22.17131233215332,,614,1763260032.8474352,,,54.0,,54.0,,
,19449,,,22.720723628997803,,630,1763260033.3968465,,,35.0,,35.0,,
,19652,,,22.936742782592773,,636,1763260033.6128657,,,37.0,,37.0,,
,19835,,,23.071343660354614,,640,1763260033.7474666,,,60.0,,60.0,,
,20757,,,24.026025533676147,,664,1763260034.7021484,,,45.0,,45.0,,
,21404,,,24.691900730133057,,684,1763260035.3680236,,,37.0,,37.0,,
,21585,,,24.829224824905396,,689,1763260035.5053477,,,39.0,,39.0,,
,21884,,,25.08131432533264,,698,1763260035.7574372,,,48.0,,48.0,,
,22178,,,25.406058073043823,,707,1763260036.082181,,,43.0,,43.0,,
,22933,,,26.17660617828369,,729,1763260036.852729,,,35.0,,35.0,,
,24302,,,27.45965313911438,,767,1763260038.135776,,,78.0,,78.0,,
,24694,,,27.872938632965088,,775,1763260038.5490615,,,84.0,,84.0,,
,25156,,,28.325106382369995,,788,1763260039.0012293,,,46.0,,46.0,,
,25505,,,28.708774089813232,,797,1763260039.384897,,,41.0,,41.0,,
,25851,,,28.982028007507324,,806,1763260039.658151,,,40.0,,40.0,,
,28168,,,31.255571365356445,,863,1763260041.9316943,,,58.0,,58.0,,
,28548,,,31.60114598274231,,872,1763260042.277269,,,82.0,,82.0,,
,28752,,,31.74617314338684,,876,1763260042.422296,,,52.0,,52.0,,
,30697,,,33.61801838874817,,922,1763260044.2941413,,,59.0,,59.0,,
,30973,,,33.86005353927612,,930,1763260044.5361764,,,46.0,,46.0,,
0.1672915518283844,31232,0.005859375,0.00028133639716543257,34.203444719314575,0.1359584927558899,938,1763260044.8795676,-0.013138976879417896,0.004012584686279297,,0.0028131743893027306,,-0.01248856633901596,1003.0
,31358,,,34.25161027908325,,941,1763260044.9277332,,,56.0,,56.0,,
0.18799005448818207,31360,0.0,0.00028125959215685725,34.32072997093201,38.82929229736328,942,1763260044.9968529,-0.010128664784133434,-0.01230156421661377,,0.0005412185564637184,,0.0003058966249227524,1003.0
,31537,,,34.4604856967926,,948,1763260045.1366086,,,46.0,,46.0,,
